engine_display,NOx,Contrail (CoCiP),Non-CO₂ (Contrail CoCiP),CO2 Conservative,CO2 Optimistic,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.6429690725653688,-69.19782451924978,0.7394238136360343,0.0,0.0,0.896317696163516,0.896317696163516
GTF,-19.713755405019274,-52.42216410592204,-20.173852029508257,-15.773256522244806,-15.773256522244806,-19.945452840692024,-19.945452840692024
GTF2035,-12.907442961983934,-53.00138659605381,-14.27683175246928,-22.327806420799817,-22.327806420799817,-14.403910509870565,-14.403910509870565
GTF2035 - 20,-13.321082359925414,-54.64638469199655,-14.17306647847104,-24.21549028563686,-37.23139545843742,-14.364133194005099,-14.76048717678079
GTF2035 - 100,-14.981389677424616,-53.51082452052024,-14.917630313176854,-31.760020002170307,-95.45017421036708,-15.33002407065239,-17.255424567832385
GTF2035WI,-93.4936880355059,-47.51009430005521,-91.40760620361495,-28.984154481466934,-28.984154481466934,-90.25498270076123,-90.25498270076123
GTF2035WI - 20,-93.62895876962288,-50.18922815896227,-91.74090701272765,-30.76869545478512,-42.65855860564921,-90.86455374992703,-91.09289401474268
GTF2035WI - 100,-93.89820885887686,-57.86478911169257,-92.73899213386213,-37.825753839867325,-95.85427966233364,-91.7276059483558,-92.91160625945227
