engine_display,NOx,Contrail (CoCiP),Non-CO₂ (Contrail CoCiP),CO2 Conservative,CO2 Optimistic,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.5757812729240099,-67.20926394943251,-30.262430773554122,0.0,0.0,-30.080996101192003,-30.080996101192003
GTF,-18.94371477834184,-55.127261256355844,-42.8702320182065,-15.789285920456011,-15.789285920456011,-42.688931128481016,-42.688931128481016
GTF2035,-10.480656076072489,-56.98839023622529,-38.69218413839293,-21.96641751536834,-21.96641751536834,-38.6861112064206,-38.6861112064206
GTF2035 - 20,-10.878020756175331,-58.59927349885006,-39.48483629337246,-23.84664178054283,-36.925555857418566,-39.49632180311198,-39.68424862656483
GTF2035 - 100,-12.606830803113589,-62.5420349701157,-41.743635774601316,-31.441493574716183,-95.42872936238778,-41.8326118215924,-42.74895537710986
GTF2035WI,-93.70407838543109,-61.21192041207695,-90.53811729048337,-28.78872234133431,-28.78872234133431,-89.41030500535251,-89.41030500535251
GTF2035WI - 20,-93.4372529481341,-62.64827854538054,-90.46957724239769,-30.392773764219843,-42.347308483301646,-89.38802624344127,-89.60095594397441
GTF2035WI - 100,-93.85350532129209,-65.61587150013479,-91.64608766765326,-37.44705247892263,-95.82914349498166,-90.67660936324363,-91.71502030974239
