engine_display,NOx,Contrail (aCCF),Non-CO₂ (Contrail aCCF),CO2 Conservative,CO2 Optimistic,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.5234074574270456,0.0,0.4878518250309925,0.0,0.0,0.47528173410374086,0.47528173410374086
GTF,-20.240424029485595,6.801886403268526,-17.44926009818217,-16.23247657373324,-16.23247657373324,-17.34408638016529,-17.34408638016529
GTF2035,-14.106269790127518,6.24331305799254,-12.353991243717699,-22.969662541786995,-22.969662541786995,-12.596142318178119,-12.596142318178119
GTF2035 - 20,-14.26194914593979,3.7938235130280953,-12.423065935894755,-24.767389420828824,-37.68805169449071,-12.709807956770526,-13.072991269662705
GTF2035 - 100,-16.166190635009205,13.150772833437122,-14.485850022743158,-32.33194190663323,-95.48800841461997,-14.914698812658964,-16.702609940011254
GTF2035WI,-93.55253763318657,6.489504181200824,-75.95228276890394,-29.493553809922663,-29.493553809922663,-75.72754921873207,-75.72754921873207
GTF2035WI - 20,-93.70654617297957,11.176705523381502,-76.12745480635522,-31.256103813572082,-43.0620860023936,-75.91207756178655,-76.03531333652491
GTF2035WI - 100,-93.88021227488882,18.703899012902546,-75.10452028612369,-38.21786521193323,-95.88037315222783,-75.30265614720938,-75.64496594375636
