engine_display,NOx,Contrail (CoCiP),Non-CO₂ (Contrail CoCiP),CO2 Conservative,CO2 Optimistic,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.4562573355652297,-63.62215086321299,-8.793799023328297,0.0,0.0,-8.632612390341345,-8.632612390341345
GTF,-20.15333022497618,-41.176940290210055,-26.790048082878375,-15.847105124040045,-15.847105124040045,-26.58117019547172,-26.58117019547172
GTF2035,-13.311357082994826,-42.387485206989446,-21.500921516362805,-22.364936382182414,-22.364936382182414,-21.599505890366792,-21.599505890366792
GTF2035 - 20,-13.74110550018096,-44.662156579476445,-21.88649093514264,-24.260638054953496,-37.26874838446467,-22.02968758629196,-22.365286272514997
GTF2035 - 100,-15.40692311079572,-48.1645406596715,-23.73333886404677,-31.80951621021136,-95.45345421959269,-24.037084611854418,-25.667165015431376
GTF2035WI,-93.67558695188644,-42.48423989928308,-89.64652787577215,-29.10873180312668,-29.10873180312668,-88.34203889073575,-88.34203889073575
GTF2035WI - 20,-93.76690102188336,-45.54347870950865,-90.08267455822858,-30.874507914975407,-42.74638988207053,-88.93870104828565,-89.19717504520898
GTF2035WI - 100,-93.96045828210757,-49.32808784868161,-91.1970311764732,-37.8459134622197,-95.85575448554648,-90.05974285798771,-91.35671636695375
