engine_display,NOx,Contrail (CoCiP),Non-CO₂ (Contrail CoCiP),CO2 Conservative,CO2 Optimistic,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.12493397458177076,-70.34871091925226,1.5627675176852744,0.0,0.0,1.1907749867258832,1.1907749867258832
GTF,-19.959749759328535,-53.798637087326405,-18.339117528394443,-15.489535646005152,-15.489535646005152,-18.521950809319716,-18.521950809319716
GTF2035,-13.892826064739772,-53.8922185765772,-13.47801977347442,-22.205925150552034,-22.205925150552034,-14.063484384054794,-14.063484384054794
GTF2035 - 20,-14.322684817806437,-56.808614793510934,-14.12727482091031,-24.10963862739689,-37.14382309108603,-14.762798845632199,-15.200966737944393
GTF2035 - 100,-16.00022101200093,-63.33170739392926,-16.260150395180574,-31.688067545009773,-95.44544455326782,-17.097855196082183,-19.223413680388514
GTF2035WI,-93.85606217872284,-56.52136197884343,-91.55332309606797,-28.913874233385872,-28.913874233385872,-90.14071562582564,-90.14071562582564
GTF2035WI - 20,-93.91638023918347,-60.44280384921655,-91.88443559756789,-30.680373484582546,-42.58598113237583,-90.86467397655437,-91.15547439590152
GTF2035WI - 100,-94.03626512328954,-66.30636731399939,-92.73208276490182,-37.60189841386623,-95.83971927622062,-91.53137786959554,-92.90265643158527
