engine_display,NOx,Non-CO₂ (Contrail CoCiP),CO2 Conservative,CO2 Optimistic,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.3089243709188336,0.3049843387427974,0.0,0.0,0.29758765262596926,0.29758765262596926
GTF,-23.181459349215153,-23.058653291403587,-16.297336315920752,-16.297336315920752,-22.886837821072863,-22.886837821072863
GTF2035,-18.543794202392906,-18.61769289239911,-23.79905701506791,-23.79905701506791,-18.759216957662467,-18.759216957662467
GTF2035 - 20,-18.95219193832064,-18.999163360606897,-25.663837536792162,-38.42989323142111,-19.179290784633835,-19.51164662977691
GTF2035 - 100,-20.545498706828777,-20.4893361633271,-33.08736867898322,-95.53806608413932,-20.82388248752806,-22.44987943143572
GTF2035WI,-94.06942662314258,-93.04442951225838,-29.939582333012275,-29.939582333012275,-91.39784271858146,-91.39784271858146
GTF2035WI - 20,-94.05333449811762,-93.00747979969664,-31.41862335333403,-43.19718171866616,-91.40123988950255,-91.7084787761055
GTF2035WI - 100,-94.17050518963158,-93.0513215804245,-38.26566963146922,-95.88383545777924,-91.62260887792338,-93.125939105971
