engine_display,NOx,Non-CO₂ (Contrail aCCF),CO2 Conservative,CO2 Optimistic,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.23649859127040676,0.23362053518431744,0.0,0.0,0.22807068722483587,0.22807068722483587
GTF,-23.86673062362823,-23.769921863934147,-16.70536139521986,-16.70536139521986,-23.592599854315196,-23.592599854315196
GTF2035,-17.90973305375787,-17.974865974028987,-23.63189854211277,-23.63189854211277,-18.123504380832603,-18.123504380832603
GTF2035 - 20,-18.31957680520059,-18.363032110760088,-25.500254666239737,-38.294315766120185,-18.54970257186302,-18.87846310735621
GTF2035 - 100,-19.91967190108547,-19.880075980834164,-32.938671004061135,-95.5281009799865,-20.21889071863877,-21.827240397336418
GTF2035WI,-94.19596414963351,-93.3718408621722,-30.10285831968969,-30.10285831968969,-91.74356490553238,-91.74356490553238
GTF2035WI - 20,-94.13168011202941,-93.28999111169864,-31.341871087694827,-43.13360101724707,-91.69623717998067,-91.99961761642031
GTF2035WI - 100,-94.29360631795423,-93.39382774674803,-38.40766491741156,-95.89292630805389,-91.97946780719872,-93.45841717638316
