engine_display,NOx,Non-CO₂ (Contrail aCCF),CO2 Conservative,CO2 Optimistic,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.13146053525155493,0.12874035640438125,0.0,0.0,0.12504912555078537,0.12504912555078537
GTF,-23.50513508502729,-23.402950961554907,-16.880239861267448,-16.880239861267448,-23.22554445874446,-23.22554445874446
GTF2035,-17.295717751230644,-17.359435849835364,-23.541909333307384,-23.541909333307384,-17.527779386509536,-17.527779386509536
GTF2035 - 20,-17.70867424697577,-17.74998961448319,-25.412590122726858,-38.222756550073214,-17.95881359771751,-18.309022857395778
GTF2035 - 100,-19.320652223112578,-19.27615558111953,-32.86014064130654,-95.52345595496588,-19.646915586486166,-21.36001538846505
GTF2035WI,-94.2470172613801,-93.40394946346755,-30.358724489180965,-30.358724489180965,-91.68234431709217,-91.68234431709217
GTF2035WI - 20,-94.16496430405802,-93.30450219958975,-31.513010950725732,-43.275462007747976,-91.61706845978352,-91.93832341990976
GTF2035WI - 100,-94.3882666980922,-93.46962396102349,-38.8428949971549,-95.92162139016149,-91.97802375616607,-93.53685647846679
