engine_display,NOx,Non-CO₂ (Contrail aCCF),CO2 Conservative,CO2 Optimistic,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.3153495182355833,0.3123528377263075,0.0,0.0,0.305406492558003,0.305406492558003
GTF,-24.136956440056494,-24.04415072480274,-16.57398319047873,-16.57398319047873,-23.866892626998116,-23.866892626998116
GTF2035,-18.367542963916083,-18.433723607393244,-23.699330238176337,-23.699330238176337,-18.567751694458412,-18.567751694458412
GTF2035 - 20,-18.7750734017158,-18.820114263425655,-25.565945321370247,-38.3479436474817,-18.990358078479105,-19.303206381389867
GTF2035 - 100,-20.366336533347813,-20.33037413856642,-32.997520365414594,-95.5315844777065,-20.64549687826788,-22.176058410562867
GTF2035WI,-94.1576419558323,-93.34774671425986,-29.91045160253943,-29.91045160253943,-91.78943495155083,-91.78943495155083
GTF2035WI - 20,-94.10670322605877,-93.27910520519758,-31.213287858685728,-43.027036625585296,-91.75553786100714,-92.04554265154135
GTF2035WI - 100,-94.22249959937584,-93.33690976656797,-38.07969650453354,-95.87139461058717,-91.98055082013663,-93.39951180580742
