engine_display,NOx,Contrail (aCCF),Non-CO₂ (Contrail aCCF),CO2 Conservative,CO2 Optimistic,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.5278948073385915,0.0,0.483920898741264,0.0,0.0,0.47245398164066194,0.47245398164066194
GTF,-19.98130788947721,16.054572153478734,-12.232996502066563,-16.68419684538304,-16.68419684538304,-12.323611028538318,-12.323611028538318
GTF2035,-14.429359748591578,17.991151632447536,-7.438242919569412,-23.598408719910463,-23.598408719910463,-7.795568325001273,-7.795568325001273
GTF2035 - 20,-14.415182099497839,14.571093772310473,-6.80749716271416,-25.338301041215544,-38.16088970810812,-7.217219022350554,-7.502572502650703
GTF2035 - 100,-16.521030125811226,21.525962134449735,-6.1555367549405515,-32.90716715493032,-95.52637688905968,-6.725373201285064,-8.118343268244749
GTF2035WI,-93.74463699751175,13.600052072108301,-63.546861507432965,-30.164555137451142,-30.164555137451142,-62.86231465957681,-62.86231465957681
GTF2035WI - 20,-93.8605092357837,18.31389606469303,-63.379298030175015,-31.880134482432844,-43.5789767036809,-62.72980450454219,-62.95590626140816
GTF2035WI - 100,-93.88213621008168,23.692653813673836,-62.462848520163035,-38.63927381803383,-95.90850468602724,-61.96358878345297,-63.07014595150694
