engine_display,NOx,Non-CO₂ (Contrail aCCF),CO2 Conservative,CO2 Optimistic,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.33897986385300843,0.3340094111963888,0.0,0.0,0.3240528971077526,0.3240528971077526
GTF,-21.07251006935094,-21.00581875447362,-17.680330446467064,-17.680330446467064,-20.90608692071262,-20.90608692071262
GTF2035,-16.377586996309915,-16.502067931309224,-24.93594810176709,-24.93594810176709,-16.792539761480896,-16.792539761480896
GTF2035 - 20,-16.79682366702595,-16.89433558945029,-26.773259741507605,-39.348860295315745,-17.23233212275328,-17.64615107401929
GTF2035 - 100,-18.427082528878245,-18.421326771600263,-34.08513078617032,-95.604639445928,-18.949575533909233,-20.974326398904992
GTF2035WI,-93.75365025997625,-92.7527098140786,-31.432779898281453,-31.432779898281453,-90.72338586030276,-90.72338586030276
GTF2035WI - 20,-93.78501947941383,-92.76517436146128,-33.11002756031699,-44.59790057201863,-90.79094479247556,-91.17082677555223
GTF2035WI - 100,-93.90713691541251,-92.81523769645477,-39.78648392033614,-95.98513388194868,-91.0602916881691,-92.91935146360429
