engine_display,NOx,Contrail (CoCiP),Non-CO₂ (Contrail CoCiP),CO2 Conservative,CO2 Optimistic,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.5082222484874496,-41.941404849832075,-9.530880633962854,0.0,0.0,-9.443276987833354,-9.443276987833354
GTF,-22.398322156013045,0.13012605104732164,-28.567439588901077,-16.04469438670005,-16.04469438670005,-28.37551205569669,-28.37551205569669
GTF2035,-15.748287743314698,-2.3152289661058765,-22.809971161409205,-22.52972631122357,-22.52972631122357,-22.891234945365486,-22.891234945365486
GTF2035 - 20,-16.202658390038707,-4.488307859423361,-23.011528629271208,-24.436499123111346,-37.414759887182036,-23.12998357506605,-23.413537257526514
GTF2035 - 100,-17.775019652901687,3.745375061290169,-25.011352572783156,-31.939062034926568,-95.46229316653836,-25.25222945704503,-26.63740823941226
GTF2035WI,-93.25809484338187,16.573566172728963,-88.96071932974733,-28.966914840281333,-28.966914840281333,-87.55007150793217,-87.55007150793217
GTF2035WI - 20,-93.8166555055324,12.151943747443173,-90.02630801197692,-30.94601251928466,-42.80612558978994,-88.63215509098582,-88.90766610263688
GTF2035WI - 100,-93.97943468345166,13.974828194400482,-90.94283163988604,-38.107875785263595,-95.87335252564209,-89.7126602562867,-91.04710038100545
