engine_display,NOx,Non-CO₂ (Contrail CoCiP),CO2 Conservative,CO2 Optimistic,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.2506451015244226,0.2467018451924472,0.0,0.0,0.23973616177340437,0.23973616177340437
GTF,-22.22440817265498,-22.127683914812557,-16.992025273557022,-16.992025273557022,-21.98681328850306,-21.98681328850306
GTF2035,-17.265724763515337,-17.363932278475477,-24.16388637922515,-24.16388637922515,-17.571662868456162,-17.571662868456162
GTF2035 - 20,-17.394356741624748,-17.46983285720255,-25.933785658041053,-38.6538366173476,-17.72606026117052,-18.0976619935403
GTF2035 - 100,-19.29741195793474,-19.26263986036046,-33.40879794548313,-95.55971712191646,-19.684872710772613,-21.500748030172034
GTF2035WI,-93.89737400481269,-92.86367583590064,-30.550085817299504,-30.550085817299504,-91.04160863083159,-91.04160863083159
GTF2035WI - 20,-93.95682775919603,-92.90172018997265,-32.117543163711005,-43.77591080984751,-91.1249617727077,-91.46580309831633
GTF2035WI - 100,-94.02781877026337,-92.90011627850885,-38.94921137547217,-95.92924286231074,-91.32300739505183,-92.98963068885995
