engine_display,NOx,Contrail (aCCF),Non-CO₂ (Contrail aCCF),CO2 Conservative,CO2 Optimistic,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.3966301487272595,0.0,0.32385285940239533,0.0,0.0,0.3158883809016737,0.3158883809016737
GTF,-20.568913552311045,12.797871658388013,-14.21352100803037,-16.22552004459186,-16.22552004459186,-14.1969328069918,-14.1969328069918
GTF2035,-14.426707244488604,13.925292680719878,-9.09062106693466,-22.97135153951708,-22.97135153951708,-9.367141227495198,-9.367141227495198
GTF2035 - 20,-14.728391299795495,13.070863705758484,-8.920567123328826,-24.81681203298486,-37.728899414593,-9.23959110621637,-9.545712057674631
GTF2035 - 100,-16.505627749244155,26.85070710666146,-8.876331150864399,-32.34802736408527,-95.48905619334104,-9.349232098775731,-10.860632269253543
GTF2035WI,-93.70493778978395,15.733859924307087,-66.51956150464612,-29.596583164580608,-29.596583164580608,-66.04242365641606,-66.04242365641606
GTF2035WI - 20,-93.80204998248603,24.765816520242012,-66.10706514572033,-31.34291101464113,-43.134101145066886,-65.66256497257369,-65.84174456155651
GTF2035WI - 100,-93.94779524991557,31.7423258555474,-64.37732015716418,-38.24343860147935,-95.88214552964149,-64.25164852853928,-64.97803862177665
