engine_display,NOx,Non-CO₂ (Contrail aCCF),CO2 Conservative,CO2 Optimistic,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.3304439144409117,0.32509524402673595,0.0,0.0,0.31462299750436684,0.31462299750436684
GTF,-19.937505858656436,-19.89767817348217,-17.561361544077002,-17.561361544077002,-19.819886701161458,-19.819886701161458
GTF2035,-15.890023177641863,-16.019532040001977,-25.24206018093647,-25.24206018093647,-16.348167556597346,-16.348167556597346
GTF2035 - 20,-16.36160482015531,-16.4664969381108,-27.1031912896426,-39.62300989548902,-16.84500443768497,-17.286172153753192
GTF2035 - 100,-18.005142993200067,-18.01799858927982,-34.38342751990685,-95.62502637825938,-18.59824815635103,-20.75645045943735
GTF2035WI,-94.11334060842671,-93.21085272715132,-31.39046645298468,-31.39046645298468,-91.03247317737548,-91.03247317737548
GTF2035WI - 20,-94.14281480698571,-93.22334900106318,-33.068502846250134,-44.56383893842987,-91.1036040061998,-91.50842714088509
GTF2035WI - 100,-94.25821383081288,-93.27408089879233,-39.7512762615483,-95.9829654024809,-91.38782452469736,-93.36847135214734
