engine_display,NOx,Contrail (aCCF),Non-CO₂ (Contrail aCCF),CO2 Conservative,CO2 Optimistic,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.2743764875526714,0.0,0.16576341357496643,0.0,0.0,0.1622316665133799,0.1622316665133799
GTF,-20.884938688259997,19.151932437922355,-10.978621017666299,-16.218802895996802,-16.218802895996802,-11.053655286774314,-11.053655286774314
GTF2035,-14.73504863807207,22.20167615744065,-5.830237910482785,-22.972982265365733,-22.972982265365733,-6.14211561929579,-6.14211561929579
GTF2035 - 20,-15.176531658697531,23.232799003872348,-5.412453597532467,-24.864503971433326,-37.768319088944274,-5.764793086545072,-6.011407191301419
GTF2035 - 100,-16.832172845969858,41.859831293182935,-3.1286710268285276,-32.363555222306914,-95.49006782182687,-3.6485907886898374,-4.855537336924774
GTF2035WI,-93.85166927145285,25.8447324236612,-55.94304927679311,-29.695941706024463,-29.695941706024463,-55.1422840876815,-55.1422840876815
GTF2035WI - 20,-93.89409785432767,39.65575602827787,-54.763619350334125,-31.42664015980313,-43.2035703218626,-54.02062856776586,-54.2717818706983
GTF2035WI - 100,-94.01296614783399,45.89637948192978,-52.113424450900695,-38.26812247963086,-95.88385673333812,-51.549206155749026,-52.78573118965239
