UID No;nvPMDB No;Manufacturer;Engine Identification;Combustor Description;Eng Type;B/P Ratio;Pressure Ratio;Rated Thrust (kN);Data Superseded;Superseded by UID No;Fuel Flow T/O (kg/sec);Fuel Flow C/O (kg/sec);Fuel Flow App (kg/sec);Fuel Flow Idle (kg/sec);Fuel LTO Cycle (kg)  ;Fuel Heat of Combustion (MJ/kg);Fuel Hydrogen Content (% mass);Fuel Aromatics Content (% vol);Fuel Naphthalene Content (% vol);Fuel Sulphur Content (ppm by mass);nvPM Mass Concentration Max (mg/m³);nvPM Mass Concentration Characteristic (mg/m³);nvPM Mass Concentration Characteristic (% of CAEP/10 Limit);nvPM Mass Concentration Number Test;nvPM Mass Concentration Number Eng;nvPM EImass T/O (mg/kg);nvPM EImass C/O (mg/kg);nvPM EImass App (mg/kg);nvPM EImass Idle (mg/kg);nvPM EImass Max (mg/kg);nvPMmass Number Test;nvPMmass Number Eng;LTOmass/Foo Avg (mg/kN);LTOmass/Foo Characteristic (mg/kN);LTOmass/Foo Characteristic (% of CAEP/11 InP Limit);LTOmass/Foo Characteristic (% of CAEP/11 NT Limit);nvPM LTO Total Mass (mg);nvPM EInum T/O (#/kg);nvPM EInum C/O (#/kg);nvPM EInum App (#/kg);nvPM EInum Idle (#/kg);nvPM EInum Max (#/kg);nvPMnum Number Test;nvPMnum Number Eng;LTOnum/Foo Avg (#/kN);LTOnum/Foo Characteristic (#/kN);LTOnum/Foo Characteristic (% of CAEP/11 InP Limit);LTOnum/Foo Characteristic (% of CAEP/11 NT Limit);nvPM LTO Total Particle Number (#);nvPM EImass_SL T/O (mg/kg);nvPM EImass_SL C/O (mg/kg);nvPM EImass_SL App (mg/kg);nvPM EImass_SL Idle (mg/kg);nvPM EInum_SL T/O (#/kg);nvPM EInum_SL C/O (#/kg);nvPM EInum_SL App (#/kg);nvPM EInum_SL Idle (#/kg);Ambient Baro Min (kPa);Ambient Baro Max (kPa);Ambient Temp Min (K);Ambient Temp Max (K);Humidity Min (kg/kg);Humidity Max (kg/kg)
01P22PW168;1;Pratt & Whitney;PW1215G;TALON X, Block-C;TF;8,6;29,4;67,7;;;0,551;0,461;0,166;0,065;225;43,14;13,78;18,4;1,64;495;522;672;8,2;3;1;19,4;12,5;0,2;1,0;19,4;3;1;19,5;27,1;0,8;3,5;1317;2,87E+14;2,90E+14;2,68E+13;1,40E+14;3,03E+14;3;1;5,84E+14;8,12E+14;4,3;8,6;3,95E+16;24,2;16,6;0,4;2,1;1,01E+15;1,19E+15;1,95E+14;1,06E+15;101,2;102,6;276,5;293,2;0,0011;0,0058
01P22PW169;1;Pratt & Whitney;PW1217G;TALON X, Block-C;TF;8,3;32,7;75,7;;;0,634;0,524;0,184;0,069;248;43,14;13,78;18,4;1,64;495;655;843;11,0;3;1;23,0;17,8;0,2;0,8;23,0;3;1;25,5;35,5;1,2;4,9;1934;2,35E+14;2,97E+14;2,07E+13;1,21E+14;3,02E+14;3;1;5,39E+14;7,49E+14;4,1;8,5;4,08E+16;27,8;22,6;0,3;1,7;7,33E+14;1,09E+15;1,50E+14;9,34E+14;101,2;102,6;276,5;293,2;0,0011;0,0058
01P22PW176;1;Pratt & Whitney;PW1428GH-JM;TALON X, Block-D;TF;12,1;33,3;132,4;;;0,870;0,720;0,250;0,090;332;43,32;13,89;16,5;0,74;228;975;1255;21,8;4;1;32,4;24,5;0,3;3,1;32,4;4;1;30,0;41,6;2,3;12,4;3965;3,84E+14;4,19E+14;3,26E+13;3,76E+14;4,22E+14;4;1;8,21E+14;1,14E+15;9,7;27,1;1,09E+17;39,8;31,0;0,6;6,8;1,19E+15;1,45E+15;3,02E+14;3,72E+15;101,5;102,2;279,6;300,8;0,0036;0,0120
01P22PW177;1;Pratt & Whitney;PW1428GA-JM;TALON X, Block-D;TF;12,1;33,3;132,4;;;0,870;0,720;0,250;0,090;332;43,32;13,89;16,5;0,74;228;975;1255;21,8;4;1;32,4;24,5;0,3;3,1;32,4;4;1;30,0;41,6;2,3;12,4;3965;3,84E+14;4,19E+14;3,26E+13;3,76E+14;4,22E+14;4;1;8,21E+14;1,14E+15;9,7;27,1;1,09E+17;39,8;31,0;0,6;6,8;1,19E+15;1,45E+15;3,02E+14;3,72E+15;101,5;102,2;279,6;300,8;0,0036;0,0120
01P22PW178;1;Pratt & Whitney;PW1428G-JM;TALON X, Block-D;TF;12,1;33,3;132,4;;;0,870;0,720;0,250;0,090;332;43,32;13,89;16,5;0,74;228;975;1255;21,8;4;1;32,4;24,5;0,3;3,1;32,4;4;1;30,0;41,6;2,3;12,4;3965;3,84E+14;4,19E+14;3,26E+13;3,76E+14;4,22E+14;4;1;8,21E+14;1,14E+15;9,7;27,1;1,09E+17;39,8;31,0;0,6;6,8;1,19E+15;1,45E+15;3,02E+14;3,72E+15;101,5;102,2;279,6;300,8;0,0036;0,0120
01P22PW179;1;Pratt & Whitney;PW1431GH-JM;TALON X, Block-D;TF;11,9;35,6;140,4;;;0,950;0,780;0,270;0,090;348;43,32;13,89;16,5;0,74;228;1057;1361;24,3;4;1;35,4;28,5;0,3;2,8;35,4;4;1;33,9;47,2;2,9;16,8;4766;3,45E+14;4,20E+14;3,65E+13;3,43E+14;4,24E+14;4;1;7,65E+14;1,06E+15;9,8;29,9;1,07E+17;42,8;35,5;0,7;6,2;9,96E+14;1,38E+15;3,18E+14;3,40E+15;101,5;102,2;279,6;300,8;0,0036;0,0120
01P22PW180;1;Pratt & Whitney;PW1431GA-JM;TALON X, Block-D;TF;11,9;35,6;140,4;;;0,950;0,780;0,270;0,090;348;43,32;13,89;16,5;0,74;228;1057;1361;24,3;4;1;35,4;28,5;0,3;2,8;35,4;4;1;33,9;47,2;2,9;16,8;4766;3,45E+14;4,20E+14;3,65E+13;3,43E+14;4,24E+14;4;1;7,65E+14;1,06E+15;9,8;29,9;1,07E+17;42,8;35,5;0,7;6,2;9,96E+14;1,38E+15;3,18E+14;3,40E+15;101,5;102,2;279,6;300,8;0,0036;0,0120
01P22PW181;1;Pratt & Whitney;PW1431G-JM;TALON X, Block-D;TF;11,9;35,6;140,4;;;0,950;0,780;0,270;0,090;348;43,32;13,89;16,5;0,74;228;1057;1361;24,3;4;1;35,4;28,5;0,3;2,8;35,4;4;1;33,9;47,2;2,9;16,8;4766;3,45E+14;4,20E+14;3,65E+13;3,43E+14;4,24E+14;4;1;7,65E+14;1,06E+15;9,8;29,9;1,07E+17;42,8;35,5;0,7;6,2;9,96E+14;1,38E+15;3,18E+14;3,40E+15;101,5;102,2;279,6;300,8;0,0036;0,0120
04P20PW195;4;Pratt & Whitney;PW1525G;TALON X, Block-C;TF;11,1;38,7;108,5;;;0,788;0,649;0,229;0,076;292;43,21;13,98;18,1;0,78;553;330;424;6,7;3;1;12,9;8,1;0,2;0,5;12,9;3;1;11,0;15,3;0,7;3,0;1190;1,88E+14;1,90E+14;1,37E+13;7,10E+13;2,02E+14;3;1;2,92E+14;4,06E+14;2,8;6,6;3,17E+16;16,2;10,9;0,3;0,9;6,99E+14;9,00E+14;5,92E+13;6,07E+14;102,0;103,3;272,0;278,1;0,0012;0,0022
04P20PW196;4;Pratt & Whitney;PW1524G;TALON X, Block-C;TF;11,1;38,7;108,5;;;0,788;0,649;0,229;0,076;292;43,21;13,98;18,1;0,78;553;330;424;6,7;3;1;12,9;8,1;0,2;0,5;12,9;3;1;11,0;15,3;0,7;3,0;1190;1,88E+14;1,90E+14;1,37E+13;7,10E+13;2,02E+14;3;1;2,92E+14;4,06E+14;2,8;6,6;3,17E+16;16,2;10,9;0,3;0,9;6,99E+14;9,00E+14;5,92E+13;6,07E+14;102,0;103,3;272,0;278,1;0,0012;0,0022
