UID No;nvPMDB No;Manufacturer;Engine Identification;Combustor Description;Eng Type;B/P Ratio;Pressure Ratio;Rated Thrust (kN);Data Superseded;Superseded by UID No;Fuel Flow T/O (kg/sec);Fuel Flow C/O (kg/sec);Fuel Flow App (kg/sec);Fuel Flow Idle (kg/sec);Fuel LTO Cycle (kg)  ;Fuel Heat of Combustion (MJ/kg);Fuel Hydrogen Content (% mass);Fuel Aromatics Content (% vol);Fuel Naphthalene Content (% vol);Fuel Sulphur Content (ppm by mass);nvPM Mass Concentration Max (mg/m³);nvPM Mass Concentration Characteristic (mg/m³);nvPM Mass Concentration Characteristic (% of CAEP/10 Limit);nvPM Mass Concentration Number Test;nvPM Mass Concentration Number Eng;nvPM EImass T/O (mg/kg);nvPM EImass C/O (mg/kg);nvPM EImass App (mg/kg);nvPM EImass Idle (mg/kg);nvPM EImass Max (mg/kg);nvPMmass Number Test;nvPMmass Number Eng;LTOmass/Foo Avg (mg/kN);LTOmass/Foo Characteristic (mg/kN);LTOmass/Foo Characteristic (% of CAEP/11 InP Limit);LTOmass/Foo Characteristic (% of CAEP/11 NT Limit);nvPM LTO Total Mass (mg);nvPM EInum T/O (#/kg);nvPM EInum C/O (#/kg);nvPM EInum App (#/kg);nvPM EInum Idle (#/kg);nvPM EInum Max (#/kg);nvPMnum Number Test;nvPMnum Number Eng;LTOnum/Foo Avg (#/kN);LTOnum/Foo Characteristic (#/kN);LTOnum/Foo Characteristic (% of CAEP/11 InP Limit);LTOnum/Foo Characteristic (% of CAEP/11 NT Limit);nvPM LTO Total Particle Number (#);nvPM EImass_SL T/O (mg/kg);nvPM EImass_SL C/O (mg/kg);nvPM EImass_SL App (mg/kg);nvPM EImass_SL Idle (mg/kg);nvPM EInum_SL T/O (#/kg);nvPM EInum_SL C/O (#/kg);nvPM EInum_SL App (#/kg);nvPM EInum_SL Idle (#/kg);Ambient Baro Min (kPa);Ambient Baro Max (kPa);Ambient Temp Min (K);Ambient Temp Max (K);Humidity Min (kg/kg);Humidity Max (kg/kg)
01P08CM104;1;CFM International;CFM56-5B3/3;Tech Insertion;TF;5,4;32,6;142,3;;;1,462;1,153;0,369;0,113;478;43,27;13,83;18,7;0,67;519;2436;3136;56,3;3;1;88,5;62,7;2,3;0,7;88,5;3;1;108,0;150,0;9,4;56,1;15305;3,40E+14;4,15E+14;9,14E+13;2,04E+13;4,34E+14;3;1;6,73E+14;9,36E+14;8,7;27,5;9,57E+16;100,0;73,4;3,5;1,0;7,58E+14;1,07E+15;5,05E+14;9,47E+13;99,5;100,2;295,5;311,8;0,0066;0,0122
01P08CM105;1;CFM International;CFM56-5B4/3;Tech Insertion;TF;5,7;27,3;120,1;;;1,142;0,939;0,316;0,102;407;43,27;13,83;18,7;0,67;519;1490;1918;31,8;3;1;61,3;41,4;1,5;0,8;61,3;3;1;69,1;96,1;4,7;22,8;8304;4,16E+14;4,33E+14;6,18E+13;3,18E+13;4,33E+14;3;1;6,94E+14;9,65E+14;7,3;18,6;8,34E+16;71,7;50,5;2,3;1,2;1,09E+15;1,32E+15;3,49E+14;1,77E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P08CM106;1;CFM International;CFM56-5B5/3;Tech Insertion;TF;6,0;23,1;97,9;;;0,894;0,743;0,264;0,092;343;43,27;13,83;18,7;0,67;519;808;1040;15,5;3;1;37,6;26,3;1,0;0,9;37,6;3;1;42,7;59,4;2,3;10,3;4178;4,29E+14;3,88E+14;3,98E+13;5,30E+13;4,29E+14;3;1;6,57E+14;9,13E+14;5,8;13,0;6,43E+16;46,2;33,1;1,5;1,5;1,34E+15;1,34E+15;2,25E+14;3,61E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P08CM107;1;CFM International;CFM56-5B6/3;Tech Insertion;TF;5,9;24,3;104,5;;;0,965;0,800;0,280;0,095;361;43,27;13,83;18,7;0,67;519;969;1247;19,3;3;1;43,5;30,8;1,1;0,8;43,5;3;1;49,9;69,4;2,9;13,1;5214;4,31E+14;4,13E+14;4,57E+13;4,52E+13;4,31E+14;3;1;6,78E+14;9,42E+14;6,3;14,5;7,09E+16;52,6;38,5;1,7;1,4;1,28E+15;1,38E+15;2,60E+14;2,92E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P08CM108;1;CFM International;CFM56-5B7/3;Tech Insertion;TF;5,7;27,3;120,1;;;1,142;0,939;0,316;0,102;407;43,27;13,83;18,7;0,67;519;1490;1918;31,8;3;1;61,3;41,4;1,5;0,8;61,3;3;1;69,1;96,1;4,7;22,8;8304;4,16E+14;4,33E+14;6,18E+13;3,18E+13;4,33E+14;3;1;6,94E+14;9,65E+14;7,3;18,6;8,34E+16;71,7;50,5;2,3;1,2;1,09E+15;1,32E+15;3,49E+14;1,77E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P08CM109;1;CFM International;CFM56-5B8/3;Tech Insertion;TF;6,0;22,7;96,1;;;0,875;0,727;0,260;0,091;338;43,27;13,83;18,7;0,67;519;772;994;14,7;3;1;36,2;25,0;0,9;0,9;36,2;3;1;40,8;56,7;2,2;9,7;3917;4,27E+14;3,78E+14;3,83E+13;5,55E+13;4,27E+14;3;1;6,48E+14;9,01E+14;5,7;12,7;6,23E+16;44,5;31,8;1,4;1,6;1,35E+15;1,32E+15;2,17E+14;3,85E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P08CM110;1;CFM International;CFM56-5B9/3;Tech Insertion;TF;5,9;24,2;103,6;;;0,955;0,793;0,277;0,095;359;43,27;13,83;18,7;0,67;519;945;1216;18,7;3;1;42,7;30,3;1,1;0,9;42,7;3;1;49,0;68,1;2,8;12,7;5080;4,31E+14;4,11E+14;4,49E+13;4,61E+13;4,31E+14;3;1;6,77E+14;9,41E+14;6,3;14,5;7,01E+16;51,7;37,9;1,6;1,4;1,29E+15;1,38E+15;2,55E+14;3,00E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P22FC001;1;CFM International;CFM56-7B26/3 (Research Measurement);Tech Insertion;TF;5,1;27,7;117,0;;;1,213;0,986;0,331;0,108;429;43,30;13,98;17,7;0,75;420;1750;2253;36,8;3;1;69,1;46,7;1,1;1,8;69,1;3;1;85,4;118,7;5,6;26,8;9989;4,52E+14;4,29E+14;7,14E+13;2,67E+13;4,52E+14;3;1;7,61E+14;1,06E+15;7,8;19,5;8,90E+16;78,8;55,1;1,6;2,8;1,12E+15;1,28E+15;4,51E+14;1,79E+14;96,6;96,9;294,7;302,9;0,0073;0,0101
01P11CM111;1;CFM International;CFM56-7B20E;Tech Insertion;TF;5,5;22,4;91,6;;;0,896;0,746;0,268;0,094;348;43,27;13,83;18,7;0,67;519;707;910;13,1;3;1;33,5;22,7;1,0;0,9;33,5;3;1;40,3;56,0;2,1;9,1;3691;4,22E+14;3,60E+14;3,93E+13;5,63E+13;4,20E+14;3;1;6,78E+14;9,42E+14;5,7;12,6;6,21E+16;41,5;29,1;1,5;1,6;1,38E+15;1,29E+15;2,22E+14;3,81E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM112;1;CFM International;CFM56-7B22E;Tech Insertion;TF;5,3;24,2;101,0;;;1,004;0,832;0,291;0,099;377;43,27;13,83;18,7;0,67;519;914;1176;17,9;3;1;41,5;29,3;1,1;0,8;41,5;3;1;51,2;71,2;2,9;12,9;5175;4,31E+14;4,07E+14;4,79E+13;4,38E+13;4,31E+14;3;1;7,23E+14;1,01E+15;6,6;15,0;7,30E+16;50,6;36,9;1,8;1,3;1,32E+15;1,38E+15;2,73E+14;2,69E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM113;1;CFM International;CFM56-7B22E/B1;Tech Insertion;TF;5,3;24,2;101,0;;;1,004;0,832;0,291;0,099;377;43,27;13,83;18,7;0,67;519;914;1176;17,9;3;1;41,5;29,3;1,1;0,8;41,5;3;1;51,2;71,2;2,9;12,9;5175;4,31E+14;4,07E+14;4,79E+13;4,38E+13;4,31E+14;3;1;7,23E+14;1,01E+15;6,6;15,0;7,30E+16;50,6;36,9;1,8;1,3;1,32E+15;1,38E+15;2,73E+14;2,69E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM114;1;CFM International;CFM56-7B24E;Tech Insertion;TF;5,3;25,6;107,6;;;1,086;0,895;0,308;0,103;398;43,27;13,83;18,7;0,67;519;1114;1434;22,5;3;1;48,6;33,6;1,3;0,8;48,6;3;1;59,6;82,8;3,5;16,3;6408;4,28E+14;4,24E+14;5,46E+13;3,69E+13;4,31E+14;3;1;7,39E+14;1,03E+15;7,0;16,6;7,95E+16;58,3;41,7;2,0;1,2;1,24E+15;1,39E+15;3,10E+14;2,12E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM115;1;CFM International;CFM56-7B24E/B1;Tech Insertion;TF;5,3;25,6;107,6;;;1,086;0,895;0,308;0,103;398;43,27;13,83;18,7;0,67;519;1114;1434;22,5;3;1;48,6;33,6;1,3;0,8;48,6;3;1;59,6;82,8;3,5;16,3;6408;4,28E+14;4,24E+14;5,46E+13;3,69E+13;4,31E+14;3;1;7,39E+14;1,03E+15;7,0;16,6;7,95E+16;58,3;41,7;2,0;1,2;1,24E+15;1,39E+15;3,10E+14;2,12E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM116;1;CFM International;CFM56-7B26E;Tech Insertion;TF;5,1;27,7;117,0;;;1,213;0,986;0,331;0,108;429;43,27;13,83;18,7;0,67;519;1504;1936;31,6;3;1;61,8;40,3;1,6;0,8;61,8;3;1;73,9;103,0;4,8;23,3;8646;4,15E+14;4,33E+14;6,54E+13;2,95E+13;4,33E+14;3;1;7,50E+14;1,04E+15;7,7;19,3;8,77E+16;72,3;49,2;2,4;1,1;1,10E+15;1,34E+15;3,69E+14;1,54E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM117;1;CFM International;CFM56-7B26E/B1;Tech Insertion;TF;5,1;27,7;117,0;;;1,213;0,986;0,331;0,108;429;43,27;13,83;18,7;0,67;519;1504;1936;31,6;3;1;61,8;40,3;1,6;0,8;61,8;3;1;73,9;103,0;4,8;23,3;8646;4,15E+14;4,33E+14;6,54E+13;2,95E+13;4,33E+14;3;1;7,50E+14;1,04E+15;7,7;19,3;8,77E+16;72,3;49,2;2,4;1,1;1,10E+15;1,34E+15;3,69E+14;1,54E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM118;1;CFM International;CFM56-7B26E/B2;Tech Insertion;TF;5,1;27,7;117,0;;;1,213;0,986;0,331;0,108;429;43,27;13,83;18,7;0,67;519;1504;1936;31,6;3;1;61,8;40,3;1,6;0,8;61,8;3;1;73,9;103,0;4,8;23,3;8646;4,15E+14;4,33E+14;6,54E+13;2,95E+13;4,33E+14;3;1;7,50E+14;1,04E+15;7,7;19,3;8,77E+16;72,3;49,2;2,4;1,1;1,10E+15;1,34E+15;3,69E+14;1,54E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM119;1;CFM International;CFM56-7B26E/F;Tech Insertion;TF;5,1;27,7;117,0;;;1,213;0,986;0,331;0,108;429;43,27;13,83;18,7;0,67;519;1504;1936;31,6;3;1;61,8;40,3;1,6;0,8;61,8;3;1;73,9;103,0;4,8;23,3;8646;4,15E+14;4,33E+14;6,54E+13;2,95E+13;4,33E+14;3;1;7,50E+14;1,04E+15;7,7;19,3;8,77E+16;72,3;49,2;2,4;1,1;1,10E+15;1,34E+15;3,69E+14;1,54E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM120;1;CFM International;CFM56-7B26E/B2F;Tech Insertion;TF;5,1;27,7;117,0;;;1,213;0,986;0,331;0,108;429;43,27;13,83;18,7;0,67;519;1504;1936;31,6;3;1;61,8;40,3;1,6;0,8;61,8;3;1;73,9;103,0;4,8;23,3;8646;4,15E+14;4,33E+14;6,54E+13;2,95E+13;4,33E+14;3;1;7,50E+14;1,04E+15;7,7;19,3;8,77E+16;72,3;49,2;2,4;1,1;1,10E+15;1,34E+15;3,69E+14;1,54E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM121;1;CFM International;CFM56-7B27E;Tech Insertion;TF;5,1;29,0;121,4;;;1,293;1,031;0,343;0,110;445;43,27;13,83;18,7;0,67;519;1788;2301;38,3;3;1;70,8;44,0;1,7;0,7;70,8;3;1;83,2;116,0;5,7;28,2;10104;4,02E+14;4,33E+14;7,10E+13;2,66E+13;4,33E+14;3;1;7,51E+14;1,04E+15;8,0;20,5;9,12E+16;82,1;53,2;2,7;1,1;1,01E+15;1,30E+15;3,98E+14;1,34E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM122;1;CFM International;CFM56-7B27E/B1;Tech Insertion;TF;5,1;29,0;121,4;;;1,293;1,031;0,343;0,110;445;43,27;13,83;18,7;0,67;519;1788;2301;38,3;3;1;70,8;44,0;1,7;0,7;70,8;3;1;83,2;116,0;5,7;28,2;10104;4,02E+14;4,33E+14;7,10E+13;2,66E+13;4,33E+14;3;1;7,51E+14;1,04E+15;8,0;20,5;9,12E+16;82,1;53,2;2,7;1,1;1,01E+15;1,30E+15;3,98E+14;1,34E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM123;1;CFM International;CFM56-7B27E/B3;Tech Insertion;TF;5,1;29,0;121,4;;;1,293;1,031;0,343;0,110;445;43,27;13,83;18,7;0,67;519;1788;2301;38,3;3;1;70,8;44,0;1,7;0,7;70,8;3;1;83,2;116,0;5,7;28,2;10104;4,02E+14;4,33E+14;7,10E+13;2,66E+13;4,33E+14;3;1;7,51E+14;1,04E+15;8,0;20,5;9,12E+16;82,1;53,2;2,7;1,1;1,01E+15;1,30E+15;3,98E+14;1,34E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM124;1;CFM International;CFM56-7B27AE;Tech Insertion;TF;5,1;29,0;121,4;;;1,293;1,031;0,343;0,110;445;43,27;13,83;18,7;0,67;519;1788;2301;38,3;3;1;70,8;44,0;1,7;0,7;70,8;3;1;83,2;116,0;5,7;28,2;10104;4,02E+14;4,33E+14;7,10E+13;2,66E+13;4,33E+14;3;1;7,51E+14;1,04E+15;8,0;20,5;9,12E+16;82,1;53,2;2,7;1,1;1,01E+15;1,30E+15;3,98E+14;1,34E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM125;1;CFM International;CFM56-7B27E/F;Tech Insertion;TF;5,1;29,0;121,4;;;1,293;1,031;0,343;0,110;445;43,27;13,83;18,7;0,67;519;1788;2301;38,3;3;1;70,8;44,0;1,7;0,7;70,8;3;1;83,2;116,0;5,7;28,2;10104;4,02E+14;4,33E+14;7,10E+13;2,66E+13;4,33E+14;3;1;7,51E+14;1,04E+15;8,0;20,5;9,12E+16;82,1;53,2;2,7;1,1;1,01E+15;1,30E+15;3,98E+14;1,34E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P11CM126;1;CFM International;CFM56-7B27E/B1F;Tech Insertion;TF;5,1;29,0;121,4;;;1,293;1,031;0,343;0,110;445;43,27;13,83;18,7;0,67;519;1788;2301;38,3;3;1;70,8;44,0;1,7;0,7;70,8;3;1;83,2;116,0;5,7;28,2;10104;4,02E+14;4,33E+14;7,10E+13;2,66E+13;4,33E+14;3;1;7,51E+14;1,04E+15;8,0;20,5;9,12E+16;82,1;53,2;2,7;1,1;1,01E+15;1,30E+15;3,98E+14;1,34E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P20CM127;1;CFM International;LEAP-1A24/24E1/23;TAPS II;TF;11,1;30,0;106,8;;;0,745;0,616;0,219;0,087;301;43,26;13,69;16,5;0,66;150;160;206;3,2;3;1;1,1;0,9;1,2;0,6;7,7;3;1;2,4;3,3;0,1;0,7;257;7,90E+10;6,85E+10;4,25E+13;3,69E+12;2,20E+14;3;1;2,57E+13;3,57E+13;0,2;0,6;2,74E+15;1,4;1,0;1,9;0,8;1,07E+11;9,23E+10;2,76E+14;1,30E+13;97,8;98,8;274,6;279,8;0,0020;0,0032
01P20CM128;1;CFM International;LEAP-1A26/26E1;TAPS II;TF;10,8;33,3;120,6;;;0,861;0,710;0,244;0,091;330;43,26;13,69;16,5;0,66;150;160;206;3,4;3;1;1,4;1,1;2,0;0,6;7,6;3;1;2,9;4,0;0,2;1,0;348;8,91E+10;7,67E+10;6,89E+13;3,71E+12;2,19E+14;3;1;3,79E+13;5,27E+13;0,4;1,0;4,57E+15;1,6;1,2;3,0;0,7;1,20E+11;1,00E+11;4,57E+14;1,09E+13;97,8;98,8;274,6;279,8;0,0020;0,0032
01P20CM129;1;CFM International;LEAP-1A26CJ;TAPS II;TF;10,8;33,3;120,6;;;0,861;0,710;0,244;0,091;330;43,26;13,69;16,5;0,66;150;160;206;3,4;3;1;1,4;1,1;2,0;0,6;7,6;3;1;2,9;4,0;0,2;1,0;348;8,91E+10;7,67E+10;6,89E+13;3,71E+12;2,19E+14;3;1;3,79E+13;5,27E+13;0,4;1,0;4,57E+15;1,6;1,2;3,0;0,7;1,20E+11;1,00E+11;4,57E+14;1,09E+13;97,8;98,8;274,6;279,8;0,0020;0,0032
01P20CM130;1;CFM International;LEAP-1A29;TAPS II;TF;10,7;35,5;130,3;;;0,946;0,777;0,261;0,094;352;43,26;13,69;16,5;0,66;150;160;206;3,5;3;1;1,8;1,2;2,9;0,6;7,6;3;1;3,5;4,9;0,3;1,4;461;1,17E+11;7,87E+10;9,85E+13;6,37E+12;2,18E+14;3;1;5,47E+13;7,60E+13;0,6;1,7;7,12E+15;2,2;1,4;4,4;0,7;1,56E+11;1,07E+11;6,44E+14;1,79E+13;97,8;98,8;274,6;279,8;0,0020;0,0032
01P20CM131;1;CFM International;LEAP-1A29CJ;TAPS II;TF;10,7;35,5;130,3;;;0,946;0,777;0,261;0,094;352;43,26;13,69;16,5;0,66;150;160;206;3,5;3;1;1,8;1,2;2,9;0,6;7,6;3;1;3,5;4,9;0,3;1,4;461;1,17E+11;7,87E+10;9,85E+13;6,37E+12;2,18E+14;3;1;5,47E+13;7,60E+13;0,6;1,7;7,12E+15;2,2;1,4;4,4;0,7;1,56E+11;1,07E+11;6,44E+14;1,79E+13;97,8;98,8;274,6;279,8;0,0020;0,0032
01P20CM132;1;CFM International;LEAP-1A35A/33/33B2/32/30;TAPS II;TF;10,5;38,5;143,1;;;1,062;0,869;0,284;0,098;380;43,26;13,69;16,5;0,66;150;160;206;3,7;3;1;3,0;1,4;4,8;0,6;7,5;3;1;5,0;6,9;0,4;2,6;712;1,82E+11;8,94E+10;1,50E+14;1,15E+13;2,17E+14;3;1;8,41E+13;1,17E+14;1,1;3,5;1,20E+16;3,6;1,6;7,1;0,8;2,44E+11;1,20E+11;9,22E+14;4,59E+13;97,8;98,8;274,6;279,8;0,0020;0,0032
01P20CM133;1;CFM International;LEAP-1B21;TAPS II;TF;8,5;36,8;111,3;;;0,877;0,722;0,245;0,089;330;43,27;13,84;14,8;1,97;840;66;85;1,4;3;1;0,0;0,0;2,0;0,2;3,8;3;1;1,3;1,9;0,1;0,4;150;2,59E+10;2,95E+10;7,66E+13;2,48E+13;1,17E+14;3;1;7,15E+13;9,94E+13;0,7;1,7;7,96E+15;0,0;0,0;3,1;0,5;4,10E+10;2,95E+10;5,60E+14;4,73E+14;98,0;98,2;290,6;296,5;0,0048;0,0079
01P20CM134;1;CFM International;LEAP-1B23;TAPS II;TF;8,5;37,9;115,2;;;0,916;0,752;0,253;0,091;340;43,27;13,84;14,8;1,97;840;66;85;1,4;3;1;0,0;0,0;2,3;0,2;3,8;3;1;1,5;2,1;0,1;0,5;174;2,61E+10;2,81E+10;8,89E+13;2,30E+13;1,17E+14;3;1;7,52E+13;1,05E+14;0,8;1,9;8,67E+15;0,0;0,0;3,6;0,5;4,00E+10;2,81E+10;6,24E+14;4,39E+14;98,0;98,2;290,6;296,5;0,0048;0,0079
01P20CM135;1;CFM International;LEAP-1B25;TAPS II;TF;8,4;40,1;119,2;;;0,960;0,784;0,260;0,091;348;43,27;13,84;14,8;1,97;840;66;85;1,4;3;1;0,0;0,0;2,7;0,2;3,8;3;1;1,7;2,3;0,1;0,5;200;2,71E+10;2,68E+10;1,00E+14;2,17E+13;1,17E+14;3;1;7,82E+13;1,09E+14;0,8;2,1;9,32E+15;0,0;0,0;4,1;0,5;4,12E+10;4,31E+10;6,75E+14;4,15E+14;98,0;98,2;290,6;296,5;0,0048;0,0079
01P20CM136;1;CFM International;LEAP-1B27;TAPS II;TF;8,3;40,5;124,7;;;1,014;0,826;0,273;0,095;365;43,27;13,84;14,8;1,97;840;66;85;1,4;3;1;0,0;0,0;3,2;0,2;3,8;3;1;2,0;2,7;0,1;0,7;244;2,80E+10;2,62E+10;1,11E+14;2,00E+13;1,17E+14;3;1;8,23E+13;1,14E+14;0,9;2,4;1,03E+16;0,0;0,0;4,8;0,4;4,51E+10;4,15E+10;7,13E+14;3,05E+14;98,0;98,2;290,6;296,5;0,0048;0,0079
01P20CM137;1;CFM International;LEAP-1B28B2C;TAPS II;TF;8,3;40,5;124,7;;;1,014;0,826;0,273;0,095;365;43,27;13,84;14,8;1,97;840;66;85;1,4;3;1;0,0;0,0;3,2;0,2;3,8;3;1;2,0;2,7;0,1;0,7;244;2,80E+10;2,62E+10;1,11E+14;2,00E+13;1,17E+14;3;1;8,23E+13;1,14E+14;0,9;2,4;1,03E+16;0,0;0,0;4,8;0,4;4,51E+10;4,15E+10;7,13E+14;3,05E+14;98,0;98,2;290,6;296,5;0,0048;0,0079
01P20CM138;1;CFM International;LEAP-1B28BBJ1;TAPS II;TF;8,3;42,0;130,4;;;1,075;0,873;0,285;0,097;380;43,27;13,84;14,8;1,97;840;66;85;1,5;3;1;0,1;0,0;3,8;0,2;3,8;3;1;2,3;3,1;0,2;0,9;295;2,94E+10;2,60E+10;1,18E+14;1,91E+13;1,17E+14;3;1;8,43E+13;1,17E+14;1,0;2,7;1,10E+16;0,1;0,0;5,6;0,4;4,80E+10;4,17E+10;7,12E+14;2,81E+14;98,0;98,2;290,6;296,5;0,0048;0,0079
01P20CM139;1;CFM International;LEAP-1B28BBJ2;TAPS II;TF;8,3;40,5;124,7;;;1,014;0,826;0,273;0,095;365;43,27;13,84;14,8;1,97;840;66;85;1,4;3;1;0,0;0,0;3,2;0,2;3,8;3;1;2,0;2,7;0,1;0,7;244;2,80E+10;2,62E+10;1,11E+14;2,00E+13;1,17E+14;3;1;8,23E+13;1,14E+14;0,9;2,4;1,03E+16;0,0;0,0;4,8;0,4;4,51E+10;4,15E+10;7,13E+14;3,05E+14;98,0;98,2;290,6;296,5;0,0048;0,0079
01P20CM140;1;CFM International;LEAP-1B28/28B1/28B2/28B3;TAPS II;TF;8,3;42,0;130,4;;;1,075;0,873;0,285;0,097;380;43,27;13,84;14,8;1,97;840;66;85;1,5;3;1;0,1;0,0;3,8;0,2;3,8;3;1;2,3;3,1;0,2;0,9;295;2,94E+10;2,60E+10;1,18E+14;1,91E+13;1,17E+14;3;1;8,43E+13;1,17E+14;1,0;2,7;1,10E+16;0,1;0,0;5,6;0,4;4,80E+10;4,17E+10;7,12E+14;2,81E+14;98,0;98,2;290,6;296,5;0,0048;0,0079
