UID No;GSDB No;Manufacturer;Engine Identification;Combustor Description;Eng Type;B/P Ratio;Pressure Ratio;Rated Thrust (kN);Data Status;Data Superseded;Superseded by UID No;Test Engine Status;Data corr as Annex 16;Current Engine Status;Current Engine Status Date;HC EI T/O (g/kg);HC EI C/O (g/kg);HC EI App (g/kg);HC EI Idle (g/kg);HC Number Test;HC Number Eng;HC Dp/Foo Avg (g/kN);HC Dp/Foo Sigma (g/kN);HC Dp/Foo Min (g/kN);HC Dp/Foo Max (g/kN);HC Dp/Foo Characteristic (g/kN);HC Dp/Foo Characteristic (% of Reg limit) ;HC LTO Total mass (g);CO EI T/O (g/kg);CO EI C/O (g/kg);CO EI App (g/kg);CO EI Idle (g/kg);CO Number Test;CO Number Eng;CO Dp/Foo Avg (g/kN);CO Dp/Foo Sigma (g/kN);CO Dp/Foo Min (g/kN);CO Dp/Foo Max (g/KN);CO Dp/Foo Characteristic (g/kN);CO Dp/Foo Characteristic (% of Reg limit) ;CO LTO Total Mass (g);NOx EI T/O (g/kg);NOx EI C/O (g/kg);NOx EI App (g/kg);NOx EI Idle (g/kg);NOx Number Test;NOx Number Eng;NOx Dp/Foo Avg (g/kN);NOx Dp/Foo Sigma (g/kN);NOx Dp/Foo Min (g/kN);NOx Dp/Foo Max (g/kN);NOx Dp/Foo Characteristic (g/kN);NOx Dp/Foo Characteristic (% of original standard) ;NOx Dp/Foo Characteristic (% of CAEP/2 standard);NOx Dp/Foo Characteristic (% of CAEP/4 standard);NOx Dp/Foo Characteristic (% of CAEP/6 standard);NOx Dp/Foo Characteristic (% of CAEP/8 standard);NOx Compliance Demonstration §;NOx LTO Total mass (g);SN T/O;SN C/O;SN App;SN Idle;SN Number Test;SN Number Eng;SN Max;SN Sigma;SN Range Min;SN Range Max;SN Characteristic;SN Characteristic (% of Reg limit);Fuel Spec;Fuel H/C Ratio Min;Fuel H/C Ratio Max;Fuel Arom Min (%);Fuel Arom Max (%);Fuel Flow T/O (kg/sec);Fuel Flow C/O (kg/sec);Fuel Flow App (kg/sec);Fuel Flow Idle (kg/sec);Fuel LTO Cycle (kg)  
01P11CM112;11;CFM International;CFM56-7B22E;Tech Insertion;TF;5,3;24,2;101,0;C;;;NME/DTEPS;Yes;;;0,02;0,03;0,07;2,83;7;3;4,4;0,5;3,85;4,83;5,2;26,3;446;0,16;0,17;4,18;37,9;7;3;61,2;3,3;57,8;64,1;66,2;56,1;6179;17,4;14,67;8,35;3,95;7;3;35,1;1,2;34;36,3;37,1;42;52,5;64,3;73;88,4;2.3.2 e);3538;9,8;8;2,1;2,1;7;3;9,8;2,3;8;12,4;10,8;45,9;Jet A;1,92;1,93;16,2;17,5;1,004;0,832;0,291;0,099;376
01P11CM113;11;CFM International;CFM56-7B22E/B1;Tech Insertion;TF;5,3;24,2;101,0;C;;;NME/DTEPS;Yes;;;0,02;0,03;0,07;2,83;7;3;4,4;0,5;3,85;4,83;5,2;26,3;446;0,16;0,17;4,18;37,9;7;3;61,2;3,3;57,8;64,1;66,2;56,1;6179;17,4;14,67;8,35;3,95;7;3;35,1;1,2;34;36,3;37,1;42;52,5;64,3;73;88,4;2.3.2 e);3538;9,8;8;2,1;2,1;7;3;9,8;2,3;8;12,4;10,8;45,9;Jet A;1,92;1,93;16,2;17,5;1,004;0,832;0,291;0,099;376
01P11CM114;11;CFM International;CFM56-7B24E;Tech Insertion;TF;5,3;25,6;107,6;C;;;NME/DTEPS;Yes;;;0,02;0,03;0,06;2,3;7;3;3,5;0,5;3,01;3,88;4,1;20,9;377;0,18;0,15;3,68;34,71;7;3;54,4;2,8;51,2;56,4;58,8;49,8;5854;18,93;15,6;8,6;4,09;7;3;37,1;1,2;36,1;38,5;39,3;43,1;53,9;65,5;74,5;89,5;2.3.2 e);3996;12,1;8,7;2,1;2,1;7;3;12,1;3,4;8,3;14,7;13,3;57,2;Jet A;1,92;1,93;16,2;17,5;1,086;0,895;0,308;0,103;398
01P11CM115;11;CFM International;CFM56-7B24E/B1;Tech Insertion;TF;5,3;25,6;107,6;C;;;NME/DTEPS;Yes;;;0,02;0,03;0,06;2,3;7;3;3,5;0,5;3,01;3,88;4,1;20,9;377;0,18;0,15;3,68;34,71;7;3;54,4;2,8;51,2;56,4;58,8;49,8;5854;18,93;15,6;8,6;4,09;7;3;37,1;1,2;36,1;38,5;39,3;43,1;53,9;65,5;74,5;89,5;2.3.2 e);3996;12,1;8,7;2,1;2,1;7;3;12,1;3,4;8,3;14,7;13,3;57,2;Jet A;1,92;1,93;16,2;17,5;1,086;0,895;0,308;0,103;398
01P11CM116;11;CFM International;CFM56-7B26E;Tech Insertion;TF;5,1;27,7;117,0;C;;;NME/DTEPS;Yes;;;0,02;0,02;0,05;1,75;7;3;2,6;0,4;2,18;2,91;3,0;15,4;302;0,2;0,16;3,07;30,94;7;3;46,8;2,6;43,8;48,7;50,6;42,9;5476;21,79;17,08;8,93;4,27;7;3;40,7;1,2;39,8;42,1;43,1;45,2;56,5;68,1;77,3;91,9;2.3.2 e);4762;13,1;9,8;2,1;2,1;7;3;13,1;4,1;8,4;16,2;14,4;63,4;Jet A;1,92;1,93;16,2;17,5;1,213;0,986;0,331;0,108;429
01P11CM117;11;CFM International;CFM56-7B26E/B1;Tech Insertion;TF;5,1;27,7;117,0;C;;;NME/DTEPS;Yes;;;0,02;0,02;0,05;1,75;7;3;2,6;0,4;2,18;2,91;3,0;15,4;302;0,2;0,16;3,07;30,94;7;3;46,8;2,6;43,8;48,7;50,6;42,9;5476;21,79;17,08;8,93;4,27;7;3;40,7;1,2;39,8;42,1;43,1;45,2;56,5;68,1;77,3;91,9;2.3.2 e);4762;13,1;9,8;2,1;2,1;7;3;13,1;4,1;8,4;16,2;14,4;63,4;Jet A;1,92;1,93;16,2;17,5;1,213;0,986;0,331;0,108;429
01P11CM118;11;CFM International;CFM56-7B26E/B2;Tech Insertion;TF;5,1;27,7;117,0;C;;;NME/DTEPS;Yes;;;0,02;0,02;0,05;1,75;7;3;2,6;0,4;2,18;2,91;3,0;15,4;302;0,2;0,16;3,07;30,94;7;3;46,8;2,6;43,8;48,7;50,6;42,9;5476;21,79;17,08;8,93;4,27;7;3;40,7;1,2;39,8;42,1;43,1;45,2;56,5;68,1;77,3;91,9;2.3.2 e);4762;13,1;9,8;2,1;2,1;7;3;13,1;4,1;8,4;16,2;14,4;63,4;Jet A;1,92;1,93;16,2;17,5;1,213;0,986;0,331;0,108;429
01P11CM119;11;CFM International;CFM56-7B26E/F;Tech Insertion;TF;5,1;27,7;117,0;C;;;NME/DTEPS;Yes;;;0,02;0,02;0,05;1,75;7;3;2,6;0,4;2,18;2,91;3,0;15,4;302;0,2;0,16;3,07;30,94;7;3;46,8;2,6;43,8;48,7;50,6;42,9;5476;21,79;17,08;8,93;4,27;7;3;40,7;1,2;39,8;42,1;43,1;45,2;56,5;68,1;77,3;91,9;2.3.2 e);4762;13,1;9,8;2,1;2,1;7;3;13,1;4,1;8,4;16,2;14,4;63,4;Jet A;1,92;1,93;16,2;17,5;1,213;0,986;0,331;0,108;429
01P11CM120;11;CFM International;CFM56-7B26E/B2F;Tech Insertion;TF;5,1;27,7;117,0;C;;;NME/DTEPS;Yes;;;0,02;0,02;0,05;1,75;7;3;2,6;0,4;2,18;2,91;3,0;15,4;302;0,2;0,16;3,07;30,94;7;3;46,8;2,6;43,8;48,7;50,6;42,9;5476;21,79;17,08;8,93;4,27;7;3;40,7;1,2;39,8;42,1;43,1;45,2;56,5;68,1;77,3;91,9;2.3.2 e);4762;13,1;9,8;2,1;2,1;7;3;13,1;4,1;8,4;16,2;14,4;63,4;Jet A;1,92;1,93;16,2;17,5;1,213;0,986;0,331;0,108;429
01P11CM121;11;CFM International;CFM56-7B27E;Tech Insertion;TF;5,1;29,0;121,4;C;;;NME/DTEPS;Yes;;;0,03;0,02;0,05;1,54;7;3;2,3;0,4;1,88;2,56;2,6;13,4;273;0,31;0,17;2,82;29,39;7;3;43,8;2,5;41;45,6;47,4;40,2;5320;23,94;17,89;9,09;4,36;7;3;43,1;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;2.3.2 e);5231;13,4;11,2;2,1;2,1;7;3;13,4;4,5;8,4;16,9;14,7;65,6;Jet A;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,110;444
