UID No;GSDB No;Manufacturer;Engine Identification;Combustor Description;Eng Type;B/P Ratio;Pressure Ratio;Rated Thrust (kN);Data Status;Data Superseded;Superseded by UID No;Test Engine Status;Data corr as Annex 16;Current Engine Status;Current Engine Status Date;HC EI T/O (g/kg);HC EI C/O (g/kg);HC EI App (g/kg);HC EI Idle (g/kg);HC Number Test;HC Number Eng;HC Dp/Foo Avg (g/kN);HC Dp/Foo Sigma (g/kN);HC Dp/Foo Min (g/kN);HC Dp/Foo Max (g/kN);HC Dp/Foo Characteristic (g/kN);HC Dp/Foo Characteristic (% of Reg limit) ;HC LTO Total mass (g);CO EI T/O (g/kg);CO EI C/O (g/kg);CO EI App (g/kg);CO EI Idle (g/kg);CO Number Test;CO Number Eng;CO Dp/Foo Avg (g/kN);CO Dp/Foo Sigma (g/kN);CO Dp/Foo Min (g/kN);CO Dp/Foo Max (g/KN);CO Dp/Foo Characteristic (g/kN);CO Dp/Foo Characteristic (% of Reg limit) ;CO LTO Total Mass (g);NOx EI T/O (g/kg);NOx EI C/O (g/kg);NOx EI App (g/kg);NOx EI Idle (g/kg);NOx Number Test;NOx Number Eng;NOx Dp/Foo Avg (g/kN);NOx Dp/Foo Sigma (g/kN);NOx Dp/Foo Min (g/kN);NOx Dp/Foo Max (g/kN);NOx Dp/Foo Characteristic (g/kN);NOx Dp/Foo Characteristic (% of original standard) ;NOx Dp/Foo Characteristic (% of CAEP/2 standard);NOx Dp/Foo Characteristic (% of CAEP/4 standard);NOx Dp/Foo Characteristic (% of CAEP/6 standard);NOx Dp/Foo Characteristic (% of CAEP/8 standard);NOx Compliance Demonstration §;NOx LTO Total mass (g);SN T/O;SN C/O;SN App;SN Idle;SN Number Test;SN Number Eng;SN Max;SN Sigma;SN Range Min;SN Range Max;SN Characteristic;SN Characteristic (% of Reg limit);Fuel Spec;Fuel H/C Ratio Min;Fuel H/C Ratio Max;Fuel Arom Min (%);Fuel Arom Max (%);Fuel Flow T/O (kg/sec);Fuel Flow C/O (kg/sec);Fuel Flow App (kg/sec);Fuel Flow Idle (kg/sec);Fuel LTO Cycle (kg)  
01P20CM132;20;CFM International;LEAP-1A35A/33/33B2/32/30;TAPS II;TF;10,5;38,5;143,1;C;;;NME/DTEPS;Yes;;;0,05;0,02;0,04;0,21;4;2;0,3;0,0;0,23;0,31;0,4;1,9;39;0,3;0,24;1,79;18,68;4;2;21,1;1,1;19,88;22,16;24,1;20,4;3019;59,74;32,35;9,95;4,85;4;2;54,5;1,8;52,3;56,3;59,9;51,2;64;71,3;78,9;89,3;2.3.2 e);7795;1,1;1,2;1,3;1,3;4;2;1,6;0,2;1,5;1,8;1,8;8,5;Jet A;1,9;1,9;16,5;16,5;1,062;0,869;0,284;0,098;380
01P20CM133;20;CFM International;LEAP-1B21;TAPS II;TF;8,5;36,8;111,3;C;;;NME/DTEPS;Yes;;;0,04;0,04;0,05;0,71;3;1;1,0;0,1;0,66;0,84;1,5;7,5;106;0,15;0,16;1,49;16,19;3;1;21,2;0,8;16,97;18,38;26,0;22;2358;30,39;17,53;10,26;4,74;3;1;36,4;1,4;56,39;59,15;42,2;37,2;46,4;52,4;58,2;66,2;2.3.2 e);4053;0,9;0,9;1,1;0,8;3;1;1,2;0,3;0,3;0,9;1,5;6,5;Jet A;1,9;1,9;14,7;14,7;0,877;0,722;0,245;0,089;330
01P20CM134;20;CFM International;LEAP-1B23;TAPS II;TF;8,5;37,9;115,2;C;;;NME/DTEPS;Yes;;;0,04;0,04;0,05;0,64;3;1;0,9;0,1;0,66;0,84;1,3;6,8;99;0,16;0,14;1,36;15,61;3;1;20,1;0,8;16,97;18,38;24,6;20,9;2312;38,19;18,11;10,7;4,63;3;1;39,7;1,4;56,39;59,15;46;39,7;49,6;55,5;61,5;69,7;2.3.2 e);4573;0,9;0,9;1,1;0,8;3;1;1,2;0,3;0,3;0,9;1,5;6,6;Jet A;1,9;1,9;14,7;14,7;0,916;0,752;0,253;0,091;340
01P20CM135;20;CFM International;LEAP-1B25;TAPS II;TF;8,4;40,1;119,2;C;;;NME/DTEPS;Yes;;;0,04;0,04;0,05;0,59;3;1;0,8;0,1;0,66;0,84;1,2;6,1;93;0,17;0,14;1,25;15,27;3;1;18,9;0,8;16,97;18,38;23,3;19,7;2257;48,9;20,35;11,1;4,57;3;1;45,5;1,4;56,39;59,15;52,7;43,8;54,8;60,4;66,5;74,9;2.3.2 e);5417;0,9;0,9;1,1;0,8;3;1;1,2;0,3;0,3;0,9;1,5;6,6;Jet A;1,9;1,9;14,7;14,7;0,960;0,784;0,260;0,091;348
01P20CM136;20;CFM International;LEAP-1B27;TAPS II;TF;8,3;40,5;124,7;C;;;NME/DTEPS;Yes;;;0,05;0,04;0,05;0,51;3;1;0,7;0,1;0,66;0,84;1,1;5,4;85;0,17;0,14;1,11;14,4;3;1;17,8;0,8;16,97;18,38;21,9;18,5;2221;55,26;23,26;11,59;4,59;3;1;50,7;1,4;56,39;59,15;58,8;48,6;60,7;66,8;73,5;82,7;2.3.2 e);6326;0,9;0,9;1,1;0,8;3;1;1,2;0,3;0,3;0,9;1,5;6,7;Jet A;1,9;1,9;14,7;14,7;1,014;0,826;0,273;0,095;365
01P20CM137;20;CFM International;LEAP-1B28B2C;TAPS II;TF;8,3;40,5;124,7;C;;;NME/DTEPS;Yes;;;0,05;0,04;0,05;0,51;3;1;0,7;0,1;0,66;0,84;1,1;5,4;85;0,17;0,14;1,11;14,4;3;1;17,8;0,8;16,97;18,38;21,9;18,5;2221;55,26;23,26;11,59;4,59;3;1;50,7;1,4;56,39;59,15;58,8;48,6;60,7;66,8;73,5;82,7;2.3.2 e);6326;0,9;0,9;1,1;0,8;3;1;1,2;0,3;0,3;0,9;1,5;6,7;Jet A;1,9;1,9;14,7;14,7;1,014;0,826;0,273;0,095;365
01P20CM138;20;CFM International;LEAP-1B28BBJ1;TAPS II;TF;8,3;42,0;130,4;C;;;NME/DTEPS;Yes;;;0,05;0,04;0,05;0,46;3;1;0,6;0,1;0,66;0,84;0,9;4,8;79;0,18;0,15;0,99;13,77;3;1;16,7;0,8;16,97;18,38;20,5;17,4;2176;64,36;29,59;11,92;4,68;3;1;60,1;1,4;56,39;59,15;69,7;56,2;70,2;76,6;84;94;2.3.2 e);7837;0,9;0,9;1,1;0,8;3;1;1,2;0,3;0,3;0,9;1,5;6,8;Jet A;1,9;1,9;14,7;14,7;1,075;0,873;0,285;0,097;380
01P20CM139;20;CFM International;LEAP-1B28BBJ2;TAPS II;TF;8,3;40,5;124,7;C;;;NME/DTEPS;Yes;;;0,05;0,04;0,05;0,51;3;1;0,7;0,1;0,66;0,84;1,1;5,4;85;0,17;0,14;1,11;14,4;3;1;17,8;0,8;16,97;18,38;21,9;18,5;2221;55,26;23,26;11,59;4,59;3;1;50,7;1,4;56,39;59,15;58,8;48,6;60,7;66,8;73,5;82,7;2.3.2 e);6326;0,9;0,9;1,1;0,8;3;1;1,2;0,3;0,3;0,9;1,5;6,7;Jet A;1,9;1,9;14,7;14,7;1,014;0,826;0,273;0,095;365
01P20CM140;20;CFM International;LEAP-1B28/28B1/28B2/28B3;TAPS II;TF;8,3;42,0;130,4;C;;;NME/DTEPS;Yes;;;0,05;0,04;0,05;0,46;3;1;0,6;0,1;0,66;0,84;0,9;4,8;79;0,18;0,15;0,99;13,77;3;1;16,7;0,8;16,97;18,38;20,5;17,4;2176;64,36;29,59;11,92;4,68;3;1;60,1;1,4;56,39;59,15;69,7;56,2;70,2;76,6;84;94;2.3.2 e);7837;0,9;0,9;1,1;0,8;3;1;1,2;0,3;0,3;0,9;1,5;6,8;Jet A;1,9;1,9;14,7;14,7;1,075;0,873;0,285;0,097;380
01P22PW159;22;Pratt & Whitney;PW1124G1-JM;TALON X, Block-D;TF;12,7;28,8;107,8;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,51;4;1;0,7;;;;1,1;5,4;74;0,32;0,44;5,94;25,91;4;1;33,2;;;;40,7;34,5;3577;18,21;15,39;10,42;5,01;4;1;27,0;;;;31,3;32,1;40,1;48,1;54,7;64,7;2.3.2 e);2912;5,3;3,1;0,3;0,8;4;1;5,3;;;;6,8;29,2;Jet A;1,91;1,93;16,3;16,8;0,710;0,600;0,210;0,080;284
01P22PW160;22;Pratt & Whitney;PW1124G-JM;TALON X, Block-D;TF;12,7;28,8;107,8;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,51;4;1;0,7;;;;1,1;5,4;74;0,32;0,44;5,94;25,91;4;1;33,2;;;;40,7;34,5;3577;18,21;15,39;10,42;5,01;4;1;27,0;;;;31,3;32,1;40,1;48,1;54,7;64,7;2.3.2 e);2912;5,3;3,1;0,3;0,8;4;1;5,3;;;;6,8;29,2;Jet A;1,91;1,93;16,3;16,8;0,710;0,600;0,210;0,080;284
01P22PW161;22;Pratt & Whitney;PW1127G1-JM;TALON X, Block-D;TF;12,3;31,7;120,4;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,46;4;1;0,6;;;;0,9;4,5;69;0,27;0,36;4,89;24,53;4;1;28,0;;;;34,4;29,1;3374;20,81;16,95;10,59;5,20;4;1;28,5;;;;33,1;32,0;40,0;47,1;53,1;61,9;2.3.2 e);3438;6,8;4,5;0,3;0,8;4;1;6,8;;;;8,7;38,9;Jet A;1,91;1,93;16,3;16,8;0,800;0,670;0,232;0,080;303
01P22PW162;22;Pratt & Whitney;PW1127GA-JM;TALON X, Block-D;TF;12,3;31,7;120,4;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,46;4;1;0,6;;;;0,9;4,5;69;0,27;0,36;4,89;24,53;4;1;28,0;;;;34,4;29,1;3374;20,81;16,95;10,59;5,20;4;1;28,5;;;;33,1;32,0;40,0;47,1;53,1;61,9;2.3.2 e);3438;6,8;4,5;0,3;0,8;4;1;6,8;;;;8,7;38,9;Jet A;1,91;1,93;16,3;16,8;0,800;0,670;0,232;0,080;303
01P22PW163;22;Pratt & Whitney;PW1127G-JM;TALON X, Block-D;TF;12,3;31,7;120,4;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,46;4;1;0,6;;;;0,9;4,5;69;0,27;0,36;4,89;24,53;4;1;28,0;;;;34,4;29,1;3374;20,81;16,95;10,59;5,20;4;1;28,5;;;;33,1;32,0;40,0;47,1;53,1;61,9;2.3.2 e);3438;6,8;4,5;0,3;0,8;4;1;6,8;;;;8,7;38,9;Jet A;1,91;1,93;16,3;16,8;0,800;0,670;0,232;0,080;303
01P22PW164;22;Pratt & Whitney;PW1129G-JM;TALON X, Block-D;TF;12,0;34,0;130,1;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,42;4;1;0,5;;;;0,8;3,9;65;0,25;0,31;4,07;23,46;4;1;24,6;;;;30,2;25,6;3196;23,36;18,61;10,69;5,38;4;1;30,6;;;;35,4;32,8;41,0;47,2;52,9;60,9;2.3.2 e);3976;7,7;5,6;0,3;0,7;4;1;7,7;;;;10,0;45,3;Jet A;1,91;1,93;16,3;16,8;0,880;0,730;0,255;0,080;318
01P22PW165;22;Pratt & Whitney;PW1130G-JM;TALON X, Block-D;TF;11,6;38,1;147,3;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,36;4;1;0,5;;;;0,7;3,7;70;0,24;0,26;2,87;21,55;4;1;24,2;;;;29,7;25,1;3558;28,88;22,01;10,79;5,74;4;1;35,9;;;;41,6;35,8;44,8;50,0;55,4;62,8;2.3.2 e);5284;8,7;7,3;0,3;0,7;4;1;8,7;;;;11,1;52,3;Jet A;1,91;1,93;16,3;16,8;1,023;0,839;0,278;0,099;375
01P22PW166;22;Pratt & Whitney;PW1133GA-JM;TALON X, Block-D;TF;11,6;38,1;147,3;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,36;4;1;0,5;;;;0,7;3,7;70;0,24;0,26;2,87;21,55;4;1;24,2;;;;29,7;25,1;3558;28,88;22,01;10,79;5,74;4;1;35,9;;;;41,6;35,8;44,8;50,0;55,4;62,8;2.3.2 e);5284;8,7;7,3;0,3;0,7;4;1;8,7;;;;11,1;52,3;Jet A;1,91;1,93;16,3;16,8;1,023;0,839;0,278;0,099;375
01P22PW167;22;Pratt & Whitney;PW1133G-JM;TALON X, Block-D;TF;11,6;38,1;147,3;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,36;4;1;0,5;;;;0,7;3,7;70;0,24;0,26;2,87;21,55;4;1;24,2;;;;29,7;25,1;3558;28,88;22,01;10,79;5,74;4;1;35,9;;;;41,6;35,8;44,8;50,0;55,4;62,8;2.3.2 e);5284;8,7;7,3;0,3;0,7;4;1;8,7;;;;11,1;52,3;Jet A;1,91;1,93;16,3;16,8;1,023;0,839;0,278;0,099;375
01P22PW168;22;Pratt & Whitney;PW1215G;TALON X, Block-C;TF;8,6;29,4;67,7;C;;;DTEPS;Yes;;;0,03;0,02;0,02;0,02;3;1;0,1;;0,06;0,07;0,1;0,5;4;0,4;0,4;3,0;16,0;3;1;26,1;;24,4;27,5;32,1;27;1768;20,0;15,8;8,3;4,8;3;1;33,2;;32,8;33,7;38,4;39;49;55;59;66;2.3.2 e);2244;3,0;1,8;0,4;0,4;3;1;3,0;;3,0;3,1;3,9;15;Jet A;1,9;1,9;18,0;18,7;0,551;0,461;0,166;0,065;225
01P22PW169;22;Pratt & Whitney;PW1217G;TALON X, Block-C;TF;8,3;32,7;75,7;C;;;DTEPS;Yes;;;0,04;0,02;0,01;0,01;3;1;0,1;;0,05;0,07;0,1;0,5;5;0,3;0,4;2,5;14,2;3;1;22,2;;20,8;23,2;27,2;23;1678;25,3;18,6;8,6;5,1;3;1;38,2;;37,8;38,4;44,3;42;53;59;65;73;2.3.2 e);2891;3,7;2,7;0,4;0,4;3;1;3,7;;3,4;4,0;4,8;19;Jet A;1,9;1,9;18,0;18,7;0,634;0,524;0,184;0,069;248
01P22PW176;22;Pratt & Whitney;PW1428GH-JM;TALON X, Block-D;TF;12,1;33,3;132,4;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,41;4;1;0,5;;;;0,8;4,2;70;0,25;0,32;4,05;23,21;4;1;26,7;;;;32,8;27,8;3541;23,01;18,37;10,69;5,42;4;1;30,1;;;;34,9;31,2;39,0;44,2;49,2;56,2;2.3.2 e);3989;7,9;5,9;0,3;0,7;4;1;7,9;;;;10,2;47,3;Jet A;1,91;1,93;16,3;16,8;0,870;0,720;0,250;0,090;332
01P22PW177;22;Pratt & Whitney;PW1428GA-JM;TALON X, Block-D;TF;12,1;33,3;132,4;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,41;4;1;0,5;;;;0,8;4,2;70;0,25;0,32;4,05;23,21;4;1;26,7;;;;32,8;27,8;3541;23,01;18,37;10,69;5,42;4;1;30,1;;;;34,9;32,8;40,9;47,4;53,2;61,5;2.3.2 e);3989;7,9;5,9;0,3;0,7;4;1;7,9;;;;10,2;46,6;Jet A;1,91;1,93;16,3;16,8;0,870;0,720;0,250;0,090;332
01P22PW178;22;Pratt & Whitney;PW1428G-JM;TALON X, Block-D;TF;12,1;33,3;132,4;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,41;4;1;0,5;;;;0,8;4,2;70;0,25;0,32;4,05;23,21;4;1;26,7;;;;32,8;27,8;3541;23,01;18,37;10,69;5,42;4;1;30,1;;;;34,9;32,8;40,9;47,4;53,2;61,5;2.3.2 e);3989;7,9;5,9;0,3;0,7;4;1;7,9;;;;10,2;46,6;Jet A;1,91;1,93;16,3;16,8;0,870;0,720;0,250;0,090;332
01P22PW179;22;Pratt & Whitney;PW1431GH-JM;TALON X, Block-D;TF;11,9;35,6;140,4;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,37;4;1;0,5;;;;0,7;3,7;66;0,24;0,28;3,33;22,13;4;1;23,9;;;;29,4;24,9;3361;25,89;20,23;10,75;5,62;4;1;32,8;;;;38,0;34,2;42,7;48,6;54,1;62,0;2.3.2 e);4601;8,4;6,7;0,3;0,7;4;1;8,4;;;;10,9;50,4;Jet A;1,91;1,93;16,3;16,8;0,950;0,780;0,270;0,090;348
01P22PW180;22;Pratt & Whitney;PW1431GA-JM;TALON X, Block-D;TF;11,9;35,6;140,4;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,37;4;1;0,5;;;;0,7;3,7;66;0,24;0,28;3,33;22,13;4;1;23,9;;;;29,4;24,9;3361;25,89;20,23;10,75;5,62;4;1;32,8;;;;38,0;34,2;42,7;48,6;54,1;62,0;2.3.2 e);4601;8,4;6,7;0,3;0,7;4;1;8,4;;;;10,9;50,4;Jet A;1,91;1,93;16,3;16,8;0,950;0,780;0,270;0,090;348
01P22PW181;22;Pratt & Whitney;PW1431G-JM;TALON X, Block-D;TF;11,9;35,6;140,4;C;;;DTEPS;Yes;;;0,07;0,07;0,06;0,37;4;1;0,5;;;;0,7;3,7;66;0,24;0,28;3,33;22,13;4;1;23,9;;;;29,4;24,9;3361;25,89;20,23;10,75;5,62;4;1;32,8;;;;38,0;34,2;42,7;48,6;54,1;62,0;2.3.2 e);4601;8,4;6,7;0,3;0,7;4;1;8,4;;;;10,9;50,4;Jet A;1,91;1,93;16,3;16,8;0,950;0,780;0,270;0,090;348
04P20PW195;20;Pratt & Whitney;PW1525G;TALON X, Block-C;TF;11,1;38,7;108,5;C;;;DTEPS;Yes;;;0;0;0,1;0,1;3;1;0,2;;0,1;0,2;0,3;2;18;0;0;1,8;16,7;3;1;19,2;;19,1;19,3;23,6;20;2084;26;20,5;10,4;6;3;1;36;;35,6;36,3;41,7;36;44;49;55;62;2.3.2 e);3903;3,4;2;0,8;0,5;3;1;3,4;;3;4,3;4,4;19;Jet A;1,94;1,94;17,8;18,4;0,790;0,650;0,230;0,080;292
04P20PW196;20;Pratt & Whitney;PW1524G;TALON X, Block-C;TF;11,1;38,7;108,5;C;;;DTEPS;Yes;;;0;0;0,1;0,1;3;1;0,2;;0,1;0,2;0,3;1,5;18;0;0;1,8;16,7;3;1;19,2;;19,1;19,3;23,6;20;2084;26;20,5;10,4;6;3;1;36;;35,6;36,3;41,7;36;44;49;55;62;2.3.2 e);3903;3,4;2;0,8;0,5;3;1;3,4;;3;4,3;4,4;19;Jet A;1,94;1,94;17,8;18,4;0,790;0,650;0,230;0,080;292
04P20PW197;20;Pratt & Whitney;PW1521G;TALON X, Block-C;TF;11,4;35,1;97,7;C;;;DTEPS;Yes;;;0;0;0,1;0,1;3;1;0,2;;0,2;0,3;0,3;2;20;0;0;2,5;19,3;3;1;23,1;;22,9;23,4;28,4;24;2260;22,1;18,1;10,1;5,6;3;1;32,1;;31,8;32,3;37,2;34;42;48;54;62;2.3.2 e);3139;2,4;1,5;0,8;0,5;3;1;2,4;;2,1;2,8;3,1;13;Jet A;1,94;1,94;17,8;18,4;0,690;0,580;0,210;0,070;265
04P20PW198;20;Pratt & Whitney;PW1521GA;TALON X, Block-C;TF;11,4;35,1;97,7;C;;;DTEPS;Yes;;;0;0;0,1;0,1;3;1;0,2;;0,2;0,3;0,3;2;20;0;0;2,5;19,3;3;1;23,1;;22,9;23,4;28,4;24;2260;22,1;18,1;10,1;5,6;3;1;32,1;;31,8;32,3;37,2;34;42;48;54;62;2.3.2 e);3139;2,4;1,5;0,8;0,5;3;1;2,4;;2,1;2,8;3,1;13;Jet A;1,94;1,94;17,8;18,4;0,690;0,580;0,210;0,070;265
04P20PW199;20;Pratt & Whitney;PW1519G;TALON X, Block-C;TF;11,6;32,3;88,0;C;;;DTEPS;Yes;;;0;0;0,1;0,2;3;1;0,3;;0,2;0,4;0,4;2;23;0;0;3,3;21,4;3;1;27,3;;27;27,8;33,5;28;2399;19,6;16,6;9,8;5,3;3;1;30,2;;30;30,4;35;33;42;49;55;64;2.3.2 e);2656;1,7;1,2;0,8;0,4;3;1;1,7;;1,4;1,9;2,2;9;Jet A;1,94;1,94;17,8;18,4;0,620;0,520;0,190;0,070;246
04P20PW200;20;Pratt & Whitney;PW1919G;TALON X, Block-C;TF;11,6;33,3;92,8;C;;;DTEPS;Yes;;;0;0;0,1;0,2;3;1;0,3;;0,2;0,4;0,4;2;25;0;0;3,3;22,2;3;1;27;;26,7;27,6;33,2;28;2508;20;16,7;9,8;5,2;3;1;29,6;;29,4;29,8;34,3;32;40;47;52;61;2.3.2 e);2746;2;1,3;0,8;0,5;3;1;2;;1,7;2,3;2,6;11;Jet A;1,94;1,94;17,8;18,4;0,650;0,540;0,200;0,070;252
04P20PW201;20;Pratt & Whitney;PW1921G;TALON X, Block-C;TF;11,4;35,8;100,3;C;;;DTEPS;Yes;;;0;0;0,1;0,1;3;1;0,2;;0,2;0,3;0,3;2;21;0;0;2,7;19,8;3;1;23,5;;23,3;23,8;28,8;24;2356;22,2;18,1;10;5,5;3;1;31,9;;31,6;32,1;37;33;41;47;52;60;2.3.2 e);3199;2,6;1,6;0,8;0,5;3;1;2,6;;2,3;3,1;3,3;14;Jet A;1,94;1,94;17,8;18,4;0,710;0,590;0,210;0,070;270
04P20PW202;20;Pratt & Whitney;PW1922G;TALON X, Block-C;TF;11,2;37,7;105,9;C;;;DTEPS;Yes;;;0;0;0,1;0,1;3;1;0,2;;0,1;0,3;0,3;2;19;0;0;2,3;18,4;3;1;21,3;;21,1;21,5;26,1;22;2256;24,2;19,3;10,2;5,7;3;1;34;;33,7;34,2;39,4;34;43;48;53;60;2.3.2 e);3599;3,1;1,8;0,8;0,5;3;1;3,1;;2,7;3,9;4;17;Jet A;1,94;1,94;17,8;18,4;0,760;0,630;0,220;0,070;285
04P20PW203;20;Pratt & Whitney;PW1923G-A;TALON X, Block-C;TF;11,2;37,7;105,9;C;;;DTEPS;Yes;;;0;0;0,1;0,1;3;1;0,2;;0,1;0,3;0,3;2;19;0;0;2,3;18,4;3;1;21,3;;21,1;21,5;26,1;22;2256;24,2;19,3;10,2;5,7;3;1;34;;33,7;34,2;39,4;34;43;48;53;60;2.3.2 e);3599;3,1;1,8;0,8;0,5;3;1;3,1;;2,7;3,9;4;17;Jet A;1,94;1,94;17,8;18,4;0,760;0,630;0,220;0,070;285
04P20PW204;20;Pratt & Whitney;PW1923G;TALON X, Block-C;TF;11,2;37,7;105,9;C;;;DTEPS;Yes;;;0;0;0,1;0,1;3;1;0,2;;0,1;0,3;0,3;2;19;0;0;2,3;18,4;3;1;21,3;;21,1;21,5;26,1;22;2256;24,2;19,3;10,2;5,7;3;1;34;;33,7;34,2;39,4;34;43;48;53;60;2.3.2 e);3599;3,1;1,8;0,8;0,5;3;1;3,1;;2,7;3,9;4;17;Jet A;1,94;1,94;17,8;18,4;0,760;0,630;0,220;0,070;285
