,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
44,44,45,801733.0,,4.252883089585604,99.5871720452258,243.5093816880795,11692.106358997116,0.7450780548381616,34610D,222.4329,-8.459727,0.30568615,232.73516463808235,66693.30749434176,,,33.13761591993707,,-1.879444200212844,0.0001043618896406,20291.72762792362,0.9454431797808142,0.2761467993328089,0.7275882910916405,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.555316526912346,0.6407558905192036,0.7784302790105403,17.419262835466938,12.029563222003596,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.669522789825213,388105680560401.25,,,3.0968000000000004,35.8,2023-08-06 02:45:00,0.00010436188964064056,0.94544376989756,0.0,202.9172762792363,44,0.00010436188964064056,-8.459727,0.30568615,0.94544376989756,1.1977991,5.1146704e-05,0.3178062610835555,985.0850198571858,14422.4094506548,0.45668108138003344,-0.8896304794180353,,,0.5738712952756496,,,,0.0,0.0,0.0,0 days,0.00010308219,5.7531317e-08,121477.7,0.90895945,-198.85129,0.7308438890756329,0.7308438890756329,1.0,-3.4500841226210313e-13,2.0625006e-12,2.1689655e-16,3.3434540272543077e-13,-7.562837254120655e-15,-7.562837254120655e-15,7.480000000000001e-16,2.2082240048262434e-14,1.7174921116832127e-12,1325.5861141438795,14.4224094506548,,0.00010308219,5.7531317e-08,121477.7,0.90895945,-198.85129,0.0,0.7308438890756329,0.0,-3.4500841226210313e-13,2.0625006e-12,2.1689655e-16,0.0,0.0,0.0,7.480000000000001e-16,2.3292294008921734e-14,1.7174921116832127e-12,1325.5861141438795,14.4224094506548
45,45,46,801733.0,,4.312105571954279,99.47146017051632,243.471905602755,11691.548426891502,0.7467781712864552,34610D,222.45616,-8.590558,0.19234885,232.65837545279305,66660.16987842182,,,32.93317190573173,,-1.8796672356414368,0.0001055219432038,20293.51298016545,0.9532766168454404,0.2744430992144311,0.723256111917292,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.557762413843205,0.6409291493188545,0.7781327759019473,17.32935135490293,11.995746208616854,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.666700764439547,387972447900626.06,,,3.0968000000000004,35.8,2023-08-06 02:46:00,0.00010552194320388852,0.9532775690654277,0.0,202.93512980165454,45,0.00010552194320388852,-8.590558,0.19234885,0.9532775690654277,1.1404306,4.8993246e-05,0.3178009903026609,987.3329887260429,14421.519794278105,0.4567101744610831,-0.8896155442345457,,,0.5787579908730803,,,,0.0,0.0,0.0,0 days,0.000104189356,4.17384e-08,121471.04,0.91678476,-189.6512,0.8057739192858138,0.8057739192858138,1.0,-3.4502734019367744e-13,2.0621194e-12,2.161112e-16,3.732671088587288e-13,-2.345498641538604e-14,-2.345498641538604e-14,7.479999999999999e-16,1.9533510367336497e-14,1.7170920759623999e-12,1325.8974242262213,14.421519794278105,,0.000104189356,4.17384e-08,121471.04,0.91678476,-189.6512,0.0,0.8057739192858138,0.0,-3.4502734019367744e-13,2.0621194e-12,2.161112e-16,0.0,0.0,0.0,7.479999999999999e-16,2.328630819379826e-14,1.7170920759623999e-12,1325.8974242262213,14.421519794278105
46,46,47,801733.0,,4.371328054322954,99.3557482958068,243.4344295174305,11690.990494785889,0.7484732760010187,34610D,222.4857,-8.837242,0.15257734,232.44465377246732,66627.2367065161,,,32.96680018629357,,-1.879942742419972,0.0001073058214058,20295.298489490142,0.9659257926656302,0.2747233348857797,0.7241236119466957,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.520733856573422,0.6381407148975459,0.7773663249062819,17.353342012691304,11.99966802217444,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.658565903022519,387557046265547.4,,,3.0968000000000004,35.8,2023-08-06 02:47:00,0.00010730582140589911,0.9659266170190716,0.0,202.95298489490142,46,0.00010730582140589911,-8.837242,0.15257734,0.9659266170190716,1.1649173,5.3643114e-05,0.3177867528120401,989.5743324016298,14420.617957665028,0.4567396566209588,-0.8896004080876809,,,0.5866070464500239,,,,0.0,0.0,0.0,0 days,0.000105860745,3.186199e-08,121469.71,0.926822,-180.95642,0.8189642340054316,0.8189642340054316,1.0000000000000002,-3.4501496486558196e-13,2.0618006e-12,2.1690372e-16,3.797500162291115e-13,-7.184973489534872e-14,-7.184973489534872e-14,7.479999999999999e-16,1.1787158872692928e-14,1.7167855949906353e-12,1326.2087343085627,14.420617957665028,,0.000105860745,3.186199e-08,121469.71,0.926822,-180.95642,0.0,0.8189642340054316,0.0,-3.4501496486558196e-13,2.0618006e-12,2.1690372e-16,0.0,0.0,0.0,7.479999999999999e-16,2.328311645594873e-14,1.7167855949906353e-12,1326.2087343085627,14.420617957665028
47,47,48,801733.0,,4.430550536691629,99.2400364210973,243.396953432106,11690.432562680277,0.7501633570102745,34610D,222.52136,-8.993098,0.10856334,232.31291053362187,66594.2699063298,,,32.7075836776634,,-1.880200586854727,0.0001100678728317,20297.0841559115,0.9864971202684634,0.2725631973138617,0.7186918954339777,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.518349936372392,0.6379386485703961,0.7768634949012506,17.239888188376398,11.956157488010286,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.6534267138493455,387300738701772.6,,,3.0968000000000004,35.8,2023-08-06 02:48:00,0.00011006787283177868,0.9864975496385467,0.0,202.97084155911503,47,0.00011006787283177868,-8.993098,0.10856334,0.9864975496385467,1.2451267,6.299487e-05,0.31776378187055854,991.8090350519265,14419.703942387043,0.4567695279536499,-0.8895850708802391,,,0.5993088327898518,,,,0.0,0.0,0.0,0 days,0.00010847873,-1.1635543e-08,121469.555,0.9420318,-173.94244,1.0,1.0,1.0,-3.449957644522581e-13,2.0614554e-12,2.1583959e-16,4.59528465947871e-13,-1.0737416758093985e-13,-1.0737416758093985e-13,7.48e-16,6.097948345724282e-15,1.7164596590615689e-12,1326.520044390904,14.419703942387043,,0.00010847873,-1.1635543e-08,121469.555,0.9420318,-173.94244,0.0,1.0,0.0,-3.449957644522581e-13,2.0614554e-12,2.1583959e-16,0.0,-0.0,0.0,7.48e-16,2.3277815158674662e-14,1.7164596590615689e-12,1326.520044390904,14.419703942387043
48,48,49,801733.0,,4.489773019060305,99.1243245463878,243.35947734678143,11689.874630574664,0.7518484023939955,34610D,222.54675,-9.302391,0.14648326,232.0070864710612,66561.56232265214,,,32.708647120941336,,-1.8804491488973047,0.0001120332873371,20298.86997944337,1.00103849795686,0.2725720593411778,0.7187256552192056,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.489053858812861,0.6357279828007792,0.7757965503177598,17.252937872886488,11.954246696861537,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.641921881949481,386706317977478.8,,,3.0968000000000004,35.8,2023-08-06 02:49:00,0.00011203340145728617,1.0010411234459229,1.0,202.9886997944337,48,0.00011203340145728617,-9.302391,0.14648326,1.0010411234459229,1.3412932,7.236015e-05,0.3177554837281353,994.0370809127929,14418.777750038367,0.4567997885544149,-0.8895695325136995,,,0.6082953232194508,,,,0.0,0.0,0.0,0 days,0.00011027711,-5.1900912e-08,121468.42,0.9558045,-169.68681,1.0000000000000002,1.0000000000000002,1.0000000000000002,-3.4498225214180466e-13,2.061194e-12,2.177482e-16,4.602240870824238e-13,-1.3112472597561844e-13,-1.3112472597561844e-13,7.479999999999999e-16,2.296546451738208e-15,1.716211877790545e-12,1326.8313544732455,14.418777750038368,,0.00011027711,-5.1900912e-08,121468.42,0.9558045,-169.68681,0.0,1.0000000000000002,0.0,-3.4498225214180466e-13,2.061194e-12,2.177482e-16,0.0,-0.0,0.0,7.479999999999999e-16,2.3276502607837167e-14,1.716211877790545e-12,1326.8313544732455,14.418777750038368
49,49,50,801733.0,,4.54899550142898,99.00861267167828,243.32200126145696,11689.316698469049,0.7535284002834217,34610D,222.58022,-9.4906435,0.26284733,231.77070142284447,66528.8536755312,,,32.51214246915041,,-1.8806613548596336,0.0001152044469012,20300.65596009957,1.0251980183127885,0.2709345205762534,0.7145649213714855,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.491481454245948,0.6358828526441376,0.7749478322356479,17.171948887200227,11.9201689297713,36.28235538999999,1450000000000000.0,,,,,,,,,,,1.0,,4.632902753008864,386243901629197.9,,,3.0968000000000004,35.8,2023-08-06 02:50:00,0.00011520437493167236,1.0251963692727228,1.0,203.00655960099573,49,0.00011520437493167236,-9.4906435,0.26284733,1.0251963692727228,1.4956536,8.793396e-05,0.3177356552327288,996.25845428812,14417.839382223241,0.45683043852019706,-0.8895537928880098,,,0.6231776208331006,,,,0.0,0.0,0.0,0 days,0.00011226091,-8.978626e-08,121467.71,0.9694103,-165.58609,0.9950502188529049,0.9950502188529049,1.0,-3.4496661404801995e-13,2.0608365e-12,2.1811566e-16,4.589608178025099e-13,-1.5376773144449335e-13,-1.5376773144449335e-13,7.480000000000002e-16,-1.3304118726473929e-15,1.7158699616845358e-12,1327.1377136620974,14.41783938222324,,0.00011226091,-8.978626e-08,121467.71,0.9694103,-165.58609,0.0,0.9950502188529049,0.0,-3.4496661404801995e-13,2.0608365e-12,2.1811566e-16,0.0,0.0,0.0,7.480000000000002e-16,2.3272425158471544e-14,1.7158699616845358e-12,1327.1377136620974,14.41783938222324
50,50,51,801733.0,,4.608217983797656,98.8929007969688,243.2845251761325,11688.758766363437,0.7552033388613929,34610D,222.59695,-9.75879,0.4573265,231.42679538880083,66496.34153306205,,,32.5471551532216,,-1.880822249801873,0.0001172839568677,20302.442097893912,1.041628837731006,0.2712262929435133,0.7152145782082872,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.47595742251109,0.6347027128635767,0.7737688149380579,17.20242675135267,11.923589987820796,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.620188705358451,385585193336697.0,,,3.0968000000000004,35.8,2023-08-06 02:51:00,0.00011728397812328485,1.0416293237906995,1.0,203.02442097893916,50,0.00011728397812328485,-9.75879,0.4573265,1.0416293237906995,1.7191337,0.00010516845,0.31773972840211756,998.4731395500113,14416.888840588545,0.45686147794854604,-0.8895378519021381,,,0.6332702460986495,,,,0.0,0.0,0.0,0 days,0.00011372473,-1.2404935e-07,121465.766,0.980181,-164.97697,0.9999999999999997,0.9999999999999997,0.9999999999999997,-3.4495825622390153e-13,2.0605436e-12,2.2049963e-16,4.617227265293101e-13,-1.5741018934435903e-13,-1.5741018934435903e-13,7.48e-16,-1.9145202492418334e-15,1.7155854161059393e-12,1327.443039435801,14.416888840588545,,0.00011372473,-1.2404935e-07,121465.766,0.980181,-164.97697,0.0,0.9999999999999997,0.0,-3.4495825622390153e-13,2.0605436e-12,2.2049963e-16,0.0,-0.0,0.0,7.48e-16,2.327111004585561e-14,1.7155854161059393e-12,1327.443039435801,14.416888840588545
51,51,52,801733.0,,4.6674404661663305,98.77718892225928,243.247049090808,11688.20083425782,0.7568732063624569,34610D,222.61833,-9.937785,0.603751,231.1839712593671,66463.79437790882,,,32.44829256468571,,-1.880957747029908,0.0001203612577182,20304.22839284025,1.066220378041256,0.2704024380390475,0.7130524035770138,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.45906054353065,0.6334113975986645,0.7729198731022279,17.166757861318676,11.90543935005662,36.28235538999999,1450000000000000.0,,,,,,,,,,,1.0,,4.611208698658024,385124810671541.3,,,3.0968000000000004,35.8,2023-08-06 02:52:00,0.00012036129635945464,1.0662212594044125,1.0,203.04228392840258,51,0.00012036129635945464,-9.937785,0.603751,1.0662212594044125,1.9186722,0.00012135651,0.31773716645977496,1000.681121138915,14415.926126772609,0.45689290693930806,-0.8895217094532032,,,0.6483568191030346,,,,0.0,0.0,0.0,0 days,0.00011575304,-1.6633913e-07,121463.555,0.9976067,-165.19685,1.0,1.0,1.0,-3.449514879958525e-13,2.0601622e-12,2.2375948e-16,4.624319483057168e-13,-1.561830153506424e-13,-1.561830153506424e-13,7.479999999999998e-16,-1.7197857263328506e-15,1.7152105582099403e-12,1327.748365209505,14.415926126772609,,0.00011575304,-1.6633913e-07,121463.555,0.9976067,-165.19685,0.0,1.0,0.0,-3.449514879958525e-13,2.0601622e-12,2.2375948e-16,0.0,-0.0,0.0,7.479999999999998e-16,2.3269496729769936e-14,1.7152105582099403e-12,1327.748365209505,14.415926126772609
52,52,53,801733.0,,4.726662948535006,98.66147704754978,243.20957300548343,11687.642902152207,0.7585379910730145,34610D,222.62901,-10.138103,0.7693169,230.9131183205469,66431.34608534414,,,32.338142327340776,,-1.881000935980206,0.0001216496054856,20306.01484495238,1.076300344569539,0.2694845193945064,0.7104960538497099,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.462956515981837,0.6336922233772263,0.7719958174037441,17.127024952351075,11.885671564790146,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.601405349851971,384620670022536.06,,,3.0968000000000004,35.8,2023-08-06 02:53:00,0.00012164967990574747,1.0763020399112355,1.0,203.06014844952384,52,0.00012164967990574747,-10.138103,0.7693169,1.0763020399112355,2.0305488,0.00013066188,0.3177498784358565,1002.882383563828,14414.951242461007,0.45692472559274916,-0.8895053654374384,,,0.6545552291799112,,,,0.0,0.0,0.0,0 days,0.000116668976,-1.9168155e-07,121461.62,1.007537,-166.56697,1.0,1.0,1.0,-3.449431319420698e-13,2.0598861e-12,2.2571295e-16,4.628570996085192e-13,-1.4853646457915449e-13,-1.4853646457915449e-13,7.479999999999999e-16,-4.978617166585629e-16,1.7149430510424854e-12,1328.0536909832088,14.414951242461008,,0.000116668976,-1.9168155e-07,121461.62,1.007537,-166.56697,0.0,1.0,0.0,-3.449431319420698e-13,2.0598861e-12,2.2571295e-16,0.0,-0.0,0.0,7.479999999999999e-16,2.3267972616006155e-14,1.7149430510424854e-12,1328.0536909832088,14.414951242461008
53,53,54,801733.0,,4.785885430903681,98.54576517284028,243.1720969201589,11687.084970046595,0.760197681331424,34610D,222.62856,-10.420502,0.8539132,230.6079406739777,66399.0079430168,,,32.376845027514285,,-1.880926934634908,0.0001217839525003,20307.801454244127,1.0776443742275488,0.2698070418959524,0.711054413153874,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.471283689277875,0.6343146102854085,0.7709763247447582,17.157940089856687,11.890383458818071,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.590557041731034,384060991740480.94,,,3.0968000000000004,35.8,2023-08-06 02:54:00,0.00012178399676305374,1.0776453827075596,1.0,203.07801454244137,53,0.00012178399676305374,-10.420502,0.8539132,1.0776453827075596,2.1831024,0.00014111258,0.31777847774316037,1005.0769114024251,14413.964189351185,0.456956934010832,-0.8894888197495346,,,0.6553692998250005,,,,0.0,0.0,0.0,0 days,0.000116888936,-1.7390236e-07,121458.13,1.0115479,-168.58105,1.0000000000000002,1.0000000000000002,1.0000000000000002,-3.449441232809482e-13,2.0596782e-12,2.2633906e-16,4.6298752619373e-13,-1.3729589774423696e-13,-1.3729589774423696e-13,7.480000000000001e-16,1.2985387341574165e-15,1.7147341015630374e-12,1328.3553870864532,14.413964189351185,,0.000116888936,-1.7390236e-07,121458.13,1.0115479,-168.58105,0.0,1.0000000000000002,0.0,-3.449441232809482e-13,2.0596782e-12,2.2633906e-16,0.0,0.0,0.0,7.480000000000001e-16,2.326588237323533e-14,1.7147341015630374e-12,1328.3553870864532,14.413964189351185
54,54,55,801733.0,,4.845107913272356,98.43005329813076,243.13462083483444,11686.52703794098,0.7618522655281393,34610D,222.61148,-10.722886,0.7011655,230.3972379816801,66366.63109798929,,,32.43913985800384,,-1.880694616791717,0.0001213361960732,20309.58822072937,1.076055615030601,0.2703261654833653,0.7120041576088444,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.482451746648648,0.635154652570335,0.7703014468636893,17.19599790088556,11.899609919428883,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.583573640897885,383706626504638.7,,,3.0968000000000004,35.8,2023-08-06 02:55:00,0.00012133618036743768,1.0760552563978882,1.0,203.0958822072937,54,0.00012133618036743768,-10.722886,0.7011655,1.0760552563978882,2.4129682,0.00015428483,0.3178308211316223,1007.2646893012479,14412.964969151666,0.456989532297112,-0.8894720722826922,,,0.6542928999078946,,,,0.0,0.0,0.0,0 days,0.00011664258,-1.0419021e-07,121452.64,1.0104845,-172.37405,1.0,1.0,1.0,-3.4495706353231247e-13,2.0596463e-12,2.2378515e-16,4.626871923911695e-13,-1.1612731354149546e-13,-1.1612731354149546e-13,7.48e-16,4.682374455601263e-15,1.71468918944455e-12,1328.6547227385563,14.412964969151666,,0.00011664258,-1.0419021e-07,121452.64,1.0104845,-172.37405,0.0,1.0,0.0,-3.4495706353231247e-13,2.0596463e-12,2.2378515e-16,0.0,0.0,0.0,7.48e-16,2.3262744622240534e-14,1.71468918944455e-12,1328.6547227385563,14.412964969151666
55,55,56,801733.0,,4.904330395641032,98.31434142342128,243.09714474951,11685.969105835367,0.7635017321058153,34610D,222.57358,-10.99255,0.40074968,230.2855931922545,66334.19195813128,,,32.51245078322657,,-1.8802977942066297,0.0001204570274149,20311.37514442188,1.0733896062856327,0.2709370898602214,0.7130212607802113,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.479274747596103,0.6349242178389772,0.7699936998178786,17.23518846488076,11.91127364587105,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.580688613611784,383569997832326.5,,,3.0968000000000004,35.8,2023-08-06 02:56:00,0.00012045703610917087,1.073389805764955,1.0,203.1137514442188,55,0.00012045703610917087,-10.99255,0.40074968,1.073389805764955,2.6614492,0.00016689756,0.3179129104728634,1009.4457019758386,14411.953583618473,0.45702252055560766,-0.8894551229292006,,,0.6524301743159913,,,,0.0,0.0,0.0,0 days,0.000116066374,-3.6511967e-08,121447.31,1.0066208,-177.14227,0.9999999999999998,0.9999999999999998,0.9999999999999998,-3.4496906414651155e-13,2.0599093e-12,2.1994005e-16,4.618449684571682e-13,-8.951603547915304e-14,-8.951603547915304e-14,7.48e-16,8.939598719545307e-15,1.71494033492737e-12,1328.9540583906596,14.411953583618473,,0.000116066374,-3.6511967e-08,121447.31,1.0066208,-177.14227,0.0,0.9999999999999998,0.0,-3.4496906414651155e-13,2.0599093e-12,2.1994005e-16,0.0,0.0,0.0,7.48e-16,2.3262164396209787e-14,1.71494033492737e-12,1328.9540583906596,14.411953583618473
56,56,57,801733.0,,4.963552878009708,98.19862954871176,243.05966866418544,11685.411173729755,0.7651460695594435,34610D,222.51756,-11.195402,0.029223612,230.26707318378408,66301.67950734805,,,32.47236174559646,,-1.879694696081209,0.0001197338368985,20313.16222533551,1.0744856150899835,0.2706030145466371,0.7114064082229865,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.459916399014425,0.6334807916757865,0.7700286568556025,17.21831986545446,11.904865434963996,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.581622171502328,383636250123973.7,,,3.0968000000000004,35.8,2023-08-06 02:57:00,0.00011973393701789115,1.0744879284638122,1.0,203.13162225335512,56,0.00011973393701789115,-11.195402,0.029223612,1.0744879284638122,2.9386663,0.00018661826,0.31802092513650176,1011.6199342109232,14410.930034500572,0.45705589889260057,-0.889437971579512,,,0.6527397505038266,,,,0.0,0.0,0.0,0 days,0.00011547402,-3.4467835e-09,121445.445,1.0044638,-182.98145,1.0,1.0,1.0,-3.4496070540043955e-13,2.0605627e-12,2.1708316e-16,4.604822333326034e-13,-5.69279137512651e-14,-5.69279137512651e-14,7.48e-16,1.4159441935942984e-14,1.715601921536237e-12,1329.2533940427634,14.410930034500572,,0.00011547402,-3.4467835e-09,121445.445,1.0044638,-182.98145,0.0,1.0,0.0,-3.4496070540043955e-13,2.0605627e-12,2.1708316e-16,0.0,-0.0,0.0,7.48e-16,2.3267908136145398e-14,1.715601921536237e-12,1329.2533940427634,14.410930034500572
57,57,58,801733.0,,5.022775360378383,98.08291767400226,243.0221925788609,11684.85324162414,0.766785266436465,34610D,222.43079,-11.377521,-0.2708598,230.23321784964688,66269.20714560246,,,32.30766910020999,,-1.878965769856686,0.0001186343752157,20314.94946348411,1.0762541334212377,0.2692305758350832,0.7066959693224009,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.426483354518858,0.6309865810008849,0.7700656228262055,17.144631700323952,11.878040694589393,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.582578307159441,383703703905809.0,,,3.0968000000000004,35.8,2023-08-06 02:58:00,0.00011863439271704999,1.0762545422282312,1.0,203.14949463484118,57,0.00011863439271704999,-11.377521,-0.2708598,1.0762545422282312,3.2036123,0.00021474472,0.31817297648509457,1013.7873708605596,14409.894323582917,0.45708966741516566,-0.8894206181229966,,,0.6532581402380705,,,,0.0,0.0,0.0,0 days,0.00011447241,-4.8172364e-08,121446.91,1.0044131,-190.78467,1.0000000000000002,1.0000000000000002,1.0000000000000002,-3.449328770254086e-13,2.0617785e-12,2.181981e-16,4.582855443108296e-13,-1.3378430044037407e-14,-1.3378430044037407e-14,7.48e-16,2.1144642629588278e-14,1.716845641325596e-12,1329.550423864924,14.409894323582918,,0.00011447241,-4.8172364e-08,121446.91,1.0044131,-190.78467,0.0,1.0000000000000002,0.0,-3.449328770254086e-13,2.0617785e-12,2.181981e-16,0.0,0.0,0.0,7.48e-16,2.3285191436634273e-14,1.716845641325596e-12,1329.550423864924,14.409894323582918
58,58,59,801733.0,,5.081997842747057,97.96720579929276,242.98471649353644,11684.295309518528,0.7684193113368969,34610D,222.34503,-11.586042,-0.372918,230.0816850455493,66236.89947650225,,,32.04902707674608,,-1.8784892733412588,0.0001168749488484,20316.7368588815,1.071753520938746,0.2670752256395506,0.6998731112520308,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.398057473796385,0.6288727879970524,0.7697071994638677,17.03143366614781,11.835173500839796,36.28235539,1450000000000000.0,,,,,,,,,,,1.0,,4.579129520080408,383537126387003.4,,,3.0968000000000004,35.8,2023-08-06 02:59:00,0.00011687496291103555,1.0717538529723245,1.0,203.167368588815,58,0.00011687496291103555,-11.586042,-0.372918,1.0717538529723245,3.402134,0.0002415496,0.31832370298519697,1015.9479968483067,14408.846452673679,0.45712382623171216,-0.8894030624476618,,,0.6499808031370228,,,,0.0,0.0,0.0,0 days,0.00011318033,-8.755534e-08,121445.76,1.0022953,-198.25797,0.9999999999999999,0.9999999999999999,0.9999999999999999,-3.449206381936755e-13,2.0629616e-12,2.1801191e-16,4.561869618867251e-13,2.8329738631480934e-14,2.8329738631480934e-14,7.480000000000001e-16,2.7833301216634806e-14,1.718040856446506e-12,1329.8437636965082,14.408846452673679,,0.00011318033,-8.755534e-08,121445.76,1.0022953,-198.25797,0.0,0.9999999999999999,0.0,-3.449206381936755e-13,2.0629616e-12,2.1801191e-16,0.0,0.0,0.0,7.480000000000001e-16,2.330054303559786e-14,1.718040856446506e-12,1329.8437636965082,14.408846452673679
59,59,60,801733.0,,5.141220325115733,97.85149392458324,242.947240408212,11683.737377412914,0.7700481929134433,34610D,222.31801,-11.864751,-0.22637038,229.7493995235136,66204.8504494255,,,31.85182389291659,,-1.8783389500432628,0.0001162574432862,20318.52441154151,1.0697756237074902,0.2654318657743049,0.6949564858039676,cruise,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.330421547064756,0.6238131425192982,0.7686422743070302,16.95316242311095,11.801027720010646,36.0536180624072,1453436448922163.8,,,,,,,,,,,1.0,,4.567828236726866,382953326865363.4,,,3.0968000000000004,35.8,2023-08-06 03:00:00,0.00011625738235536602,1.0697741800863259,1.0,203.18524411541514,59,0.00011625738235536602,-11.864751,-0.22637038,1.0697741800863259,3.570324,0.00026983587,0.3183904021610141,1018.1017971673672,14407.7864235918,0.45715837545221444,-0.8893853044400342,,,0.6486087461223334,,,,0.0,0.0,0.0,0 days,0.00011283429,-8.4344386e-08,121442.05,0.9997961,-203.95311,0.9999999999999999,0.9999999999999999,0.9999999999999999,-3.4492351903216534e-13,2.0634113e-12,2.1743905e-16,4.556822921983141e-13,6.01140863806071e-14,6.01140863806071e-14,7.479999999999999e-16,3.292403254888634e-14,1.7184876677376656e-12,1330.137103528092,14.4077864235918,,0.00011283429,-8.4344386e-08,121442.05,0.9997961,-203.95311,0.0,0.9999999999999999,0.0,-3.4492351903216534e-13,2.0634113e-12,2.1743905e-16,0.0,0.0,0.0,7.479999999999999e-16,2.330577872798921e-14,1.7184876677376656e-12,1330.137103528092,14.4077864235918
