,climb,cruise,descent,Total
T4/T2 Teoh (2020) (Pycontrails),102.00503195282917,185.22246814461187,94.87180063934431,130.34582967700072
P3T3 Saluja (2023),-5.550114885553071,-17.24742910523049,-76.40201256098354,-42.52920253490414
MEEM Ahrens (2022),36.42146333989477,-6.399488716787305,139.56085306608938,67.51404080155486
Adjusted MEEM (This Work),0.0,0.0,0.0,0.0
