,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
87,87,88,-56.96278320633044,-20.12090250620909,12321.54,,,229.59083930782225,-0.8044753461513156,34610D,214.88399,10.602971,-5.8433566,240.2996986805648,69588.74254868011,0.37164175882761574,0.638181257648772,46.36143549557459,42.4714183657376,0.0,1.7261454240040977e-05,18374.38991485197,0.3739044613321283,0.3863452957964549,0.9983769224409164,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8177271150174603,21.235692086673303,15.728521890680945,36.28235539,1450000000000000.0,11.8082979877302,790.059294031322,1722.7037001255,0.001726145424,0.0286390512747794,0.319090628824386,21.2357091828688,11.1418016526752,11.141609332295552,0.001726145424004,0.7837456983894756,747578261679474.5,5.654590529143428,434773430259177.06,0.014302876735013641,1.1933432466793563e-05,3.16,35.8,2023-02-06 04:28:00,1.7261454240040973e-05,0.37390440874114683,0.0,87,183.74389914851977,1.7261454240040973e-05,10.602971,-5.8433566,0.37390440874114683,0.001704467,2.3562846e-08,0.2978868400101665,0.0,13713.999015958761,0.37790788765141614,-0.9258431986307643,1.3538158602840131,229.21980980129248,0.21088337585009853,0.0,1.0,220.67807746062732,28.117254249628648,82.67986972537157,0.3721685992109487,215.22119,1.785209287824255e-05,12280.200065137315,0.0,0.0023601246604917493,0.0037738727,165.35973945074315,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,13713.999015958761,0.0,2.042785e-05,-7.704676e-08,127228.695,0.42384872,-272.05084,0.0,0.0,1.0,-3.0853852993971135e-13,2.354851e-12,2.1687653e-16,0.0,0.0,0.0,7.48e-16,2.7566938791751902e-14,2.046312482460407e-12,1357.2325549178092,1.1207032855972676e-12,9.050737650475498e-14,0.0,2.042785e-05,-7.704676e-08,127228.695,0.42384872,-272.05084,0.0,0.0,1.0,-3.0853852993971135e-13,2.354851e-12,2.1687653e-16,0.0,0.0,0.0,7.48e-16,2.7566938791751902e-14,2.046312482460407e-12,1357.2325549178092,1.1207032855972676e-12,9.050737650475498e-14,0.0
88,88,89,-57.08435152617435,-20.07425404472305,12321.54,,,229.66514794973327,-0.804718568534479,34610D,214.87154,10.480639,-6.064718,240.30637257951784,69542.38111318453,0.371573583827353,0.642079849107676,46.44631085933498,42.721847216898,0.0,1.7582646586147205e-05,18374.38991485197,0.3814936907070578,0.3870525904944581,1.0,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.817773520164939,21.3605125341783,15.760021726047126,36.28235538999999,1450000000000000.0,11.858575446494,791.011851043624,1725.77163620304,0.00175826465861,0.0287207557983808,0.321039924553838,21.360923608449,11.1779761928109,11.177779657861558,0.0017582646586147,0.7878582392421241,753138332684704.9,5.655171770218272,434801468181861.94,0.014356387189982285,1.2046461735902749e-05,3.16,35.8,2023-02-06 04:29:00,1.7582646586147205e-05,0.3814935846919783,0.0,88,183.74389914851977,1.7582646586147205e-05,10.480639,-6.064718,0.3814935846919783,0.0026922536,4.2456293e-08,0.29790410004915596,0.0,13717.496154426628,0.37781219459580107,-0.9258822525649277,1.3536693662454589,229.2187051205103,0.2151377998957818,0.0,1.0,220.6937853110236,28.117254249628648,82.37985032761134,0.3786022804437608,215.20673,1.8126315900870982e-05,12280.350074836195,0.0,0.0023906760189407804,0.0039234567,164.75970065522267,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,13717.496154426628,0.0,2.106897e-05,-8.02356e-08,127228.625,0.44305474,-272.54077,0.0,0.0,0.9999999999999999,-3.0853293633130903e-13,2.3549559e-12,2.1712232e-16,0.0,0.0,0.0,7.479999999999999e-16,2.7568618988861138e-14,2.0464228201671457e-12,1357.30319485738,1.1318290160135517e-12,9.10602778643299e-14,0.0,2.106897e-05,-8.02356e-08,127228.625,0.44305474,-272.54077,0.0,0.0,0.9999999999999999,-3.0853293633130903e-13,2.3549559e-12,2.1712232e-16,0.0,0.0,0.0,7.479999999999999e-16,2.7568618988861138e-14,2.0464228201671457e-12,1357.30319485738,1.1318290160135517e-12,9.10602778643299e-14,0.0
89,89,90,-57.20591984601827,-20.02760558323701,12321.54,,,229.73945659164443,-0.8049566014387333,34610D,214.85764,10.347265,-6.295447,240.5534055542577,69495.9348023252,0.37178688856667497,0.640575111631608,46.4445578147462,42.6023994358146,0.0,1.7932651843451842e-05,18374.38991485197,0.3898087139566297,0.3870379817895516,1.0,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8186407102511047,21.30105939954152,15.761600690795667,36.28235539,1450000000000000.0,11.8418671782438,790.599228357373,1724.28947306454,0.00179326518435,0.0286799343125599,0.320287555815804,21.3011997179073,11.1676530470831,11.167452785040329,0.0017932651843451,0.7860767945285569,750807373337543.6,5.666043600073091,435325897717439.1,0.01433489590987082,1.1998732236874632e-05,3.16,35.8,2023-02-06 04:30:00,1.7932651843451842e-05,0.3898084285837144,0.0,89,183.74389914851977,1.7932651843451842e-05,10.347265,-6.295447,0.3898084285837144,0.0038539553,6.662152e-08,0.2979233726567797,0.0,13720.985648651413,0.37771676164563245,-0.9259211888556911,1.354129402657196,229.22217380182983,0.2197972968660049,0.0,1.0,220.71537713448325,28.117254249628648,82.03497999982504,0.38581150855765967,215.19043,1.8432045255964143e-05,12280.522510000088,0.0,0.002428614561597442,0.004073732,164.06995999965008,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,13720.985648651413,0.0,2.1730795e-05,-8.2781455e-08,127228.77,0.46513385,-273.13293,0.0,0.0,0.9999999999999998,-3.085260283325387e-13,2.3550667e-12,2.1731857e-16,0.0,0.0,0.0,7.480000000000001e-16,2.7570346504044638e-14,2.0465406101828795e-12,1357.3738347969513,1.1275510714504323e-12,9.084687479168397e-14,0.0,2.1730795e-05,-8.2781455e-08,127228.77,0.46513385,-273.13293,0.0,0.0,0.9999999999999998,-3.085260283325387e-13,2.3550667e-12,2.1731857e-16,0.0,0.0,0.0,7.480000000000001e-16,2.7570346504044638e-14,2.0465406101828795e-12,1357.3738347969513,1.1275510714504323e-12,9.084687479168397e-14,0.0
90,90,91,-57.327488165862185,-19.980957121750976,12321.54,,,229.8137652335556,-0.8051894421818474,34610D,214.84447,10.21961,-6.47985,240.5328464954769,69449.49024451044,0.3716218687447976,0.647347881639778,46.45606522621574,43.0374015315058,0.0,1.8394517787698948e-05,18374.38991485197,0.4005499776150922,0.3871338768851312,1.0,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8185958243349283,21.518716854957194,15.763056935910935,36.28235538999999,1450000000000000.0,11.9282690705537,792.267040300306,1729.69008667574,0.00183945177877,0.0288241526597043,0.323673940819889,21.5187007657529,11.2292612602063,11.22905470715975,0.0018394517787698,0.7933087993388102,760548137108398.4,5.665480407780839,435298731031354.6,0.014427888913973336,1.219700577470203e-05,3.16,35.8,2023-02-06 04:31:00,1.8394517787698945e-05,0.4005499829879764,0.0,90,183.74389914851977,1.8394517787698945e-05,10.21961,-6.47985,0.4005499829879764,0.005686699,1.1160316e-07,0.2979416354066559,0.0,13714.87094436362,0.3797827872210411,-0.9250756912440287,1.3537743309411179,229.2194966480189,0.22582527281573914,0.0,1.0,220.73683296484538,28.117254249628648,81.88324132914974,0.39538792835782816,215.17601,1.8853679150094375e-05,12280.598379335426,0.0,0.002452982397930441,0.0041265376,163.76648265829948,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,13714.87094436362,0.0,2.2490287e-05,-8.642343e-08,127229.34,0.48771486,-273.56265,0.0,0.0,1.0,-3.085167282025638e-13,2.3552002e-12,2.1759931e-16,0.0,0.0,0.0,7.48e-16,2.7572485473827567e-14,2.0466835512034807e-12,1357.4425062180537,1.146944678265315e-12,9.180739445245864e-14,0.0,2.2490287e-05,-8.642343e-08,127229.34,0.48771486,-273.56265,0.0,0.0,1.0,-3.085167282025638e-13,2.3552002e-12,2.1759931e-16,0.0,0.0,0.0,7.48e-16,2.7572485473827567e-14,2.0466835512034807e-12,1357.4425062180537,1.146944678265315e-12,9.180739445245864e-14,0.0
91,91,92,-57.44885528196083,-19.93407483191878,12321.54,,,229.88807387546663,-0.8054190664903866,34610D,214.8312,10.092431,-6.629935,240.93448035377065,69403.03417928424,0.37160399918580833,0.652749207408196,46.445763496759845,43.3220714640464,0.0,1.901646372792637e-05,18374.38991485197,0.4148247709383731,0.3870480291396653,1.0,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8199879823068597,21.661589705258795,15.764475594949994,36.28235538999999,1450000000000000.0,12.0017574888621,793.68212484955,1733.63155392993,0.00190164637279,0.0289239573932457,0.326374603704098,21.6610357320232,11.2838848179299,11.283670242424018,0.0019016463727926,0.7995428667185875,767520008609171.2,5.68297171088421,436142443942803.75,0.014505918797586382,1.2345136816338147e-05,3.16,35.8,2023-02-06 04:32:00,1.901646372792637e-05,0.4148255982638913,0.0,91,183.74389914851977,1.901646372792637e-05,10.092431,-6.629935,0.4148255982638913,0.008042101,1.7368811e-07,0.29796003909058005,0.0,13712.62589631226,0.3809839865746302,-0.9245816361867145,1.353736560170671,229.21921182896804,0.23384369240275962,0.0,1.0,220.76860984668545,28.117254249628648,81.82024593562008,0.40849187774993034,215.16222,1.944295433678475e-05,12280.62987703219,0.0,0.0024628677676795975,0.004098721,163.64049187124016,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,13712.62589631226,0.0,2.338295e-05,-9.0570516e-08,127230.41,0.5121552,-273.86014,0.0,0.0,1.0,-3.0850472081587413e-13,2.355377e-12,2.1791897e-16,0.0,0.0,0.0,7.479999999999999e-16,2.7575257769562164e-14,2.04687221477541e-12,1357.50865388424,1.1628764520718424e-12,9.257341479399627e-14,0.0,2.338295e-05,-9.0570516e-08,127230.41,0.5121552,-273.86014,0.0,0.0,1.0,-3.0850472081587413e-13,2.355377e-12,2.1791897e-16,0.0,0.0,0.0,7.479999999999999e-16,2.7575257769562164e-14,2.04687221477541e-12,1357.50865388424,1.1628764520718424e-12,9.257341479399627e-14,0.0
92,92,93,-57.57010167581231,-19.88705224507889,12321.54,,,229.96238251737776,-0.8056446537282003,34610D,214.82045,9.97048,-6.756966,241.28447737718105,69356.58841578747,0.3714830766646223,0.658287043435712,46.436125789438925,43.6120394871628,0.0,1.9587236524191275e-05,18374.38991485197,0.427888908082766,0.386967714911991,1.0,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8211997052616551,21.80569774638392,15.76560662662713,36.28235538999999,1450000000000000.0,12.0769983099212,795.176007115401,1737.70397138548,0.00195872365242,0.0290263173312716,0.329143521717856,21.8060197435814,11.3394860933065,11.339263988460749,0.0019587236524191,0.8061492613499146,774580959964317.8,5.698235798545512,436878700250509.6,0.014587049179264724,1.2496820978561643e-05,3.16,35.8,2023-02-06 04:33:00,1.9587236524191275e-05,0.4278886416480441,0.0,92,183.74389914851977,1.9587236524191275e-05,9.97048,-6.756966,0.4278886416480441,0.01137307,2.411898e-07,0.2979749495444974,0.0,13716.10554841646,0.380887990557307,-0.9246211865673515,1.353476776494783,229.21725268011926,0.24118246915211777,0.0,1.0,220.7963485461102,28.117254249628648,81.85043196598937,0.4204656055121306,215.1517,1.9984916081948804e-05,12280.614784017007,0.0,0.0024574974525160085,0.0040355665,163.70086393197874,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,13716.10554841646,0.0,2.4121528e-05,-9.537799e-08,127231.84,0.53393066,-274.01453,0.0,0.0,1.0,-3.0849047735051015e-13,2.3555155e-12,2.1828955e-16,0.0,0.0,0.0,7.48e-16,2.7577616376590128e-14,2.047025140426872e-12,1357.5749994997943,1.179389294449415e-12,9.335879512968743e-14,0.0,2.4121528e-05,-9.537799e-08,127231.84,0.53393066,-274.01453,0.0,0.0,1.0,-3.0849047735051015e-13,2.3555155e-12,2.1828955e-16,0.0,0.0,0.0,7.48e-16,2.7577616376590128e-14,2.047025140426872e-12,1357.5749994997943,1.179389294449415e-12,9.335879512968743e-14,0.0
93,93,94,-57.6913480696638,-19.840029658239008,12321.54,,,230.0366911592889,-0.8058650081255962,34610D,214.81107,9.84678,-6.877903,241.61652896800928,69310.15228999803,0.3712424315007597,0.664988542962238,46.42630467711774,43.966973250761,0.0,2.0209476359833123e-05,18374.38991485197,0.442033793345532,0.3868858723093145,1.0,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8223477630898252,21.98298332342807,15.766555938399168,36.28235538999999,1450000000000000.0,12.1665381380231,796.980596849317,1742.72156920628,0.00202094763598,0.0291536596784341,0.332494271481119,21.9834866253805,11.4048896484538,11.404659166263988,0.0020209476359833,0.814173348058118,783149653193973.6,5.712732137985978,437577903640001.7,0.014685645754362516,1.2680874156805017e-05,3.16,35.8,2023-02-06 04:34:00,2.0209476359833123e-05,0.44203357735939125,0.0,93,183.74389914851977,2.0209476359833123e-05,9.84678,-6.877903,0.44203357735939125,0.015958784,3.288377e-07,0.2979879610016198,0.0,13719.577454462147,0.38079225912408027,-0.9246606163296776,1.352959484787857,229.21335054949736,0.24913277098270376,0.0,1.0,220.8249988002873,28.117254249628648,81.94899085305065,0.43291418839163,215.14319,2.055318332680091e-05,12280.565504573475,0.0,0.002438057269070271,0.0039523635,163.8979817061013,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,13719.577454462147,0.0,2.4807237e-05,-9.781128e-08,127233.555,0.55380017,-274.05072,0.0,0.0,0.9999999999999998,-3.0847459124427093e-13,2.35563e-12,2.1847711e-16,0.0,0.0,0.0,7.479999999999999e-16,2.757949690056871e-14,2.0471553681278732e-12,1357.6413451153487,1.1995248952401458e-12,9.430920715373896e-14,0.0,2.4807237e-05,-9.781128e-08,127233.555,0.55380017,-274.05072,0.0,0.0,0.9999999999999998,-3.0847459124427093e-13,2.35563e-12,2.1847711e-16,0.0,0.0,0.0,7.479999999999999e-16,2.757949690056871e-14,2.0471553681278732e-12,1357.6413451153487,1.1995248952401458e-12,9.430920715373896e-14,0.0
94,94,95,-57.81259446351528,-19.793007071399124,12321.54,,,230.1109998012,-0.80608012713059,34610D,214.80412,9.751505,-6.98919,241.993510817396,69263.72598532091,0.3711965105634601,0.669571814477428,46.41220890210453,44.195572830745,0.0,2.0842065778296653e-05,18374.38991485197,0.4562915861576605,0.3867684075175377,1.0,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8236441757858737,22.09761620234375,15.767208763541976,36.28235539,1450000000000000.0,12.2285932251178,798.196968243883,1746.0318414024,0.00208420657783,0.0292370644959419,0.334785907238714,22.0977864153725,11.4507360096012,11.45049735758208,0.0020842065778296,0.8196165600071303,788763948675463.6,5.729141862855937,438369371003714.5,0.014753946065880279,1.2802471841491331e-05,3.16,35.8,2023-02-06 04:35:00,2.0842065778296656e-05,0.456292185746071,0.0,94,183.74389914851977,2.0842065778296656e-05,9.751505,-6.98919,0.456292185746071,0.022074258,4.3472855e-07,0.2979976024197125,0.0,13906.256024675078,0.3808166522343762,-0.9246505704216065,1.3528614175698024,229.2126106413151,0.2571517307842084,0.0,1.0,220.8571033897275,28.117254249628648,82.03903209400413,0.4449141893980175,215.1371,2.1105706705908446e-05,12280.520483953,0.0,0.002418404005729826,0.003874268,164.07806418800826,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,13906.256024675078,0.0,2.5451573e-05,-9.616683e-08,127235.67,0.5748704,-273.8698,0.0,0.0,1.0,-3.0845625290498014e-13,2.3556905e-12,2.1835035e-16,0.0,0.0,0.0,7.48e-16,2.7580396954553432e-14,2.0472343537906376e-12,1357.7076907309029,1.2134563715446512e-12,9.495921038664044e-14,0.0,2.5451573e-05,-9.616683e-08,127235.67,0.5748704,-273.8698,0.0,0.0,1.0,-3.0845625290498014e-13,2.3556905e-12,2.1835035e-16,0.0,0.0,0.0,7.48e-16,2.7580396954553432e-14,2.0472343537906376e-12,1357.7076907309029,1.2134563715446512e-12,9.495921038664044e-14,0.0
95,95,96,-57.93545254794032,-19.745341155488603,12321.54,,,230.1853084431111,-0.8062998617768774,34610D,214.80148,9.68996,-7.0852547,242.2559087414213,69217.31377641881,0.36854304728277937,0.70574678541413,46.40062770025875,46.2002357231506,99.09206225749335,2.1448120905072302e-05,18374.38991485197,0.4697253989549279,0.3866718975021562,1.0,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8245423210252197,23.099318393708263,15.767345585364268,36.28235538999999,1450000000000000.0,12.6934951419462,808.137672724785,1774.07544470658,0.00214481209051,0.029957869727988,0.352873392707065,23.1001178615753,11.7789881560702,11.778735524326564,0.0021448120905072,0.8647107755181308,809338811530006.1,5.740535405814828,438918884579226.9,0.015310125687124856,1.3927644142511229e-05,3.16,35.8,2023-02-06 04:36:00,2.1448120905072302e-05,0.46972562579417987,0.0,95,183.74389914851977,2.1448120905072302e-05,9.68996,-7.0852547,0.46972562579417987,0.029589329,5.5209506e-07,0.29800126493484225,0.0,13890.991078367319,0.3333972207404418,-0.9427864515374353,1.3471772242284383,229.1696423238775,0.26471563366775525,0.0,1.0,220.84861279775117,28.117254249628648,82.14274972268744,0.45598485298096714,215.13538,2.1625732320551978e-05,12280.468625138657,0.0,0.0023989345336295287,0.0037979255,164.28549944537488,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,13890.991078367319,0.0,2.6027405e-05,-9.223531e-08,127238.1,0.59768015,-273.48056,0.0053933503144161865,0.0053933503144161865,1.0,-3.0843600537948683e-13,2.3556697e-12,2.180473e-16,1.145345482347571e-15,2.3271317482282153e-15,1.145345482347571e-15,7.480000000000001e-16,2.7763339180866025e-14,2.0472335847537285e-12,1357.7744623156113,1.3272303755678082e-12,1.0008957370486028e-13,1.5909983876938423e-14,2.6027405e-05,-9.223531e-08,127238.1,0.59768015,-273.48056,0.0053933503144161865,0.0053933503144161865,1.0,-3.0843600537948683e-13,2.3556697e-12,2.180473e-16,1.145345482347571e-15,2.3271317482282153e-15,1.145345482347571e-15,7.480000000000001e-16,2.7763339180866025e-14,2.0472335847537285e-12,1357.7744623156113,1.3272303755678082e-12,1.0008957370486028e-13,1.5909983876938423e-14
96,96,97,-58.0605498972124,-19.70364980343286,12352.02,,,230.2596170850222,-0.8064590484060736,34610D,214.5644,9.811603,-7.1539083,242.8148744508689,69170.91314871855,0.36961837115984286,0.696214550364134,46.33622170171264,45.6039851634222,0.0,2.2372046243712712e-05,18286.28725004259,0.5032730356842577,0.3861351808476053,1.0,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8269012360876629,22.8010417453924,15.75715319144342,36.28235538999999,1450000000000000.0,12.5656952578585,805.700345517014,1767.4768264101,0.00223720462437,0.0297904761975265,0.348107275182067,22.8019925817111,11.6851866641517,11.684925248463689,0.0022372046243712,0.8535986083774503,816187962549532.1,5.733236324362198,437518720161799.25,0.015165768786133684,1.3568988925988922e-05,3.16,35.8,2023-02-06 04:37:00,2.2372046243712712e-05,0.5032741710834744,0.0,96,182.8628725004259,2.2372046243712712e-05,9.811603,-7.1539083,0.5032741710834744,0.038210295,7.329881e-07,0.2969000835873544,0.0,13888.554784617372,0.329942878030355,-0.944000898959872,1.3430058019810356,229.1380068960852,0.282972927295169,0.0,1.0,220.89559559776427,28.117254249628648,82.3149021609613,0.48595366988117633,214.89836,2.243939665615119e-05,12310.86254891952,0.0,0.0024125943043773646,0.0036558318,164.6298043219226,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,13888.554784617372,0.0,2.644394e-05,-9.1446026e-08,127532.05,0.6302983,-272.96558,0.07837184384920441,0.07837184384920441,1.0,-3.066714745353992e-13,2.3691424e-12,2.1798646e-16,1.6664994925357172e-14,3.377740767456136e-14,1.6664994925357172e-14,7.479999999999999e-16,3.044450689447054e-14,2.062470864900518e-12,1357.8289750499669,1.3066118683229073e-12,9.873770450428177e-14,2.314526950061936e-13,2.644394e-05,-9.1446026e-08,127532.05,0.6302983,-272.96558,0.07837184384920441,0.07837184384920441,1.0,-3.066714745353992e-13,2.3691424e-12,2.1798646e-16,1.6664994925357172e-14,3.377740767456136e-14,1.6664994925357172e-14,7.479999999999999e-16,3.044450689447054e-14,2.062470864900518e-12,1357.8289750499669,1.3066118683229073e-12,9.873770450428177e-14,2.314526950061936e-13
97,97,98,-58.18575447204632,-19.66239709939869,12352.02,,,230.33392572693333,-0.8066092181338358,34610D,214.58174,9.864353,-7.193871,243.3103889492521,69124.57692701684,0.3698521056088709,0.698286398839706,46.29662870981506,45.6754110396966,0.0,2.362446109118572e-05,18286.28725004259,0.5302187387005755,0.3858052392484588,1.0,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8285552904808043,22.83770954002244,15.75467624353301,36.28235539,1450000000000000.0,12.5952360270599,806.286133015722,1768.81707678865,0.00236244610912,0.0298218948774052,0.349143199419853,22.8377055198483,11.7076128413418,11.707336261831802,0.0023624461091185,0.8562896794026873,813780529213952.9,5.754235505790455,438531422951974.5,0.015199911095632505,1.3643417844616773e-05,3.16,35.8,2023-02-06 04:38:00,2.362446109118571e-05,0.5302192808253005,0.0,97,182.8628725004259,2.362446109118571e-05,9.864353,-7.193871,0.5302192808253005,0.049353532,9.3322205e-07,0.29687609157643396,0.0,13891.73846245379,0.32986787247309385,-0.9440271112156021,1.3435054009953862,229.1418003744022,0.2981731458614406,0.0,1.0,220.9636434295611,28.117254249628648,82.39736912941613,0.5086109525349722,214.9164,2.354193228266079e-05,12310.821315435292,0.0,0.0023995818668416293,0.0035678004,164.79473825883227,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,13891.73846245379,0.0,2.7155636e-05,-9.243177e-08,127534.78,0.6515763,-272.46237,0.15212789046296826,0.15212789046296826,1.0,-3.0665042843264213e-13,2.3689004e-12,2.1806245e-16,3.243579612899453e-14,6.54105019962119e-14,3.243579612899453e-14,7.480000000000002e-16,3.296504114573511e-14,2.0622501012927073e-12,1357.8829142384461,1.3133098898684095e-12,9.903153571256621e-14,4.50589596645463e-13,2.7155636e-05,-9.243177e-08,127534.78,0.6515763,-272.46237,0.15212789046296826,0.15212789046296826,1.0,-3.0665042843264213e-13,2.3689004e-12,2.1806245e-16,3.243579612899453e-14,6.54105019962119e-14,3.243579612899453e-14,7.480000000000002e-16,3.296504114573511e-14,2.0622501012927073e-12,1357.8829142384461,1.3133098898684095e-12,9.903153571256621e-14,4.50589596645463e-13
