,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
223,224,-73.587772898954,-14.010196545633391,12359.64,,,226.22326964582857,0.8631922561046343,34610D,214.04135,40.153786,13.835784,265.53247893647875,64742.59713271383,0.289981955140245,0.7751378409013545,46.50827045408127,45500.547189089535,0.0,2023-05-05 16:44:00,3.848723396361758e-05,0.1826432766939871,0.927458613670395,0.3875689204506772,1.0,0.0159923488044855,0.0006785657419544,0.0001471660542819,3.628235539e-05,1450000000000000.0,146.9196263644427,57.53073055169853,0.0558099245448975,0.0011389780519366,0.0009301654090816,0.7437764833950149,0.0315589190476913,0.0068444386542067,0.0016874295971892,6.743699215841784e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.9053698554743635,22.75027359454477,15.9923488044855,36.28235539,1450000000000000.0,16.9072459293105,856.773809436525,1872.40912127151,0.00384872339636,0.0321402690161849,0.341881473010615,22.7502938858401,10.6371689931548,10.636759613698933,0.003848723396361758,0.9097804078708523,18.79401667748392,759158880710784.9,14.927352252472737,6.798172440305591,488564063501462.0
224,225,-73.70698406420203,-13.961943310043536,12359.64,,,225.95134901114284,0.8636754365504345,34610D,214.06654,40.25562,13.901999,265.6080494542834,64696.08886225975,0.2903128184181547,0.7747912349128679,46.48747409477208,45453.390738820126,0.0,2023-05-05 16:45:00,3.936723123829016e-05,0.1826432766939871,0.9454636671821084,0.3873956174564339,1.0,0.0159889758551629,0.0006788293650297,0.0001472232283557,3.628235539e-05,1450000000000000.0,146.85393066538498,57.50500545523306,0.0557849689137264,0.0011384687533413,0.0009297494818954,0.743287100868822,0.0315570625215919,0.0068440360143388,0.0016866750562899,6.740683743741951e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.9055741902915458,22.726695369410063,15.988975855162913,36.28235538999999,1450000000000000.0,16.8946178916087,856.623466986777,1871.89508669888,0.00393672312383,0.0321256563374278,0.341522908503006,22.7266785949348,10.6308461036831,10.63042761318109,0.003936723123829016,0.9090630223947243,18.77794809069863,759510875559414.2,14.903748099019023,6.801191143815751,488709361666892.6
225,226,-73.82619522945008,-13.91369007445368,12359.64,,,225.67942837645717,0.8641531801198568,34610D,214.09494,40.30213,13.924647,265.65211670362163,64649.60138816497,0.290627218143454,0.7744008350082155,46.46405010049293,45408.46435705631,0.0,2023-05-05 16:46:00,4.073860304489555e-05,0.1826432766939871,0.9746806104783192,0.3872004175041078,1.0,0.0159850613201966,0.0006791264871699,0.0001472876676434,3.628235539e-05,1450000000000000.0,146.77993426745718,57.47602997430976,0.0557568601205915,0.0011378951045018,0.0009292810020098,0.742730690041068,0.0315549671244348,0.0068435815685678,0.0016858251786048,6.737287264571475e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.9056644088208238,22.704232178528155,15.985061320196632,36.28235539,1450000000000000.0,16.8815827268426,856.485948678565,1871.41656968458,0.00407386030449,0.0321120056242866,0.3411636408536,22.704202231225,10.6241772888697,10.623744492359974,0.0040738603044895546,0.9084068295684248,18.762563688517055,759725819540813.6,14.880061262560606,6.802524352629698,488773532294645.44
226,227,-73.94540639469813,-13.865436838863824,12359.64,,,225.4075077417714,0.8646254830770558,34610D,214.12982,40.30531,13.919849,265.637101305184,64603.13733806448,0.2909644869386134,0.7739215843365331,46.43529506019199,45360.14296519917,0.0,2023-05-05 16:47:00,4.253346848033831e-05,0.1826432766939871,1.01287595751819,0.3869607921682665,1.0,0.0159802201088612,0.0006794916863145,0.0001473668713429,3.628235539e-05,1450000000000000.0,146.68909709514648,57.44045998945749,0.0557223540722303,0.0011371908994332,0.0009287059012038,0.7420462358817856,0.0315523969449651,0.0068430241529072,0.0016847818780133,6.733117783727838e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.9055394492573822,22.680071482599587,15.980220108861252,36.28235539,1450000000000000.0,16.8651544647926,856.331181871196,1870.91392306846,0.00425334684803,0.0320979846654721,0.340735861216556,22.6800702847878,10.6154908093992,10.615039314959079,0.004253346848033831,0.9076683324907242,18.744586208470473,759939922553819.0,14.852869622144091,6.8006778188076344,488684654030815.0
227,228,-74.06453033775401,-13.817080919338036,12359.64,,,225.1355871070857,0.8650932691807627,34610D,214.16539,40.288853,13.916997,265.5606059948016,64556.70204300429,0.2913111184907597,0.773433245471533,46.40599472829198,45310.34192418758,0.0,2023-05-05 16:48:00,4.4836002585589216e-05,0.1826432766939871,1.062629128101481,0.3867166227357665,1.0,0.0159751417504121,0.0006798642757521,0.0001474476778352,3.628235539e-05,1450000000000000.0,146.59653734667435,57.40421547889719,0.0556871936739503,0.0011364733402847,0.0009281198945658,0.7413423438533449,0.0315497779965075,0.0068424561603207,0.0016837187929583,6.728869235602337e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.9052035336919164,22.65517096209379,15.97514175041218,36.28235538999999,1450000000000000.0,16.8459987312387,856.150558070434,1870.38140988247,0.00448360025856,0.0320836348865113,0.340252423495824,22.6551871319644,10.6051706640906,10.604695191949556,0.004483600258558922,0.9068064542153145,18.7235537384952,760309575022047.1,14.8234859823184,6.795716200693701,488445837673372.6
228,229,-74.18342239742094,-13.768452010811837,12359.64,,,224.8636664724,0.865558051913454,34610D,214.199,40.251316,13.932255,265.52583055473286,64510.296048276,0.2916824341110421,0.7729721833881896,46.37833100329138,45256.83770925734,0.0,2023-05-05 16:49:00,4.695557888947424e-05,0.1826432766939871,1.1078640179432209,0.3864860916940948,1.0,0.0159703629175855,0.0006802164205108,0.0001475240503242,3.628235539e-05,1450000000000000.0,146.50914763939747,57.36999545107144,0.0556539972039496,0.001135795861305,0.0009275666200658,0.7406787776344712,0.0315473023043252,0.0068419192368842,0.0016827150878564,6.72485799547725e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.9050139183938706,22.62841885462867,15.970362917585511,36.28235539,1450000000000000.0,16.8272663670178,855.956749454013,1869.78835050757,0.00469555788895,0.0320674243025236,0.339763651228669,22.6284390891957,10.5952897252783,10.594792240675424,0.004695557888947424,0.9058824958325825,18.702131966268077,760733161549580.8,14.792522764043198,6.792916931308347,488311100257766.25
229,230,-74.30231445708787,-13.719823102285638,12359.64,,,224.59174583771429,0.8660173499550309,34610D,214.22464,40.18479,13.967243,265.45750103639523,64463.91771727271,0.2920464279977837,0.7726206207164685,46.35723724298811,45204.229702396464,0.0,2023-05-05 16:50:00,4.906054312100304e-05,0.1826432766939871,1.1535600816589355,0.3863103103582342,1.0,0.0159665703898452,0.0006804851682418,0.0001475823358236,3.628235539e-05,1450000000000000.0,146.44251245059945,57.3439024695763,0.0556286846915857,0.0011352792794201,0.0009271447448597,0.7401660915189248,0.0315454123845201,0.0068415093546525,0.0016819497565486,6.721799400233276e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.90472691438244,22.60211485119823,15.966570389845234,36.28235539,1450000000000000.0,16.8077930156609,855.729554830677,1869.14020832151,0.0049060543121,0.0320501517246837,0.339254620488811,22.6021351317472,10.5851174560129,10.58459816987797,0.004906054312100304,0.904802775370386,18.679613088257693,761338861228010.8,14.758489850341249,6.788681886154259,488107253368835.94
230,231,-74.42120651675481,-13.67119419375944,12359.64,,,224.31982520302856,0.8664711597068618,34610D,214.24376,40.088993,14.011092,265.3397874871493,64417.56048002972,0.2923766664969846,0.77235873792769,46.341524275661406,45156.36312734517,0.0,2023-05-05 16:51:00,5.111821592920914e-05,0.1826432766939871,1.1988683908849105,0.386179368963845,1.0,0.0159635957320208,0.0006806855692495,0.000147625798415,3.628235539e-05,1450000000000000.0,146.39287518681436,57.324465528993166,0.0556098291307936,0.001134894472057,0.0009268304855132,0.7397773591422869,0.0315440068314705,0.0068412045209664,0.0016813796530838,6.719521019970904e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.9042853761908058,22.578181563672583,15.963595732020805,36.28235538999999,1450000000000000.0,16.7881621075558,855.490099075757,1868.5050669685,0.00511182159292,0.0320337197482783,0.338750253782765,22.5781986477059,10.5748023159556,10.57426177855871,0.0051118215929209145,0.9036647850668239,18.656258081076466,762137551337086.9,14.725707965854458,6.782171140752326,487793866630502.6
231,232,-74.54009857642174,-13.62256528523324,12359.64,,,224.0479045683429,0.8669194776172713,34610D,214.26407,39.949635,14.050815,265.2007823714083,64371.218955754055,0.2927131463871903,0.7720806464502545,46.32483878701528,45107.45645436866,0.0,2023-05-05 16:52:00,5.301136555123696e-05,0.1826432766939871,1.239892116709194,0.3860403232251272,1.0,0.0159605255324848,0.0006808984852058,0.0001476719752248,3.628235539e-05,1450000000000000.0,146.34016572818123,57.3038255795379,0.0555898065444183,0.0011344858478452,0.0009264967757403,0.7393687722484028,0.0315425125574829,0.0068408804456511,0.0016807742642549,6.717101624117214e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.903768780599614,22.55372822718433,15.960525532484873,36.28235539,1450000000000000.0,16.7674100402747,855.241927450087,1867.85795320149,0.00530113655512,0.0320170977246625,0.338222782606819,22.553745315378,10.5638176675299,10.563257694814828,0.005301136555123697,0.902485373430941,18.63202826894536,762965353087724.2,14.691701881611364,6.7745607231981415,487427544241114.5
232,233,-74.65899063608867,-13.573936376707042,12359.64,,,223.77598393365716,0.8673623001816022,34610D,214.28374,39.80558,14.091335,265.0569206240105,64324.89411696704,0.2930328672329605,0.7718111903504511,46.30867142102706,45060.85796744783,0.0,2023-05-05 16:53:00,5.43038713077885e-05,0.1826432766939871,1.266783460535162,0.3859055951752255,1.0,0.0159577152776243,0.0006811048739691,0.0001477167364293,3.628235539e-05,1450000000000000.0,146.28909301902448,57.28382654781048,0.0555704057052324,0.0011340899123516,0.0009261734284205,0.7389805934218093,0.0315410618118961,0.006840565810693,0.0016801876741364,6.714757356048924e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.9032370930187472,22.530428983723915,15.957715277624342,36.28235539,1450000000000000.0,16.74722521358,855.002901600397,1867.24152695524,0.00543038713078,0.0320013261057555,0.337712884848393,22.5304446430664,10.5530903229555,10.55251728041513,0.00543038713077885,0.901349426210383,18.608838120135765,763765325912575.0,14.658969904972583,6.766735954468535,487050899382256.3
