trajectory,season,diurnal,engine,saf_level,water_injection,untrimmed_min_altitude,untrimmed_max_altitude,trimmed_min_altitude,trimmed_max_altitude,fuel_sum,fuel_kg_sum,energy_sum,ei_co2_conservative_sum,ei_co2_optimistic_sum,co2_conservative_sum,co2_optimistic_sum,ei_nox_sum,nox_sum,ei_nvpm_mass_sum,nvpm_mass_sum,ei_nvpm_num_sum,nvpm_num_sum,nox_impact_sum,co2_impact_cons_sum,co2_impact_opti_sum,h2o_impact_sum,contrail_atr20_cocip_sum,contrail_atr20_accf_sum,contrail_atr20_accf_cocip_pcfa_sum,climate_non_co2_cocip,climate_total_cons_cocip,climate_total_opti_cocip,climate_non_co2_accf,climate_total_cons_accf,climate_total_opti_accf,climate_non_co2_accf_cocip_pcfa,climate_total_cons_accf_cocip_pcfa,climate_total_opti_accf_cocip_pcfa,accf_sac_pcfa_sum,accf_sac_issr_sum,accf_sac_sac_sum,contrail_formed,contrail_atr20_cocip_sum_relative_change,contrail_atr20_accf_sum_relative_change,contrail_atr20_accf_cocip_pcfa_sum_relative_change,nox_impact_sum_relative_change,co2_impact_cons_sum_relative_change,co2_impact_opti_sum_relative_change,h2o_impact_sum_relative_change,climate_non_co2_cocip_relative_change,climate_non_co2_accf_relative_change,climate_non_co2_accf_cocip_pcfa_relative_change,climate_total_cons_cocip_relative_change,climate_total_opti_cocip_relative_change,climate_total_cons_accf_relative_change,climate_total_opti_accf_relative_change,climate_total_cons_accf_cocip_pcfa_relative_change,climate_total_opti_accf_cocip_pcfa_relative_change,engine_display
bos_fll,2023-02-06,daytime,GTF2000,0,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,104.96976650557713,6298.1859903346285,271017241.3500894,650.25,650.25,24090.56141302995,24090.56141302995,2.067333289553725,88.71120537344986,0.0022468900443866,0.1117396126693441,9.113306804169962e+16,3.9833042716556114e+18,1.7134463581886938e-10,4.711043120770302e-12,4.711043120770302e-12,2.990284852220892e-12,-5.073619481392033e-12,-9.311606789185584e-12,-9.311606789185584e-12,1.6926130118969822e-10,1.7397234431046852e-10,1.7397234431046852e-10,1.650233138819047e-10,1.69734357002675e-10,1.69734357002675e-10,1.650233138819047e-10,1.69734357002675e-10,1.69734357002675e-10,5.828832189548876,7.850433569174726,18.527051345449884,True,-0.3428540567884202,0.0,0.0,0.001593080937574276,0.0,0.0,0.0,0.01755183016587312,0.0016542058520977122,0.0016542058520977122,0.017068427051205523,0.017068427051205523,0.001608218886677629,0.001608218886677629,0.001608218886677629,0.001608218886677629,CFM2008
bos_fll,2023-02-06,daytime,GTF,0,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,87.8769128011722,5272.614768070331,226885886.08483443,650.25,650.25,20167.75148786902,20167.75148786902,2.1035989754959954,71.27996167232929,0.0013748988181788,0.0552777372186535,1.1502902544441496e+17,3.7015303885588695e+18,1.3086536692144905e-10,3.943915846516607e-12,3.943915846516607e-12,2.514742189047532e-12,-5.465882735975245e-12,-1.0588167746694411e-11,-1.0588167746694411e-11,1.2791422637452135e-10,1.3185814222103796e-10,1.3185814222103796e-10,1.2279194136380218e-10,1.2673585721031879e-10,1.2673585721031879e-10,1.2279194136380218e-10,1.2673585721031879e-10,1.2673585721031879e-10,6.4202564154270645,7.850433569174726,20.363267964801704,True,-0.3095861374501284,0.06414951863937667,0.06414951863937667,-0.13237933970997667,-0.08863442070068743,-0.08863442070068743,-0.08638334736749798,-0.12187931689698361,-0.1451118504031822,-0.1451118504031822,-0.12092017832263689,-0.12092017832263689,-0.14346004813042335,-0.14346004813042335,-0.14346004813042335,-0.14346004813042335,GTF
bos_fll,2023-02-06,daytime,GTF2035,0,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,80.90410326305869,4854.24619578352,208883068.0507607,650.25,650.25,18567.491698871967,18567.491698871967,2.465027990375245,77.18525828627187,0.0013961525179313,0.0519589315606661,1.1213330964203072e+17,3.385353441364818e+18,1.4089070364046167e-10,3.630976154446073e-12,3.630976154446073e-12,2.317526711311768e-12,-5.4542763619880745e-12,-1.0588167746694411e-11,-1.0588167746694411e-11,1.3775395398978536e-10,1.4138493014423142e-10,1.4138493014423142e-10,1.3262006260507903e-10,1.3625103875952508e-10,1.3625103875952508e-10,1.3262006260507903e-10,1.3625103875952508e-10,1.3625103875952508e-10,6.4202564154270645,7.850433569174726,21.694683446841537,True,-0.31054679431365056,0.06414951863937667,0.06414951863937667,-0.0959570158622215,-0.12947308447644582,-0.12947308447644582,-0.12674868594267957,-0.08522637985744372,-0.10723113009799093,-0.10723113009799093,-0.08641890105824145,-0.08641890105824145,-0.10783859018919213,-0.10783859018919213,-0.10783859018919213,-0.10783859018919213,GTF2035
bos_fll,2023-02-06,daytime,GTF2035,20,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,80.5025409897305,4830.152459383829,208879943.1060537,637.5,528.0029999999999,18113.07172268936,15001.970523600236,2.464938250601036,76.79938911646929,0.0011669659865093,0.0441184097183798,9.372532908503528e+16,2.937388848674952e+18,1.4018564706111416e-10,3.542111803548142e-12,2.933718680170713e-12,2.3563578151988272e-12,-5.190002711647734e-12,-1.0588167746694411e-11,-1.0588167746694411e-11,1.3735200216466527e-10,1.408941139682134e-10,1.4028572084483598e-10,1.3195383712961859e-10,1.354959489331667e-10,1.348875558097893e-10,1.3195383712961859e-10,1.354959489331667e-10,1.348875558097893e-10,6.4202564154270645,7.850433569174726,25.80948036823935,True,-0.3328085438270359,0.06414951863937667,0.06414951863937667,-0.09844173750284359,-0.14163448135183188,-0.23248918499734197,-0.11856543937094581,-0.08667666671013853,-0.10971961099112794,-0.10971961099112794,-0.08814441866439764,-0.09029091377798568,-0.11058410435253284,-0.11280614701497645,-0.11058410435253284,-0.11280614701497645,GTF2035 - 20
bos_fll,2023-02-06,daytime,GTF2035,100,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,78.93529019175112,4736.117411505067,208867513.96478495,585.2249999999999,39.015,16304.084189106194,1086.9389459404129,2.464592064222048,75.2938703669647,0.0006726422714127,0.0270273220113883,5.626553689128726e+16,2.002258544923892e+18,1.3743497394003858e-10,3.1883542414252106e-12,2.1255694942834745e-13,2.504243990259048e-12,-7.44773151944623e-12,-1.0588167746694411e-11,-1.0588167746694411e-11,1.324914864108514e-10,1.3567984065227658e-10,1.3270404336027974e-10,1.2935105018360323e-10,1.3253940442502844e-10,1.2956360713303157e-10,1.2935105018360323e-10,1.3253940442502844e-10,1.2956360713303157e-10,6.4202564154270645,7.850433569174726,38.04360667227308,True,-0.1639038308632061,0.06414951863937667,0.06414951863937667,-0.10824418890962224,-0.19276013213771082,-0.9136579143724922,-0.08845906098519461,-0.10452582715555297,-0.1195496848157616,-0.1195496848157616,-0.1068199945425331,-0.11776834835385032,-0.12146636830749145,-0.13263699317451583,-0.12146636830749145,-0.13263699317451583,GTF2035 - 100
bos_fll,2023-02-06,daytime,GTF2035_wi,0,15,693.4200000000001,11459.633333333337,701.0400000000001,11459.633333333337,74.39271582439238,4463.562949463541,192071577.27836567,650.25,650.25,17073.12828169805,17073.12828169805,0.2012364840433367,5.9910512958534845,0.0011291651263859,0.0390347378882642,8.989683151610915e+16,2.537547826018066e+18,1.1446584505940167e-11,3.338745086198729e-12,3.338745086198729e-12,2.129397069656039e-12,-7.631361178653896e-12,-1.0588167746694411e-11,-1.0588167746694411e-11,5.94462039694231e-12,9.283365483141038e-12,9.283365483141038e-12,2.9878138289017945e-12,6.326558915100524e-12,6.326558915100524e-12,2.9878138289017945e-12,6.326558915100524e-12,6.326558915100524e-12,6.4202564154270645,7.850433569174726,34.22700942350696,True,-0.1520295133155542,0.06414951863937667,0.06414951863937667,-0.874383255042586,-0.17047629071576298,-0.17047629071576298,-0.16815259145029895,-0.929801788330524,-0.9643173816559943,-0.9643173816559943,-0.8953494730959821,-0.8953494730959821,-0.9279089743185766,-0.9279089743185766,-0.9279089743185766,-0.9279089743185766,GTF2035WI
bos_fll,2023-02-06,daytime,GTF2035_wi,20,15,693.4200000000001,11459.633333333337,701.0400000000001,11459.633333333337,74.02329429618847,4441.397657771308,192068241.71032023,637.5,528.0029999999999,16655.241216642404,13794.536985271903,0.2012257154693277,5.96097942757348,0.0009440658164099,0.0331541322073385,7.530031947478278e+16,2.204287634096908e+18,1.1389110830882335e-11,3.2570249490322922e-12,2.697598343786506e-12,2.165067191717231e-12,-7.437791633651842e-12,-1.0588167746694411e-11,-1.0588167746694411e-11,6.116386388947727e-12,9.37341133798002e-12,8.813984732734233e-12,2.9660102759051573e-12,6.22303522493745e-12,5.663608619691663e-12,2.9660102759051573e-12,6.22303522493745e-12,5.663608619691663e-12,6.4202564154270645,7.850433569174726,37.20312781483186,True,-0.1645535760832978,0.06414951863937667,0.06414951863937667,-0.8749745524394499,-0.182480641355017,-0.27176976867029995,-0.16007008900080566,-0.9278466315502955,-0.9645731628810027,-0.9645731628810027,-0.8943879966855159,-0.9003771928194453,-0.9290467749091742,-0.9352185917622582,-0.9290467749091742,-0.9352185917622582,GTF2035WI - 20
bos_fll,2023-02-06,daytime,GTF2035_wi,100,15,693.4200000000001,11459.633333333337,701.0400000000001,11459.633333333337,72.58529664123601,4355.117798474161,192065050.03050897,585.2249999999999,39.015,14992.493021247295,999.49953474982,0.2011810749862397,5.843876376995461,0.0005446895213983,0.0203358144719021,4.558214635292725e+16,1.50832536190012e+18,1.1165027192511607e-11,2.931865301932805e-12,1.9545768679552029e-13,2.301040395688292e-12,-6.489479295622844e-12,-1.0588167746694411e-11,-1.0588167746694411e-11,6.976588292577055e-12,9.908453594509859e-12,7.172045979372575e-12,2.877899841505487e-12,5.809765143438292e-12,3.073357528301007e-12,2.877899841505487e-12,5.809765143438292e-12,3.073357528301007e-12,6.4202564154270645,7.850433569174726,47.41551298662549,True,-0.2300661192076922,0.06414951863937667,0.06414951863937667,-0.8772835241872374,-0.2327880592619015,-0.9203270540609615,-0.13025932526165318,-0.9181145299005943,-0.9656074803797826,-0.9656074803797826,-0.8886950706792498,-0.9181764547741164,-0.9336023269428112,-0.9643177727916186,-0.9336023269428112,-0.9643177727916186,GTF2035WI - 100
bos_fll,2023-05-05,daytime,GTF1990,0,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,99.22470275088148,5953.482165052888,256184291.0443909,650.25,650.25,22772.069281327294,22772.069281327294,1.8451559623634872,72.48632436052617,0.0087055712225749,0.3353170725262163,9.935435146373522e+17,3.4902993382525567e+19,1.3886282140958326e-10,4.4532046594595615e-12,4.4532046594595615e-12,2.574721792259711e-12,-2.8240178399778226e-12,5.730907606635059e-11,5.730907606635059e-11,1.3861352536186514e-10,1.4306673002132468e-10,1.4306673002132468e-10,1.987466192681936e-10,2.0319982392765314e-10,2.0319982392765314e-10,1.987466192681936e-10,2.0319982392765314e-10,2.0319982392765314e-10,27.59445811976201,30.181716571604497,104.27326998185464,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CFM1990
bos_fll,2023-05-05,daytime,GTF2000,0,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,99.22470275088148,5953.482165052888,256184291.0443909,650.25,650.25,22772.069281327294,22772.069281327294,1.8517241473518544,72.82402411145083,0.0018726177029034,0.0848265064619946,9.456033402716422e+16,3.741762306773067e+18,1.4060041303120579e-10,4.4532046594595615e-12,4.4532046594595615e-12,2.574721792259711e-12,3.1337218785639e-13,5.730907606635059e-11,5.730907606635059e-11,1.4348850701132192e-10,1.4794171167078148e-10,1.4794171167078148e-10,2.004842108898161e-10,2.0493741554927567e-10,2.0493741554927567e-10,2.004842108898161e-10,2.0493741554927567e-10,2.0493741554927567e-10,27.59445811976201,30.181716571604497,104.27326998185464,True,-0.8002338344444121,0.0,0.0,0.006217603632547529,0.0,0.0,0.0,0.017280916441636138,0.004352348291675751,0.004352348291675751,0.016752028295504397,0.016752028295504397,0.004257370936916806,0.004257370936916806,0.004257370936916806,0.004257370936916806,CFM2008
