engine,saf_level,water_injection,fuel_kg_sum_change,ei_co2_conservative_sum_change,ei_co2_optimistic_sum_change,ei_nox_sum_change,ei_nvpm_num_sum_change,co2_conservative_sum_change,co2_optimistic_sum_change,nox_sum_change,nvpm_num_sum_change
GTF,0,0,-16.3,0.0,0.0,2.5,-86.0,-16.3,-16.3,-16.9,-87.8
GTF1990,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2000,0,0,0.0,0.0,0.0,0.1,-87.6,0.0,0.0,0.1,-86.3
GTF2035,0,0,-23.0,0.0,0.0,19.8,-86.6,-23.0,-23.0,-10.0,-88.9
GTF2035,20,0,-23.4,-2.0,-18.8,19.7,-88.5,-24.9,-37.8,-10.5,-90.3
GTF2035,100,0,-24.9,-10.0,-94.0,19.7,-92.5,-32.4,-95.5,-12.2,-93.3
GTF2035_wi,0,15,-29.7,-0.3,-0.3,-90.8,-89.4,-29.7,-29.7,-93.6,-91.9
GTF2035_wi,20,15,-30.0,-2.3,-19.1,-90.8,-90.9,-31.4,-43.2,-93.6,-92.9
GTF2035_wi,100,15,-31.5,-10.3,-94.0,-90.8,-94.0,-38.3,-95.9,-93.7,-95.1
