time,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza
2023-11-06 03:00:00,e80338,SKX5563,-23.425689697265625,-46.31471391157669,139.928888768,2362.2000000000003,-0.7735323041586669
2023-11-06 03:01:00,e80338,SKX5563,-23.478062516551915,-46.317469278971345,152.275555424,2910.84,-0.7727614155006288
2023-11-06 03:02:00,e80338,SKX5563,-23.51553706799524,-46.394907633463504,150.732222092,3924.3,-0.7722024829740921
2023-11-06 03:03:00,e80338,SKX5563,-23.552313335871304,-46.47906033497935,159.992222084,4716.780000000001,-0.7716490405525166
2023-11-06 03:04:00,e80338,SKX5563,-23.588763738082665,-46.56394526643573,159.47777764,5615.9400000000005,-0.7710922760781632
2023-11-06 03:05:00,e80338,SKX5563,-23.626355833926453,-46.651370930221844,175.425555404,6137.91,-0.7705178256957477
2023-11-06 03:06:00,e80338,SKX5563,-23.62904189804854,-46.75574200708161,191.887777612,6625.59,-0.770340027616239
2023-11-06 03:07:00,e80338,SKX5563,-23.59291076660156,-46.86345418294269,199.089999828,7162.8,-0.7705897166283449
2023-11-06 03:08:00,e80338,SKX5563,-23.55821228027344,-46.975962320963504,206.292222044,7658.1,-0.7708230179320147
2023-11-06 03:09:00,e80338,SKX5563,-23.52314758300781,-47.09089799360794,207.321110932,8237.220000000001,-0.7710576897567314
2023-11-06 03:10:00,e80338,SKX5563,-23.48748779296875,-47.207303133877815,210.407777596,8747.76,-0.7712953911063286
2023-11-06 03:11:00,e80338,SKX5563,-23.451004028320312,-47.32590553977269,214.00888870400001,9197.34,-0.771539661075206
2023-11-06 03:12:00,e80338,SKX5563,-23.4138669806012,-47.446136474609375,216.581110924,9585.960000000001,-0.7717881220658434
2023-11-06 03:13:00,e80338,SKX5563,-23.376392429157875,-47.56718953450519,219.153333144,9951.720000000001,-0.7720364207617911
2023-11-06 03:14:00,e80338,SKX5563,-23.33807373046875,-47.690901322798254,226.35555536,10165.08,-0.7722926042012033
2023-11-06 03:15:00,e80338,SKX5563,-23.298324326337426,-47.818450927734375,231.4999998,10340.34,-0.7725649419699305
2023-11-06 03:16:00,e80338,SKX5563,-23.25866181971662,-47.94469197591144,226.35555536,10736.58,-0.7728300411489126
2023-11-06 03:17:00,e80338,SKX5563,-23.219696044921875,-48.06903076171875,223.78333314,11033.76,-0.7730802470119013
2023-11-06 03:18:00,e80338,SKX5563,-23.18101501464844,-48.19247713955963,223.268888696,11262.36,-0.7733213545423504
2023-11-06 03:19:00,e80338,SKX5563,-23.14169311523437,-48.31752152876419,224.297777584,11422.380000000001,-0.7735670872255467
2023-11-06 03:20:00,e80338,SKX5563,-23.102783203125,-48.44066827947444,226.35555536,11567.16,-0.773800791062543
2023-11-06 03:21:00,e80338,SKX5563,-23.06244413731463,-48.56735229492188,228.92777758,11567.16,-0.7740507919146412
