,Unnamed: 0,index,longitude,latitude,altitude,groundspeed,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,rhi_emissions,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_nox,ei_co2,wingspan,time,issr_air_pressure,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_air_pressure,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,0,-4.458446502685547,36.64544677734375,624.84,100.831111024,34610D,295.0791,1.2606021,1.7037115,110.41911986560208,66646.07842391136,0.2522997294794344,1.3291428572737305,79.74857143642382,149136.75457227934,2781.242317853452,0.0086940605178519,0.4051960526589045,0.6645714286368651,1.0,0.0182096012674648,0.0003679609162958,7.980266735140049e-05,3.0839551193717703e-05,1531770294383954.8,251.9257371676628,98.64898286685629,0.0956982857237085,0.0019530262392593,0.0015949714287284,1.4521896875072122,0.0293443574190318,0.0063641487180903,0.0024594101514394,1.2215649274587075e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3206507460676785,74.56837728613968,18.209601267464823,30.839551193717703,1531770294383954.8,30.0378484160291,835.119758929615,1573.32406563492,0.869406051785,0.0224080176538329,0.763124432273833,74.56873050143,34.0558653631416,33.762333591671705,0.86940605178519,0.9558388389346408,20.52204214368833,1419221847556709.5,31.682963877466136,0.0182096012674648,3.16,35.8,2024-06-07 09:23:00,94040.35659516814,0.008735496229659268,0.407127657540133,0.0,0,940.4035659516813,94040.35659516814,0.008735496229659268,0.96996045,1.6105541,0.407127657540133,1.2928642,0.0,1.110243568122773,1014.9134328244254,7015.014079391221,-0.6572896549879692,0.7536380493617586,5.866705719520573,245.51968248710622,0.501454361988212,inf,0.0,237.1009486340079,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.008542442,-3.4569373e-07,6253.6772,0.4902864,-225.96382,0.0,0.0,1.0,-1.0195190754882544e-12,1.0547481e-11,2.3758472e-16,0.0,0.0,0.0,7.480000000000001e-16,1.2484909111544212e-13,9.527962030157622e-12,1319.3985326824331,1.3836408203155164e-11,1.8850010333284633e-13,0.0,0.008542442,-3.4569373e-07,6253.6772,0.4902864,-225.96382,0.0,0.0,0.0,-1.0195190754882544e-12,1.0547481e-11,2.3758472e-16,0.0,0.0,0.0,7.480000000000001e-16,1.2484909111544212e-13,9.527962030157622e-12,1319.3985326824331,1.3836408203155164e-11,1.8850010333284633e-13,0.0
1,1,1,-4.399623870849609,36.604248046875,1440.18,118.32222212,34610D,290.1539,-12.254487,3.8107622,139.5428945628349,66566.32985247493,0.2804704578064403,1.1933369608304656,71.60021764982794,103447.96368550837,2671.6419100154026,0.0080546383807015,0.4837089400015892,0.5966684804152328,0.9418300354805904,0.0167915708318968,0.0003850553186321,8.351006898783125e-05,2.801528968914705e-05,1574200756020579.0,226.1850875558065,88.56946923283716,0.0859202611797935,0.0017534747179549,0.0014320043529965,1.20228012624632,0.0275700446212887,0.0059793391154808,0.0020059008392659,1.1271311675559715e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4086492514735346,51.723981842754185,16.79157083189689,28.015289689147053,1574200756020579.0,24.3681809780839,799.855252897216,1483.12904471629,0.80546383807,0.0203643704302534,0.581721278423224,51.7238761051167,28.5656401908215,28.33739273965169,0.8054638380701499,0.8085015652329982,17.154807718878107,1319179975156542.0,21.30600153120455,0.0167915708318968,3.16,35.8,2024-06-07 09:24:00,85178.39178058632,0.00820331666315732,0.4926381063037912,0.0,1,851.7839178058632,85178.39178058632,0.00820331666315732,-12.065596,3.6959515,0.4926381063037912,1.2804203,0.0,1.0226887357773704,1018.6026078873053,7154.666527832962,-0.24911119964419656,0.9684748887874323,5.519382241084564,244.78537429004766,0.5794536420397025,inf,0.0,236.95106373756897,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.008022023,2.7163645e-07,14581.286,0.5661671,-228.24629,0.0,0.0,1.0,-9.708737355102766e-13,9.157152e-12,2.6518717e-16,0.0,0.0,0.0,7.48e-16,1.0743479741819405e-13,8.186277710703602e-12,1319.6353501935578,9.842198999512107e-12,1.6924000245454532e-13,0.0,0.008022023,2.7163645e-07,14581.286,0.5661671,-228.24629,0.0,0.0,0.0,-9.708737355102766e-13,9.157152e-12,2.6518717e-16,0.0,0.0,0.0,7.48e-16,1.0743479741819405e-13,8.186277710703602e-12,1319.6353501935578,9.842198999512107e-12,1.6924000245454532e-13,0.0
2,2,2,-4.322477300116361,36.58828993975106,2217.42,135.298888772,34610D,288.72867,-5.7371736,10.223558,145.63907830634687,66494.72963482511,0.2835861421001885,1.168961409042323,70.13768454253938,108824.79236058882,3005.4719928579057,0.0056536427838742,0.3423094915327815,0.5844807045211615,1.0,0.0181036970007076,0.0004178732896688,9.062756845529366e-05,3.160183637637858e-05,1520318057348993.5,221.56494546988188,86.76031577912121,0.0841652214510472,0.0017176575806336,0.0014027536908507,1.2697513892893522,0.0293086649695437,0.0063564078071747,0.0022164796307313,1.0663158831067e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4275531962324992,54.41239618029441,18.10369700070769,31.60183637637858,1520318057348993.5,25.1009859053549,822.225423010515,1536.90934761853,0.565364278387,0.0214741114293563,0.619975864497761,54.4123185681898,28.8708506769794,28.70854283096756,0.56536427838742,0.9010330926687026,19.609597183772276,1219098948699629.8,23.376825001342212,0.0181036970007076,3.16,35.8,2024-06-07 09:25:00,77372.3179826334,0.005658350348539641,0.3425946252910111,0.0,2,773.723179826334,77372.3179826334,0.005658350348539641,-5.6733317,10.186295,0.3425946252910111,1.2663215,0.0,0.9335512106121732,1022.4329422493857,8222.004453059662,0.33662085790962526,0.9416402699652282,5.024393147541415,243.66462697401346,0.39759639920106465,inf,0.0,234.78582414203044,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.005533301,1.3061687e-06,22645.295,0.383683,-230.54301,0.0,0.0,1.0,-9.237153372270566e-13,8.386471e-12,3.1162133e-16,0.0,0.0,0.0,7.48e-16,9.807544715423275e-14,7.462755832302e-12,1319.727080185437,9.475844585992633e-12,1.6578304219950948e-13,0.0,0.005533301,1.3061687e-06,22645.295,0.383683,-230.54301,0.0,0.0,0.0,-9.237153372270566e-13,8.386471e-12,3.1162133e-16,0.0,0.0,0.0,7.48e-16,9.807544715423275e-14,7.462755832302e-12,1319.727080185437,9.475844585992633e-12,1.6578304219950948e-13,0.0
3,3,3,-4.236222936751972,36.61300917803231,3086.1000000000004,152.275555424,34610D,282.65594,-5.027167,11.661943,152.15103563929642,66424.59195028257,0.2885216717822181,1.1310464534390612,67.86278720634367,98492.0591067128,2287.210523828943,0.0030542816214399,0.2616115053279639,0.5655232267195306,1.0,0.01862878593587,0.0004356199933874,9.447643998137088e-05,3.3766942614562964e-05,1487790454281846.2,214.37854478483965,83.94626777424712,0.0814353446476124,0.0016619458091349,0.0013572557441268,1.2642013358784756,0.0295623869140791,0.0064114345424686,0.0022915188412609,1.009656070065583e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4514431324406882,49.2460295533564,18.62878593587003,33.766942614562964,1487790454281846.2,23.1998356064577,813.474258796101,1521.28048088798,0.305428162144,0.0211401266608692,0.567890356342045,49.2455305584163,26.8631482418325,26.781350455339417,0.30542816214399,0.8645369111944778,19.53110469065148,1195417905953175.2,20.56055635690409,0.01862878593587,3.16,35.8,2024-06-07 09:26:00,69344.03928345334,0.003030775940598661,0.2595981886906467,0.0,3,693.4403928345334,69344.03928345334,0.003030775940598661,-5.0140047,11.643089,0.2595981886906467,1.2569908,0.0,0.8546601759616732,1026.2575422343016,9734.594086991396,0.8806545008221959,0.4737590634295125,4.524064913123043,242.42749653342574,0.2844115273784368,inf,0.0,233.07954065319637,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0029637958,1.9844164e-07,31659.031,0.2732792,-232.23616,0.0,0.0,0.9999999999999999,-8.709343973207238e-13,7.0369552e-12,2.2623403e-16,0.0,0.0,0.0,7.48e-16,8.113250557549909e-14,6.166020887658261e-12,1319.5849896787622,7.795091843232146e-12,1.604059128638904e-13,0.0,0.0029637958,1.9844164e-07,31659.031,0.2732792,-232.23616,0.0,0.0,0.0,-8.709343973207238e-13,7.0369552e-12,2.2623403e-16,0.0,0.0,0.0,7.48e-16,8.113250557549909e-14,6.166020887658261e-12,1319.5849896787622,7.795091843232146e-12,1.604059128638904e-13,0.0
4,4,4,-4.184622257313833,36.68991347490731,3749.04,174.91111096,34610D,276.65546,-3.87753,9.268916,166.0471201986012,66356.72916307622,0.2975992970229858,1.1170340020905365,67.02204012543218,92336.5688553566,2094.6824127800937,0.0021319589428569,0.2686130664519654,0.5585170010452682,1.0,0.0188064902532008,0.0004426726279242,9.600600201626472e-05,3.545190083408647e-05,1462476383691320.2,211.72262475624024,82.90626363515962,0.0804264481505186,0.0016413560847044,0.0013404408025086,1.2604493443685796,0.0296688226311671,0.0064345181194164,0.0023760587202249,9.801815087025662e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4979880645262577,46.16828442767831,18.80649025320089,35.451900834086466,1462476383691320.2,22.5870857490938,810.121771043264,1515.92966023461,0.213195894286,0.0210358052762034,0.551411493518836,46.168343056978,26.2129966634848,26.157230521953156,0.21319589428569,0.8507346211129369,19.41007136779078,1210211731959736.8,19.939053753976356,0.0188064902532008,3.16,35.8,2024-06-07 09:27:00,63682.73221635501,0.0020912096516914635,0.2634791493024789,0.0,4,636.8273221635501,63682.73221635501,0.0020912096516914635,-3.9257789,9.377092,0.2634791493024789,1.2849733,0.0,0.801908636736368,1029.5417489564836,11300.750988592325,0.9530471581850851,0.30282191841961104,4.205009022468694,241.5736384323697,0.27252632128332693,inf,0.0,232.24607443090903,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.002044994,3.114354e-07,38533.082,0.26310974,-231.8907,0.0,0.0,1.0,-8.306118935378993e-13,5.969717e-12,2.3494396e-16,0.0,0.0,0.0,7.480000000000001e-16,6.779130906827444e-14,5.139105007705613e-12,1319.1429303246628,6.477581537603792e-12,1.5841865580368159e-13,0.0,0.002044994,3.114354e-07,38533.082,0.26310974,-231.8907,0.0,0.0,0.0,-8.306118935378993e-13,5.969717e-12,2.3494396e-16,0.0,0.0,0.0,7.480000000000001e-16,6.779130906827444e-14,5.139105007705613e-12,1319.1429303246628,6.477581537603792e-12,1.5841865580368159e-13,0.0
5,5,5,-4.146251678466797,36.78662109375,4358.64,191.887777612,34610D,271.73248,-3.3809345,8.6471,180.8822615701432,66289.70712295079,0.3012828438804102,1.093112501801174,65.58675010807045,97108.76217640184,2666.167768617944,0.0013023387647952,0.2265838299223821,0.546556250900587,1.0,0.0188973008997947,0.0004524702173944,9.813088468372616e-05,3.628235539e-05,1450000000000000.0,207.1885435913945,81.13080988368316,0.0787041001296845,0.0016062061250956,0.0013117350021614,1.2394125518318535,0.0296760510795952,0.0064360858116354,0.0023796417762961,9.510078765670214e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5473718088144719,48.55438108820092,18.89730089979476,36.28235538999999,1450000000000000.0,23.9388218172189,828.180115860787,1562.49677417224,0.13023387648,0.0220646723764745,0.602816676073047,48.5540750477767,27.3204453611455,27.28491116364309,0.13023387647952,0.926433659229188,21.43538708809292,1122814231116917.6,23.137424359522928,0.0188973008997947,3.16,35.8,2024-06-07 09:28:00,58812.961183990294,0.0012626141046503106,0.21967258424230895,0.0,5,588.129611839903,58812.961183990294,0.0012626141046503106,-3.406237,8.695613,0.21967258424230895,1.3672656,0.0,0.7540045084462786,1032.601136410205,11778.588841101398,0.9546314067902358,0.2977899883637715,3.90114306125799,240.7053009171139,0.2166540892836099,inf,0.0,231.203603267479,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0012347103,6.015728e-07,44811.246,0.20979781,-231.3603,0.0,0.0,1.0,-7.937712734278991e-13,5.147136e-12,2.5730873e-16,0.0,0.0,0.0,7.480000000000002e-16,5.759905216461036e-14,4.353364878831282e-12,1318.5833600806757,5.395615073527431e-12,1.5502608949544402e-13,0.0,0.0012347103,6.015728e-07,44811.246,0.20979781,-231.3603,0.0,0.0,0.0,-7.937712734278991e-13,5.147136e-12,2.5730873e-16,0.0,0.0,0.0,7.480000000000002e-16,5.759905216461036e-14,4.353364878831282e-12,1318.5833600806757,5.395615073527431e-12,1.5502608949544402e-13,0.0
6,6,6,-4.106899829621,36.88751220703125,5135.88,197.546666496,34610D,266.2956,-2.7179775,9.725347,192.632960463874,66224.12037284272,0.3136165235175544,1.0546400267211855,63.27840160327113,80384.69682125101,2038.6405323978831,0.0006416318735281,0.1597770398778528,0.5273200133605928,1.0,0.0187704888334047,0.0004702644623962,0.0001019900668733,3.628235539e-05,1450000000000000.0,199.89647066473347,78.27538278324639,0.0759340819239253,0.0015496751413045,0.0012655680320654,1.1877665306899008,0.0297575835112594,0.0064537684111569,0.002295889455481,9.175368232474314e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5888515233194277,40.19234841062551,18.77048883340473,36.28235538999999,1450000000000000.0,21.0549385443288,806.473911805498,1510.13668196067,0.0641631873528,0.0209129520250361,0.512349029823577,40.1926612208693,24.4991251933354,24.483415853351048,0.06416318735281,0.8356517433826001,19.31564803367626,1111222087087937.2,18.159825870496302,0.0187704888334047,3.16,35.8,2024-06-07 09:29:00,53045.83483154943,0.0006387100025199285,0.15904936512279763,0.0,6,530.4583483154943,53045.83483154943,0.0006387100025199285,-2.7134047,9.770877,0.15904936512279763,1.5106833,0.0,0.6939525034621659,1035.6319483317973,12089.376452152546,0.9540632768454985,0.2996051798197582,3.579902369163976,239.71959443636737,0.14877696944492724,inf,0.0,230.02188117106024,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0006245945,8.648917e-07,52815.74,0.15130723,-231.74538,0.0,0.0,0.9999999999999999,-7.46858874136769e-13,4.3027873e-12,2.7760623e-16,0.0,0.0,0.0,7.48e-16,4.725267435346152e-14,3.5559283163750463e-12,1317.9932876110029,4.2236126397227615e-12,1.4956989230161993e-13,0.0,0.0006245945,8.648917e-07,52815.74,0.15130723,-231.74538,0.0,0.0,0.0,-7.46858874136769e-13,4.3027873e-12,2.7760623e-16,0.0,0.0,0.0,7.48e-16,4.725267435346152e-14,3.5559283163750463e-12,1317.9932876110029,4.2236126397227615e-12,1.4956989230161993e-13,0.0
7,7,7,-4.066168602476694,36.99110412597656,5730.240000000001,208.864444264,34610D,262.36072,-1.3935978,10.899328,201.10255422872052,66160.84197123945,0.3176935267264298,1.0223359024591734,61.3401541475504,77143.72215700426,2170.201654730888,0.0004540332073505,0.1475082932588005,0.5111679512295867,1.0,0.0185311621544399,0.0004859415005118,0.0001053900732392,3.628235539e-05,1450000000000000.0,193.7735469521117,75.87777068051984,0.0736081849770604,0.0015022078566747,0.001226803082951,1.1367043430866008,0.0298077265480863,0.0064646433381143,0.0022255652724588,8.894322351394808e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.619334686555496,38.57186107850213,18.531162154439983,36.28235539,1450000000000000.0,20.4788244972727,807.097681831237,1514.77478257119,0.0454033207351,0.0210449961939235,0.500626051245563,38.5711864978478,23.788365017149,23.777569211137067,0.04540332073505,0.8382254517225902,19.263569420158515,1083164824010038.4,17.72012798106673,0.0185311621544399,3.16,35.8,2024-06-07 09:30:00,48952.171669891104,0.00045594634001183,0.1481298837361134,0.0,7,489.52171669891106,48952.171669891104,0.00045594634001183,-1.3909073,10.909297,0.1481298837361134,1.6640764,0.0,0.6500033545123958,1038.641099479913,12806.645201236752,0.9543698592134923,0.29862714515733363,3.322850136606584,238.87274284457024,0.13332778456000519,inf,0.0,229.1913998887339,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00044586993,1.0531733e-06,58906.406,0.14303713,-232.16083,0.0,0.0,1.0,-7.111606934152039e-13,3.7539164e-12,2.9211961e-16,0.0,0.0,0.0,7.48e-16,4.0595946924377726e-14,3.0427559475826005e-12,1317.3874191904629,3.4587139005697115e-12,1.4498849555548194e-13,0.0,0.00044586993,1.0531733e-06,58906.406,0.14303713,-232.16083,0.0,0.0,0.0,-7.111606934152039e-13,3.7539164e-12,2.9211961e-16,0.0,0.0,0.0,7.48e-16,4.0595946924377726e-14,3.0427559475826005e-12,1317.3874191904629,3.4587139005697115e-12,1.4498849555548194e-13,0.0
8,8,8,-4.023099858710111,37.10087585449219,6362.700000000001,215.037777592,34610D,258.16962,0.8116654,12.407049,205.7208375478123,66099.50181709189,0.3205243292252457,0.9916212355112384,59.49727413067431,71740.46178844474,1882.539808898431,0.00034891820141,0.1520535425624175,0.4958106177556192,1.0,0.0182422114341604,0.0005034647464494,0.0001091904816645,3.628235539e-05,1450000000000000.0,187.95188897880013,73.59812809964413,0.0713967289568091,0.0014570761011593,0.0011899454826134,1.0853618544479675,0.0299547800346323,0.0064965360200541,0.0021587012447453,8.627104748947774e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.63867944943565,35.87023089422237,18.24221143416048,36.28235539,1450000000000000.0,19.2901165597228,801.22310445463,1504.30457793844,0.034891820141,0.0208603572603402,0.469151865113207,35.8696814076725,22.4901165046277,22.482272030707136,0.034891820141,0.8141466069815152,18.596107914900188,1013543935867507.2,16.411256926357787,0.0182422114341604,3.16,35.8,2024-06-07 09:31:00,44880.94387389205,0.0003501373539929321,0.1525849777682186,0.0,8,448.8094387389205,44880.94387389205,0.0003501373539929321,0.7978851,12.403082,0.1525849777682186,1.7368586,0.0,0.6056187257546128,1041.6293605961127,13196.043753236032,0.9548374746355329,0.29712858669545433,3.058910227038995,237.94059305776267,0.13179720213234367,inf,0.0,228.33935688921645,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00034239932,1.0396479e-06,65353.324,0.14791936,-230.11658,0.0,0.0,0.9999999999999999,-6.734016203580993e-13,3.2389417e-12,2.9107702e-16,0.0,0.0,0.0,7.479999999999999e-16,3.439109747171151e-14,2.5655400342399653e-12,1316.735287559432,2.7845392892231777e-12,1.4063251691719222e-13,0.0,0.00034239932,1.0396479e-06,65353.324,0.14791936,-230.11658,0.0,0.0,0.0,-6.734016203580993e-13,3.2389417e-12,2.9107702e-16,0.0,0.0,0.0,7.479999999999999e-16,3.439109747171151e-14,2.5655400342399653e-12,1316.735287559432,2.7845392892231777e-12,1.4063251691719222e-13,0.0
9,9,9,-3.978862356632306,37.21408081054688,6911.34,222.239999808,34610D,254.31917,1.8419291,14.187235,210.63908350776384,66040.00454296122,0.3233248765796906,0.9674832979916232,58.04899787949739,67537.63995287396,1672.4200519177018,0.0002727956879266,0.1579571300436461,0.4837416489958116,1.0,0.0180106372196899,0.0005179909155971,0.000112340889746,3.628235539e-05,1450000000000000.0,183.37678430133224,71.80661037693828,0.0696587974553968,0.0014216081113346,0.0011609799575899,1.0454994417741814,0.0300688535610986,0.0065212760706492,0.0021061543710972,8.417104692527122e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6588804573547443,33.76881997643698,18.010637219689997,36.282355390000006,1450000000000000.0,18.3947916750076,796.649469082263,1496.79180426545,0.0272795687927,0.0207382503020973,0.446051624249182,33.7688505843163,21.5086430991756,21.502777234267644,0.02727956879266,0.7951684166577567,18.10430495976805,961395498391386.2,15.43168055636973,0.0180106372196899,3.16,35.8,2024-06-07 09:32:00,41575.489665763846,0.0002718801627885876,0.15742712237749146,0.0,9,415.7548966576385,41575.489665763846,0.0002718801627885876,1.843599,14.17466,0.15742712237749146,1.7460277,0.0,0.5695091737908294,1044.589039964921,13636.878135378027,0.9592570861921389,0.2825346750226731,2.8451588283281986,237.13199752783564,0.13091607628980964,inf,0.0,227.6014304541991,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0002658716,7.28229e-07,71064.41,0.14993757,-227.5231,0.0,0.0,1.0,-6.399662917918072e-13,2.8596058e-12,2.6707182e-16,0.0,0.0,0.0,7.48e-16,2.987038432618568e-14,2.2196394233634507e-12,1316.0618394661392,2.3206317780664415e-12,1.372092553078104e-13,0.0,0.0002658716,7.28229e-07,71064.41,0.14993757,-227.5231,0.0,0.0,0.0,-6.399662917918072e-13,2.8596058e-12,2.6707182e-16,0.0,0.0,0.0,7.48e-16,2.987038432618568e-14,2.2196394233634507e-12,1316.0618394661392,2.3206317780664415e-12,1.372092553078104e-13,0.0
