longitude,latitude,altitude,time,icao24,callsign,groundspeed,cos_sza
140.88292902166194,41.94813537597656,7406.64,2023-02-05 15:09:00,885974.0,TVJ571,205.7777776,-0.8961483511962038
140.82601148028706,41.85195146980932,8130.54,2023-02-05 15:10:00,885974.0,TVJ571,194.459999832,-0.8966779184544293
140.76189214533025,41.754913330078125,8275.32,2023-02-05 15:11:00,885974.0,TVJ571,207.321110932,-0.8972106606347127
140.69443103879,41.65121822033898,8481.060000000001,2023-02-05 15:12:00,885974.0,TVJ571,215.037777592,-0.8977866776001189
140.62849564985794,41.54937744140625,9022.08,2023-02-05 15:13:00,885974.0,TVJ571,208.34999982,-0.8983361109652677
140.56272284929145,41.44736597093485,9227.82,2023-02-05 15:14:00,885974.0,TVJ571,209.378888708,-0.8988757118348467
140.498291015625,41.34686279296875,9227.82,2023-02-05 15:15:00,885974.0,TVJ571,209.378888708,-0.8993914225929835
140.43298894708806,41.2447706319518,9235.44,2023-02-05 15:16:00,885974.0,TVJ571,208.34999982,-0.8999090303882695
140.36881880326703,41.14337985798464,9235.44,2023-02-05 15:17:00,885974.0,TVJ571,208.864444264,-0.9004088536963735
140.30396201393822,41.04203563625529,9243.060000000001,2023-02-05 15:18:00,885974.0,TVJ571,209.378888708,-0.9008981354766818
140.23895263671875,40.94036865234375,9258.300000000001,2023-02-05 15:19:00,885974.0,TVJ571,209.893333152,-0.9013788667162335
140.17498779296875,40.83837890625,9258.300000000001,2023-02-05 15:20:00,885974.0,TVJ571,209.378888708,-0.9018492263914853
140.11120189319956,40.73642019498146,9250.68,2023-02-05 15:21:00,885974.0,TVJ571,209.378888708,-0.9023077747882828
140.0469970703125,40.63449096679688,9258.300000000001,2023-02-05 15:22:00,885974.0,TVJ571,209.893333152,-0.902755410789749
139.9833984375,40.53263854980469,9273.54,2023-02-05 15:23:00,885974.0,TVJ571,209.378888708,-0.9031901642656
139.92062655362216,40.43173579846398,9265.92,2023-02-05 15:24:00,885974.0,TVJ571,207.321110932,-0.9036053239297325
139.85352256081322,40.332439875198624,9250.68,2023-02-05 15:25:00,885974.0,TVJ571,206.806666488,-0.9040049480067234
139.78585676713422,40.23235256389036,9273.54,2023-02-05 15:26:00,885974.0,TVJ571,206.806666488,-0.9044001391138765
139.71968910910866,40.1338480286679,9281.16,2023-02-05 15:27:00,885974.0,TVJ571,206.806666488,-0.9047704300634736
139.65470747514203,40.03697282176907,9281.16,2023-02-05 15:28:00,,,,-0.9051159939041087
139.59003795276988,39.9368855104608,9281.16,2023-02-05 15:29:00,885974.0,TVJ571,202.691110936,-0.9054722933142452
139.57232666015625,39.909419690148304,9281.16,2023-02-05 15:30:00,885974.0,TVJ571,202.691110936,-0.9052207954789814
139.46514892578125,39.74387993246822,9288.78,2023-02-05 15:31:00,885974.0,TVJ571,202.691110936,-0.9060922615408586
139.46514892578125,39.74387993246822,9288.78,2023-02-05 15:32:00,885974.0,TVJ571,202.691110936,-0.9055926328748194
139.46514892578125,39.74387993246822,9296.4,2023-02-05 15:33:00,885974.0,TVJ571,203.20555538,-0.9050791004514396
139.46514892578125,39.74387993246822,9296.4,2023-02-05 15:34:00,885974.0,TVJ571,203.20555538,-0.9045516739735786
139.21405029296875,39.477973550052965,9304.02,2023-02-05 15:35:00,885974.0,TVJ571,197.032222052,-0.9063791202897261
139.21405029296875,39.477973550052965,9304.02,2023-02-05 15:36:00,885974.0,TVJ571,197.032222052,-0.9058358096975061
139.21405029296875,39.477973550052965,9304.02,2023-02-05 15:37:00,885974.0,TVJ571,197.032222052,-0.9052785717992351
139.21405029296875,39.477973550052965,9304.02,2023-02-05 15:38:00,885974.0,TVJ571,197.032222052,-0.9047074171299221
139.21405029296875,39.477973550052965,9304.02,2023-02-05 15:39:00,885974.0,TVJ571,197.032222052,-0.9041223564895224
139.10248540325472,39.404712360414116,9425.94,2023-02-05 15:40:00,,,,-0.9042888863045693
138.98295159284683,39.32621822865821,9425.94,2023-02-05 15:41:00,,,,-0.9045036586178719
138.86341778243892,39.24772409690231,9425.94,2023-02-05 15:42:00,,,,-0.9047122428659691
138.74388397203103,39.1692299651464,9425.94,2023-02-05 15:43:00,,,,-0.904914628755183
138.62435016162314,39.0907358333905,9425.94,2023-02-05 15:44:00,,,,-0.9051108060674085
138.50481635121525,39.012241701634586,9425.94,2023-02-05 15:45:00,,,,-0.9053007646602973
138.38635851075557,38.93325002385856,9425.94,2023-02-05 15:46:00,,,,-0.9054850039948266
138.26848003872956,38.853990436687084,9425.94,2023-02-05 15:47:00,,,,-0.9056631574133364
138.15060156670356,38.774730849515606,9425.94,2023-02-05 15:48:00,,,,-0.9058349145624889
138.03272309467758,38.69547126234413,9425.94,2023-02-05 15:49:00,,,,-0.9060002652620163
