time,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza
2023-11-06 01:02:00,885974.0,TVJ571,42.52262878417969,141.59485556862572,149.703333204,3200.4,0.48732724646296766
2023-11-06 01:03:00,885974.0,TVJ571,42.48133850097656,141.49248296564275,164.107777636,3832.86,0.4885004906143702
2023-11-06 01:04:00,885974.0,TVJ571,42.43862915039063,141.3869268243963,165.136666524,4579.62,0.489677459474205
2023-11-06 01:05:00,885974.0,TVJ571,42.39354020458157,141.27568444540336,186.743333172,4968.240000000001,0.4908622907307491
2023-11-06 01:06:00,885974.0,TVJ571,42.34245300292969,141.15009654651988,201.662222048,5356.860000000001,0.4920732660195461
2023-11-06 01:07:00,885974.0,TVJ571,42.268826759467686,141.04739876680597,202.176666492,5935.9800000000005,0.49369125249149415
2023-11-06 01:08:00,885974.0,TVJ571,42.165802001953125,140.99160627885297,208.34999982,6385.56,0.4959042170892993
2023-11-06 01:09:00,885974.0,TVJ571,42.056781316207626,140.93600250953853,221.725555364,6614.160000000001,0.49819631866185576
2023-11-06 01:10:00,885974.0,TVJ571,41.94813537597656,140.88292902166194,205.7777776,7406.64,0.5004855290546817
2023-11-06 01:11:00,885974.0,TVJ571,41.85195146980932,140.82601148028706,194.459999832,8130.54,0.5025757131958958
2023-11-06 01:12:00,885974.0,TVJ571,41.754913330078125,140.76189214533025,207.321110932,8275.32,0.5046443956938867
2023-11-06 01:13:00,885974.0,TVJ571,41.65121822033898,140.69443103879,215.037777592,8481.060000000001,0.5067889244606655
2023-11-06 01:14:00,885974.0,TVJ571,41.54937744140625,140.62849564985794,208.34999982,9022.08,0.5089061602592735
2023-11-06 01:15:00,885974.0,TVJ571,41.44736597093485,140.56272284929145,209.378888708,9227.82,0.5110197999432612
2023-11-06 01:16:00,885974.0,TVJ571,41.34686279296875,140.498291015625,209.378888708,9227.82,0.5131101268345946
2023-11-06 01:17:00,885974.0,TVJ571,41.2447706319518,140.43298894708806,208.34999982,9235.44,0.5152131459952249
2023-11-06 01:18:00,885974.0,TVJ571,41.14337985798464,140.36881880326703,208.864444264,9235.44,0.5173033661343421
2023-11-06 01:19:00,885974.0,TVJ571,41.04203563625529,140.30396201393822,209.378888708,9243.060000000001,0.519383618678316
2023-11-06 01:20:00,885974.0,TVJ571,40.94036865234375,140.23895263671875,209.893333152,9258.300000000001,0.5214609947306799
2023-11-06 01:21:00,885974.0,TVJ571,40.83837890625,140.17498779296875,209.378888708,9258.300000000001,0.5235395219323561
