engine,saf_level,water_injection,fraction_h2o,fraction_co2,fraction_nox,fraction_contrails
GTF,0,0,3.4,7.1,67.8,21.7
GTF1990,0,0,2.8,5.8,57.5,33.9
GTF2000,0,0,3.2,6.8,68.6,21.4
GTF2035,0,0,2.9,6.2,71.8,19.1
GTF2035,20,0,3.0,5.7,73.8,17.6
GTF2035,100,0,3.0,3.3,79.6,14.1
GTF2035_wi,0,15,11.0,23.8,22.6,42.5
GTF2035_wi,20,15,11.5,22.8,24.1,41.6
GTF2035_wi,100,15,14.0,16.1,31.6,38.4
