engine,saf_level,water_injection,fraction_h2o,fraction_co2,fraction_nox,fraction_contrails
GTF,0,0,4.6,9.0,94.6,-8.2
GTF1990,0,0,11.6,19.8,185.3,-116.6
GTF2000,0,0,4.7,9.1,96.5,-10.2
GTF2035,0,0,3.9,7.6,94.9,-6.3
GTF2035,20,0,3.8,6.8,94.8,-5.3
GTF2035,100,0,3.5,3.7,96.1,-3.2
GTF2035_wi,0,15,26.9,55.9,57.7,-40.5
GTF2035_wi,20,15,26.5,50.4,58.1,-35.0
GTF2035_wi,100,15,28.6,31.4,67.8,-27.7
