engine,saf_level,water_injection,fuel_kg_sum_change,energy_sum_change,ei_co2_conservative_sum_change,ei_co2_optimistic_sum_change,ei_nox_sum_change,ei_nvpm_mass_sum_change,ei_nvpm_num_sum_change
GTF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF1990,0,0,30.4,30.4,0.0,0.0,-0.3,794.1,740.7
GTF2000,0,0,30.4,30.4,0.0,0.0,-0.2,141.2,-0.8
GTF2035,0,0,-6.9,-6.9,0.0,0.0,19.3,-2.1,3.0
GTF2035,20,0,-7.3,-6.9,-2.0,-18.8,19.3,-23.1,-18.5
GTF2035,100,0,-9.1,-6.9,-10.0,-94.0,19.3,-67.6,-62.1
GTF2035_wi,0,15,-17.1,-17.1,-0.2,-0.2,-90.6,-22.0,-22.8
GTF2035_wi,20,15,-17.5,-17.1,-2.2,-19.0,-90.6,-38.4,-38.7
GTF2035_wi,100,15,-19.1,-17.1,-10.2,-94.0,-90.7,-72.9,-70.0
