engine,saf_level,water_injection,fuel_kg_sum_change,energy_sum_change,ei_co2_conservative_sum_change,ei_co2_optimistic_sum_change,ei_nox_sum_change,ei_nvpm_mass_sum_change,ei_nvpm_num_sum_change
GTF,0,0,-21.7,-21.7,0.0,0.0,0.4,-85.3,-83.8
GTF1990,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2000,0,0,0.0,0.0,0.0,0.0,0.1,-68.3,-85.2
GTF2035,0,0,-27.2,-27.2,0.0,0.0,21.3,-86.4,-84.3
GTF2035,20,0,-27.6,-27.2,-2.0,-18.8,21.3,-88.8,-87.1
GTF2035,100,0,-29.0,-27.2,-10.0,-94.0,21.4,-94.1,-92.9
GTF2035_wi,0,15,-35.2,-35.2,-0.4,-0.4,-90.6,-89.2,-88.5
GTF2035_wi,20,15,-35.5,-35.1,-2.4,-19.1,-90.6,-91.1,-90.4
GTF2035_wi,100,15,-36.8,-35.2,-10.4,-94.0,-90.6,-95.2,-94.4
