,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
71,71,135.64860242478392,37.01266479492188,9433.56,885974.0,TVJ571,184.171110952,-0.9069174827043572,34610D,224.23625,51.03954,-4.600898,221.8882952117337,67663.78197402103,0.3353133177055567,0.5493274764377436,32.95964858626461,35803.64065612893,24.7250412903493,2023-02-05 16:11:00,1.0596050398581125e-05,0.288103584255437,0.1091201753602986,0.2746637382188718,0.519357938111142,0.0122327435850618,0.00049702120892,9.999580484713902e-05,2.314600935343391e-05,1451223477260154.0,104.1195298840099,40.77108530120933,0.0395515783035175,0.0008071750674187,0.0006591929717252,0.4031869298095217,0.0163816443859236,0.0032958265878623,0.0007628843344635,4.783181583063165e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7391604120582642,17.901820328064467,12.232743585061865,23.146009353433907,1451223477260154.0,14.555746347787,722.694356270689,1301.57757096547,0.00105960503986,0.0160738886566691,0.216184393661883,17.9018341615126,13.4494146550025,13.449272145837016,0.0010596050398581124,0.4492322360111785,13.702804782721055,171062389900910.34,1.1579915982146505
72,72,135.55789471113718,36.94412709898867,9441.18,885974.0,,185.971666506,-0.9067692264616204,34610D,224.38893,51.371017,-4.5285664,222.01098671587428,67630.82232543475,0.3363516597594533,0.5638724630998551,33.8323477859913,36845.07563736161,74.258407833529,2023-02-05 16:12:00,1.0271114606136171e-05,0.287773092288637,0.103699354320858,0.2819362315499275,0.5351286936031432,0.0123760782288736,0.0004987223129077,0.0001007983384903,2.396649709083752e-05,1489950707662593.5,106.87638665594652,41.85061421127124,0.0405988173431895,0.0008285472927181,0.0006766469557198,0.4187117828658892,0.0168729467389286,0.0034102444440552,0.0008108428647891,5.040853052562472e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.739317490525448,18.422537818680805,12.376078228873668,23.96649709083752,1489950707662593.5,14.8264671912813,726.511149088864,1310.58628248054,0.00102711146061,0.0162476246171733,0.22172443434588,18.4225511233734,13.6465753961058,13.646435232005565,0.0010271114606136172,0.4588474321462381,13.930243908968842,180984119582924.47,1.2772854441125114
73,73,135.46633456615692,36.874603271484375,9464.04,885974.0,TVJ571,187.77222206,-0.9066217666410218,34610D,224.54381,51.901024,-4.447763,222.4010023716639,67596.98997764877,0.3357204140703019,0.5512284902513539,33.07370941508123,35888.23697312208,49.566438411745736,2023-02-05 16:13:00,9.774110488939192e-06,0.2867834578313319,0.0965005513619358,0.2756142451256769,0.5264751767111743,0.012250943542492,0.000501618718066,0.0001011311637355,2.3402145377620685e-05,1463313162907907.5,104.4798480422416,40.912178546455486,0.0396884512980974,0.0008099683938387,0.0006614741883016,0.4051841467849483,0.0165903917184807,0.0033447827221987,0.0007739957559089,4.839719433327956e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.740360763645362,17.94411848656104,12.25094354249206,23.402145377620684,1463313162907907.5,14.5664631859895,724.54205748163,1305.45765878043,0.000977411048894,0.0161432878668218,0.216917874531231,17.9436502956466,13.4370319305925,13.436900596841438,0.0009774110488939192,0.4538650284605069,13.779530610612374,173445437287248.78,1.198422527446685
74,74,135.37525177001953,36.80570983886719,9479.28,885974.0,TVJ571,185.19999984,-0.9064608821977757,34610D,224.6951,52.315437,-4.379646,222.2753685060296,67563.91626823369,0.3333350526357567,0.5229587089178124,31.377522535068746,33824.89867546205,-49.601177135763145,2023-02-05 16:14:00,9.37530464210932e-06,0.2861252338807851,0.0906632514293782,0.2614793544589062,0.5018077720411546,0.0119640866515878,0.000503914617345,0.0001008508571998,2.1975700783679196e-05,1395984614378105.5,99.12159368828216,38.81399537588004,0.0376530270420824,0.0007684291233078,0.0006275504507013,0.3754033985217136,0.0158115922614937,0.0031644500444677,0.0006895430465638,4.380253869625826e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7396934248964679,16.912449337731026,11.964086651587872,21.975700783679198,1395984614378105.5,13.9959555562134,718.798503803041,1291.56027487421,0.000937530464211,0.0158721641888852,0.206150900166222,16.9123804794562,12.9882036068265,12.988081839602536,0.0009375304642109321,0.4395877976320361,13.396587885358414,156267621449051.84,1.0109994831310891
75,75,135.28554713472408,36.73774693375927,9464.04,885974.0,,184.171110952,-0.9062815511896314,34610D,224.85864,52.380432,-4.352422,221.6928780860554,67532.53874569862,0.3335827393155754,0.5286842244564245,31.72105346738547,34310.54675897353,0.0,2023-02-05 16:15:00,9.278772089106848e-06,0.2867834578313319,0.0881635277317621,0.2643421122282122,0.5072078808861703,0.0120210587991244,0.0005039434428243,0.0001010219346002,2.226872699518487e-05,1409815526273077.8,100.20680790347068,39.23894313915583,0.0380652641608625,0.0007768421257318,0.0006344210693477,0.3813206489016101,0.0159856168943699,0.0032045221888344,0.0007063874796648,4.472083368805849e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7374866428977951,17.155273379486765,12.021058799124416,22.26872699518487,1409815526273077.8,14.1104936293224,720.177386117297,1294.97772853252,0.000927877208911,0.01593959356204,0.208414568840334,17.1559218453678,13.0752749766889,13.075153655318102,0.0009278772089106848,0.442984797279542,13.479024828452983,160105452300510.3,1.0529355731940004
76,76,135.19657135009766,36.669769287109375,9464.04,885974.0,,183.142222064,-0.906091541363232,34610D,225.00368,52.624023,-4.309131,220.93031401914263,67500.81769223124,0.3331597039440215,0.5266418558679287,31.59851135207572,34252.477389510546,0.0,2023-02-05 16:16:00,9.022552950757913e-06,0.2867834578313319,0.0842308233245578,0.2633209279339643,0.5060744248968672,0.011996350875188,0.0005050168248406,0.0001012024607888,2.221248946775878e-05,1407161100639873.5,99.8196973612072,39.08735854251767,0.0379182136224908,0.0007738410943365,0.0006319702270415,0.3790668293131131,0.0159577798727177,0.0031978471060951,0.0007018816006048,4.446419601276841e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7347129943941629,17.126238694755273,11.996350875188051,22.21248946775878,1407161100639873.5,14.05908939194,719.932713485296,1294.83214287477,0.000902255295076,0.0159415921034172,0.207697650724862,17.1263018225698,13.0286642248449,13.028546674092661,0.0009022552950757913,0.44238202441338154,13.455521116018033,159294391808987.06,1.044597772957235
77,77,135.10780334472656,36.60177612304688,9464.04,885974.0,TVJ571,182.113333176,-0.9058926838843636,34610D,225.15004,52.869926,-4.2737637,220.199805935181,67469.21918087915,0.3339628044422727,0.5386019058777867,32.3161143526672,35231.28726171419,49.69526496800296,2023-02-05 16:17:00,8.764946179629505e-06,0.2867834578313319,0.0803847491204603,0.2693009529388933,0.5184420915034909,0.0121133822039706,0.0005061017145526,0.0001017952207972,2.2912047388217628e-05,1440180412849453.0,102.08660524007568,39.97503345424933,0.0387793372232006,0.0007914150453714,0.0006463222870533,0.3914574445010802,0.0163552408815655,0.0032896259958381,0.0007404283434513,4.654103491011438e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7320455486880577,17.615643630857097,12.113382203970676,22.912047388217623,1440180412849453.0,14.2849079316449,722.910104311218,1302.3291384543,0.000876494617963,0.0160910317766557,0.212331800325841,17.6155399823916,13.1956609913533,13.195545333108644,0.0008764946179629506,0.4497688750920151,13.634822154577432,167263796695042.3,1.1350129948635321
78,78,135.02031326293945,36.53453063964844,9479.28,885974.0,TVJ571,181.084444288,-0.9056765540887308,34610D,225.25644,53.248486,-4.2332454,219.7428862441862,67436.90306652649,0.3332864147752966,0.5310761589987429,31.864569539924577,34740.738863858,24.866395799820904,2023-02-05 16:18:00,8.397296966923154e-06,0.2861252338807851,0.0758512718925632,0.2655380794993714,0.5130408686804464,0.0120334710748351,0.000508080861868,0.0001020296790249,2.260697346641882e-05,1425780845956881.0,100.66017517662172,39.41647252088671,0.0382374834479094,0.0007803568050593,0.0006372913907984,0.3834413758707555,0.0161897779549004,0.0032511318024273,0.0007203614781079,4.543189291468553e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7303540378173057,17.370369431929,12.033471074835148,22.60697346641882,1425780845956881.0,14.1216604112884,721.672389889794,1299.6587971931,0.000839729696692,0.0160424043598343,0.209511862774274,17.3697447149103,13.0598791848704,13.059769518107437,0.0008397296966923154,0.4466902564968117,13.539300186992419,163221985484553.4,1.0921967866997184
79,79,134.93244576961436,36.4670213602357,9486.9,885974.0,,180.312777622,-0.9054550924500504,34610D,225.34236,53.488064,-4.1902356,219.2508684469093,67405.03849698657,0.3323564918543791,0.5217989599263461,31.307937595580764,34115.01064790708,0.0,2023-02-05 16:19:00,8.159146816268301e-06,0.2857965809578965,0.0728530025151947,0.260899479963173,0.5051287584084052,0.011935823387982,0.000509317442931,0.0001020350761948,2.216887820310151e-05,1405102637828633.5,98.90177486443964,38.72791880573341,0.0375695251146969,0.0007667250023407,0.0006261587519116,0.3736860137828142,0.0159456787196252,0.0031945077980696,0.0006940618553467,4.3990865700524776e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7285797979045736,17.057505323953542,11.935823387982014,22.16887820310151,1405102637828633.5,13.9271762795503,719.796614654232,1295.48165254219,0.000815914681627,0.0159648469314453,0.205997814041698,17.0575176538999,12.9032125974195,12.903107319072499,0.0008159146816268301,0.4420467327961274,13.412853873111128,157813138593691.66,1.0332258855290524
80,80,134.84516143798828,36.39971923828125,9486.9,885974.0,TVJ571,179.541110956,-0.9052219652610712,34610D,225.41075,53.606636,-4.1502624,218.5998658284013,67373.73055939098,0.3320642430447934,0.5206822075052386,31.24093245031432,34113.35371929369,0.0,2023-02-05 16:20:00,8.051493670005684e-06,0.2857965809578965,0.0712990224110483,0.2603411037526193,0.5042955184500312,0.0119210858681315,0.0005098277174761,0.0001021115070306,2.2146256994733e-05,1404034911025986.5,98.69010561054291,38.64503344103881,0.0374891189403771,0.0007650840600076,0.0006248186490062,0.3724258383406956,0.0159274932829694,0.0031900586935457,0.0006918697187997,4.386335981324592e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7263062266006447,17.056676859646846,11.921085868131588,22.146256994733,1404034911025986.5,13.8980098535237,719.591898964122,1295.41479629814,0.000805149367001,0.0159681866412165,0.205616800241015,17.0566839607753,12.8766531141542,12.876549438697904,0.0008051493670005684,0.4415423974225044,13.397107790925684,157387592850824.6,1.0279480571310415
81,81,134.75830078125,36.33281125860699,9486.9,885974.0,TVJ571,179.026666512,-0.9049766621292192,34610D,225.47142,53.718876,-4.113692,218.011586291537,67342.48962694067,0.3326144745154802,0.5288975861006115,31.73385516603669,34802.67394530026,24.89233463745854,2023-02-05 16:21:00,7.957880540123023e-06,0.2857965809578965,0.0699545112818931,0.2644487930503058,0.5124711905971585,0.0120016530308015,0.0005102806267074,0.0001024540049968,2.262917494335044e-05,1426828761328689.0,100.24724846950993,39.2547788403874,0.038080626199244,0.0007771556367192,0.0006346771033207,0.3808587190324803,0.0161931715019684,0.0032512605557488,0.0007181109601791,4.527877725874015e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7242541958373789,17.401336972650128,12.001653030801506,22.62917494335044,1426828761328689.0,14.0547737327886,721.553265306969,1300.46919624374,0.000795788054012,0.0160701362557635,0.208812496261092,17.4012543445347,12.9938223881706,12.99371898570714,0.0007957880540123023,0.4463939529638782,13.51547956119509,162858742910612.97,1.0882787175777788
82,82,134.67259183843086,36.26647431971663,9494.52,885974.0,,179.026666512,-0.9047153207724616,34610D,225.49881,53.85346,-4.0492983,217.75334805668027,67310.75577177464,0.3330276991579039,0.5344606830254315,32.06764098152589,35254.189627946274,24.898026113306862,2023-02-05 16:22:00,7.833271674555747e-06,0.285468233779554,0.0685525831922326,0.2672303415127157,0.5185611691209576,0.0120556412843684,0.0005110841621903,0.0001028009820068,2.298067729558884e-05,1443419761975710.0,101.30167786064028,39.66767189414753,0.038481169177831,0.000785329983221,0.0006413528196305,0.3865959765091877,0.0163892634244628,0.0032965849835432,0.0007369361090272,4.628706671267662e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7233523774010701,17.627094813973137,12.055641284368408,22.98067729558884,1443419761975710.0,14.1577314769338,723.010622070402,1304.09847418088,0.000783327167456,0.0161421590815698,0.210958404950489,17.6271385662958,13.0687849056914,13.068682535150673,0.0007833271674555747,0.45001889709807347,13.602502180152998,166590569860326.38,1.1317121400317594
83,83,134.58706307918467,36.19977660098319,9502.14,885974.0,,179.026666512,-0.904446904139966,34610D,225.47586,53.86383,-3.9422126,217.93358368370744,67278.6881307931,0.3322741246340941,0.5239758291483335,31.43854974890001,34455.858388762135,0.0,2023-02-05 16:23:00,7.824527355928006e-06,0.2851401921281096,0.0685874022928522,0.2619879145741667,0.5088699422070406,0.0119495567383274,0.0005115121284103,0.0001025905135459,2.243067918163385e-05,1417459710765871.8,99.31437865677512,38.88948603938932,0.03772625969868,0.00076992366732,0.000628770994978,0.3756767339952097,0.0160811994961947,0.0032252969638796,0.0007051880233534,4.456287763397428e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7239879443761871,17.22792919438107,11.949556738327413,22.43067918163385,1417459710765871.8,13.9482574610891,720.691979788973,1298.54000882091,0.000782452735593,0.0160341570290613,0.206937862824086,17.2278527794485,12.9060643755091,12.90596339244548,0.0007824527355928006,0.4442525447176074,13.451254939019089,160128562200569.4,1.0594155331092374
84,84,134.50195044659554,36.133611129502114,9502.14,885974.0,,179.026666512,-0.9041654129839628,34610D,225.46463,53.790623,-3.8387616,217.7467739289712,67247.2495810442,0.3332137047817391,0.5362209979096785,32.17325987458071,35391.12765132269,24.898489141979542,2023-02-05 16:24:00,7.911166980059673e-06,0.2851401921281096,0.0694411792597071,0.2681104989548392,0.5205727060419237,0.0120724128942149,0.0005114280188035,0.0001029311001952,2.310538626153504e-05,1449306056964994.5,101.63532794380043,39.79832246485634,0.0386079118494968,0.000787916568357,0.0006434651974916,0.3884088773588152,0.0164543065561095,0.0033116290357581,0.0007433755966949,4.662890040853864e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7233853926493309,17.695563825661345,12.072412894214906,23.10538626153504,1449306056964994.5,14.1892012444899,723.472159951004,1305.25482042182,0.000791116698006,0.0161652006077472,0.211624706442339,17.6956430094041,13.091375206375,13.091271639139082,0.0007911166980059673,0.4511734838863307,13.629749242179773,167774161495205.0,1.1456317850832074
85,85,134.4178009033203,36.06753540039063,9509.76,885974.0,,179.026666512,-0.9038711024933967,34610D,225.41978,53.73443,-3.6982856,218.0769210284805,67215.07632116963,0.3329255850760396,0.5304825144687042,31.82895086812225,34929.14832464485,24.89852086133553,2023-02-05 16:25:00,7.973054285965568e-06,0.2848124557860217,0.0702843555695185,0.2652412572343521,0.5153791534583532,0.0120153888180796,0.0005116923246384,0.0001028264274946,2.2805113196418523e-05,1435133091731885.2,100.5476557923982,39.37241222386723,0.0381947410417467,0.000779484511056,0.0006365790173624,0.3824372203520418,0.0162866298605127,0.0032728573086727,0.0007258628274707,4.567878066595056e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7245542500020786,17.464574162322425,12.015388818079623,22.80511319641852,1435133091731885.2,14.0748296589311,722.216426399306,1302.17305286438,0.000797305428597,0.0161044919074535,0.209405622665536,17.4645820200736,13.0029325897962,13.002828917535371,0.0007973054285965568,0.44804346115021326,13.547264082984006,164169300476504.25,1.105361862613478
86,86,134.33195114135742,36.00041198730469,9517.38,885974.0,TVJ571,179.026666512,-0.903580965046778,34610D,225.36652,53.66493,-3.5499074,217.98640121728988,67183.24737030151,0.3326860891692406,0.5271167838987455,31.62700703392473,34696.96940489777,43.57043198765646,2023-02-05 16:26:00,8.048447760251816e-06,0.2844850245358573,0.0713258669570757,0.2635583919493727,0.5122064181971487,0.0119799455227979,0.000511893584702,0.0001027697279421,2.265122026700945e-05,1427869306226216.0,99.90971522016822,39.12260770096489,0.0379524084407096,0.0007745389477695,0.0006325401406784,0.3788898213155663,0.0161896620039941,0.0032502989084997,0.0007163903027116,4.515923259154176e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7243390621923633,17.348484702448886,11.979945522797967,22.65122026700945,1427869306226216.0,14.0052251187538,721.426120994068,1300.46308200271,0.000804844776025,0.0160732896686189,0.208118470650748,17.3484850812873,12.9480943193026,12.947990108080614,0.0008048447760251816,0.446077701622538,13.496175848036492,162139920933925.56,1.0818928739585798
87,87,134.24540519714355,35.93266296386719,9530.715,885974.0,,178.85518503066666,-0.9032886730409608,34610D,225.26369,53.58516,-3.3363779,217.4550573725738,67151.62036326758,0.3326215845152735,0.5268463495647222,31.610780973883333,34757.165266264696,56.01622469820873,2023-02-05 16:27:00,8.33007025097239e-06,0.2839127533218923,0.0745966611384018,0.2634231747823611,0.5118495230453138,0.0119728746467585,0.0005121741279902,0.0001028150855283,2.270420247022661e-05,1430370079726760.0,99.85845709649745,39.10253606469369,0.0379329371686599,0.0007741415748706,0.0006322156194776,0.3784719180864462,0.0161902241803902,0.0032500651494483,0.000717697571473,4.521511530183865e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7227383812176922,17.378582633132346,11.972874646758578,22.704202470226612,1430370079726760.0,13.9911598400922,721.242009959599,1300.63430696859,0.000833007025097,0.0160833277631441,0.208024637883172,17.3786042902911,12.9341788556889,12.93407111396789,0.000833007025097239,0.44561975458363534,13.484849084173284,162138463439856.25,1.0795883383936835
88,88,134.15998966135876,35.8651507102837,9547.86,885974.0,,178.68370354933333,-0.9029819594865374,34610D,225.14587,53.527363,-3.0957732,216.8635461243164,67120.0095822937,0.3309997801453606,0.5089170736862905,30.53502442117743,33501.760510606684,0.0,2023-02-05 16:28:00,8.652341453663193e-06,0.28317834610951,0.0783941750088116,0.2544585368431452,0.4944746479449362,0.0117842736818673,0.000512643322153,0.0001023669463817,2.180248633792472e-05,1387808848374592.0,96.46014214649948,37.77182520899648,0.0366420293054129,0.0007477965164369,0.0006107004884235,0.3598330846616591,0.0156535763612969,0.0031257772076878,0.0006657394527709,4.237677707704429e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7209610141689202,16.750880255303343,11.784273681867388,21.80248633792472,1387808848374592.0,13.6239565534282,716.914270549693,1291.02190977877,0.000865234145366,0.0159052254581386,0.201150011717666,16.7511078301089,12.6467878275022,12.646678404122392,0.0008652341453663193,0.43498348827003563,13.220400885556186,150982960407814.84,0.9546041814108065
89,89,134.07451629638672,35.7978515625,9547.86,885974.0,TVJ571,178.512222068,-0.9026657901407468,34610D,225.112,53.43883,-2.9188237,215.98437006061167,67089.47455787253,0.3303495083303211,0.5045705478437279,30.274232870623678,33285.316864892295,-24.89011467481473,2023-02-05 16:29:00,9.040929784598113e-06,0.28317834610951,0.082252330276795,0.2522852739218639,0.4895667487574464,0.0117347527996022,0.0005123887272846,0.0001021600717917,2.159671413612466e-05,1378096347984585.0,95.63630163830018,37.449226060961486,0.0363290794447484,0.0007414097845867,0.0006054846574124,0.3552606389343609,0.0155121756500965,0.0030928178035034,0.0006538239529973,4.172080975704137e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.718092185898393,16.642658432446147,11.734752799602228,21.59671413612466,1378096347984585.0,13.5306526932008,715.609998190804,1288.66328786882,0.00090409297846,0.0158679637548063,0.199507786538977,16.6431572426918,12.5729923272951,12.572878656781974,0.0009040929784598112,0.4318233670381957,13.144685079610769,148425021888536.34,0.9232226829839953
90,90,133.99019281914894,35.73117013704979,9540.24,885974.0,TVJ571,175.939999848,-0.9023328867185674,34610D,225.12762,53.42295,-2.788663,215.327493889532,67059.2003250019,0.331396708212787,0.5184132023386026,31.104792140316157,34411.548465559325,24.889239085188912,2023-02-05 16:30:00,9.523072652342562e-06,0.2835045591641739,0.0865742600462198,0.2592066011693013,0.5022333325044729,0.0118748075906099,0.0005119046610875,0.000102463231597,2.2359768923294235e-05,1414112728492492.8,98.26003837125872,38.47662787757108,0.0373257505683793,0.0007617500115995,0.0006220958428063,0.3693634218121703,0.0159226880787862,0.0031870975208509,0.0006954959646645,4.398568248273432e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7158834010547515,17.205774232779664,11.87480759060993,22.35976892329424,1414112728492492.8,13.8073305127677,718.707012175304,1296.46429758308,0.000952307265234,0.0160232557179063,0.204892526394752,17.2054784348923,12.7871969343771,12.787075162131318,0.0009523072652342562,0.43936239984140624,13.338870022135765,157080402610985.06,1.0151365073603789
91,91,133.9075469970703,35.66578674316406,9547.86,885974.0,TVJ571,172.853333184,-0.90197721959566,34610D,225.09616,53.66244,-2.6486335,215.03754053499685,67028.09553286158,0.33055023721316,0.5091671003027352,30.55002601816411,33756.93295458649,0.0,2023-02-05 16:31:00,1.017995866512976e-05,0.28317834610951,0.0927931565274206,0.2545835501513676,0.4934527523217534,0.0117773473031838,0.0005122698105809,0.0001022599889472,2.189129843816041e-05,1392000802149837.5,96.50753219138042,37.79038218446901,0.0366600312217969,0.0007481639024856,0.0006110005203632,0.3597982665372216,0.0156498560415678,0.0031240453229546,0.0006687797368571,4.252566072298285e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7149693949505108,16.878466477293244,11.777347303183854,21.89129843816041,1392000802149837.5,13.6174672296362,716.51380404106,1291.55117154768,0.00101799586651,0.01593177865895,0.201346189511333,16.8784870260476,12.6380232754629,12.637894622218031,0.001017995866512976,0.4340131980480992,13.203207780001321,151427300736204.0,0.9526695834619411
92,92,133.82680040724733,35.60142905025159,9547.86,885974.0,TVJ571,172.33888874,-0.9015991921274016,34610D,225.1107,53.91925,-2.5415208,214.54180904302663,66997.54550684342,0.3315576932886019,0.522590846780052,31.35545080680312,34832.80335956746,24.89382490117843,2023-02-05 16:32:00,1.0870758906672616e-05,0.28317834610951,0.0989153521942633,0.261295423390026,0.5063447955963701,0.0119122739321878,0.0005123790704757,0.000102686203494,2.2655268106893426e-05,1428060365300804.0,99.05186909869104,38.78669264801546,0.0376265409681637,0.000767888591187,0.000627109016136,0.3735147192778797,0.0160658767387369,0.0032197722021947,0.0007103661446406,4.477747653333466e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7132981423299434,17.41640167978373,11.912273932187864,22.655268106893427,1428060365300804.0,13.8812226119952,719.657149400541,1299.3396060031,0.00108707589067,0.0160856359963768,0.206537270112192,17.4163482729723,12.8398572589056,12.839717681430256,0.0010870758906672616,0.4417031476962755,13.393871632234749,160056372168542.22,1.0461869007287927
93,93,133.7448704496343,35.53611626059322,9555.48,885974.0,TVJ571,173.367777628,-0.901222646016632,34610D,225.0974,54.26642,-2.4172943,214.70478269543835,66966.19005603662,0.3329191348229209,0.5409706850622462,32.45824110373477,36178.472650798285,74.7031125683653,2023-02-05 16:33:00,1.1606480504280128e-05,0.28285243706121,0.1056586896343328,0.2704853425311231,0.5247236060045491,0.012097258085683,0.0005128811598271,0.0001033490712169,2.368534174254113e-05,1476680103537773.8,102.53558364669811,40.15084424531992,0.0389498893244817,0.0007948957004996,0.0006491648220746,0.3926557196392048,0.0166472203432312,0.0033545290714078,0.0007687845329037,4.793043883371709e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7138610665254109,18.089236325399145,12.097258085683032,23.685341742541134,1476680103537773.8,14.2369541110424,724.172277833634,1309.83042151536,0.00116064805043,0.0162861224466045,0.213511714122603,18.0891944788163,13.1100398405219,13.10988768086612,0.001160648050428013,0.452934772640006,13.670161716135313,171843486655419.03,1.18255375280441
94,94,133.66200548537233,35.46968621722722,9578.34,885974.0,TVJ571,175.939999848,-0.9008474205314382,34610D,225.04381,54.91094,-2.3002841,215.3851967858908,66933.73181493288,0.3332147642572999,0.5399182226965692,32.39509336179415,36025.98206127509,24.911777869926404,2023-02-05 16:34:00,1.2584831367466042e-05,0.2818765317871241,0.1149150902783517,0.2699591113482846,0.5253932756195192,0.0120873523899736,0.000514288214528,0.0001036528273599,2.36914535991563e-05,1476968584728329.2,102.33609992990772,40.07273048853937,0.0388741120341529,0.0007933492251867,0.0006479018672358,0.391570909170103,0.016660414724507,0.003357843019538,0.0007674868512212,4.78465351947112e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7162085840684416,18.012991030637547,12.08735238997368,23.6914535991563,1476968584728329.2,14.2099805932743,724.32496016172,1309.85991190162,0.00125848313675,0.0162830238437214,0.213063908461215,18.0130153812906,13.0850332534133,13.084868582548724,0.0012584831367466042,0.4533188760517525,13.668166643981332,171351889760225.7,1.1811491367527378
95,95,133.57887268066406,35.40321350097656,9585.96,885974.0,TVJ571,175.939999848,-0.9004648799604192,34610D,225.09412,55.716335,-2.2704775,216.6049766001257,66901.33672157109,0.3332008085196997,0.5330225084418397,31.981350506510385,35364.10105820604,-24.92164454262576,2023-02-05 16:35:00,1.39255720175085e-05,0.2815518365974468,0.1262378328975091,0.2665112542209198,0.5203164239661332,0.0120232680462687,0.0005152730884449,0.0001036971540653,2.3299788042480505e-05,1458481870591586.8,101.0290862500663,39.56093057655335,0.0383776206078124,0.0007832167470982,0.0006396270101302,0.3845203496214461,0.0164791292481285,0.0033163750306923,0.0007451586881139,4.6644219910780456e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.720184186438164,17.68205052910302,12.023268046268717,23.299788042480504,1458481870591586.8,14.0808918339066,723.131426042978,1306.13338207542,0.00139255720175,0.0162009760802199,0.210397818942059,17.6821638991191,12.9867372126386,12.986556367412646,0.00139255720175085,0.45031937784703263,13.583505764258254,166903355305529.4,1.1353615742446275
