engine,saf_level,contrail_atr20_cocip_sum,nox_impact_sum,co2_impact_cons_sum,co2_impact_opti_sum,h2o_impact_sum,climate_non_co2_cocip,climate_non_co2_accf,climate_non_co2_accf_cocip_pcfa,climate_total_cons_cocip,climate_total_opti_cocip,climate_total_cons_accf,climate_total_opti_accf,climate_total_cons_accf_cocip_pcfa,climate_total_opti_accf_cocip_pcfa
GTF2000,0,-73.74903011189386,0.0026607266204775825,0.0,0.0,0.0,-38.04656491186192,0.0010283952925150993,-37.86949502492299,-37.31967001301012,-37.31967001301012,0.001012367520832471,0.001012367520832471,-37.27929043728897,-37.27929043728897
GTF,0,-78.34664885905816,-15.230497886172714,-15.450894706498486,-15.450894706498486,-15.376055352846372,-47.79397303354085,-4.467970311724688,-44.39707741609856,-47.17604553591907,-47.17604553591907,-4.639141655814892,-4.639141655814892,-43.94594465558894,-43.94594465558894
GTF2035,0,-79.4534713818049,-6.67962123289078,-21.668132577517998,-21.668132577517998,-21.745546181896415,-44.353634464112886,-0.47738436947991475,-41.507649774086026,-43.920218842033485,-43.920218842033485,-0.8076469409652349,-0.8076469409652349,-41.1984464414788,-41.1984464414788
GTF2035,20,-80.62591131486103,-7.143666086186445,-23.58466131345111,-36.70975988625275,-20.433866045961366,-45.16790878378462,-0.09780175011626238,-42.14062421146508,-44.75555217489795,-45.006312453036024,-0.46384973291279175,-0.6684073428233094,-41.85142536096109,-42.055982970871604
GTF2035,100,-84.23809489716875,-8.954159184048294,-31.21418130815111,-95.41427875387674,-15.437956886639833,-47.849502296799564,0.7978563739857624,-43.101472938714394,-47.531677810004936,-48.758246448913475,0.2989415749614741,-0.7016313667712182,-42.916206828081435,-43.91677976981413
GTF2035_wi,0,-82.78559378861596,-93.53063128234189,-28.307325824970142,-28.307325824970142,-28.369747881623645,-87.42798745081136,-32.71582500902727,-76.1422320092663,-86.29846347270396,-86.29846347270396,-32.647117558840826,-32.647117558840826,-75.3967142499079,-75.3967142499079
GTF2035_wi,20,-84.21878376998244,-93.56290763054002,-30.060907055013608,-42.07364565924448,-27.168617008322354,-88.17242409561513,-32.166230301401846,-76.20504391658976,-87.06218022999391,-87.29168842430487,-32.13341836562999,-32.32063959553019,-75.48587717697016,-75.67309840687035
GTF2035_wi,100,-87.25220297240709,-93.68883396356985,-37.0418864264013,-95.80279242842676,-22.593053186461372,-89.758008113432,-29.662106887002132,-75.90706094350628,-88.750845442365,-89.87349614483269,-29.777122409047386,-30.692924330174193,-75.3013384672996,-76.21714038842644
