engine,saf_level,nox_impact_sum,co2_impact_cons_sum,co2_impact_opti_sum,h2o_impact_sum,contrail_atr20_accf_cocip_pcfa_sum,climate_non_co2_accf_cocip_pcfa,climate_total_cons_accf_cocip_pcfa,climate_total_opti_accf_cocip_pcfa,contrail_atr20_accf_cocip_pcfa_sum_net,contrail_atr20_accf_cocip_pcfa_sum_warming,contrail_atr20_accf_cocip_pcfa_sum_cooling
GTF2000,0,0.009049379580922084,0.0,0.0,0.0,-62.529501304702805,-34.10421983013895,-33.46419799558543,-33.46419799558543,-62.529501304702805,-62.56278517001329,-63.98718918909544
GTF,0,-14.7413147423795,-15.75914000166839,-15.75914000166839,-15.62512446599075,-62.9537773398882,-41.047834563593845,-40.57325057464465,-40.57325057464465,-62.9537773398882,-62.98271088209951,-64.22094007896789
GTF2035,0,-6.528813415703374,-22.073503581779907,-22.073503581779907,-22.048447243387844,-63.1360181980973,-37.544408276771364,-37.25407127875739,-37.25407127875739,-63.1360181980973,-63.14729679302017,-63.62997137987678
GTF2035,20,-6.994184121723938,-23.980217687448615,-37.03737549745244,-20.741949253878182,-63.77866326472884,-38.09074458633027,-37.825937317396416,-38.070976381102795,-63.77866326472884,-63.80255518093283,-64.8250248114002
GTF2035,100,-8.809913675651101,-31.570694793110093,-95.43804631954067,-15.76591436130478,-63.40640734733777,-38.65267722349632,-38.519772163361644,-39.718348166437266,-63.40640734733777,-63.375953155943286,-62.07264681770658
GTF2035_wi,0,-93.51077811914774,-28.655795651506992,-28.655795651506992,-28.622516895401773,-64.35350949798135,-77.03006372091033,-76.12224093683355,-76.12224093683355,-64.35350949798135,-64.34598817045907,-64.02410821295985
GTF2035_wi,20,-93.54318484059604,-30.40089501355733,-42.355237286028725,-27.42567776591569,-64.1745883076364,-76.93628153060203,-76.0629683864035,-76.28731130086437,-64.1745883076364,-64.13802393187818,-62.57322839808461
GTF2035_wi,100,-93.66964180574662,-37.34827030770724,-95.82321802051382,-22.866696119350806,-63.19650896594023,-76.41863835818668,-75.68541857597515,-76.78279724339441,-63.19650896594023,-63.1116813206627,-59.48142871221641
