engine,saf_level,contrail_atr20_cocip_sum,contrail_atr20_accf_sum,contrail_atr20_accf_cocip_pcfa_sum,nox_impact_sum,co2_impact_cons_sum,co2_impact_opti_sum,h2o_impact_sum,climate_non_co2_cocip,climate_non_co2_accf,climate_non_co2_accf_cocip_pcfa,climate_total_cons_cocip,climate_total_opti_cocip,climate_total_cons_accf,climate_total_opti_accf,climate_total_cons_accf_cocip_pcfa,climate_total_opti_accf_cocip_pcfa,contrail_atr20_cocip_sum_net,contrail_atr20_cocip_sum_warming,contrail_atr20_cocip_sum_cooling,contrail_atr20_accf_sum_net,contrail_atr20_accf_sum_warming,contrail_atr20_accf_sum_cooling,contrail_atr20_accf_cocip_pcfa_sum_net,contrail_atr20_accf_cocip_pcfa_sum_warming,contrail_atr20_accf_cocip_pcfa_sum_cooling
GTF2000,0,-73.74903011189386,0.0,-62.529501304702805,0.007955687255209298,0.0,0.0,0.0,-29.236972206446715,0.0039658578984436196,-30.717605668405852,-28.524096191497883,-28.524096191497883,0.003884037698903719,0.003884037698903719,-30.083866212899068,-30.083866212899068,-73.74903011189386,-74.7135778325407,-82.56755151064141,0.0,0.0,0.0,-62.529501304702805,-62.56278517001329,-63.98718918909544
GTF,0,-78.34664885905816,3.930296711363828,-62.9537773398882,-15.136371430239622,-15.836692312930026,-15.836692312930026,-15.682525318755077,-40.206011276354765,-5.774232162995276,-38.63526290947964,-39.61182173897741,-39.61182173897741,-5.9818322632543035,-5.9818322632543035,-38.16490223514325,-38.16490223514325,-78.34664885905816,-77.75834763368735,-72.96801716070867,3.930296711363828,3.9314958516868095,3.982813818501438,-62.9537773398882,-62.98271088209951,-64.22094007896789
GTF2035,0,-79.4534713818049,6.382980467520208,-63.1360181980973,-6.995348362199581,-22.162261214253817,-22.162261214253817,-22.11531055072734,-35.908026275678736,-0.5765210710534987,-34.73212515200582,-35.57286755437821,-35.57286755437821,-1.0218596613308286,-1.0218596613308286,-34.47279443418563,-34.47279443418563,-79.4534713818049,-78.50125893341276,-70.74772704945744,6.382980467520208,6.418334152416874,7.931317406806514,-63.1360181980973,-63.14729679302017,-63.62997137987678
GTF2035,20,-80.62591131486103,7.630257063419384,-63.77866326472884,-7.4584842420482484,-24.066804812479205,-37.10909041788778,-20.80995130281373,-36.631016257397214,-0.1812818166242488,-35.26542942220217,-36.32466699104423,-36.642672991205835,-0.6740675663109992,-0.9431448852713585,-35.03438894531075,-35.30346626427109,-80.62591131486103,-79.76418753251028,-72.74747310822283,7.630257063419384,7.680389942828122,9.825858152479237,-63.77866326472884,-63.80255518093283,-64.8250248114002
GTF2035,100,-84.23809489716875,12.992710349273642,-63.40640734733777,-9.265539958316644,-31.64868419394795,-95.44324561292986,-15.838259356701231,-39.0718330451594,1.6032351137020697,-35.93266250086058,-38.89083671167939,-40.44631969393379,0.9172098595182875,-0.39894515120710483,-35.84427911222889,-37.1604341229543,-84.23809489716875,-83.39005369172222,-76.48475169064012,12.992710349273642,13.218210358901969,22.868625568231298,-63.40640734733777,-63.375953155943286,-62.07264681770658
GTF2035_wi,0,-82.78559378861596,10.092555660773913,-64.35350949798135,-93.53816450006236,-28.71103206883069,-28.71103206883069,-28.65662616168007,-88.49011805420244,-41.96166147887552,-78.53799853427113,-87.03254316260202,-87.03254316260202,-41.688285788136675,-41.688285788136675,-77.51001103621421,-77.51001103621421,-82.78559378861596,-81.79105340804055,-73.69286002305255,10.092555660773913,10.228967042720996,16.06677821282888,-64.35350949798135,-64.34598817045907,-64.02410821295985
GTF2035_wi,20,-84.21878376998244,11.904457152057033,-64.1745883076364,-93.5704416588182,-30.454817005689332,-42.399897636792126,-27.460412178682464,-89.0630043157132,-41.075346848728614,-78.4539887373557,-87.63397908293851,-87.9252322749043,-40.856233130277424,-41.10267385149958,-77.46371074217687,-77.71015146339903,-84.21878376998244,-83.22225163927949,-75.10784013180738,11.904457152057033,12.118823261846051,21.292756201727332,-64.1745883076364,-64.13802393187818,-62.57322839808461
GTF2035_wi,100,-87.25220297240709,17.58845925473182,-63.19650896594023,-93.69638623232936,-37.396835023749254,-95.82645566824995,-22.903699862495742,-90.28514167320009,-38.29905587752872,-77.98977989830286,-88.9955825144942,-90.42025381171011,-38.2804420259547,-39.48591215186362,-77.15230086234153,-78.35777098825045,-87.25220297240709,-86.57593052323904,-81.06928123954285,17.58845925473182,17.916460880311615,31.95349742588452,-63.19650896594023,-63.1116813206627,-59.48142871221641
