trajectory,season,diurnal,engine,saf_level,water_injection,untrimmed_min_altitude,untrimmed_max_altitude,trimmed_min_altitude,trimmed_max_altitude,fuel_sum,fuel_kg_sum,energy_sum,ei_co2_conservative_sum,ei_co2_optimistic_sum,co2_conservative_sum,co2_optimistic_sum,ei_nox_sum,nox_sum,ei_h2o_sum,h2o_sum,ei_nvpm_mass_sum,nvpm_mass_sum,ei_nvpm_num_sum,nvpm_num_sum,nox_impact_sum,co2_impact_cons_sum,co2_impact_opti_sum,h2o_impact_sum,contrail_atr20_cocip_sum,contrail_atr20_accf_sum,contrail_atr20_accf_cocip_pcfa_sum,climate_non_co2_cocip,climate_total_cons_cocip,climate_total_opti_cocip,climate_non_co2_accf,climate_total_cons_accf,climate_total_opti_accf,climate_non_co2_accf_cocip_pcfa,climate_total_cons_accf_cocip_pcfa,climate_total_opti_accf_cocip_pcfa,accf_sac_pcfa_sum,accf_sac_issr_sum,accf_sac_sac_sum,contrail_formed,contrail_atr20_cocip_sum_relative_change,contrail_atr20_accf_sum_relative_change,contrail_atr20_accf_cocip_pcfa_sum_relative_change,nox_impact_sum_relative_change,co2_impact_cons_sum_relative_change,co2_impact_opti_sum_relative_change,h2o_impact_sum_relative_change,climate_non_co2_cocip_relative_change,climate_non_co2_accf_relative_change,climate_non_co2_accf_cocip_pcfa_relative_change,climate_total_cons_cocip_relative_change,climate_total_opti_cocip_relative_change,climate_total_cons_accf_relative_change,climate_total_opti_accf_relative_change,climate_total_cons_accf_cocip_pcfa_relative_change,climate_total_opti_accf_cocip_pcfa_relative_change,engine_display,season_astro
bos_fll,2023-08-06,nighttime,GTF2000,0,0,701.0400000000001,11459.633333333337,701.0400000000001,11459.633333333337,99.98147035135484,5998.88822108129,258138159.041349,650.25,650.25,22945.74744563593,22945.74744563593,2.020503724952289,84.23061211461066,210.29,7420.624729477557,0.0020710172596271,0.09589515946647,8.343669383477408e+16,3.3343748477555666e+18,8.166048493651545e-11,3.520839539009927e-12,3.520839539009927e-12,1.132663518407129e-12,0.0,1.6627103752881567e-10,5.7100693315216916e-11,8.279314845492257e-11,8.631398799393249e-11,8.631398799393249e-11,2.4906418598373824e-10,2.525850255227482e-10,2.525850255227482e-10,1.3989384177013946e-10,1.4341468130914938e-10,1.4341468130914938e-10,27.96754252935378,80.4916140343291,34.315961404037154,True,,0.0,-0.6565806398764965,5.5114470679865215e-05,0.0,0.0,0.0,5.436042828683244e-05,1.806967014397903e-05,-0.43831197948769135,5.214289287239862e-05,5.214289287239862e-05,1.7817788455447377e-05,1.7817788455447377e-05,-0.43220214126000916,-0.43220214126000916,CFM2008,summer
bos_fll,2023-08-06,nighttime,GTF,0,0,701.0400000000001,11459.633333333337,701.0400000000001,11459.633333333337,84.90923991810035,5094.554395086021,219223770.17494655,650.25,650.25,19486.67056120403,19486.67056120403,2.0690458422078777,68.74748481259736,210.29,6301.963786721408,0.0012777012028099,0.0485706750995272,9.661977079736858e+16,3.043269926046896e+18,7.0493254027113e-11,2.941191406346325e-12,2.941191406346325e-12,9.46344387504053e-13,6.353079749199222e-12,2.1165222657497722e-10,6.819435259427385e-11,7.779267816381628e-11,8.073386957016259e-11,8.073386957016259e-11,2.830918249895943e-10,2.8603301639594063e-10,2.8603301639594063e-10,1.3963395100889092e-10,1.4257514241523726e-10,1.4257514241523726e-10,34.86437653548204,80.4916140343291,45.44147183422078,True,,0.272935020558206,-0.5898603051511278,-0.13670437690516846,-0.16463349898263213,-0.16463349898263213,-0.16449645271977822,-0.06034607381218237,0.13664250541415102,-0.43935546735955194,-0.06460029082018191,-0.06460029082018191,0.13244287653132084,0.13244287653132084,-0.43552598775843476,-0.43552598775843476,GTF,summer
bos_fll,2023-08-06,nighttime,GTF2035,0,0,701.0400000000001,11459.633333333337,701.0400000000001,11459.633333333337,78.37850978051593,4702.710586830956,202362339.26192284,650.25,650.25,17987.867994628406,17987.867994628406,2.4241440089639608,74.66571288689242,210.29,5817.252995909892,0.0012871286300509,0.0453698304348559,9.01058891639866e+16,2.754763853995697e+18,7.618334678378113e-11,2.711643660776456e-12,2.711643660776456e-12,8.725690328838663e-13,1.8525540577840688e-11,2.4772590768512204e-10,7.830612322521387e-11,9.558145639450568e-11,9.829310005528212e-11,9.829310005528212e-11,3.24781823501787e-10,3.2749346716256347e-10,3.2749346716256347e-10,1.5536203904187888e-10,1.5807368270265534e-10,1.5807368270265534e-10,40.36912975213119,80.4916140343291,50.99262419401491,True,,0.48989211450725323,-0.5290453202853023,-0.06702065695735808,-0.22983037689386424,-0.22983037689386424,-0.22963084914135395,0.15452370186712402,0.3040320948569149,-0.37620559226921024,0.13884467195257336,0.13884467195257336,0.2965903330733549,0.2965903330733549,-0.3741651988317989,-0.3741651988317989,GTF2035,summer
bos_fll,2023-08-06,nighttime,GTF2035,20,0,701.0400000000001,11459.633333333337,701.0400000000001,11459.633333333337,77.88720935581051,4673.23256134863,202093942.1155215,637.5,528.0029999999999,17524.622105057366,14514.593012292711,2.4231128770917048,74.08971837030967,214.88,5906.9659575446685,0.0010762697568273,0.0384742771023038,7.691214378274778e+16,2.4014250153779323e+18,7.580300451336348e-11,2.645297684483957e-12,2.1909413541969924e-12,8.871948870425759e-13,2.4742072832797932e-11,2.8712801541805343e-10,8.913034011236518e-11,1.0143227223320399e-10,1.0407756991768795e-10,1.03623213587401e-10,3.6381821481845945e-10,3.6646351250294345e-10,3.6600915617265644e-10,1.6582053951277124e-10,1.6846583719725518e-10,1.6801148086696823e-10,46.41805459166531,80.4916140343291,57.04154903354903,True,,0.7268672866030116,-0.4639454866159814,-0.07167851850540383,-0.24867417126659958,-0.3777218956098484,-0.21671805207406786,0.2251954180748828,0.4607671811849666,-0.3342136478584272,0.2058647647074677,0.2006004960495029,0.45087794224476313,0.44907908490960785,-0.33302127259031916,-0.3348201299254743,GTF2035 - 20,summer
bos_fll,2023-08-06,nighttime,GTF2035,100,0,701.0400000000001,11459.633333333337,701.0400000000001,11459.633333333337,76.37000206484583,4582.200123890751,202079607.663706,585.2249999999999,39.015,15774.223926493907,1051.6149284329272,2.422764531614808,72.63565538651014,232.9000000000001,6277.614169730327,0.0006209665460583,0.0237895346497856,4.989450421218066e+16,1.6741632233540772e+18,7.431577292282046e-11,2.381100748613507e-12,1.5874004990756713e-13,9.428728991770973e-13,2.7547730471743862e-11,3.5531835324740046e-10,1.0939732676255312e-10,1.0280637629374143e-10,1.0518747704235493e-10,1.02965116343649e-10,4.30576999069398e-10,4.3295809981801146e-10,4.3073573911930556e-10,1.846559725845507e-10,1.8703707333316417e-10,1.8481471263445827e-10,55.55539641338579,80.4916140343291,66.17889085526951,True,,1.136982835545378,-0.34205422430473514,-0.08989189991847253,-0.3237122219767274,-0.9549141481317818,-0.1675613420452839,0.24179315331104023,0.7288104981976664,-0.2585874660071678,0.2187243836896575,0.19297564202361378,0.7141388856199258,0.7053402630901094,-0.259495270817925,-0.2682938933477414,GTF2035 - 100,summer
bos_fll,2023-08-06,nighttime,GTF2035_wi,0,15,701.0400000000001,11459.633333333337,701.0400000000001,11459.633333333337,69.72692114969867,4183.61526898192,180025148.639561,646.425,646.425,16002.328403855843,16002.328403855843,0.1912061774750331,5.788824415997238,209.053,5175.132087730635,0.0010366149534312,0.0341627189264449,6.748229532134821e+16,2.0045927867808333e+18,5.4649136415506175e-12,2.4881323029268347e-12,2.4881323029268347e-12,8.00705438441542e-13,3.119218187234142e-11,3.1903605001457704e-10,9.833626625883347e-11,3.745780095233358e-11,3.9945933255260415e-11,3.9945933255260415e-11,3.253016690945692e-10,3.27789801397496e-10,3.27789801397496e-10,1.0460188533882564e-10,1.0709001764175246e-10,1.0709001764175246e-10,50.93540665383767,80.4916140343291,61.55890109572138,True,,0.9187710304585449,-0.4085785009804172,-0.9330739360460318,-0.29331278084132545,-0.29331278084132545,-0.2930774008086898,-0.5475490680870609,0.3061193278493553,-0.580012778444108,-0.5371779582865872,-0.5371779582865872,0.2977635598485366,0.2977635598485366,-0.5760163314218815,-0.5760163314218815,GTF2035WI,summer
bos_fll,2023-08-06,nighttime,GTF2035_wi,20,15,701.0400000000001,11459.633333333337,701.0400000000001,11459.633333333337,69.38647282525284,4163.188369515171,180037081.03968358,633.75,524.8970999999999,15611.956385681891,12930.44675687717,0.191337449234428,5.768066359783058,213.616,5262.2700990671765,0.0008694624025503,0.0291625723664569,5.836774876628213e+16,1.76495748936056e+18,5.437557292326444e-12,2.427286600432806e-12,2.0103758539424678e-12,8.141373225978158e-13,2.948517639767732e-11,3.4147379438381327e-10,1.0511439352332884e-10,3.5736871012601574e-11,3.816415761303438e-11,3.7747246866544036e-11,3.477254889987376e-10,3.501527755991704e-10,3.4973586485268007e-10,1.1136608813825307e-10,1.137933747386859e-10,1.1337646399219555e-10,53.79564926248442,80.4916140343291,64.41914370436814,True,,1.0537178299896879,-0.3678129692002918,-0.9334089555720138,-0.3105943700247788,-0.42900668102932266,-0.2812187296870463,-0.568336096027635,0.39615324824874004,-0.5528538153855556,-0.5578219881892228,-0.5626524043837803,0.38630155854475723,0.3846509532721171,-0.5494768462641264,-0.5511274515367668,GTF2035WI - 20,summer
bos_fll,2023-08-06,nighttime,GTF2035_wi,100,15,701.0400000000001,11459.633333333337,701.0400000000001,11459.633333333337,68.03809079410942,4082.285447646565,180032870.5266612,581.7825,38.7855,14053.2676535233,936.8845102348868,0.1912968464008799,5.654854565815117,231.5300000000001,5592.731063275794,0.0005059290241396,0.0181845225200089,3.950385368871612e+16,1.2564158370921564e+18,5.330688198362232e-12,2.1849717907783417e-12,1.456647860518895e-13,8.652728756326866e-13,2.443753814663988e-11,4.746326841197221e-10,1.4610716703613988e-10,3.0633499220634795e-11,3.281847101141314e-11,3.077916400668669e-11,4.80828645193717e-10,4.830136169844953e-10,4.809743099797687e-10,1.5230312811013478e-10,1.5448809990091316e-10,1.5244879289618668e-10,70.91143056855968,80.4916140343291,81.53492501044339,True,,1.8545722163877496,-0.12127109322440645,-0.9347177279125264,-0.37941738992377827,-0.9586278259949186,-0.23607244201744515,-0.6299794724263695,0.9305759746611099,-0.3884874311581437,-0.619758245167186,-0.6433860879710256,0.9123153568557139,0.9042414683247263,-0.38836099955861236,-0.3964348880895998,GTF2035WI - 100,summer
dus_tos,2023-08-06,nighttime,GTF1990,0,0,990.6,11041.38,990.6,11041.38,98.67212813135274,5920.327687881166,254757620.73721445,657.9,657.9,22645.253406145457,22645.253406145457,1.8996734913232207,72.35747861384719,212.764,7323.445349909002,0.0085204599862784,0.3157754408576926,9.54653330835339e+17,3.2199955921983783e+19,5.85883612692402e-11,3.2747817016575586e-12,3.2747817016575586e-12,4.448038338635626e-12,1.4301555189312477e-12,1.195223590909561e-11,1.195223590909561e-11,6.446655512680707e-11,6.774133682846463e-11,6.774133682846463e-11,7.498863551697143e-11,7.826341721862899e-11,7.826341721862899e-11,7.498863551697143e-11,7.826341721862899e-11,7.826341721862899e-11,14.865969792653283,19.17277499833626,17.638334995103172,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CFM1990,summer
dus_tos,2023-08-06,nighttime,GTF2000,0,0,990.6,11041.38,990.6,11041.38,98.67212813135274,5920.327687881166,254757620.73721445,657.9,657.9,22645.253406145457,22645.253406145457,1.901979938481709,72.55846274102637,212.764,7323.445349909002,0.0019026946463678,0.0825704030301594,9.355398933732154e+16,3.566263561778672e+18,5.858850043330501e-11,3.2747817016575586e-12,3.2747817016575586e-12,4.448038338635626e-12,8.801818947074278e-13,1.195223590909561e-11,3.9532700804851936e-12,6.391672066664807e-11,6.719150236830564e-11,6.719150236830564e-11,7.498877468103625e-11,7.826355638269381e-11,7.826355638269381e-11,6.698980885242584e-11,7.026459055408339e-11,7.026459055408339e-11,14.865969792653283,19.17277499833626,17.638334995103172,True,-0.3845551179180947,0.0,-0.6692443062074461,2.3752851555082494e-06,0.0,0.0,0.0,-0.008528987768579497,1.8558020673653914e-06,-0.10666718509280373,-0.008116675665130291,-0.008116675665130291,1.7781496102138031e-06,1.7781496102138031e-06,-0.10220390252320397,-0.10220390252320397,CFM2008,summer
