longitude,latitude,altitude,time,icao24,callsign,groundspeed,cos_sza
-71.01115381994913,42.35587944418697,83.82000000000001,2023-11-06 15:00:00,adbb36,NKS2975,72.02222216,0.47365790091102866
-71.06150540438568,42.33370971679688,701.0400000000001,2023-11-06 15:01:00,adbb36,NKS2975,102.8888888,0.4748880354727473
-71.11520456713299,42.276880296610166,1203.96,2023-11-06 15:02:00,adbb36,NKS2975,152.789999868,0.4765825009067757
-71.07598593068673,42.20421225337659,2316.48,2023-11-06 15:03:00,adbb36,NKS2975,150.217777648,0.4789129256155302
-71.01849933003268,42.12930970272775,3063.2400000000002,2023-11-06 15:04:00,adbb36,NKS2975,167.1944443,0.48134150309801194
-70.94178665515989,42.04761052535752,3467.1000000000004,2023-11-06 15:05:00,adbb36,NKS2975,199.089999828,0.483933518683034
-70.85792009220563,41.9575784974179,4259.58,2023-11-06 15:06:00,adbb36,NKS2975,205.7777776,0.4866549291779413
-70.78041770241475,41.858001708984375,4640.58,2023-11-06 15:07:00,adbb36,NKS2975,227.384444248,0.48946386150516985
-70.81927632176598,41.74562615863347,5494.02,2023-11-06 15:08:00,adbb36,NKS2975,209.378888708,0.49194283912412684
-70.9253710369731,41.6669528767214,6134.1,2023-11-06 15:09:00,adbb36,NKS2975,213.49444426,0.4936562427512612
-71.0350426962209,41.58511404263771,6728.46,2023-11-06 15:10:00,adbb36,NKS2975,218.124444256,0.4953955638477444
-71.1456724654796,41.50187864141949,7406.64,2023-11-06 15:11:00,adbb36,NKS2975,214.523333148,0.49714698620991116
-71.25376614657318,41.420196533203125,8191.5,2023-11-06 15:12:00,adbb36,NKS2975,202.691110936,0.49888345896953906
-71.35638427734375,41.348876953125,8846.82,2023-11-06 15:13:00,adbb36,NKS2975,187.257777616,0.5004928372213766
-71.466064453125,41.293650481660485,9258.300000000001,2023-11-06 15:14:00,adbb36,NKS2975,187.257777616,0.5018427862228333
-71.57805009321731,41.23657743809586,9631.68,2023-11-06 15:15:00,adbb36,NKS2975,190.858888724,0.5032057845277043
-71.6922607421875,41.178497314453125,9871.710000000001,2023-11-06 15:16:00,,,,0.5045704932600042
-71.81088534268468,41.117683022709215,10241.28,2023-11-06 15:17:00,adbb36,NKS2975,198.575555384,0.5059525937508925
-71.92901611328125,41.05769348144531,10553.7,2023-11-06 15:18:00,adbb36,NKS2975,200.118888716,0.507321852569921
-72.03810258345169,40.98407810017214,10881.36,2023-11-06 15:19:00,adbb36,NKS2975,209.893333152,0.5089155473678937
-72.14147394353694,40.90168063923464,10919.460000000001,2023-11-06 15:20:00,adbb36,NKS2975,211.951110928,0.5106515846831863
-72.24676513671875,40.81732177734375,10927.08,2023-11-06 15:21:00,adbb36,NKS2975,216.581110924,0.5124035670947102
