,index,longitude,latitude,altitude,groundspeed,time,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,EI_nox_py,EI_nvpm_mass_py,EI_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,EI_nox_p3t3,EI_nox_p3t3_xue,EI_nox_boer,EI_nox_kaiser,EI_nox_kypriandis,EI_nvpm_number_p3t3,EI_nvpm_mass_p3t3,EI_nvpm_number_p3t3_meem,EI_nvpm_mass_p3t3_meem,EI_mass_meem,EI_number_meem
0,0,-4.458446502685547,36.64544677734375,624.84,100.831111024,2024-06-07 09:23:00,34610D,295.19336,0.96996045,1.6105541,110.572215716343,66657.01520873216,0.2526206822437738,1.327123937901571,79.62743627409424,148637.69467369904,2781.55761468215,0.0082756375501709,0.9404035659516814,0.3826088177977075,0.6635619689507853,1.0,0.0183432257888875,0.0003684312454961,7.99046714585036e-05,3.078641737874867e-05,1532568553431143.8,251.54307118986367,97.9417466171359,0.095552923528913,0.0019500596638553,0.0015925487254818,1.4606240425659645,0.0293372355221285,0.0063626041345644,0.0024514434879339,1.2203450482401918e+17,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.3210331919589202,74.31884733684952,18.343225788887537,30.78641737874867,1532568553431143.8,36.9611235538164,868.90095696674,1619.59136096949,0.827563755017,0.0224143350218778,0.676432307542591,74.3194122721351,30.1785579131547,29.930860956315673,0.8275637550170901,25.13801941011182,25.13801941011182,27.499459385712257,23.037641813588507,23.425116331415698,1110914631752982.1,32.19197444696846,1197962909641676.0,27.692041172151782,,
1,1,-4.399623870849609,36.604248046875,1440.18,118.32222212,2024-06-07 09:24:00,34610D,290.10602,-12.065596,3.6959515,139.33108068323645,66577.38777245807,0.2803715600781101,1.1950438293209404,71.70262975925642,103716.8323707955,2671.4630383454605,0.0078189829079693,0.8517839178058632,0.4711974291771986,0.5975219146604702,0.9424954841825948,0.0168855444313333,0.0003848456229339,8.346459058153043e-05,2.808468447654321e-05,1573158199281541.2,226.50860740949105,88.1942346038854,0.0860431557111077,0.0017559827696144,0.0014340525951851,1.2107379406433716,0.0275944432157013,0.0059846306364753,0.0020137457329271,1.127995799158229e+17,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4080626547867353,51.85841618539775,16.885544431333383,28.084684476543213,1573158199281541.2,30.2172323945624,834.141316604653,1535.11810901692,0.781898290797,0.0205779372251699,0.523348427517921,51.8585059142922,25.4325018971186,25.23518839041456,0.7818982907969301,20.83080539858824,20.83080539858824,19.808296224329688,17.917749450632236,18.293149770179742,1048264373686176.5,22.692814272581124,1082360481742518.6,22.18968094483183,25.749538190924962,1629951766621623.5
2,2,-4.322477300116361,36.58828993975106,2217.42,135.298888772,2024-06-07 09:25:00,34610D,288.7378,-5.6733317,10.186295,145.58717537578292,66505.68514269881,0.2835251170420679,1.1688525819071045,70.13115491442626,108931.43801968958,3005.555785269361,0.0053509477967686,0.773723179826334,0.3237649330788237,0.5844262909535521,1.0,0.0182071642124682,0.0004179169360361,9.063703439685556e-05,3.160117416568522e-05,1520328006110952.8,221.5443183746725,86.2613205447443,0.0841573858973115,0.0017174976713737,0.0014026230982885,1.2768894539370106,0.0293089973825104,0.00635647990027,0.0022162268408914,1.0662235891730802e+17,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4273940854773426,54.46571900984479,18.20716421246828,31.601174165685222,1520328006110952.8,31.233191160858,857.872186279276,1584.94973799825,0.535094779677,0.02150213678381,0.555646203369664,54.4665261180887,25.8414411998363,25.70390096758544,0.53509477967686,24.139382464352856,24.139382464352856,24.831728717427996,21.467639131125114,21.964899798441547,923788650615059.5,24.403683536985135,966735222327879.6,22.34699535670968,23.031649369049568,1535234281124411.0
3,3,-4.236222936751972,36.61300917803231,3086.1000000000004,152.275555424,2024-06-07 09:26:00,34610D,282.66278,-5.0140047,11.643089,152.16004076680514,66435.55398778438,0.2885505707291853,1.1309381781090246,67.85629068654148,98400.61945474308,2287.214517318119,0.0029210953338867,0.6934403928345334,0.2500719341300094,0.5654690890545123,1.0,0.0186752416290469,0.0004356547443759,9.448397671002174e-05,3.376337620560875e-05,1487844034440081.2,214.35802227878452,83.46323754444603,0.0814275488238497,0.0016617867106908,0.0013571258137308,1.2672326246220122,0.0295619149733473,0.0064113321888556,0.0022910574703668,1.009595772972028e+17,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4514644143803006,49.20030972737154,18.67524162904698,33.76337620560875,1487844034440081.2,28.8974809473109,848.927569983738,1567.14917949155,0.292109533389,0.0211094165919142,0.508332379345774,49.2008911528141,24.0808350686721,24.010697532147578,0.29210953338866996,23.875025341882495,23.875025341882495,23.685317366886462,20.766737598184147,21.255750030495577,882438133159036.2,21.62602193663959,910970704637253.5,21.05794599849883,20.836084591635462,1398329749716260.0
4,4,-4.184622257313833,36.68991347490731,3749.04,174.91111096,2024-06-07 09:27:00,34610D,276.64957,-3.9257789,9.377092,165.96180560067236,66367.69769709784,0.2975260516300524,1.1171801346949657,67.03080808169793,92413.75749340394,2094.6075759498312,0.0020121669953568,0.6368273221635501,0.2536398118790869,0.5585900673474827,1.0,0.0188500059339591,0.0004426415133841,9.59992539536768e-05,3.546093665197463e-05,1462340633540833.5,211.75032273008372,82.44789394048846,0.0804369696980375,0.001641570810164,0.0013406161616339,1.2635311300980805,0.0296706183326431,0.006434907567755,0.0023769752391157,9.802187435694418e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4977375294550086,46.206878746701975,18.850005933959117,35.460936651974635,1462340633540833.5,28.3004005224093,846.6231809672,1561.12427282216,0.201216699536,0.0209555313286118,0.495351092769677,46.2068930509086,23.6382024870611,23.590733990728715,0.20121669953568003,23.848061774501392,23.848061774501392,23.486809995399636,20.68582916491265,21.207065533360236,872945158316291.8,20.983750598115588,899375656208453.0,20.789915531195398,19.8172670794573,1331923787315811.0
5,5,-4.146251678466797,36.78662109375,4358.64,191.887777612,2024-06-07 09:28:00,34610D,271.71878,-3.406237,8.695613,180.84474749099616,66300.66688901615,0.3012554568817412,1.0933459187748753,65.60075512649252,97118.16341582536,2666.064328572796,0.0012513568449361,0.588129611839903,0.2179621556171939,0.5466729593874377,1.0,0.0189171891632269,0.000452394905954,9.81145512810233e-05,3.628235539e-05,1450000000000000.0,207.23278544458984,80.68892880558579,0.078720906151791,0.0016065491051385,0.0013120151025298,1.240981893978391,0.0296774474459664,0.0064363886529321,0.0023801499113517,9.512109493341414e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5472720841957844,48.55908170791269,18.91718916322698,36.28235539,1450000000000000.0,30.0153334348412,865.922629291565,1606.71310342906,0.125135684494,0.0219025483662746,0.540361326757532,48.5590850083759,24.6711623561382,24.640328512392742,0.12513568449360998,26.685262769434512,26.685262769434512,28.12166808376312,23.714131204277365,24.33302899303168,821897500125476.8,23.229123524596865,877853176744352.5,20.29240314358322,19.101731028259024,1283785692530374.2
6,6,-4.106899829621,36.88751220703125,5135.88,197.546666496,2024-06-07 09:29:00,34610D,266.28842,-2.7134047,9.770877,192.5884354495601,66235.06613388965,0.3135742285408477,1.054779859361127,63.28679156166763,80434.27540051853,2038.5969893301951,0.0006925397341391,0.5304583483154943,0.1725610000874268,0.5273899296805635,1.0,0.0187531756887189,0.0004702226446745,0.0001019809975249,3.628235539e-05,1450000000000000.0,199.922974543308,77.84275362085118,0.0759441498740011,0.0015498806096734,0.0012657358312333,1.186828320931287,0.0297588825010956,0.0064540501336149,0.0022961938629332,9.176584776441806e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5887233802028466,40.21713770025927,18.75317568871892,36.28235538999999,1450000000000000.0,26.5655847977349,844.17581221032,1553.43226726434,0.0692539734139,0.0207428022309533,0.461672824603108,40.2172757194409,22.2570132744254,22.24161007569675,0.06925397341391,23.785590309976744,23.785590309976744,23.02457767554535,20.39108917921257,20.97106783403718,803448775740817.6,18.920698890489454,826798423329736.8,18.86706925284258,17.78974461874876,1199596380609342.8
7,7,-4.066168602476694,36.99110412597656,5730.240000000001,208.864444264,2024-06-07 09:30:00,34610D,262.3566,-1.3909073,10.909297,201.09224888547624,66171.77934232798,0.3176726141748292,1.0224038074790467,61.3442284487428,77173.63686935938,2170.147961867792,0.0005054365749048,0.489521716698911,0.1642689318638077,0.5112019037395233,1.0,0.0185135519399381,0.0004859163202571,0.0001053846121932,3.628235539e-05,1450000000000000.0,193.7864176695785,75.45340099195364,0.0736130741384913,0.0015023076354794,0.0012268845689748,1.1356995596012336,0.0298081617568246,0.0064647377253621,0.0022257130977026,8.894913125067707e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6193077802943314,38.58681843467969,18.513551939938186,36.28235538999999,1450000000000000.0,25.8839107493361,845.513214663313,1557.26055134202,0.0505436574905,0.0208265880442133,0.451010051823905,38.5865492834771,21.6554939708053,21.6445540215553,0.05054365749048,23.7989727199049,23.7989727199049,23.105613008888845,20.3875063870313,20.95806951321164,771562147096997.9,18.3748084965093,794334241369309.4,18.361784275131136,16.811821447029,1136847016933823.8
8,8,-4.023099858710111,37.10087585449219,6362.700000000001,215.037777592,2024-06-07 09:31:00,34610D,258.16083,0.7978851,12.403082,205.72888926879452,66110.43511387924,0.3205228423891136,0.9917404877437536,59.504429264625216,71753.09076261082,1882.4909328180745,0.0003847001148765,0.4488094387389205,0.1677830159633013,0.4958702438718768,1.0,0.0182308379365194,0.0005034081697698,0.0001091782114212,3.628235539e-05,1450000000000000.0,187.97449204695104,73.19044799548901,0.0714053151175502,0.0014572513289295,0.0011900885852925,1.0848156064284702,0.0299550158293015,0.0064965871587558,0.0021589608498582,8.628142243370656e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.638715278911193,35.87654538130541,18.23083793651949,36.28235539,1450000000000000.0,24.3772448290159,839.469129604644,1546.37963401243,0.0384700114877,0.0206361679991069,0.422508899967852,35.8759657817487,20.4741936577633,20.466320262007407,0.038470011487649995,22.925490989400465,22.925490989400465,21.71884779657861,19.335150228035552,19.859214748827377,745235047008506.1,16.87031125960587,766998423868729.1,16.66401328228129,15.531700150553315,1056420120367563.8
9,9,-3.978862356632306,37.21408081054688,6911.34,222.239999808,2024-06-07 09:32:00,34610D,254.31462,1.843599,14.17466,210.6506190647398,66050.93068461462,0.3232113285778495,0.9675381251742406,58.05228751045444,67705.76537955373,1671.6692660383262,0.0002958787626552,0.4157548966576384,0.1713970553394911,0.4837690625871203,1.0,0.0180032689428319,0.0005179604713034,0.0001123342870452,3.628235539e-05,1450000000000000.0,183.3871762455256,71.40431363785896,0.0696627450125453,0.0014216886737254,0.001161045750209,1.0451309447973136,0.0300687901991577,0.0065212623288314,0.0021062737266567,8.417581689015894e+16,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6589224532728709,33.85288268977687,18.003268942831916,36.28235538999999,1450000000000000.0,23.2834384930534,835.285234908645,1539.21134131087,0.0295878762655,0.0205164697362289,0.402234620285529,33.8529738346389,19.6054499364111,19.599650815979196,0.02958787626552,22.314552499605,22.314552499605,20.786860892223107,18.607654276321284,19.10207082667519,722858018587752.0,15.799323403159876,745648812354729.2,15.481800820003249,14.538703615377722,993553556492641.9
