trajectory,season,diurnal,engine,saf_level,water_injection,untrimmed_min_altitude,untrimmed_max_altitude,trimmed_min_altitude,trimmed_max_altitude,fuel_sum,fuel_kg_sum,energy_sum,ei_co2_conservative_sum,ei_co2_optimistic_sum,co2_conservative_sum,co2_optimistic_sum,ei_nox_sum,nox_sum,ei_nvpm_mass_sum,nvpm_mass_sum,ei_nvpm_num_sum,nvpm_num_sum,nox_impact_sum,co2_impact_cons_sum,co2_impact_opti_sum,h2o_impact_sum,contrail_atr20_cocip_sum,contrail_atr20_accf_sum,contrail_atr20_accf_cocip_pcfa_sum,climate_non_co2_cocip,climate_total_cons_cocip,climate_total_opti_cocip,climate_non_co2_accf,climate_total_cons_accf,climate_total_opti_accf,climate_non_co2_accf_cocip_pcfa,climate_total_cons_accf_cocip_pcfa,climate_total_opti_accf_cocip_pcfa,accf_sac_pcfa_sum,accf_sac_issr_sum,accf_sac_sac_sum
sfo_dfw,2023-02-06,daytime,GTF1990,0,0,632.46,11308.08,632.46,11308.08,105.85475909142006,6351.285545485203,273302168.3077738,711.45,711.45,24293.667211480904,24293.667211480904,2.099402650372882,83.67005615948021,0.008080438846277129,0.31854933525396045,8.271814169400744e+17,2.881898675790897e+19,1.624309606297903e-10,4.750761588022934e-12,4.750761588022934e-12,3.5537678838927155e-12,0.0,6.259329616732402e-12,6.259329616732402e-12,1.6598472851368303e-10,1.7073549010170596e-10,1.7073549010170596e-10,1.7224405813041544e-10,1.7699481971843836e-10,1.7699481971843836e-10,1.7224405813041544e-10,1.7699481971843836e-10,1.7699481971843836e-10,1.2819750744417304,2.9881675822831304,24.479192014445477
sfo_dfw,2023-02-06,daytime,GTF2000,0,0,632.46,11308.08,632.46,11308.08,105.85475909142006,6351.285545485203,273302168.3077738,711.45,711.45,24293.667211480904,24293.667211480904,2.0999214649255658,83.70085739131935,0.002115133770242428,0.09777129963249932,9.343810583821437e+16,3.747728985536133e+18,1.625493778436579e-10,4.750761588022934e-12,4.750761588022934e-12,3.5537678838927155e-12,0.0,6.259329616732402e-12,6.259329616732402e-12,1.661031457275506e-10,1.7085390731557354e-10,1.7085390731557354e-10,1.7236247534428301e-10,1.7711323693230594e-10,1.7711323693230594e-10,1.7236247534428301e-10,1.7711323693230594e-10,1.7711323693230594e-10,1.2819750744417304,2.9881675822831304,24.479192014445477
sfo_dfw,2023-02-06,daytime,GTF,0,0,632.46,11308.08,632.46,11308.08,88.58306348591103,5314.983809154661,228709068.29173422,711.45,711.45,20329.81307001658,20329.81307001658,2.1763073263621977,69.63613685905666,0.0013201684437510258,0.04980504815514824,1.0718547998765653e+17,3.326551945769811e+18,1.2617138009938886e-10,3.9756078892476875e-12,3.9756078892476875e-12,2.9949823439770964e-12,0.0,6.259329616732402e-12,6.259329616732402e-12,1.2916636244336595e-10,1.3314197033261365e-10,1.3314197033261365e-10,1.3542569206009835e-10,1.3940129994934605e-10,1.3940129994934605e-10,1.3542569206009835e-10,1.3940129994934605e-10,1.3940129994934605e-10,1.2819750744417304,2.9881675822831304,25.421203214147766
sfo_dfw,2023-02-06,daytime,GTF2035,0,0,632.46,11308.08,632.46,11308.08,81.41594813842235,4884.956888305342,210204579.86066717,711.45,711.45,18684.960097767933,18684.960097767933,2.5451116214471665,75.07890182872019,0.0013408920351384577,0.04665575224965249,1.0431227790208694e+17,3.0453727641821164e+18,1.35784080924922e-10,3.653947752452396e-12,3.653947752452396e-12,2.755262301316584e-12,0.0,6.259329616732402e-12,6.259329616732402e-12,1.3853934322623859e-10,1.4219329097869097e-10,1.4219329097869097e-10,1.44798672842971e-10,1.4845262059542337e-10,1.4845262059542337e-10,1.44798672842971e-10,1.4845262059542337e-10,1.4845262059542337e-10,1.2819750744417304,2.9881675822831304,27.165937914494034
sfo_dfw,2023-02-06,daytime,GTF2035,20,0,632.46,11308.08,632.46,11308.08,81.01136692407866,4860.68201544472,210200193.75790688,697.5,577.6974,18227.557557917695,15096.792271769755,2.5450138912096847,74.70315387292092,0.001105463345966379,0.039122752921870944,8.697357201025382e+16,2.621983537819688e+18,1.3510270478741325e-10,3.564500144659461e-12,2.952261599812752e-12,2.8014217057869226e-12,0.0,6.259329616732402e-12,6.259329616732402e-12,1.3790412649320016e-10,1.4146862663785962e-10,1.4085638809301292e-10,1.4416345610993256e-10,1.4772795625459203e-10,1.4711571770974532e-10,1.4416345610993256e-10,1.4772795625459203e-10,1.4711571770974532e-10,1.2819750744417304,2.9881675822831304,27.167645225531942
sfo_dfw,2023-02-06,daytime,GTF2035,100,0,632.46,11308.08,632.46,11308.08,79.43441572087205,4766.064943252323,210188230.06237072,640.3050000000001,42.687,16407.178567146122,1093.8119044764085,2.544660864808662,73.23830128876827,0.000599045287950334,0.02279201494593217,5.201617886476115e+16,1.7448145990530348e+18,1.3244951763387196e-10,3.2085149197974637e-12,2.139009946531643e-13,2.9772442416039617e-12,0.0,6.364994279137054e-12,6.364994279137054e-12,1.3542676187547592e-10,1.3863527679527337e-10,1.356406628701291e-10,1.4179175615461297e-10,1.4500027107441043e-10,1.4200565714926614e-10,1.4179175615461297e-10,1.4500027107441043e-10,1.4200565714926614e-10,1.4070605718240308,2.9881675822831304,31.268460028470265
sfo_dfw,2023-02-06,daytime,GTF2035_wi,0,15,632.46,11308.08,632.46,11308.08,72.96885965941998,4378.131579565198,188395380.00027007,707.625,707.625,16746.353291836884,16746.353291836884,0.18877808113294142,5.28174902291218,0.0010648143688914325,0.034596609965208684,7.381514133786059e+16,2.1772003564931533e+18,9.4712327092898e-12,3.2748424215147686e-12,3.2748424215147686e-12,2.505747982241693e-12,0.0,6.259329616732402e-12,6.259329616732402e-12,1.1976980691531493e-11,1.5251823113046262e-11,1.5251823113046262e-11,1.8236310308263895e-11,2.1511152729778665e-11,2.1511152729778665e-11,1.8236310308263895e-11,2.1511152729778665e-11,2.1511152729778665e-11,1.2819750744417304,2.9881675822831304,28.746199407206756
sfo_dfw,2023-02-06,daytime,GTF2035_wi,20,15,632.46,11308.08,632.46,11308.08,72.60745174049185,4356.447104429511,188394555.0310542,693.75,574.5915,16336.676641610664,13530.68906164762,0.18876800194827031,5.255261198960353,0.00088095120684079,0.02907416301934476,6.296132208512822e+16,1.8892377530200095e+18,9.423680242469136e-12,3.194727876581641e-12,2.6460014164999783e-12,2.547758615395443e-12,0.0,6.259329616732402e-12,6.259329616732402e-12,1.1971438857864578e-11,1.516616673444622e-11,1.4617440274364557e-11,1.823076847459698e-11,2.142549635117862e-11,2.0876769891096958e-11,1.823076847459698e-11,2.142549635117862e-11,2.0876769891096958e-11,1.2819750744417304,2.9881675822831304,30.300158526591993
sfo_dfw,2023-02-06,daytime,GTF2035_wi,100,15,632.46,11308.08,632.46,11308.08,71.19679605457443,4271.807763274466,188390994.16816723,636.8625,42.457499999999996,14705.69822507235,980.3798816714901,0.1887258792361382,5.152008518035341,0.00048332749398250543,0.017078314893916993,4.068888627555139e+16,1.2881598019476828e+18,9.238187899331242e-12,2.8757809862363704e-12,1.9171873241575804e-13,2.7077704627492594e-12,0.0,7.99356688131101e-12,7.99356688131101e-12,1.19459583620805e-11,1.4821739348316873e-11,1.2137677094496258e-11,1.9939525243391512e-11,2.281530622962788e-11,2.013124397580727e-11,1.9939525243391512e-11,2.281530622962788e-11,2.013124397580727e-11,1.9250003772943476,2.9881675822831304,36.72554515305574
sfo_dfw,2023-02-06,nighttime,GTF1990,0,0,632.46,11308.08,632.46,11308.08,106.65402484503373,6399.241490702025,275365760.5863988,711.45,711.45,24477.09870193524,24477.09870193524,2.1210076646504836,82.689795141183,0.008217009925760757,0.3177190934059004,8.541849574534861e+17,2.8996628196426523e+19,1.5862130020498651e-10,4.786632635045114e-12,4.786632635045114e-12,3.3641340456670127e-12,0.0,0.0,0.0,1.6198543425065352e-10,1.6677206688569865e-10,1.6677206688569865e-10,1.6198543425065352e-10,1.6677206688569865e-10,1.6677206688569865e-10,1.6198543425065352e-10,1.6677206688569865e-10,1.6677206688569865e-10,0.0,0.0,5.129053690004312
