engine,saf_level,water_injection,fuel_kg_sum_change,ei_co2_conservative_sum_change,ei_co2_optimistic_sum_change,ei_nox_sum_change,ei_nvpm_num_sum_change,co2_conservative_sum_change,co2_optimistic_sum_change,nox_sum_change,nvpm_num_sum_change
GTF,0,0,-15.8,0.0,0.0,-0.6,-84.2,-15.8,-15.8,-16.8,-86.1
GTF1990,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2000,0,0,0.0,0.0,0.0,0.4,-85.8,0.0,0.0,0.6,-84.6
GTF2035,0,0,-22.4,0.0,0.0,16.1,-85.2,-22.4,-22.4,-9.1,-87.3
GTF2035,20,0,-22.8,-2.0,-18.8,16.1,-87.1,-24.3,-37.3,-9.6,-88.8
GTF2035,100,0,-24.3,-10.0,-94.0,16.1,-91.1,-31.9,-95.5,-11.3,-92.1
GTF2035_wi,0,15,-29.9,-0.5,-0.5,-91.2,-88.1,-29.9,-29.9,-93.8,-90.9
GTF2035_wi,20,15,-29.7,-2.5,-19.2,-91.1,-89.7,-31.1,-42.9,-93.5,-91.9
GTF2035_wi,100,15,-31.6,-10.4,-94.0,-91.2,-92.9,-38.4,-95.9,-94.0,-94.4
