trajectory,season,diurnal,engine,saf_level,water_injection,untrimmed_min_altitude,untrimmed_max_altitude,trimmed_min_altitude,trimmed_max_altitude,fuel_sum,fuel_kg_sum,energy_sum,ei_co2_conservative_sum,ei_co2_optimistic_sum,co2_conservative_sum,co2_optimistic_sum,ei_nox_sum,nox_sum,ei_nvpm_mass_sum,nvpm_mass_sum,ei_nvpm_num_sum,nvpm_num_sum,nox_impact_sum,co2_impact_cons_sum,co2_impact_opti_sum,h2o_impact_sum,contrail_atr20_cocip_sum,contrail_atr20_accf_sum,climate_non_co2,climate_total_cons_sum,climate_total_opti_sum,is_special_case,contrail_category
sfo_dfw,2023-02-06,daytime,GTF1990,0,0,632.46,11308.08,632.46,11308.08,105.85475909142006,6351.285545485203,273302168.3077738,587.7600000000001,587.7600000000001,20070.062323733244,20070.062323733244,2.099402650372882,83.67005615948021,0.008080438846277129,0.31854933525396045,8.271814169400744e+17,2.881898675790897e+19,1.624309606297903e-10,1.5012406618152467e-11,1.5012406618152467e-11,1.1229906513100984e-11,0.0,6.259329616732402e-12,1.736608671428913e-10,1.8867327376104378e-10,1.8867327376104378e-10,False,no contrail
sfo_dfw,2023-02-06,daytime,GTF2000,0,0,632.46,11308.08,632.46,11308.08,105.85475909142006,6351.285545485203,273302168.3077738,587.7600000000001,587.7600000000001,20070.062323733244,20070.062323733244,2.0999214649255658,83.70085739131935,0.002115133770242428,0.09777129963249932,9.343810583821437e+16,3.747728985536133e+18,1.625493778436579e-10,1.5012406618152467e-11,1.5012406618152467e-11,1.1229906513100984e-11,0.0,6.259329616732402e-12,1.7377928435675888e-10,1.8879169097491136e-10,1.8879169097491136e-10,False,no contrail
sfo_dfw,2023-02-06,daytime,GTF,0,0,632.46,11308.08,632.46,11308.08,88.58306348591103,5314.983809154661,228709068.29173422,587.7600000000001,587.7600000000001,16795.34883692873,16795.34883692873,2.1763073263621977,69.63613685905666,0.0013201684437510258,0.04980504815514824,1.0718547998765653e+17,3.326551945769811e+18,1.2617138009938886e-10,1.2562920930022691e-11,1.2562920930022691e-11,9.464144206967625e-12,0.0,6.259329616732402e-12,1.3563552430635648e-10,1.4819844523637918e-10,1.4819844523637918e-10,False,no contrail
sfo_dfw,2023-02-06,daytime,GTF2035,0,0,632.46,11308.08,632.46,11308.08,81.41594813842235,4884.956888305342,210204579.86066717,587.7600000000001,587.7600000000001,15436.46376704488,15436.46376704488,2.5451116214471665,75.07890182872019,0.0013408920351384577,0.04665575224965249,1.0431227790208694e+17,3.0453727641821164e+18,1.35784080924922e-10,1.154647489774957e-11,1.154647489774957e-11,8.706628872160407e-12,0.0,6.259329616732402e-12,1.444907097970824e-10,1.5603718469483196e-10,1.5603718469483196e-10,False,no contrail
sfo_dfw,2023-02-06,daytime,GTF2035,20,0,632.46,11308.08,632.46,11308.08,81.01136692407866,4860.68201544472,210200193.75790688,576.0048000000002,477.26112000000023,15052.56006542921,12472.121197069917,2.5450138912096847,74.70315387292092,0.001105463345966379,0.039122752921870944,8.697357201025382e+16,2.621983537819688e+18,1.3510270478741325e-10,1.125931492894105e-11,9.3291466554083e-12,8.490128692643139e-12,0.0,6.259329616732402e-12,1.4359283348005638e-10,1.5485214840899742e-10,1.5292198013546469e-10,False,no contrail
sfo_dfw,2023-02-06,daytime,GTF2035,100,0,632.46,11308.08,632.46,11308.08,79.43441572087205,4766.064943252323,210188230.06237072,528.9840000000002,35.26559999999999,13554.688698609609,903.6459132406405,2.544660864808662,73.23830128876827,0.000599045287950334,0.022792014945932165,5.201617886476115e+16,1.7448145990530348e+18,1.3244951763387196e-10,1.0138907146559988e-11,6.759271431039991e-13,7.64527635386971e-12,0.0,6.364994279137054e-12,1.4009479398774167e-10,1.5023370113430166e-10,1.4077072113084567e-10,False,no contrail
sfo_dfw,2023-02-06,daytime,GTF2035_wi,0,15,632.46,11308.08,632.46,11308.08,72.96885965941998,4378.131579565198,188395380.00027007,584.6000000000001,584.6000000000001,13834.895791426025,13834.895791426025,0.18877808113294142,5.28174902291218,0.0010648143688914325,0.034596609965208684,7.381514133786059e+16,2.1772003564931533e+18,9.4712327092898e-12,1.034850205198667e-11,1.034850205198667e-11,7.918163623883751e-12,0.0,6.259329616732402e-12,1.738939633317355e-11,2.773789838516022e-11,2.773789838516022e-11,False,no contrail
sfo_dfw,2023-02-06,daytime,GTF2035_wi,20,15,632.46,11308.08,632.46,11308.08,72.60745174049185,4356.447104429511,188394555.0310542,572.9080000000001,474.6952000000002,13491.045392997312,11178.294754197772,0.18876800194827031,5.255261198960353,0.00088095120684079,0.02907416301934476,6.296132208512822e+16,1.8892377530200095e+18,9.423680242469136e-12,1.009130195396199e-11,8.361364476139933e-12,7.721364647748202e-12,0.0,6.259329616732402e-12,1.7145044890217338e-11,2.7236346844179328e-11,2.550640936635727e-11,False,no contrail
sfo_dfw,2023-02-06,daytime,GTF2035_wi,100,15,632.46,11308.08,632.46,11308.08,71.19679605457443,4271.807763274466,188390994.16816723,526.1400000000001,35.07599999999999,12149.021278752582,809.9347519168386,0.1887258792361382,5.152008518035341,0.00048332749398250543,0.017078314893916993,4.068888627555139e+16,1.2881598019476828e+18,9.238187899331242e-12,9.087467916506932e-12,6.058311944337954e-13,6.953293653667775e-12,0.0,7.99356688131101e-12,1.6191481552999016e-11,2.5278949469505948e-11,1.679731274743281e-11,False,no contrail
sfo_dfw,2023-02-06,nighttime,GTF1990,0,0,632.46,11308.08,632.46,11308.08,106.65402484503373,6399.241490702025,275365760.5863988,587.7600000000001,587.7600000000001,20221.603110618395,20221.603110618395,2.1210076646504836,82.689795141183,0.008217009925760757,0.3177190934059004,8.541849574534861e+17,2.8996628196426523e+19,1.5862130020498651e-10,1.512575912674256e-11,1.512575912674256e-11,1.063066358430776e-11,0.0,0.0,1.6925196378929428e-10,1.8437772291603685e-10,1.8437772291603685e-10,False,no contrail
