,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,fuel_flow_corrected,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
234,234,234,123.15358167287488,26.58286589182929,9806.94,885974.0,,167.16071023809835,-0.666227537656066,34610D,235.37822,26.29447,9.145263,192.71800317121804,62377.501918383605,0.3858338890083053,0.356552047801722,26.603525023323023,31.4810678752946,0.0,0.000178662087866,27226.657274512538,0.4745768643249392,0.2216960418610251,0.5171964538090578,cruise,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,10.761605811398944,1.612318180746786,0.626608612483929,15.74054572669711,10.915815959371333,21.348027397217464,1366358270501347.0,12.1180594746188,734.516430474847,1071.77396178309,0.0178662087866,0.0148983516343272,0.159125118995813,15.7405339376473,10.6807197803798,10.678811881553113,15.116158028421992,0.4791860708626506,113613715606091.31,0.356552047801722,0.0009747758825349864,8.672529094390239e-07,2.8440000000000003,35.8,2023-11-05 18:54:00,0.00017866208786602943,0.47457717438575414,0.0,272.26657274512536,234,0.00017866208786602943,26.29447,9.145263,0.47457717438575414,0.00042300732,0.0,0.40296794361215277,0.0,10011.70555594878,-0.6774163632982857,-0.7355998033820599,2.2256982357318127,234.44092841729284,0.3272158480921288,inf,0.0,225.9775655803182,0.0,0.0,0.0,0 days,0.00014562572,1.5369218e-07,101703.92,0.3862047,-281.05844,0.0,0.0,1.0,-4.593884852009078e-13,1.8644205e-12,2.227846e-16,0.0,0.0,0.0,7.480000000000002e-16,1.923620152495053e-14,1.4050320710561225e-12,1012.8418865189527,2.9299836608404445e-14,4.5509846994790624e-14,3.0339897996527078e-15,0.0,0.00014562572,1.5369218e-07,101703.92,0.3862047,-281.05844,0.0,0.0,0.0,-4.593884852009078e-13,1.8644205e-12,2.227846e-16,0.0,0.0,0.0,7.480000000000002e-16,1.923620152495053e-14,1.4050320710561225e-12,1012.8418865189527,2.9299836608404445e-14,4.5509846994790624e-14,3.0339897996527078e-15,0.0
235,235,235,123.07956313761154,26.52185612494117,9806.94,885974.0,,167.21974484642624,-0.6642105933448808,34610D,235.41652,26.094824,9.160369,192.6236339502008,62350.89839336028,0.38577157480691865,0.3562048574506093,26.57937302160165,31.4607395160606,0.0,0.0001759326699917,27226.657274512538,0.4653439316908037,0.2214947751800138,0.5170001381096265,cruise,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,10.752751119647463,1.6110209077328832,0.6262508228643213,15.730115104828004,10.911602130796943,21.330854349396965,1365547698265665.5,12.1125758541082,734.546101313381,1072.03560825067,0.0175932669992,0.0149052910040976,0.159125118995813,15.7303697580303,10.6757472196999,10.673869337368236,15.11072263567944,0.4792622512356599,113680728441169.06,0.3562048574506093,0.0009753941524867492,8.680004392937852e-07,2.8440000000000003,35.8,2023-11-05 18:55:00,0.0001759326699917357,0.4653440959543864,0.0,272.26657274512536,235,0.0001759326699917357,26.094824,9.160369,0.4653440959543864,0.0006368023,0.0,0.40290238460958006,0.0,10014.58399152097,-0.6772219973385634,-0.7357787482122372,2.225467197478225,234.43980678709158,0.32097127869528985,inf,0.0,225.94766243499737,0.0,0.0,0.0,0 days,0.00014473447,1.5496096e-07,101711.625,0.38457686,-281.42834,0.0,0.0,1.0,-4.593572562789669e-13,1.8648616e-12,2.228824e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9242438275865383e-14,1.4055042980917473e-12,1013.8091158267084,2.9299716188094214e-14,4.546553206277825e-14,3.0310354708518827e-15,0.0,0.00014473447,1.5496096e-07,101711.625,0.38457686,-281.42834,0.0,0.0,0.0,-4.593572562789669e-13,1.8648616e-12,2.228824e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9242438275865383e-14,1.4055042980917473e-12,1013.8091158267084,2.9299716188094214e-14,4.546553206277825e-14,3.0310354708518827e-15,0.0
236,236,236,123.0055446023482,26.46084635805305,9806.94,885974.0,,167.2787794547541,-0.6621855861646666,34610D,235.45213,25.880384,9.180045,192.52067646026853,62324.31902033868,0.3857120450046568,0.3556078166530728,26.539910890568947,31.4199549638718,0.0,0.00017363114896,27226.657274512538,0.4574450636284247,0.2211659240880745,0.5164798876203943,cruise,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,10.7396747022058,1.6090864632728687,0.6258687732133155,15.70993045670668,10.90445585288065,21.29729535004112,1363963704939644.8,12.0922071657543,734.389699285251,1071.65210173718,0.017363114896,0.0148974424927807,0.15878605132544,15.7099774819359,10.6586114631681,10.656761117491078,15.116570515086805,0.4788606864187874,113251632956438.56,0.3556078166530728,0.0009738533291650148,8.634840627574132e-07,2.8440000000000003,35.8,2023-11-05 18:56:00,0.00017363114896005544,0.4574449835370909,0.0,272.26657274512536,236,0.00017363114896005544,25.880384,9.180045,0.4574449835370909,0.0007616328,0.0,0.4028414492767124,0.0,10017.45698347622,-0.677028111944092,-0.7359571561153666,2.2252471136610246,234.438738242017,0.31563398922012437,inf,0.0,225.92215965055385,0.0,0.0,0.0,0 days,0.00014434304,1.5557926e-07,101719.29,0.3835499,-281.70065,0.0,0.0,1.0000000000000002,-4.593260189078933e-13,1.8652376e-12,2.2293007e-16,0.0,0.0,0.0,7.48e-16,1.9247780653134088e-14,1.4059115838374265e-12,1014.7733212108277,2.921286229936705e-14,4.538932653959289e-14,3.025955102639526e-15,0.0,0.00014434304,1.5557926e-07,101719.29,0.3835499,-281.70065,0.0,0.0,0.0,-4.593260189078933e-13,1.8652376e-12,2.2293007e-16,0.0,0.0,0.0,7.48e-16,1.9247780653134088e-14,1.4059115838374265e-12,1014.7733212108277,2.921286229936705e-14,4.538932653959289e-14,3.025955102639526e-15,0.0
237,237,237,122.93152606708485,26.39983659116493,9806.94,885974.0,,167.33781406308196,-0.6601525343406132,34610D,235.49373,25.670477,9.199533,192.39031270823267,62297.77910944811,0.38565105763301477,0.3547828770825301,26.48588364248768,31.363347846451,0.0,0.0001713112501644,27226.657274512538,0.4492544950797458,0.2207156970207306,0.515712779338572,cruise,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,10.72210317417884,1.606478659227665,0.6253896893711476,15.681631275445447,10.894528328562158,21.2499617599867,1361729547420590.8,12.0708756478376,734.230250973856,1071.44942435637,0.0171311250164,0.0148942328186444,0.158488684327938,15.6816739232255,10.6409431259557,10.639120524917926,15.116862869432012,0.4784513002188027,112898840710811.88,0.3547828770825301,0.000972914510627754,8.595320474104892e-07,2.8440000000000003,35.8,2023-11-05 18:57:00,0.0001713112501644862,0.44925462279427614,0.0,272.26657274512536,237,0.0001713112501644862,25.670477,9.199533,0.44925462279427614,0.0008123953,0.0,0.402770287278939,0.0,10020.32452347493,-0.6768347069474163,-0.7361350280155166,2.225021758257726,234.4376440056085,0.3101102404670754,inf,0.0,225.8959266013025,0.0,0.0,0.0,0 days,0.00014408516,1.5442298e-07,101727.06,0.3813668,-281.89297,0.0,0.0,1.0,-4.592941640546316e-13,1.8656728e-12,2.2284095e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9253763609600687e-14,1.406378667096495e-12,1015.735838597368,2.91266711518966e-14,4.5284032308731485e-14,3.0189354872487653e-15,0.0,0.00014408516,1.5442298e-07,101727.06,0.3813668,-281.89297,0.0,0.0,0.0,-4.592941640546316e-13,1.8656728e-12,2.2284095e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9253763609600687e-14,1.406378667096495e-12,1015.735838597368,2.91266711518966e-14,4.5284032308731485e-14,3.0189354872487653e-15,0.0
238,238,238,122.8575075318215,26.33882682427681,9806.94,885974.0,,167.39684867140983,-0.6581114562277712,34610D,235.53656,25.461895,9.201624,192.216572583048,62271.29322580562,0.3855318853182927,0.3543098851587979,26.452469738823503,31.3401578497732,0.0,0.0001690893115467,27226.657274512538,0.4413260573951779,0.2204372478235292,0.5153381648721181,cruise,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,10.71009644242905,1.6047035035303072,0.6247681528325081,15.670139070997877,10.888187437213162,21.22638036080736,1360616499366855.8,12.063833498185,734.248386973034,1071.78062229662,0.0169089311547,0.0149030256935316,0.158488684327938,15.6700789248866,10.6346649054445,10.632867001283486,15.108826316527818,0.478497864699301,112979046658682.98,0.3543098851587979,0.0009737486087682203,8.602864383115311e-07,2.8440000000000003,35.8,2023-11-05 18:58:00,0.00016908931154679645,0.4413262244839805,0.0,272.26657274512536,238,0.00016908931154679645,25.461895,9.201624,0.4413262244839805,0.00066540134,0.0,0.40269704747530016,0.0,10023.186603190965,-0.6766417821811715,-0.7363123648334912,2.224585966091201,234.4355276936763,0.3047665029160338,inf,0.0,225.86972050995314,0.0,0.0,0.0,0 days,0.00014366975,1.5314937e-07,101734.94,0.379309,-282.15054,0.0,0.0,1.0000000000000002,-4.592618654202651e-13,1.8661715e-12,2.2274277e-16,0.0,0.0,0.0,7.480000000000002e-16,1.9260568092739457e-14,1.406909640632443e-12,1016.6983559839081,2.912376884254573e-14,4.5223660225015984e-14,3.014910681667732e-15,0.0,0.00014366975,1.5314937e-07,101734.94,0.379309,-282.15054,0.0,0.0,0.0,-4.592618654202651e-13,1.8661715e-12,2.2274277e-16,0.0,0.0,0.0,7.480000000000002e-16,1.9260568092739457e-14,1.406909640632443e-12,1016.6983559839081,2.912376884254573e-14,4.5223660225015984e-14,3.014910681667732e-15,0.0
239,239,239,122.78348899655816,26.27781705738869,9806.94,885974.0,,167.4558832797377,-0.6560623703107731,34610D,235.58,25.253582,9.1856575,192.03141115965047,62244.8407560668,0.38543364229681204,0.3535078012177579,26.398759962455145,31.2913849417416,0.0,0.000166986344769,27226.657274512538,0.433742887040799,0.2199896663537928,0.5145675364848051,cruise,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,10.692272074524498,1.6020553477476738,0.6241087429462828,15.645629095657258,10.878041990676788,21.18155909268566,1358500924083584.0,12.0354322005365,734.001411997338,1071.24675462409,0.0166986344769,0.0148930303748857,0.158027488239718,15.6456924708708,10.6108350189228,10.609063450195828,15.117516489592116,0.4778637523282958,112396741207837.84,0.3535078012177579,0.000971442270301046,8.539026945228252e-07,2.8440000000000003,35.8,2023-11-05 18:59:00,0.00016698634476901956,0.43374334799292513,0.0,272.26657274512536,239,0.00016698634476901956,25.253582,9.1856575,0.43374334799292513,0.00030287047,0.0,0.4026227917670808,0.0,10026.04321433168,-0.6764493374766276,-0.7364891674881795,2.22422631543941,234.43378086709498,0.2996586999363703,inf,0.0,225.8450553841684,0.0,0.0,0.0,0 days,0.00014311305,1.518894e-07,101742.9,0.37753728,-282.47983,0.0,0.0,1.0,-4.592291679017468e-13,1.8667281e-12,2.2264563e-16,0.0,0.0,0.0,7.48e-16,1.9268131073676054e-14,1.4074988795411852e-12,1017.6608733704485,2.9001155865339603e-14,4.5121283257449064e-14,3.0080855504966037e-15,0.0,0.00014311305,1.518894e-07,101742.9,0.37753728,-282.47983,0.0,0.0,0.0,-4.592291679017468e-13,1.8667281e-12,2.2264563e-16,0.0,0.0,0.0,7.48e-16,1.9268131073676054e-14,1.4074988795411852e-12,1017.6608733704485,2.9001155865339603e-14,4.5121283257449064e-14,3.0080855504966037e-15,0.0
240,240,240,122.7094704612948,26.216807290500576,9806.94,885974.0,,167.51491788806558,-0.6540052952035817,34610D,235.62198,25.048506,9.162781,191.80954661884456,62218.441996104346,0.3847725669898525,0.3535078012177579,26.3647346740723,31.2738480319682,0.0,0.0001648922171748,27226.657274512538,0.4263151269826,0.2197061222839358,0.5141527280105338,cruise,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,10.67992479761076,1.600227683162475,0.6233321574831512,15.63691160752373,10.871363388784454,21.15892340430808,1357432513820817.0,12.0211075765974,733.922606081412,1071.22536579551,0.0164892217175,0.0148944796018231,0.157856528036227,15.6369240159841,10.5983244971449,10.59657720403526,15.117853108851673,0.4776614168242383,112232386276358.52,0.3535078012177579,0.0009708824416520874,8.520318675367897e-07,2.8440000000000003,35.8,2023-11-05 19:00:00,0.00016489221717484593,0.4263157222791615,0.0,272.26657274512536,240,0.00016489221717484593,25.048506,9.162781,0.4263157222791615,0.00015804956,0.0,0.4025510577769056,0.0,10015.962904393327,-0.6791173086236675,-0.7340297549335085,2.2218323230081007,234.42214685274243,0.29464950274319746,inf,0.0,225.8118830046686,0.0,0.0,0.0,0 days,0.00014273984,1.5348984e-07,101750.734,0.37530947,-282.6758,0.0,0.0,1.0,-4.591969178655916e-13,1.8672672e-12,2.22769e-16,0.0,0.0,0.0,7.48e-16,1.927568260194149e-14,1.4080702765687624e-12,1018.6208172397533,2.899620960847397e-14,4.5121283257449064e-14,3.0080855504966037e-15,0.0,0.00014273984,1.5348984e-07,101750.734,0.37530947,-282.6758,0.0,0.0,0.0,-4.591969178655916e-13,1.8672672e-12,2.22769e-16,0.0,0.0,0.0,7.48e-16,1.927568260194149e-14,1.4080702765687624e-12,1018.6208172397533,2.899620960847397e-14,4.5121283257449064e-14,3.0080855504966037e-15,0.0
241,241,241,122.63581196600478,26.15561874865981,9806.94,885974.0,,167.57395249639345,-0.6519360317354294,34610D,235.66565,24.849363,9.127116,191.5810177101621,62192.07726143027,0.38509532705938265,0.3529934213642584,26.3561864264539,31.2918198769312,0.0,0.0001627793397972,27226.657274512538,0.4188213007105189,0.2196348868871158,0.5142456085787094,cruise,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,10.674693693205084,1.5994664343888445,0.6225318323488473,15.645916433322803,10.869352073500908,21.163999379639183,1357672101150649.8,12.0161291381935,733.966972530541,1071.40904614289,0.0162779339797,0.0149003429327358,0.157838030405335,15.6459099384656,10.5929126005931,10.591188573909372,15.118137590496596,0.4777753284226543,112286320279411.8,0.3529934213642584,0.0009708885526685108,8.527918236896733e-07,2.8440000000000003,35.8,2023-11-05 19:01:00,0.00016277933979727142,0.4188217361292144,0.0,272.26657274512536,241,0.00016277933979727142,24.849363,9.127116,0.4188217361292144,0.00047389718,0.0,0.4024764630928983,0.0,10004.805803236068,-0.6820490459056746,-0.7313064330218618,2.222994499779297,234.42779603300315,0.2895950516408177,inf,0.0,225.79449221358922,0.0,0.0,0.0,0 days,0.00014226118,1.5710992e-07,101758.586,0.37201646,-282.72696,0.0,0.0,1.0,-4.591644697160467e-13,1.867828e-12,2.2304805e-16,0.0,0.0,0.0,7.48e-16,1.928367348343024e-14,1.4086634943568805e-12,1019.5814109529083,2.896639859457043e-14,4.50556284713546e-14,3.0037085647569728e-15,0.0,0.00014226118,1.5710992e-07,101758.586,0.37201646,-282.72696,0.0,0.0,0.0,-4.591644697160467e-13,1.867828e-12,2.2304805e-16,0.0,0.0,0.0,7.48e-16,1.928367348343024e-14,1.4086634943568805e-12,1019.5814109529083,2.896639859457043e-14,4.50556284713546e-14,3.0037085647569728e-15,0.0
242,242,242,122.5625470027764,26.09423480163936,9806.94,885974.0,,167.6329871047213,-0.6498541510146981,34610D,235.71034,24.64598,9.079547,191.3797810428705,62165.72107500382,0.38446073045940465,0.3529934213642584,26.32326936248941,31.2731035110412,0.0,0.0001607735593967,27226.657274512538,0.4116182524404824,0.219360578020745,0.5138823658872064,cruise,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,10.662619942902785,1.597678724074702,0.6218189137439877,15.636539076619387,10.862939298380391,21.142058241820045,1356636473851328.5,12.0022024236003,733.902538955512,1071.40193331254,0.0160773559397,0.0149019453226383,0.157672710730668,15.6365517555206,10.580679724488,10.578978904394758,15.118468035733809,0.4776098941436595,112131736793555.14,0.3529934213642584,0.0009703760898602388,8.511094033714446e-07,2.8440000000000003,35.8,2023-11-05 19:02:00,0.00016077355939678919,0.4116186274896019,0.0,272.26657274512536,242,0.00016077355939678919,24.64598,9.079547,0.4116186274896019,0.0006434093,0.0,0.40240015471739127,0.0,10007.612987757428,-0.6818580698218004,-0.731484499233503,2.220698839056255,234.4166346259887,0.28474026793434337,inf,0.0,225.7626811509236,0.0,0.0,0.0,0 days,0.0001415621,1.6073795e-07,101766.6,0.368963,-282.8179,0.0,0.0,1.0,-4.591312386808038e-13,1.8684214e-12,2.2332773e-16,0.0,0.0,0.0,7.48e-16,1.9292100177201844e-14,1.4092901894425863e-12,1020.5450723153562,2.896398925089049e-14,4.50556284713546e-14,3.0037085647569728e-15,0.0,0.0001415621,1.6073795e-07,101766.6,0.368963,-282.8179,0.0,0.0,0.0,-4.591312386808038e-13,1.8684214e-12,2.2332773e-16,0.0,0.0,0.0,7.48e-16,1.9292100177201844e-14,1.4092901894425863e-12,1020.5450723153562,2.896398925089049e-14,4.50556284713546e-14,3.0037085647569728e-15,0.0
243,243,243,122.48928203954804,26.03285085461891,9806.94,885974.0,,167.69202171304917,-0.6477642629552938,34610D,235.75578,24.441883,9.020566,191.1704923756448,62139.397805641325,0.3847730942406718,0.3525971457818261,26.321423306398167,31.297602241595,0.0,0.0001589176284557,27226.657274512538,0.4048248597025593,0.2193451942199847,0.5141283408803182,cruise,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,10.659296108582716,1.5972004662288242,0.6210790472015368,15.648810795483866,10.862187379219632,21.15378867214611,1357190153153587.0,11.9997308154144,733.985824606664,1071.63852178527,0.0158917628456,0.0149087454304115,0.157692615963609,15.6488011207975,10.5771888519836,10.575508217297992,15.118716453732189,0.4778237314426566,112240228680270.98,0.3525971457818261,0.000970547452274352,8.525905977894004e-07,2.8440000000000003,35.8,2023-11-05 19:03:00,0.0001589176284557094,0.4048253424285943,0.0,272.26657274512536,243,0.0001589176284557094,24.441883,9.020566,0.4048253424285943,0.0007036322,0.0,0.4023225953759814,0.0,10010.414712973317,-0.6816675735458169,-0.7316620252385376,2.22182277879483,234.42210044882447,0.2801668394864488,inf,0.0,225.7474755064545,0.0,0.0,0.0,0 days,0.00014065053,1.641557e-07,101774.7,0.36604413,-282.92453,0.0,0.0,0.9999999999999999,-4.590976521504592e-13,1.8690527e-12,2.2359115e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9301005496960477e-14,1.4099549489355643e-12,1021.5087336778045,2.8950232302803806e-14,4.500504836324569e-14,3.0003365575497124e-15,0.0,0.00014065053,1.641557e-07,101774.7,0.36604413,-282.92453,0.0,0.0,0.0,-4.590976521504592e-13,1.8690527e-12,2.2359115e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9301005496960477e-14,1.4099549489355643e-12,1021.5087336778045,2.8950232302803806e-14,4.500504836324569e-14,3.0003365575497124e-15,0.0
244,244,244,122.41601707631966,25.97146690759845,9806.94,885974.0,,167.75105632137704,-0.6456663869457508,34610D,235.7968,24.245304,8.957227,190.9947350550248,62113.076382334926,8.478177688109487e-05,0.0731657058132966,4.94668419,0.001432310324686,-2439.1859598266374,0.0001572724986508,27226.657274512538,0.3988200473725791,0.04122236825,0.0966709602728548,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,3.206270316773292,0.4804362893719248,0.6204540935774562,0.0,4.167581499575373,4.575122888934804,3382111897869429.0,3.16462147105406,575.690471098352,869.371005449803,0.0157272498651,0.0116910270654775,0.0365828529066483,0.000716155162343,3.12913935634227,3.1286473061630327,15.37176589396303,0.1546786508226417,90873816290402.8,0.0731657058132966,0.0004648400872943878,1.120357918375866e-07,2.8440000000000003,35.8,2023-11-05 19:04:00,0.00015727249865086547,0.3988199398066784,0.0,272.26657274512536,244,0.00015727249865086547,24.245304,8.957227,0.3988199398066784,0.0011675525,0.0,0.4022526059916373,0.0,10038.13313551801,-0.6814775569248771,-0.7318390119470954,1.3670391139390035,229.31908906114185,0.2761226871060729,inf,0.0,221.03405887075073,0.0,0.0,0.0,0 days,0.00014012051,1.6399896e-07,101782.42,0.3634028,-282.81396,0.0,0.0,0.9999999999999999,-4.590657714107281e-13,1.8696368e-12,2.2357908e-16,0.0,0.0,0.0,7.48e-16,1.93090032991111e-14,1.4105710938138205e-12,1022.4701742671643,2.8784412564667157e-15,9.338777037905737e-15,6.225851358603824e-16,0.0,0.00014012051,1.6399896e-07,101782.42,0.3634028,-282.81396,0.0,0.0,0.0,-4.590657714107281e-13,1.8696368e-12,2.2357908e-16,0.0,0.0,0.0,7.48e-16,1.93090032991111e-14,1.4105710938138205e-12,1022.4701742671643,2.8784412564667157e-15,9.338777037905737e-15,6.225851358603824e-16,0.0
245,245,245,122.34275211309128,25.91008296057801,9100.029182058048,885974.0,,167.81009092970493,-0.6435605425050489,34610D,241.05263,21.08619,11.294714,190.1613441741177,62108.12969814493,3.804694068864475e-06,0.080764156282243,5.225605309195774,7.12630819543846e-05,-2441.892927611276,0.0001969754030947,30287.35016561865,0.3145825212171976,0.0435467109099647,0.0995906828261799,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,3.4578807903755626,0.5180010010937965,0.6109751182147578,0.0,4.239899708763143,5.008553696227505,3705379209858997.0,3.44188337562903,582.982387291369,882.338285278761,0.0196975403095,0.0119642976431875,0.0403820781411215,3.56315409771923e-05,3.37521510626368,3.374550402837818,15.36992021465996,0.1643687459830179,99476178187342.95,0.080764156282243,0.0004827863815980686,1.131662748554677e-07,2.8440000000000003,35.8,2023-11-05 19:05:00,0.0001969754030947634,0.31458283892340155,0.0,302.87350165618653,245,0.0001969754030947634,21.08619,11.294714,0.31458283892340155,0.0017784875,0.0,0.4377154269307347,0.0,10040.916990422636,-0.6812880198066332,-0.7320154602656671,1.5206441515083462,230.41387919520855,0.22943096937498772,inf,0.0,221.85113023739615,0.0,0.0,0.0,0 days,0.0001972869,3.0052402e-07,94313.445,0.30159256,-282.58286,0.0,0.0,1.0,-4.949034817537817e-13,1.9577478e-12,2.3410289e-16,0.0,0.0,0.0,7.479999999999999e-16,1.99990781131446e-14,1.4628442479353813e-12,1023.4290580255697,3.4223388729640878e-15,1.0308633529745456e-14,6.872422353163636e-16,0.0,0.0001972869,3.0052402e-07,94313.445,0.30159256,-282.58286,0.0,0.0,0.0,-4.949034817537817e-13,1.9577478e-12,2.3410289e-16,0.0,0.0,0.0,7.479999999999999e-16,1.99990781131446e-14,1.4628442479353813e-12,1023.4290580255697,3.4223388729640878e-15,1.0308633529745456e-14,6.872422353163636e-16,0.0
246,246,246,122.26948714986293,25.84869901355756,8393.118364116095,885974.0,,167.8691255380328,-0.641446749282294,34610D,246.00174,18.415255,11.646003,188.43796097965583,62102.904092835735,-3.2135220034715328e-06,0.0880843535566654,5.513304911637973,-6.6246065616724e-05,-2447.3085584679066,0.0004591169581464,33620.87706337095,0.487069146810148,0.0459442075969831,0.1019672480269643,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,3.695571970623056,0.5526390958316945,0.5993169052355719,0.0,4.302852745312415,5.391244319570058,3990802781626508.0,3.69938629599092,588.096376345402,893.403533993361,0.0459116958146,0.012228457660749,0.0440421767783327,-3.3123032808362e-05,3.60161338413916,3.599960581187678,15.397165782307193,0.17158326268655,110045129149942.48,0.0880843535566654,0.0004924385827415226,1.1840329207119191e-07,2.8440000000000003,35.8,2023-11-05 19:06:00,0.0004591169581464834,0.4870698830827485,0.0,336.2087706337095,246,0.0004591169581464834,18.415255,11.646003,0.4870698830827485,0.0021232658,0.0,0.4761165834519263,0.0,10043.695378713532,-0.6810989620365109,-0.7321913710996516,1.6883810868917912,231.50258747847124,0.3730711613173366,inf,0.0,223.48414100972806,0.0,0.0,0.0,0 days,0.00043734215,1.6334994e-07,87112.6,0.42343903,-282.36383,0.0,0.0,0.9999999999999999,-5.295048619536638e-13,2.192271e-12,2.2352906e-16,0.0,0.0,0.0,7.48e-16,2.2587490445033828e-14,1.6627662609995605e-12,1024.3879417839748,4.327462351529347e-15,1.1242974140000221e-14,7.49531609333348e-16,0.0,0.00043734215,1.6334994e-07,87112.6,0.42343903,-282.36383,0.0,0.0,0.0,-5.295048619536638e-13,2.192271e-12,2.2352906e-16,0.0,0.0,0.0,7.48e-16,2.2587490445033828e-14,1.6627662609995605e-12,1024.3879417839748,4.327462351529347e-15,1.1242974140000221e-14,7.49531609333348e-16,0.0
