,index,longitude,latitude,altitude,time,groundspeed,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,0,-4.458446502685547,36.64544677734375,624.84,2024-06-07 09:23:00,100.831111024,34610D,295.19336,0.96996045,1.6105541,110.572215716343,66657.01520873216,0.2526206822437738,1.327123937901571,79.62743627409424,148637.69467369904,2781.55761468215,0.0087354962296592,0.9404035659516814,0.4038695345275514,0.6635619689507853,1.0,0.0181836533810429,0.0003684312454961,7.99046714585036e-05,3.078641737874867e-05,1532568553431143.8,251.54307118986367,98.49913867105458,0.095552923528913,0.0019500596638553,0.0015925487254818,1.447917700829217,0.0293372355221285,0.0063626041345644,0.0024514434879339,1.2203450482401918e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3210331919589202,74.31884733684952,18.18365338104297,30.78641737874867,1532568553431143.8,29.9720821937777,834.910099158686,1572.5834604466,0.873549622966,0.0223897995769587,0.761027087371793,74.3191725659156,33.9899017298469,33.695554341936635,0.87354962296592,0.954950996661531,20.477133426359188,1416367965085979.2,31.544401564631293
1,1,-4.399623870849609,36.604248046875,1440.18,2024-06-07 09:24:00,118.32222212,34610D,290.10602,-12.065596,3.6959515,139.33108068323645,66577.38777245807,0.2803715600781101,1.1950438293209404,71.70262975925642,103716.8323707955,2671.4630383454605,0.0082033166631573,0.8517839178058632,0.4943586356310471,0.5975219146604702,0.9424954841825948,0.0167626895321719,0.0003848456229339,8.346459058153043e-05,2.808468447654321e-05,1573158199281541.2,226.50860740949105,88.6961530122002,0.0860431557111077,0.0017559827696144,0.0014340525951851,1.2019289212946918,0.0275944432157013,0.0059846306364753,0.0020137457329271,1.127995799158229e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4080626547867353,51.85841618539775,16.762689532171994,28.084684476543213,1573158199281541.2,24.3987274809373,799.937592193492,1483.49103002197,0.820331666316,0.0203772042404553,0.58270294414323,51.8583760072686,28.5958239053411,28.363151988018128,0.8203316663157301,0.8088495931856348,17.117179115176175,1322865751265416.8,21.368900927076574
2,2,-4.322477300116361,36.58828993975106,2217.42,2024-06-07 09:25:00,135.298888772,34610D,288.7378,-5.6733317,10.186295,145.58717537578292,66505.68514269881,0.2835251170420679,1.1688525819071045,70.13115491442626,108931.43801968958,3005.555785269361,0.0056583503485396,0.773723179826334,0.3423646597781769,0.5844262909535521,1.0,0.0181011325147793,0.0004179169360361,9.063703439685556e-05,3.160117416568522e-05,1520328006110952.8,221.5443183746725,86.7522386291453,0.0841573858973115,0.0017174976713737,0.0014026230982885,1.2694533285205465,0.0293089973825104,0.00635647990027,0.0022162268408914,1.0662235891730802e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4273940854773426,54.46571900984479,18.101132514779312,31.601174165685222,1520328006110952.8,25.1150157803628,822.36905896298,1537.27773705253,0.565835034854,0.0214825125860152,0.620480323013797,54.465652708738,28.8830424527585,28.720531622641282,0.56583503485396,0.9016408995182447,19.621091856266673,1218633636209778.2,23.408967014290976
3,3,-4.236222936751972,36.61300917803231,3086.1000000000004,2024-06-07 09:26:00,152.275555424,34610D,282.66278,-5.0140047,11.643089,152.16004076680514,66435.55398778438,0.2885505707291853,1.1309381781090246,67.85629068654148,98400.61945474308,2287.214517318119,0.0030307759405986,0.6934403928345334,0.2594615768228795,0.5654690890545123,1.0,0.0186363642272233,0.0004356547443759,9.448397671002174e-05,3.376337620560875e-05,1487844034440081.2,214.35802227878452,83.93823157925182,0.0814275488238497,0.0016617867106908,0.0013571258137308,1.2645945483427306,0.0295619149733473,0.0064113321888556,0.0022910574703668,1.009595772972028e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4514644143803006,49.20030972737154,18.63636422722335,33.76337620560875,1487844034440081.2,23.184915880582,813.359385681786,1520.9732908491,0.30307759406,0.0211326041317277,0.567392878492704,49.1998084577821,26.8491698872474,26.768041949729227,0.30307759405986,0.8640633736935027,19.528371569670526,1195310867896317.0,20.528783336383995
4,4,-4.184622257313833,36.68991347490731,3749.04,2024-06-07 09:27:00,174.91111096,34610D,276.64957,-3.9257789,9.377092,165.96180560067236,66367.69769709784,0.2975260516300524,1.1171801346949657,67.03080808169793,92413.75749340394,2094.6075759498312,0.0020912096516914,0.6368273221635501,0.2636033807724228,0.5585900673474827,1.0,0.0188217180445222,0.0004426415133841,9.59992539536768e-05,3.546093665197463e-05,1462340633540833.5,211.75032273008372,82.91710959706035,0.0804369696980375,0.001641570810164,0.0013406161616339,1.261634970010202,0.0296706183326431,0.006434907567755,0.0023769752391157,9.802187435694418e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4977375294550086,46.206878746701975,18.821718044522257,35.460936651974635,1462340633540833.5,22.595514023981,810.196168303349,1516.17090606034,0.209120965169,0.0210408267213637,0.551708414129576,46.2070322446618,26.2208525090605,26.16613363784958,0.20912096516914003,0.8510422658955962,19.432133587216743,1210232602741807.8,19.958757538905783
5,5,-4.146251678466797,36.78662109375,4358.64,2024-06-07 09:28:00,191.887777612,34610D,271.71878,-3.406237,8.695613,180.84474749099616,66300.66688901615,0.3012554568817412,1.0933459187748753,65.60075512649252,97118.16341582536,2666.064328572796,0.0012626141046503,0.588129611839903,0.2199229524942637,0.5466729593874377,1.0,0.0189131434373903,0.000452394905954,9.81145512810233e-05,3.628235539e-05,1450000000000000.0,207.23278544458984,81.14813409147125,0.078720906151791,0.0016065491051385,0.0013120151025298,1.2407164913084758,0.0296774474459664,0.0064363886529321,0.0023801499113517,9.512109493341414e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5472720841957844,48.55908170791269,18.91314343739039,36.28235539,1450000000000000.0,23.9389354700571,828.155013959384,1562.46618615018,0.126261410465,0.0220634196288853,0.602801432096557,48.5587740292854,27.3213056831576,27.28685291779208,0.12626141046503,0.9263258747079863,21.449780132758836,1123062741592937.8,23.135611868935793
6,6,-4.106899829621,36.88751220703125,5135.88,2024-06-07 09:29:00,197.546666496,34610D,266.28842,-2.7134047,9.770877,192.5884354495601,66235.06613388965,0.3135742285408477,1.054779859361127,63.28679156166763,80434.27540051853,2038.5969893301951,0.0006387100025199,0.5304583483154943,0.1591481778842393,0.5273899296805635,1.0,0.0187723655902973,0.0004702226446745,0.0001019809975249,3.628235539e-05,1450000000000000.0,199.922974543308,78.28576116178286,0.0759441498740011,0.0015498806096734,0.0012657358312333,1.1880427882325684,0.0297588825010956,0.0064540501336149,0.0022961938629332,9.176584776441806e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5887233802028466,40.21713770025927,18.772365590297326,36.28235538999999,1450000000000000.0,21.0615731714749,806.526861238957,1510.31603110966,0.063871000252,0.0209173437649389,0.512584355586162,40.2174495810787,24.5052317037186,24.48958995765504,0.06387100025199001,0.8358697660215081,19.321919648657087,1111915264816345.9,18.17279592754938
7,7,-4.066168602476694,36.99110412597656,5730.240000000001,2024-06-07 09:30:00,208.864444264,34610D,262.3566,-1.3909073,10.909297,201.09224888547624,66171.77934232798,0.3176726141748292,1.0224038074790467,61.3442284487428,77173.63686935938,2170.147961867792,0.0004559463400118,0.489521716698911,0.1481844052837924,0.5112019037395233,1.0,0.0185309686879149,0.0004859163202571,0.0001053846121932,3.628235539e-05,1450000000000000.0,193.7864176695785,75.88281059109485,0.0736130741384913,0.0015023076354794,0.0012268845689748,1.136767976567952,0.0298081617568246,0.0064647377253621,0.0022257130977026,8.894913125067707e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6193077802943314,38.58681843467969,18.530968687914918,36.28235538999999,1450000000000000.0,20.4837037761796,807.141836641035,1514.90991768902,0.0455946340012,0.0210482821379947,0.500797915711599,38.5861444378273,23.7928165552094,23.781973251547097,0.04559463400118,0.8384081355042114,19.26705725822475,1083639876677907.2,17.729230908640435
8,8,-4.023099858710111,37.10087585449219,6362.700000000001,2024-06-07 09:31:00,215.037777592,34610D,258.16083,0.7978851,12.403082,205.72888926879452,66110.43511387924,0.3205228423891136,0.9917404877437536,59.504429264625216,71753.09076261082,1882.4909328180745,0.0003501373539929,0.4488094387389205,0.1527088217095882,0.4958702438718768,1.0,0.0182428139221126,0.0005034081697698,0.0001091782114212,3.628235539e-05,1450000000000000.0,187.97449204695104,73.6069790003414,0.0714053151175502,0.0014572513289295,0.0011900885852925,1.0855282306160732,0.0299550158293015,0.0064965871587558,0.0021589608498582,8.628142243370656e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.638715278911193,35.87654538130541,18.242813922112664,36.28235539,1450000000000000.0,19.2932773439191,801.235996547614,1504.34453144837,0.0350137353993,0.0208613444192131,0.469243250506011,35.8759742495272,22.4934328812405,22.485559846812688,0.035013735399289994,0.8141989602446996,18.59737673988401,1013807268988501.4,16.41590320369767
9,9,-3.978862356632306,37.21408081054688,6911.34,2024-06-07 09:32:00,222.239999808,34610D,254.31462,1.843599,14.17466,210.6506190647398,66050.93068461462,0.3232113285778495,0.9675381251742406,58.05228751045444,67705.76537955373,1671.6692660383262,0.0002718801627885,0.4157548966576384,0.1574951135018806,0.4837690625871203,1.0,0.0180114798263672,0.0005179604713034,0.0001123342870452,3.628235539e-05,1450000000000000.0,183.3871762455256,71.81067965043215,0.0696627450125453,0.0014216886737254,0.001161045750209,1.045607605369022,0.0300687901991577,0.0065212623288314,0.0021062737266567,8.417581689015894e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6589224532728709,33.85288268977687,18.011479826367257,36.28235538999999,1450000000000000.0,18.4294315129473,797.087053997256,1497.9128156722,0.0271880162789,0.0207630087452014,0.447244595309826,33.8530471033766,21.5404520991299,21.53459726931873,0.02718801627885,0.7969511624705531,18.137940418163407,964506442270784.4,15.49468223464434
10,10,-3.935314676036001,37.33163607322563,7399.02,2024-06-07 09:33:00,230.471110912,34610D,250.61586,2.5261996,15.556497,215.68390190478672,65992.87839710417,0.3175444370669268,0.9495000214147552,56.97000128488532,71489.51427944718,2032.610809262388,0.0002395897173581,0.3880546129804407,0.1851204656590779,0.4747500107073776,1.0,0.0178255424889623,0.0005294717500681,0.0001148308314046,3.628235539e-05,1450000000000000.0,179.9682340589527,70.47189158940314,0.0683640015418623,0.0013951837049359,0.0011394000256977,1.015521178499963,0.0301640062816923,0.0065419126126645,0.0020670058331869,8.260650186308371e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6796270551109613,35.74475713972359,17.82554248896235,36.28235539,1450000000000000.0,19.1224217750984,813.043277890004,1544.2143575379,0.0239589717358,0.0218534061460156,0.480132485719338,35.7440772739604,21.9706018600161,21.965339190607747,0.023958971735809995,0.8627602933804827,19.414614630800568,1006808486530400.0,17.22206242246857
11,11,-3.8903873524766936,37.45161437988281,7993.38,2024-06-07 09:34:00,232.528888688,34610D,245.8096,2.8201377,16.709135,219.7886880621745,65935.90839581928,0.3273852502695648,0.9333866044722208,56.003196268333255,61013.847786738814,1480.4592106045789,0.0002291275465514,0.3563351997673736,0.2627150885170284,0.4666933022361104,1.0,0.0176245361819763,0.0005418331480654,0.0001175117480147,3.628235539e-05,1450000000000000.0,176.91409701166475,69.27595378392824,0.0672038355219999,0.0013715068473877,0.0011200639253666,0.9870303589375612,0.0303443881358009,0.0065810334879047,0.0020319278699835,8.120463458908322e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6992993477110715,30.506923893369407,17.624536181976328,36.28235539,1450000000000000.0,16.9293718098681,787.917162372674,1485.39871423383,0.0229127546551,0.0206051315674683,0.409605264581729,30.5064308690163,19.8787987953652,19.874245058355417,0.02291275465514,0.7601989232903917,17.216551746967195,887561222574299.1,13.9970135832549
12,12,-3.855126422384501,37.57547669491525,8427.720000000001,2024-06-07 09:35:00,239.731110904,34610D,242.02806,3.766777,17.581902,222.71466212849745,65879.90519955095,0.328483072738875,0.9198703673335468,55.19222204001281,58515.41268521718,1397.8482331241366,0.0002669378389303,0.3345108555598698,0.4248230797928108,0.4599351836667734,0.9939113111316163,0.0173698378858941,0.0005490902652056,0.0001190856578497,3.628235539e-05,1450000000000000.0,174.35222942440046,68.27277866349586,0.0662306664480153,0.0013516462540411,0.0011038444408002,0.9586799493972986,0.0303055118372409,0.0065726020698262,0.0020025038148195,8.002872195801858e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7141232549986872,29.257706342608596,17.36983788589419,36.28235539,1450000000000000.0,16.3262547052321,782.945764356256,1478.59429498801,0.026693783893,0.0205204211021899,0.3943727902068,29.2570690372625,19.2185524966987,19.213423706895927,0.02669378389303,0.7407257930527413,16.75972197593285,861016163004344.1,13.43166340023499
13,13,-3.8269441024116873,37.705590199616,8839.2,2024-06-07 09:36:00,246.418888676,34610D,238.48488,4.6779366,18.384375,224.9680443379561,65824.71297751094,0.3253758838514419,0.9179800923470044,55.07880554082027,58520.43545338829,1522.7144394201216,0.0003149400225002,0.3148461017336226,0.6882319278680016,0.4589900461735022,1.0,0.017364788568956,0.0005563470438352,0.0001206594942692,3.628235539e-05,1450000000000000.0,173.99394670345123,68.13248245399468,0.0660945666489843,0.0013488687071221,0.0011015761108164,0.956431812846987,0.0306429306406135,0.0066457808215118,0.0019983887970887,7.986426803418939e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7266873721875181,29.260217726694144,17.364788568956016,36.28235539,1450000000000000.0,16.1895629769324,785.721635782544,1492.77892039746,0.03149400225,0.0209109904159634,0.396333434222371,29.2604139229517,18.9533554527294,18.94738816187538,0.03149400225002,0.7515895511867128,16.84171225243094,878629763424489.8,13.791113391433115
14,14,-3.79852294921875,37.83700716697563,9288.78,2024-06-07 09:37:00,250.019999784,34610D,234.81413,5.644592,18.991163,225.9806730303513,65769.63417197012,0.3176180388754097,0.9082299732565592,54.493798395393554,58990.06362517436,1570.380429749421,0.000323397395038,0.2944415627541902,0.9892003943324096,0.4541149866282796,1.0,0.0172137118104088,0.0005659735755278,0.0001227472782495,3.628235539e-05,1450000000000000.0,172.14590913104823,67.40882861510183,0.0653925580744722,0.0013345420015198,0.0010898759679078,0.9380405410328247,0.0308420499219347,0.006688965434515,0.0019771633599326,7.901600767332066e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7356417648185241,29.49503181258718,17.21371181040885,36.28235539,1450000000000000.0,16.1162382146778,794.441671216642,1522.73700361418,0.0323397395038,0.0216601640271074,0.404127309865606,29.4948446414743,18.6576292478601,18.65159736985739,0.0323397395038,0.7862085979156493,17.26675342273047,907847459960665.8,14.509343343799475
