TT3;PT3;FAR
[K];[bar];[-]
402,75;2,63869;1,03E-02
404,49;2,67418;1,04E-02
406,9;2,72325;1,06E-02
406,9;2,72325;1,05E-02
409,45;2,77587;1,07E-02
413,09;2,85255;1,09E-02
413,09;2,85255;1,08E-02
416,56;2,92692;1,10E-02
418,75;2,97539;1,10E-02
420,39;3,01274;1,11E-02
421,79;3,04574;1,14E-02
421,79;3,04574;1,12E-02
422,47;3,06347;1,15E-02
423,14;3,08146;1,16E-02
425,11;3,1285;1,17E-02
428,33;3,20544;1,19E-02
428,33;3,20544;1,18E-02
432,4;3,30495;1,20E-02
436,81;3,41607;1,20E-02
480,31;4,61529;1,10E-02
488,77;4,88097;1,10E-02
496,71;5,1391;1,09E-02
503,83;5,37804;1,09E-02
508,94;5,55582;1,09E-02
516,1;5,81376;1,09E-02
518,94;5,92505;1,09E-02
521,37;6,02353;1,10E-02
523,78;6,12366;1,11E-02
526,87;6,25327;1,11E-02
530,17;6,39471;1,12E-02
535,32;6,62149;1,12E-02
538,34;6,75722;1,13E-02
542,6;6,95376;1,13E-02
546,53;7,13969;1,14E-02
550,81;7,34679;1,14E-02
553,35;7,4703;1,15E-02
555,57;7,57944;1,16E-02
558,58;7,72624;1,16E-02
560,72;7,83172;1,17E-02
563,06;7,94871;1,18E-02
565,7;8,08277;1,19E-02
568,4;8,2216;1,20E-02
571,1;8,36305;1,20E-02
573,75;8,50529;1,21E-02
576,45;8,65323;1,22E-02
579,21;8,80768;1,23E-02
582,04;8,96909;1,23E-02
585;9,14012;1,24E-02
588,24;9,32983;1,25E-02
590,98;9,49321;1,25E-02
593,75;9,66131;1,26E-02
596,53;9,83206;1,27E-02
599,39;10,01017;1,28E-02
602,17;10,17916;1,28E-02
605,12;10,36176;1,29E-02
608,13;10,55098;1,30E-02
610,99;10,73371;1,30E-02
613,1;10,87053;1,31E-02
615,19;11,00771;1,32E-02
617,29;11,14723;1,33E-02
619,47;11,29346;1,34E-02
621,28;11,41774;1,35E-02
622,92;11,53114;1,36E-02
624,57;11,64616;1,37E-02
626,23;11,76284;1,38E-02
627,89;11,88121;1,39E-02
629,57;12,00134;1,41E-02
631,25;12,12325;1,42E-02
632,94;12,24698;1,43E-02
634,69;12,37525;1,44E-02
636,5;12,50775;1,45E-02
638,31;12,64184;1,46E-02
640,1;12,7722;1,47E-02
641,91;12,90338;1,48E-02
643,74;13,03669;1,49E-02
645,58;13,17218;1,50E-02
647,42;13,30959;1,51E-02
649,29;13,44966;1,52E-02
651,16;13,59135;1,53E-02
652,92;13,72575;1,54E-02
654,66;13,86054;1,55E-02
656,41;13,99731;1,56E-02
658,17;14,13611;1,57E-02
659,95;14,27693;1,58E-02
661,68;14,41673;1,59E-02
663,36;14,55494;1,60E-02
665,05;14,69501;1,62E-02
666,74;14,83693;1,63E-02
668,32;14,96779;1,64E-02
670,02;15,11501;1,65E-02
671,74;15,26294;1,66E-02
673,48;15,41293;1,67E-02
675,22;15,56499;1,68E-02
676,92;15,71549;1,69E-02
678,81;15,87978;1,70E-02
681,01;16,06696;1,71E-02
683,17;16,25254;1,72E-02
685,45;16,44884;1,73E-02
687,72;16,63586;1,74E-02
689,88;16,81312;1,75E-02
691,98;16,98718;1,76E-02
694,09;17,16485;1,77E-02
696,23;17,34559;1,78E-02
698,37;17,52946;1,79E-02
700,53;17,71659;1,80E-02
702,71;17,90705;1,81E-02
704,9;18,10095;1,82E-02
707,1;18,29837;1,83E-02
709,32;18,49952;1,84E-02
711,78;18,72546;1,85E-02
714,38;18,96671;1,86E-02
716,98;19,21024;1,87E-02
719,38;19,43939;1,88E-02
721,8;19,67278;1,89E-02
724,24;19,91134;1,90E-02
726,69;20,15378;1,91E-02
729,02;20,38668;1,92E-02
731,35;20,62419;1,92E-02
733,7;20,86654;1,93E-02
735,91;21,09641;1,94E-02
738,06;21,32199;1,95E-02
740,21;21,55204;1,96E-02
742,38;21,78653;1,98E-02
744,56;22,02528;1,99E-02
746,72;22,26273;2,00E-02
748,9;22,50387;2,01E-02
751,08;22,74933;2,02E-02
753,28;22,99981;2,03E-02
755,51;23,25607;2,04E-02
757,75;23,51676;2,05E-02
760;23,78192;2,06E-02
762,24;24,04982;2,07E-02
764,46;24,31922;2,08E-02
766,55;24,57273;2,09E-02
768,69;24,83068;2,10E-02
770,66;25,07072;2,11E-02
772,71;25,32486;2,12E-02
774,77;25,58309;2,13E-02
776,84;25,84657;2,14E-02
779;26,12338;2,15E-02
781,01;26,3864;2,17E-02
782,94;26,64071;2,18E-02
785,28;26,95168;2,19E-02
787,32;27,22722;2,20E-02
789,28;27,49548;2,21E-02
791,59;27,81601;2,22E-02
793,76;28,1013;2,23E-02
795,99;28,38899;2,24E-02
798,19;28,67472;2,25E-02
800,39;28,95967;2,26E-02
802,59;29,249;2,27E-02
804,78;29,54021;2,28E-02
806,97;29,83281;2,29E-02
809,15;30,12657;2,31E-02
811,31;30,4189;2,32E-02
813,26;30,66623;2,33E-02
815,09;30,88113;2,34E-02
816,92;31,09757;2,35E-02
818,75;31,31582;2,36E-02
