trajectory,season,diurnal,engine,saf_level,water_injection,untrimmed_min_altitude,untrimmed_max_altitude,trimmed_min_altitude,trimmed_max_altitude,fuel_sum,fuel_kg_sum,energy_sum,ei_co2_conservative_sum,ei_co2_optimistic_sum,co2_conservative_sum,co2_optimistic_sum,ei_nox_sum,nox_sum,ei_nvpm_mass_sum,nvpm_mass_sum,ei_nvpm_num_sum,nvpm_num_sum
sfo_dfw,2023-02-06,daytime,GTF1990,0,0,632.46,11308.08,632.46,11308.08,105.85475909142006,6351.285545485203,273302168.3077738,587.7600000000001,587.7600000000001,20070.062323733244,20070.062323733244,2.0994571673993025,83.67434638335467,0.008417027806840392,0.32857258060738725,7.938581941621028e+17,2.7444690012684603e+19
sfo_dfw,2023-02-06,daytime,GTF2000,0,0,632.46,11308.08,632.46,11308.08,105.85475909142006,6351.285545485203,273302168.3077738,587.7600000000001,587.7600000000001,20070.062323733244,20070.062323733244,2.09997674240532,83.70519821495375,0.002457295535508713,0.10950557023632058,9.919707483718947e+16,3.9648369146680904e+18
sfo_dfw,2023-02-06,daytime,GTF,0,0,632.46,11308.08,632.46,11308.08,81.94341856830751,4916.605114098451,211566434.6647704,587.7600000000001,587.7600000000001,15536.472160551104,15536.472160551104,2.1094897273304025,63.409529898273085,0.001073791744327136,0.04018161053656925,1.12571507002549e+17,3.1901528756197263e+18
sfo_dfw,2023-02-06,daytime,GTF2035,0,0,632.46,11308.08,632.46,11308.08,78.1018600468837,4686.111602813023,201648068.38064718,587.7600000000001,587.7600000000001,14808.112664889151,14808.112664889151,2.5480944661345197,71.0566436409825,0.0010727599670948458,0.035551949889619336,1.3052050567590795e+17,3.1047814378201856e+18
sfo_dfw,2023-02-06,daytime,GTF2035,20,0,632.46,11308.08,632.46,11308.08,77.71377072809926,4662.826243685955,201643920.90819913,576.0048000000002,477.26112000000023,14439.84031144667,11964.439115198667,2.5480830725530295,70.703463949631,0.0008445061545994975,0.028724940552851845,1.01207227372756e+17,2.530149259940159e+18
sfo_dfw,2023-02-06,daytime,GTF2035,100,0,632.46,11308.08,632.46,11308.08,76.25782700074083,4575.469620044449,201782785.71358025,528.9840000000002,35.26559999999999,13012.635599406414,867.5090399604276,2.5486383244940347,69.3555308606118,0.00036472870855371866,0.014210223330519398,4.317795831650826e+16,1.378399415917435e+18
sfo_dfw,2023-02-06,daytime,GTF2035_wi,0,15,632.46,11308.08,632.46,11308.08,69.3965675108947,4163.794050653682,179172221.7936786,584.6000000000001,584.6000000000001,13157.589200065637,13157.589200065637,0.19840353571863872,5.01199472062058,0.0008472036602395524,0.025598883478860232,9.418223037296357e+16,2.1046335258394834e+18
sfo_dfw,2023-02-06,daytime,GTF2035_wi,20,15,632.46,11308.08,632.46,11308.08,69.0529700783187,4143.178204699122,179171741.46221352,572.9080000000001,474.6952000000002,12830.594264312242,10631.063819001574,0.1983993495740915,4.987093899588142,0.0006729928242974512,0.020867781035928176,7.404700462715984e+16,1.735962530670037e+18
sfo_dfw,2023-02-06,daytime,GTF2035_wi,100,15,632.46,11308.08,632.46,11308.08,67.83624939495836,4070.1749636975014,179498786.0740235,526.1400000000001,35.07599999999999,11575.577596755695,771.7051731170462,0.19828950498468267,4.891959032101866,0.0003044210353966915,0.01076559262219415,3.3853977597854184e+16,9.93198009407607e+17
sfo_dfw,2023-02-06,nighttime,GTF1990,0,0,632.46,11308.08,632.46,11308.08,106.65402484503373,6399.241490702025,275365760.5863988,587.7600000000001,587.7600000000001,20221.603110618395,20221.603110618395,2.121406256820332,82.7222602692042,0.0085937372071394,0.3282027186600825,8.311102933447752e+17,2.7878799904252723e+19
