TT3;PT3;FAR;FGR
[K];[bar];[-];[kN]
590,53;7,06056;0,019903;18,161
593,28;7,17826;0,019989;18,555
596,08;7,30089;0,020073;18,965
598,98;7,43114;0,020156;19,398
601,82;7,56113;0,020239;19,833
604,92;7,70764;0,020316;20,315
608,01;7,85694;0,020394;20,809
611,22;8,01653;0,020468;21,333
614,56;8,18835;0,020539;21,895
618,04;8,37314;0,020606;22,497
621,73;8,5754;0,020668;23,148
625,65;8,80178;0,020724;23,871
629,54;9,04116;0,020781;24,637
633,67;9,30709;0,020832;25,485
638,37;9,62885;0,020867;26,496
643,92;10,0361;0,020880;27,757
668,19;12,38038;0,020552;34,752
671,29;12,67464;0,020629;35,693
674,47;12,98789;0,020705;36,688
677,62;13,30454;0,020782;37,688
680,76;13,63086;0,020859;38,718
683,99;13,97889;0,020934;39,815
687,37;14,32471;0,021005;40,869
691,15;14,70314;0,021065;41,985
694,79;15,06319;0,021129;43,044
698,33;15,42058;0,021195;44,095
701,9;15,79235;0,021261;45,187
705,51;16,17921;0,021327;46,319
709,16;16,58298;0,021391;47,498
712,82;17,00146;0,021454;48,718
716,48;17,43193;0,021518;49,971
720,18;17,88201;0,021581;51,278
723,32;18,25679;0,021660;52,385
725,77;18,53605;0,021757;53,227
728,2;18,81515;0,021855;54,079
730,46;19,06907;0,021958;54,863
732,74;19,32539;0,022060;55,655
735,01;19,57968;0,022163;56,439
737,29;19,83263;0,022266;57,22
739,58;20,08954;0,022369;58,011
741,87;20,35048;0,022472;58,814
744,16;20,61548;0,022575;59,629
746,47;20,8846;0,022678;60,456
748,78;21,15788;0,022780;61,294
751,1;21,43539;0,022883;62,145
753,42;21,71716;0,022986;63,008
755,76;22,00338;0,023089;63,884
758,21;22,30846;0,023188;64,812
760,56;22,60354;0,023291;65,714
762,8;22,88835;0,023397;66,588
765,13;23,18626;0,023500;67,498
767,48;23,48857;0,023603;68,42
769,82;23,79426;0,023707;69,353
772,15;24,10106;0,023810;70,289
774,49;24,4122;0,023914;71,238
776,93;24,73731;0,024016;72,216
779,9;25,11643;0,024102;73,286
782,87;25,5016;0,024189;74,375
785,87;25,89407;0,024275;75,483
788,53;26,25712;0,024371;76,493
791,06;26,61825;0,024470;77,569
793,9;27,02674;0,024561;78,787
795,76;27,28957;0,024680;79,584
798,04;27,61713;0,024786;80,571
800,33;27,94776;0,024894;81,568
802,62;28,28456;0,025000;82,584
804,88;28,61859;0,025109;83,59
807,16;28,96081;0,025216;84,623
809,54;29,32112;0,025321;85,707
811,8;29,66692;0,025430;86,75
814,06;30,01572;0,025539;87,802
816,42;30,38554;0,025645;88,915
818,68;30,74075;0,025754;89,99
820,67;31,05456;0,025871;90,947
822,99;31,42343;0,025979;92,061
825,31;31,79525;0,026087;93,185
827,64;32,17246;0,026195;94,331
829,83;32,53202;0,026307;95,422
832,02;32,89423;0,026419;96,521
833,88;33,20426;0,026541;97,472
836,4;33,62857;0,026644;98,756
838,46;33,9778;0,026760;99,818
840,59;34,3285;0,026875;100,889
842,71;34,68042;0,026990;101,965
844,83;35,03441;0,027106;103,047
846,92;35,38003;0,027222;104,107
849,02;35,72636;0,027338;105,172
850,95;36,05674;0,027460;106,206
852,61;36,344;0,027589;107,165
854,31;36,63945;0,027718;108,126
856;36,93667;0,027846;109,093
857,53;37,20596;0,027980;109,972
859,31;37,5221;0,028107;110,999
861,09;37,84035;0,028234;112,033
862,62;38,11485;0,028369;112,929
864,45;38,44633;0,028559;114,005
866,23;38,76917;0,028687;115,053
867,77;39,04598;0,028823;115,957
869,7;39,38877;0,028948;117,038
871,63;39,73267;0,029073;118,124
873,27;40,02831;0,029206;119,061
875,2;40,37464;0,029331;120,149
876,93;40,68795;0,029463;121,149
878,93;41,05234;0,029586;122,3
880,66;41,36843;0,029718;123,296
882,56;41,71685;0,029845;124,404
884,29;42,03436;0,029977;125,403
886,07;42,3549;0,030108;126,429
