TT3;PT3;FAR;
[K];[bar];[-];
668,74;12,85955;1,29E-02;
671,15;13,03465;1,29E-02;
673,56;13,2121;1,30E-02;
675,97;13,39192;1,31E-02;
678,39;13,57413;1,32E-02;
680,8;13,75821;1,33E-02;
682,94;13,92248;1,34E-02;
685,28;14,10351;1,35E-02;
687,62;14,28682;1,36E-02;
689,96;14,47241;1,36E-02;
692,3;14,66025;1,37E-02;
694,62;14,85005;1,38E-02;
696,95;15,04229;1,39E-02;
699,28;15,23693;1,40E-02;
701,61;15,43399;1,41E-02;
704,06;15,64351;1,42E-02;
706,41;15,84631;1,43E-02;
708,86;16,06104;1,43E-02;
710,97;16,24725;1,44E-02;
713,43;16,46702;1,45E-02;
715,89;16,68952;1,46E-02;
717,95;16,87635;1,47E-02;
720,35;17,09498;1,48E-02;
723,36;17,36068;1,49E-02;
725,93;17,58878;1,50E-02;
728,5;17,81872;1,50E-02;
731,2;18,06312;1,51E-02;
733,82;18,30302;1,52E-02;
736,43;18,54464;1,53E-02;
739,12;18,79637;1,54E-02;
741,79;19,04904;1,55E-02;
744,4;19,29831;1,55E-02;
746,97;19,54659;1,56E-02;
749,75;19,81897;1,57E-02;
752,21;20,05954;1,58E-02;
754,67;20,30026;1,59E-02;
757,12;20,55071;1,60E-02;
759,28;20,77613;1,61E-02;
761,65;21,02481;1,62E-02;
763,92;21,26634;1,63E-02;
766,15;21,50666;1,64E-02;
768,34;21,7443;1,65E-02;
770,68;22,00128;1,65E-02;
772,82;22,23785;1,66E-02;
775,1;22,49303;1,67E-02;
777,35;22,74674;1,68E-02;
779,55;22,99877;1,69E-02;
781,74;23,25056;1,70E-02;
784,07;23,52212;1,71E-02;
786,17;23,76966;1,72E-02;
788,38;24,03141;1,73E-02;
790,7;24,31096;1,74E-02;
792,82;24,56802;1,75E-02;
795,06;24,84262;1,76E-02;
797,26;25,11527;1,77E-02;
799,45;25,38957;1,78E-02;
801,59;25,65972;1,79E-02;
803,77;25,93744;1,80E-02;
805,95;26,21827;1,81E-02;
808,31;26,53471;1,82E-02;
810,7;26,86284;1,83E-02;
812,95;27,17581;1,84E-02;
815,26;27,49896;1,85E-02;
817,61;27,83139;1,86E-02;
819,66;28,14404;1,87E-02;
821,67;28,45274;1,88E-02;
823,66;28,76084;1,89E-02;
825,62;29,0659;1,90E-02;
827,6;29,37118;1,91E-02;
829,64;29,68676;1,92E-02;
831,46;29,97228;1,94E-02;
833,38;30,27352;1,95E-02;
835,38;30,5913;1,96E-02;
837,23;30,88643;1,97E-02;
839,1;31,17479;1,98E-02;
841;31,46477;1,99E-02;
842,88;31,74606;2,00E-02;
844,76;32,02546;2,01E-02;
846,63;32,30499;2,03E-02;
848,49;32,5846;2,04E-02;
850,34;32,864;2,05E-02;
852,18;33,14269;2,06E-02;
854,02;33,42145;2,07E-02;
855,85;33,70022;2,08E-02;
857,68;33,97682;2,09E-02;
859,5;34,24899;2,11E-02;
861,33;34,52293;2,12E-02;
863,15;34,79798;2,13E-02;
864,97;35,07341;2,14E-02;
866,79;35,34919;2,15E-02;
868,69;35,63731;2,16E-02;
870,54;35,90642;2,17E-02;
872,32;36,16444;2,19E-02;
874,11;36,41139;2,20E-02;
875,93;36,66142;2,21E-02;
877,75;36,90978;2,22E-02;
879,57;37,15845;2,23E-02;
881,39;37,40686;2,24E-02;
883,22;37,65498;2,26E-02;
885,13;37,90987;2,27E-02;
886,89;38,13358;2,28E-02;
888,66;38,35032;2,29E-02;
890,51;38,57312;2,30E-02;
892,19;38,77428;2,32E-02;
893,96;38,98593;2,33E-02;
895,73;39,19733;2,34E-02;
897,5;39,4085;2,35E-02;
899,28;39,61942;2,36E-02;
901,06;39,83008;2,38E-02;
902,84;40,04048;2,39E-02;
904,62;40,25061;2,40E-02;
906,41;40,45119;2,41E-02;
908,22;40,64874;2,43E-02;
910,03;40,84635;2,44E-02;
911,84;41,04403;2,45E-02;
913,65;41,24164;2,46E-02;
915,44;41,43857;2,47E-02;
917,16;41,634;2,49E-02;
918,88;41,82955;2,50E-02;
920,61;42,02523;2,51E-02;
922,33;42,22103;2,52E-02;
924,06;42,41693;2,54E-02;
925,78;42,61251;2,55E-02;
927,61;42,81375;2,56E-02;
929,27;42,9936;2,57E-02;
931,01;43,18728;2,59E-02;
932,87;43,37971;2,60E-02;
934,74;43,5712;2,61E-02;
936,34;43,73563;2,62E-02;
938,2;43,92778;2,64E-02;
940,07;44,11996;2,65E-02;
941,66;44,28044;2,66E-02;
943,53;44,46779;2,67E-02;
945,17;44,64467;2,69E-02;
