TT3;PT3;FAR;FGR
[K];[bar];[-];[kN]
436,64;2,86839;0,013169;4,534
440,55;2,94359;0,013214;4,786
444,2;3,0155;0,013266;5,02
447,47;3,08084;0,013328;5,238
450,41;3,14023;0,013398;5,445
453,14;3,19606;0,013473;5,646
455,74;3,24958;0,013552;5,84
458,22;3,30091;0,013633;6,029
460,62;3,35104;0,013718;6,217
462,95;3,40028;0,013803;6,405
465,24;3,44888;0,013891;6,593
467,48;3,49702;0,013979;6,782
469,69;3,54486;0,014069;6,972
471,86;3,59251;0,014159;7,163
474,02;3,64008;0,014251;7,356
476,15;3,68748;0,014343;7,552
478,27;3,73516;0,014435;7,749
480,38;3,78301;0,014528;7,948
482,48;3,83109;0,014621;8,149
484,58;3,87945;0,014715;8,353
486,68;3,92846;0,014809;8,558
488,76;3,97752;0,014903;8,767
490,85;4,02704;0,014997;8,979
492,97;4,0777;0,015091;9,194
495,08;4,12862;0,015185;9,412
497,21;4,18062;0,015279;9,633
499,35;4,23331;0,015373;9,857
501,52;4,28715;0,015466;10,085
503,67;4,34124;0,015560;10,317
505,83;4,39619;0,015654;10,554
507,99;4,45149;0,015748;10,795
510,18;4,50825;0,015841;11,04
512,38;4,566;0,015935;11,289
514,58;4,62436;0,016028;11,542
516,78;4,68319;0,016122;11,797
518,99;4,7432;0,016215;12,057
521,24;4,80486;0,016308;12,322
523,5;4,8672;0,016401;12,593
525,77;4,93089;0,016493;12,87
528,07;4,99611;0,016585;13,154
530,4;5,06355;0,016676;13,444
532,57;5,12691;0,016772;13,724
534,77;5,19164;0,016867;14,009
536,99;5,25784;0,016962;14,301
539,23;5,3256;0,017056;14,6
541,49;5,39503;0,017150;14,905
543,78;5,46581;0,017243;15,215
546,09;5,53807;0,017336;15,531
548,43;5,61227;0,017429;15,854
550,77;5,68725;0,017521;16,184
553,12;5,76605;0,017614;16,52
555,55;5,85166;0,017704;16,88
558,02;5,93969;0,017794;17,25
560,51;6,03032;0,017883;17,631
563,04;6,12379;0,017972;18,023
565,6;6,22036;0,018059;18,428
568,21;6,32032;0,018146;18,847
570,86;6,42401;0,018232;19,281
573,56;6,53186;0,018317;19,731
576,32;6,64433;0,018400;20,199
579,14;6,76201;0,018482;20,688
582,03;6,88561;0,018562;21,2
585,01;7,01602;0,018640;21,738
588;7,14989;0,018717;22,286
591,21;7,29733;0,018790;22,886
594,53;7,45471;0,018856;23,523
598,02;7,62559;0,018921;24,211
601,72;7,81372;0,018981;24,963
605,72;8,02504;0,019033;25,801
610,13;8,26997;0,019074;26,762
615,23;8,57056;0,019096;27,926
620,26;8,89685;0,019121;29,206
626,81;9,35946;0,019106;30,941
636,23;10,13976;0,019014;33,824
640,79;10,5314;0,019051;35,348
645,32;10,93615;0,019088;36,926
649,13;11,27472;0,019145;38,252
652,47;11,57166;0,019215;39,424
655,15;11,78563;0,019302;40,278
658,5;12,04647;0,019371;41,264
661,41;12,27314;0,019452;42,129
664,52;12,52269;0,019528;43,08
667,68;12,77891;0,019603;44,048
670,52;13,01391;0,019687;44,946
