TT3;PT3;FAR
[K];[bar];[-]
436,64;2,86839;1,32E-02
440,55;2,94359;1,32E-02
444,2;3,0155;1,33E-02
447,47;3,08084;1,33E-02
450,41;3,14023;1,34E-02
453,14;3,19606;1,35E-02
455,74;3,24958;1,36E-02
458,22;3,30091;1,36E-02
460,62;3,35104;1,37E-02
462,95;3,40028;1,38E-02
465,24;3,44888;1,39E-02
467,48;3,49702;1,40E-02
469,69;3,54486;1,41E-02
471,86;3,59251;1,42E-02
474,02;3,64008;1,43E-02
476,15;3,68748;1,43E-02
478,27;3,73516;1,44E-02
480,38;3,78301;1,45E-02
482,48;3,83109;1,46E-02
484,58;3,87945;1,47E-02
486,68;3,92846;1,48E-02
488,76;3,97752;1,49E-02
490,85;4,02704;1,50E-02
492,97;4,0777;1,51E-02
495,08;4,12862;1,52E-02
497,21;4,18062;1,53E-02
499,35;4,23331;1,54E-02
501,52;4,28715;1,55E-02
503,67;4,34124;1,56E-02
505,83;4,39619;1,57E-02
507,99;4,45149;1,57E-02
510,18;4,50825;1,58E-02
512,38;4,566;1,59E-02
514,58;4,62436;1,60E-02
516,78;4,68319;1,61E-02
518,99;4,7432;1,62E-02
521,24;4,80486;1,63E-02
523,5;4,8672;1,64E-02
525,77;4,93089;1,65E-02
528,07;4,99611;1,66E-02
530,4;5,06355;1,67E-02
532,57;5,12691;1,68E-02
534,77;5,19164;1,69E-02
536,99;5,25784;1,70E-02
539,23;5,3256;1,71E-02
541,49;5,39503;1,72E-02
543,78;5,46581;1,72E-02
546,09;5,53807;1,73E-02
548,43;5,61227;1,74E-02
550,77;5,68725;1,75E-02
553,12;5,76605;1,76E-02
555,55;5,85166;1,77E-02
558,02;5,93969;1,78E-02
560,51;6,03032;1,79E-02
563,04;6,12379;1,80E-02
565,6;6,22036;1,81E-02
568,21;6,32032;1,81E-02
570,86;6,42401;1,82E-02
573,56;6,53186;1,83E-02
576,32;6,64433;1,84E-02
579,14;6,76201;1,85E-02
582,03;6,88561;1,86E-02
585,01;7,01602;1,86E-02
588;7,14989;1,87E-02
591,21;7,29733;1,88E-02
594,53;7,45471;1,89E-02
598,02;7,62559;1,89E-02
601,72;7,81372;1,90E-02
605,72;8,02504;1,90E-02
610,13;8,26997;1,91E-02
615,23;8,57056;1,91E-02
620,26;8,89685;1,91E-02
626,81;9,35946;1,91E-02
636,23;10,13976;1,90E-02
640,79;10,5314;1,91E-02
645,32;10,93615;1,91E-02
649,13;11,27472;1,91E-02
652,47;11,57166;1,92E-02
655,15;11,78563;1,93E-02
658,5;12,04647;1,94E-02
661,41;12,27314;1,95E-02
664,52;12,52269;1,95E-02
667,68;12,77891;1,96E-02
670,52;13,01391;1,97E-02
673,61;13,27687;1,98E-02
676,84;13,55781;1,98E-02
679,75;13,8162;1,99E-02
682,92;14,10564;2,00E-02
686,02;14,39432;2,01E-02
689,15;14,68381;2,01E-02
692,06;14,95303;2,02E-02
694,71;15,20085;2,03E-02
697,35;15,45242;2,04E-02
699,81;15,68595;2,05E-02
702,25;15,91627;2,06E-02
704,47;16,12949;2,07E-02
706,93;16,36995;2,08E-02
709,2;16,5944;2,09E-02
711,57;16,83313;2,10E-02
713,95;17,07479;2,11E-02
716,29;17,31479;2,12E-02
718,52;17,536;2,13E-02
720,75;17,76042;2,14E-02
722,99;17,98807;2,15E-02
725,23;18,21898;2,16E-02
727,48;18,4533;2,17E-02
729,74;18,69076;2,18E-02
732,12;18,94378;2,19E-02
734,29;19,17731;2,20E-02
736,55;19,42351;2,21E-02
738,81;19,67096;2,22E-02
741,09;19,92196;2,23E-02
743,75;20,19892;2,24E-02
746,41;20,47938;2,25E-02
749,37;20,79498;2,26E-02
751,57;21,03794;2,27E-02
754,05;21,32262;2,28E-02
756,54;21,61067;2,29E-02
758,67;21,86025;2,30E-02
761,16;22,15456;2,31E-02
763,59;22,44541;2,32E-02
765,58;22,68147;2,33E-02
767,89;22,95937;2,34E-02
770,6;23,29064;2,35E-02
772,52;23,52785;2,36E-02
774,73;23,80004;2,37E-02
777,02;24,08501;2,38E-02
778,98;24,33082;2,40E-02
781,15;24,60576;2,41E-02
783,48;24,90484;2,42E-02
785,66;25,18615;2,43E-02
787,97;25,48914;2,44E-02
789,79;25,72724;2,45E-02
791,91;26,00818;2,46E-02
794,08;26,3003;2,47E-02
796,28;26,598;2,48E-02
798,42;26,89143;2,49E-02
800,57;27,18705;2,51E-02
802,74;27,48736;2,52E-02
804,87;27,78275;2,53E-02
806,96;28,07424;2,54E-02
809,12;28,37714;2,55E-02
810,86;28,64094;2,56E-02
812,65;28,89169;2,58E-02
814,37;29,13364;2,59E-02
816,22;29,39851;2,60E-02
817,89;29,63616;2,61E-02
819,79;29,9106;2,62E-02
821,34;30,13471;2,64E-02
823,14;30,39485;2,65E-02
824,76;30,62928;2,66E-02
826,47;30,87827;2,68E-02
828,28;31,14022;2,69E-02
830,12;31,40556;2,70E-02
831,95;31,67199;2,71E-02
833,78;31,93947;2,72E-02
835,6;32,20799;2,74E-02
837,43;32,47752;2,75E-02
839,25;32,74803;2,76E-02
841,06;33,01555;2,77E-02
842,85;33,27629;2,79E-02
844,64;33,53802;2,80E-02
846,43;33,80074;2,81E-02
848,23;34,06445;2,82E-02
850,07;34,33728;2,84E-02
851,86;34,60299;2,86E-02
853,65;34,86962;2,87E-02
855,44;35,13714;2,88E-02
857,23;35,4055;2,90E-02
859,01;35,66427;2,91E-02
860,79;35,91924;2,92E-02
862,57;36,17432;2,93E-02
864,37;36,43319;2,95E-02
866,18;36,69488;2,96E-02
868,07;36,9686;2,97E-02
869,73;37,20861;2,99E-02
871,63;37,48559;3,00E-02
873,28;37,72537;3,01E-02
874,9;37,96161;3,03E-02
876,74;38,22888;3,04E-02
878,26;38,43798;3,05E-02
880,04;38,68239;3,07E-02
881,81;38,92728;3,08E-02
883,34;39,14002;3,09E-02
885,13;39,38007;3,11E-02
886,92;39,61991;3,12E-02
888,45;39,82582;3,13E-02
890,24;40,06642;3,15E-02
892,03;40,30742;3,16E-02
893,56;40,51429;3,17E-02
895,34;40,75599;3,19E-02
897,13;40,99804;3,20E-02
898,66;41,19516;3,21E-02
900,48;41,40962;3,23E-02
902,13;41,60401;3,24E-02
903,95;41,81907;3,26E-02
905,77;42,03443;3,27E-02
907,32;42,21924;3,28E-02
909,3;42,46586;3,30E-02
910,99;42,65842;3,31E-02
912,53;42,83984;3,32E-02
914,33;43,05485;3,34E-02
916,2;43,27671;3,35E-02
918,02;43,48809;3,36E-02
919,84;43,69923;3,38E-02
921,65;43,91011;3,39E-02
923,46;44,12072;3,41E-02
925,27;44,33098;3,42E-02
926,91;44,51763;3,43E-02
928,83;44,73513;3,45E-02
930,55;44,93039;3,46E-02
932,46;45,14728;3,47E-02
934,17;45,34205;3,49E-02
936,07;45,55829;3,50E-02
937,94;45,76664;3,52E-02
939,53;45,94497;3,53E-02
941,4;46,15377;3,54E-02
943,25;46,36203;3,56E-02
944,85;46,54029;3,57E-02
946,7;46,74796;3,59E-02
948,55;46,95531;3,60E-02
950,13;47,13278;3,62E-02
951,97;47,33955;3,63E-02
953,81;47,54601;3,64E-02
955,37;47,72285;3,66E-02
957,32;47,95385;3,67E-02
958,86;48,10209;3,69E-02
960,63;48,29765;3,70E-02
962,63;48,52517;3,72E-02
964,8;48,7779;3,73E-02
966,65;48,99378;3,74E-02
968,81;49,24477;3,76E-02
970,96;49,49484;3,77E-02
972,8;49,70846;3,78E-02
974,93;49,95068;3,80E-02
977,05;50,19013;3,81E-02
978,87;50,39484;3,83E-02
980,98;50,63307;3,84E-02
983,08;50,87065;3,85E-02
984,88;51,07378;3,87E-02
986,98;51,31019;3,88E-02
989,07;51,54597;3,90E-02
990,85;51,74759;3,91E-02
992,93;51,98225;3,92E-02
995;52,21632;3,94E-02
996,77;52,41649;3,95E-02
998,83;52,64948;3,97E-02
1000,88;52,87886;3,98E-02
1002,62;53,07243;4,00E-02
1004,74;53,32313;4,01E-02
1006,77;53,54956;4,02E-02
1008,53;53,74973;4,04E-02
1010,48;53,97251;4,05E-02
1012,52;54,20552;4,07E-02
1014,37;54,41628;4,08E-02
1016,32;54,63871;4,10E-02
1018,26;54,86127;4,11E-02
1020,23;55,07461;4,13E-02
1022,01;55,24489;4,14E-02
1023,54;55,39104;4,16E-02
1025,33;55,56184;4,18E-02
1027,08;55,72119;4,19E-02
