Segment Type;Mach [-];Altitude [m];Delta ISA [K];Duration [s];Total Aircraft Thrust [N];Fuel Flow per Engine [kg/s];;;
climb;0,7800;9754;0;30,6;59659;0,4469;;;
climb;0,7800;10058;0;31,1;56853;0,4244;;;
climb;0,7800;10363;0;37,6;54380;0,4050;;;
climb;0,7800;10668;0;38,5;51907;0,3856;;;
climb;0,7800;10668;0;0,0;51907;0,3856;;;
climb;0,7800;10973;0;47,2;49434;0,3660;;;
climb;0,7800;11278;0;50,0;47198;0,3505;;;
climb;0,7800;11582;0;63,3;44986;0,3354;;;
climb;0,7800;11887;0;75,9;42867;0,3209;;;
cruise;0,7800;11887;0;121,5;34282;0,2563;;;
cruise;0,7800;11887;0;121,4;34250;0,2561;;;
cruise;0,7800;11887;0;121,4;34217;0,2558;;;
cruise;0,7800;11887;0;121,4;34185;0,2556;;;
cruise;0,7800;11887;0;121,4;34152;0,2554;;;
cruise;0,7800;11887;0;121,4;34120;0,2552;;;
cruise;0,7800;11887;0;121,3;34087;0,2550;;;
cruise;0,7800;11887;0;121,3;34055;0,2548;;;
cruise;0,7800;11887;0;121,3;34022;0,2546;;;
cruise;0,7800;11887;0;121,3;33990;0,2543;;;
cruise;0,7800;11887;0;121,3;33958;0,2541;;;
cruise;0,7800;11887;0;121,2;33925;0,2539;;;
cruise;0,7800;11887;0;121,2;33893;0,2537;;;
cruise;0,7800;11887;0;121,2;33861;0,2535;;;
cruise;0,7800;11887;0;121,2;33829;0,2533;;;
cruise;0,7800;11887;0;121,2;33797;0,2531;;;
cruise;0,7800;11887;0;121,1;33765;0,2529;;;
cruise;0,7800;11887;0;121,1;33733;0,2527;;;
cruise;0,7800;11887;0;121,1;33701;0,2524;;;
cruise;0,7800;11887;0;121,1;33669;0,2522;;;
cruise;0,7800;11887;0;121,1;33637;0,2520;;;
cruise;0,7800;11887;0;121,0;33605;0,2518;;;
cruise;0,7800;11887;0;121,0;33573;0,2516;;;
cruise;0,7800;11887;0;121,0;33541;0,2514;;;
cruise;0,7800;11887;0;121,0;33509;0,2512;;;
cruise;0,7800;11887;0;121,0;33477;0,2510;;;
cruise;0,7800;11887;0;120,9;33445;0,2508;;;
cruise;0,7800;11887;0;120,9;33414;0,2506;;;
cruise;0,7800;11887;0;120,9;33382;0,2504;;;
cruise;0,7800;11887;0;120,9;33350;0,2502;;;
cruise;0,7800;11887;0;85,7;33328;0,2500;;;
descent;0,7800;11582;0;29,3;6006;0,0952;;;
descent;0,7800;11278;0;28,7;5494;0,0931;;;
descent;0,7800;10973;0;28,0;4985;0,0910;;;
descent;0,7800;10668;0;27,0;4493;0,0896;;;
descent;0,7800;10363;0;24,5;4051;0,0890;;;
descent;0,7800;10058;0;23,6;3609;0,0885;;;
descent;0,7800;9754;0;22,8;3168;0,0880;;;
descent;0,7800;9449;0;22,0;2726;0,0874;;;
descent;0,7800;9144;0;21,3;2287;0,0869;;;
descent;0,7800;8952;0;12,9;2016;0,0863;;;
descent;0,7648;8648;0;20,1;1811;0,0858;;;
descent;0,7500;8343;0;33,1;1596;0,0852;;;
descent;0,7355;8038;0;28,3;1369;0,0846;;;
