TT3;PT3;FAR
[K];[bar];[-]
918,67;40,03439;2,76E-02
919,64;40,13012;2,77E-02
920,61;40,22543;2,78E-02
922,36;40,39766;2,79E-02
924,4;40,59853;2,80E-02
926,44;40,79932;2,81E-02
928,18;40,97136;2,83E-02
930,21;41,17196;2,84E-02
932,21;41,37144;2,86E-02
934,24;41,57161;2,87E-02
935,98;41,74258;2,88E-02
938;41,94202;2,89E-02
940,03;42,14143;2,91E-02
941,77;42,31233;2,92E-02
943,79;42,51228;2,93E-02
945,82;42,71219;2,94E-02
947,55;42,88339;2,96E-02
949,57;43,08293;2,97E-02
951,58;43,28228;2,98E-02
953,3;43,45298;3,00E-02
955,31;43,65196;3,01E-02
957,41;43,87032;3,02E-02
959,51;44,10547;3,03E-02
961,66;44,30824;3,05E-02
963,68;44,47985;3,06E-02
965,4;44,62677;3,07E-02
967,42;44,79799;3,08E-02
969,43;44,96899;3,10E-02
971,15;45,11539;3,11E-02
973,16;45,28601;3,12E-02
975,17;45,45642;3,14E-02
976,88;45,60232;3,15E-02
978,88;45,77233;3,16E-02
980,88;45,94216;3,18E-02
982,59;46,08756;3,19E-02
984,5;46,24316;3,20E-02
986,35;46,39127;3,22E-02
987,94;46,51819;3,23E-02
989,79;46,6662;3,24E-02
991,63;46,8144;3,26E-02
993,22;46,94095;3,27E-02
995,07;47,0888;3,28E-02
996,91;47,23665;3,30E-02
998,49;47,36332;3,31E-02
1000,34;47,51105;3,33E-02
1002,18;47,65876;3,34E-02
1003,76;47,78511;3,35E-02
1005,61;47,93246;3,37E-02
1007,45;48,07975;3,38E-02
1009,03;48,20596;3,40E-02
1010,88;48,35315;3,41E-02
1012,72;48,50029;3,42E-02
1014,3;48,62637;3,44E-02
1016,14;48,77341;3,45E-02
1017,98;48,92041;3,47E-02
1019,56;49,04637;3,48E-02
1021,4;49,19327;3,50E-02
1023,23;49,34013;3,51E-02
1024,81;49,46598;3,52E-02
1026,64;49,61276;3,54E-02
1028,48;49,7595;3,55E-02
1030,05;49,88525;3,57E-02
1031,89;50,03192;3,58E-02
1033,72;50,17853;3,60E-02
1034,12;49,90641;3,61E-02
1035,56;50,15342;3,62E-02
1036,7;50,30608;3,63E-02
1038,68;50,5177;3,64E-02
1040,52;50,6866;3,65E-02
1042,31;50,84098;3,67E-02
1044,08;50,98932;3,68E-02
1045,85;51,13477;3,70E-02
1047,61;51,27868;3,71E-02
1049,36;51,42174;3,73E-02
1051,12;51,5643;3,74E-02
1052,87;51,70658;3,76E-02
1054,63;51,8487;3,77E-02
1056,39;51,99067;3,79E-02
1058,15;52,13237;3,80E-02
1059,91;52,27411;3,82E-02
1061,67;52,41591;3,83E-02
1063,43;52,5578;3,85E-02
1065,19;52,6998;3,86E-02
1066,95;52,84191;3,88E-02
1068,71;52,98416;3,89E-02
1070,47;53,12656;3,91E-02
1072,23;53,2691;3,92E-02
1073,99;53,4118;3,94E-02
1075,76;53,55468;3,95E-02
1077,52;53,69773;3,97E-02
1079,26;53,84106;3,98E-02
1081;53,98465;4,00E-02
1082,74;54,12844;4,01E-02
1084,48;54,27242;4,03E-02
1086,22;54,41661;4,05E-02
1087,97;54,56104;4,06E-02
1089,71;54,70666;4,08E-02
1091,44;54,84878;4,09E-02
1093,16;54,98778;4,11E-02
1094,88;55,12854;4,12E-02
1096,63;55,27709;4,14E-02
1098,35;55,43212;4,16E-02
