TT3;PT3;FAR
[K];[bar];[-]
435,28;2,87098;0,014349
440,39;2,96861;0,014366
444,99;3,05939;0,014396
448,75;3,13473;0,014447
452,09;3,20243;0,014509
455,17;3,26546;0,014577
458,07;3,32543;0,014650
460,83;3,38322;0,014727
463,49;3,43936;0,014806
466,08;3,49432;0,014887
468,6;3,54844;0,014970
471,07;3,60194;0,015055
473,49;3,65494;0,015141
475,88;3,70769;0,015227
478,24;3,76004;0,015315
480,56;3,81226;0,015404
482,85;3,8642;0,015494
485,15;3,9167;0,015584
487,41;3,96878;0,015675
489,67;4,02135;0,015766
491,91;4,07412;0,015858
494,16;4,12739;0,015950
496,34;4,17969;0,016043
498,51;4,23203;0,016137
500,68;4,28471;0,016232
502,84;4,33778;0,016326
505,01;4,39161;0,016421
507,21;4,44645;0,016515
509,41;4,50184;0,016609
511,6;4,55761;0,016704
513,81;4,61427;0,016798
516,02;4,67165;0,016893
518,24;4,72986;0,016987
520,41;4,78708;0,017083
522,54;4,84413;0,017180
524,65;4,90108;0,017278
526,8;4,95964;0,017375
528,94;5,01846;0,017472
531,07;5,07768;0,017570
533,24;5,13866;0,017666
535,39;5,19955;0,017764
537,57;5,26194;0,017861
539,77;5,32576;0,017958
541,98;5,39013;0,018054
544,19;5,45557;0,018151
546,41;5,52178;0,018248
548,66;5,58974;0,018344
550,92;5,65902;0,018439
553,21;5,72969;0,018535
555,54;5,80277;0,018629
557,86;5,87654;0,018724
560,17;5,95013;0,018819
562,58;6,02893;0,018912
564,98;6,10793;0,019005
567,4;6,18872;0,019098
569,84;6,27107;0,019191
572,28;6,3539;0,019284
574,79;6,44124;0,019372
577,34;6,53134;0,019462
579,95;6,62881;0,019551
582,54;6,73158;0,019640
585,14;6,83648;0,019729
587,83;6,94728;0,019816
590,53;7,06056;0,019903
593,28;7,17826;0,019989
596,08;7,30089;0,020073
598,98;7,43114;0,020156
601,82;7,56113;0,020239
604,92;7,70764;0,020316
608,01;7,85694;0,020394
611,22;8,01653;0,020468
614,56;8,18835;0,020539
618,04;8,37314;0,020606
621,73;8,5754;0,020668
625,65;8,80178;0,020724
629,54;9,04116;0,020781
633,67;9,30709;0,020832
638,37;9,62885;0,020867
643,92;10,0361;0,020880
668,19;12,38038;0,020552
671,29;12,67464;0,020629
674,47;12,98789;0,020705
677,62;13,30454;0,020782
680,76;13,63086;0,020859
683,99;13,97889;0,020934
687,37;14,32471;0,021005
691,15;14,70314;0,021065
694,79;15,06319;0,021129
698,33;15,42058;0,021195
701,9;15,79235;0,021261
705,51;16,17921;0,021327
709,16;16,58298;0,021391
712,82;17,00146;0,021454
716,48;17,43193;0,021518
720,18;17,88201;0,021581
723,32;18,25679;0,021660
725,77;18,53605;0,021757
728,2;18,81515;0,021855
730,46;19,06907;0,021958
732,74;19,32539;0,022060
735,01;19,57968;0,022163
737,29;19,83263;0,022266
739,58;20,08954;0,022369
741,87;20,35048;0,022472
744,16;20,61548;0,022575
746,47;20,8846;0,022678
748,78;21,15788;0,022780
751,1;21,43539;0,022883
753,42;21,71716;0,022986
755,76;22,00338;0,023089
758,21;22,30846;0,023188
760,56;22,60354;0,023291
762,8;22,88835;0,023397
765,13;23,18626;0,023500
767,48;23,48857;0,023603
769,82;23,79426;0,023707
772,15;24,10106;0,023810
774,49;24,4122;0,023914
776,93;24,73731;0,024016
779,9;25,11643;0,024102
782,87;25,5016;0,024189
785,87;25,89407;0,024275
788,53;26,25712;0,024371
791,06;26,61825;0,024470
793,9;27,02674;0,024561
795,76;27,28957;0,024680
798,04;27,61713;0,024786
800,33;27,94776;0,024894
802,62;28,28456;0,025000
804,88;28,61859;0,025109
807,16;28,96081;0,025216
809,54;29,32112;0,025321
811,8;29,66692;0,025430
814,06;30,01572;0,025539
816,42;30,38554;0,025645
818,68;30,74075;0,025754
820,67;31,05456;0,025871
822,99;31,42343;0,025979
825,31;31,79525;0,026087
827,64;32,17246;0,026195
829,83;32,53202;0,026307
832,02;32,89423;0,026419
833,88;33,20426;0,026541
836,4;33,62857;0,026644
838,46;33,9778;0,026760
840,59;34,3285;0,026875
842,71;34,68042;0,026990
844,83;35,03441;0,027106
846,92;35,38003;0,027222
849,02;35,72636;0,027338
850,95;36,05674;0,027460
852,61;36,344;0,027589
854,31;36,63945;0,027718
856;36,93667;0,027846
857,53;37,20596;0,027980
859,31;37,5221;0,028107
861,09;37,84035;0,028234
862,62;38,11485;0,028369
864,45;38,44633;0,028559
866,23;38,76917;0,028687
867,77;39,04598;0,028823
869,7;39,38877;0,028948
871,63;39,73267;0,029073
873,27;40,02831;0,029206
875,2;40,37464;0,029331
876,93;40,68795;0,029463
878,93;41,05234;0,029586
880,66;41,36843;0,029718
882,56;41,71685;0,029845
884,29;42,03436;0,029977
886,07;42,3549;0,030108
887,95;42,68861;0,030237
889,59;42,9821;0,030372
