index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py
142,407463.0,BAW680,43.0740966796875,24.04575081758721,232.014444244,10142.22,-0.4984529020051274,34610D,231.82706,55.85301,-8.776255,180.1804475852831,62368.954476124185,0.3141079873216784,0.42843170616680465,25.70590237000828,32213.089569077525,-26.07793835670477,2023-11-06 02:22:00,3.109762996883446e-05,0.2586533882047676,0.11711108675901084,0.21421585308340232,0.4921536614287006,0.010695130672530235,0.0006192333962916719,0.000123562357197665,2.1858834600559957e-05,1390468500737901.5,81.20494558685614,31.798201231700244,0.030847082844009933,0.0006295323029389782,0.0005141180474001655,0.2749279849025432,0.015917953229322362,0.003176281890731266,0.0005619010681641532,3.574324752854028e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,8.45113349793023,1.2674072144671986,0.5903136386388821,16.106544784538762,10.695130672530237,21.85883460055996,1390468500737901.5
143,407463.0,BAW680,43.01513671875,24.19777093931686,234.07222202,10134.6,-0.4941213232339191,34610D,231.8394,55.471355,-8.95137,180.69161594238966,62343.24857375417,0.315403922568064,0.45587844416377393,27.352706649826438,34320.81592021594,26.075174958126475,2023-11-06 02:23:00,3.155484752928009e-05,0.25895653167566024,0.11880409790189068,0.22793922208188697,0.5233807726967032,0.010998364329050237,0.0006186027477229615,0.00012460383546488015,2.3593133726633553e-05,1472327861676969.5,86.40720030680171,33.83529812583531,0.03282324797979172,0.0006698622036692189,0.0005470541329965287,0.3008350331204263,0.016920459491242754,0.0034082521589141068,0.000645336065774734,4.027215209281638e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,8.412369755283596,1.2615900122475514,0.5919726029665527,17.160407960107968,10.998364329050238,23.593133726633553,1472327861676969.5
144,407463.0,BAW680,42.95584468518273,24.349822998046875,237.158888684,10142.22,-0.4897656574872091,34610D,231.7779,54.95383,-9.079277,182.41915343871594,62315.89586710435,0.3161911413908781,0.45261415038526254,27.156849023115754,33836.6101745962,26.073196539551024,2023-11-06 02:24:00,3.183056607034645e-05,0.2586533882047676,0.12054789396589954,0.22630707519263127,0.52042803963096,0.010968818639729948,0.0006188002369088589,0.00012453576717198162,2.3341714226177515e-05,1460460797151863.0,85.78848606402266,33.59302224159419,0.0325882188277389,0.0006650656903620184,0.000543136980462315,0.29787855176108413,0.016804664609202144,0.0033819990270674,0.000633887409181016,3.9661513372432424e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,8.226060433381024,1.2336472248470303,0.5977115732529924,16.9183050872981,10.968818639729948,23.341714226177515,1460460797151863.0
145,407463.0,BAW680,42.89546643273305,24.503893171037944,237.158888684,10149.84,-0.4853649395286569,34610D,231.70091,54.375107,-9.173012,183.79181138850151,62288.739018081236,0.3161757712780095,0.437042017913833,26.22252107482998,32426.873660334077,-26.06728051832988,2023-11-06 02:25:00,3.2205219480413526e-05,0.2583505321500915,0.12290277107928999,0.2185210089569165,0.5030318198293667,0.010803021621360723,0.0006188612518930917,0.00012390185719983468,2.2301487581006954e-05,1411361834276736.0,82.8369440753879,32.43725856956469,0.031467025289795975,0.000642184189587673,0.0005244504214965995,0.2832824621379755,0.016228102220162265,0.00324901906163324,0.0005848012280930139,3.700946544353241e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,8.274437702917217,1.240899175355283,0.6023091782447484,16.213436830167037,10.803021621360722,22.301487581006953,1411361834276736.0
146,407463.0,BAW680,42.83537292480469,24.65645013853561,234.586666464,10142.22,-0.4809565056040633,34610D,231.67274,53.724087,-9.1763115,184.73801060273644,62262.5164970064,0.31674247249060195,0.44051209018569837,26.430725411141903,32575.217985750747,0.0,2023-11-06 02:26:00,3.2760064261275464e-05,0.2586533882047676,0.1255715407936726,0.22025604509284918,0.5065820484265047,0.010845523435226594,0.0006178741889784909,0.00012383742039948705,2.245377255383045e-05,1418549723821590.2,83.49466157379727,32.69480733358254,0.03171687049337028,0.000647283071293271,0.000528614508222838,0.2866550518565786,0.016330863027522492,0.003273112854202985,0.0005934694968145271,3.749329823237963e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,8.219175360972121,1.232607043432818,0.6054468084451639,16.287608992875374,10.845523435226593,22.45377255383045,1418549723821590.2
147,407463.0,BAW680,42.77618408203125,24.80625499378551,235.101110908,10142.22,-0.4765539873055844,34610D,231.57713,53.087173,-9.144464,185.4675263242288,62236.08577159526,0.3167739565191667,0.43561649431693616,26.13698965901617,32089.678291887216,26.04453662711175,2023-11-06 02:27:00,3.326589547144159e-05,0.2586533882047676,0.1289159914576384,0.21780824715846808,0.5004725440192975,0.010794193987825114,0.0006170330631347891,0.00012343946512684175,2.209500129143876e-05,1401615628762004.8,82.56675033283207,32.331456208203,0.0313643875908194,0.0006400895426697837,0.0005227397931803233,0.28212773663719953,0.016127386790425052,0.00322633602353475,0.0005774968202702837,3.663401319486797e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,8.016021765537095,1.202136604688415,0.6079631735402395,16.04483914594361,10.794193987825114,22.095001291438756,1401615628762005.0
148,407463.0,BAW680,42.71507263183594,24.959938742897727,237.673333128,10149.84,-0.4720866465267523,34610D,231.39221,52.493206,-9.077187,185.35723817826556,62209.94878193625,0.3155726340602496,0.4192001262965791,25.152007577794745,30781.561560995724,26.027865767019094,2023-11-06 02:28:00,3.38770230842623e-05,0.2583505321500915,0.13394406254384858,0.20960006314828955,0.480701365282418,0.010609262115542611,0.000616144585946257,0.00012250391078104958,2.103568848814016e-05,1351615794356901.0,79.45519193825359,31.1130333737321,0.03018240909335369,0.0006159675325174222,0.0005030401515558948,0.2668442411249385,0.015497273294737463,0.0030812192922744504,0.000529089796257831,3.3995850701931836e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,7.674863813915082,1.1509695705486696,0.6078443892179983,15.390780780497861,10.609262115542613,21.035688488140163,1351615794356901.0
149,407463.0,BAW680,42.6536275572696,25.11340473973474,238.702222016,10157.46,-0.4675983633285722,34610D,231.17769,52.099304,-9.074939,183.9952192050413,62184.79677435845,0.31248208905389835,0.3932106297035234,23.592637782211405,28802.04326237154,-52.014415287640546,2023-11-06 02:29:00,3.46803434173325e-05,0.2580479633031101,0.14038039389627482,0.1966053148517617,0.4493831411544736,0.010304449958547653,0.0006149961076306459,0.0001210216507942603,1.9373068372787303e-05,1273139700999607.0,74.52914275400582,29.18409293659551,0.028311165338653684,0.00057777888446232,0.00047185275564422805,0.2431091554169381,0.014509380404799727,0.0028552199709942602,0.00045706178484918654,3.003672381183666e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,7.467490689068148,1.1198646282186595,0.6036577919120144,14.401021631185769,10.304449958547652,19.373068372787305,1273139700999607.0
150,407463.0,BAW680,42.592551021252646,25.26510549146076,233.557777576,10142.22,-0.463106189902963,34610D,231.0766,51.85448,-9.146793,181.94379324816362,62161.20413657624,0.30968586014379335,0.3774652124702369,22.647912748214214,27710.255018789812,-51.97051973847789,2023-11-06 02:30:00,3.5905537597118124e-05,0.2586533882047676,0.1473864931195137,0.18873260623511845,0.42898348627060645,0.010112115326627482,0.0006126429127854305,0.0001197046792555549,1.8322678427341112e-05,1223561027760167.8,71.5447563716087,28.015468069540987,0.027177495297857054,0.0005546427611807562,0.0004529582549642842,0.22901830561733888,0.01387508323457624,0.0027110611313327752,0.0004149704223360083,2.7711103398827588e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,4.281906046086197,0.6421321627744045,0.5970579616440431,13.855127509394906,10.112115326627482,18.32267842734111,1223561027760167.8
151,407463.0,BAW680,42.53169250488281,25.41574651544744,236.64444424,10126.98,-0.4586027406895073,34610D,230.9935,51.691372,-9.294616,178.7758736911299,62138.556223828025,0.24721631250822854,0.17529291317118945,10.517574790271366,10454.710991634247,-985.8025933535448,2023-11-06 02:31:00,3.697924915184395e-05,0.2592599627713964,0.1536137940048367,0.08764645658559472,0.1979972134484021,0.006430588076937958,0.018206454484157763,0.00026031332245428736,3.3813102132542588e-06,518324638505045.3,33.22501876246724,13.010240015565682,0.012621089748325638,0.000257573260169911,0.00021035149580542732,0.06763419104462229,0.19148774670280075,0.002737864837816994,3.5563183057010087e-05,5451518151117184.0,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,4.492372916218666,0.673689812855448,0.5867677474200206,5.2273554958171236,6.4305880769379575,3.3813102132542583,518324638505045.3
