index;fuel_flow_piano;ei_nox_piano
36;0,294444444;12,02
37;0,293888889;12,01
38;0,291805556;11,97
39;0,289861111;11,93
40;0,295555556;12,04
41;0,295416667;12,04
42;0,295277778;12,04
43;0,287638889;11,9
44;0,282083333;11,8
45;0,283472222;11,83
46;0,284027778;11,84
47;0,273611111;11,67
48;0,280833333;11,79
49;0,282916667;11,82
50;0,284305556;11,85
53;0,287083333;11,89
54;0,297083333;12,08
55;0,283611111;11,84
56;0,280555556;11,79
57;0,284861111;11,86
58;0,295138889;12,04
59;0,297638889;12,09
60;0,29375;12,02
61;0,285972222;11,88
62;0,28125;11,8
63;0,279722222;11,78
64;0,278888889;11,77
65;0,2775;11,75
66;0,276111111;11,73
67;0,275416667;11,72
68;0,275277778;11,72
69;0,275833333;11,73
70;0,27625;11,74
71;0,278055556;11,76
72;0,28;11,8
73;0,280694444;11,81
74;0,282083333;11,84
75;0,283472222;11,86
76;0,284166667;11,87
77;0,284027778;11,87
78;0,281666667;11,83
79;0,279305556;11,8
80;0,278472222;11,78
81;0,287916667;11,94
82;0,285138889;11,9
83;0,281805556;11,84
84;0,278888889;11,8
85;0,278055556;11,79
86;0,275833333;11,75
87;0,275833333;11,76
88;0,275833333;11,76
89;0,276388889;11,77
90;0,275555556;11,76
91;0,27125;11,7
92;0,272361111;11,72
93;0,272916667;11,73
94;0,275972222;11,78
95;0,276388889;11,79
96;0,276388889;11,79
97;0,277638889;11,81
98;0,281111111;11,87
99;0,282638889;11,89
100;0,279583333;11,85
101;0,274166667;11,77
102;0,274583333;11,77
103;0,275833333;11,79
104;0,275277778;11,8
105;0,273888889;11,78
106;0,2725;11,75
107;0,2725;11,76
108;0,2725;11,76
109;0,268472222;11,7
110;0,272361111;11,76
111;0,273333333;11,87
112;0,278333333;12,03
