TT3;PT3;FAR;FGR
[K];[bar];[-];[kN]
335,08;1,53621;0,012940;0,868
335,08;1,53621;0,012802;0,868
335,08;1,53621;0,012664;0,868
335,89;1,54749;0,012507;0,895
335,89;1,54749;0,012370;0,895
335,89;1,54749;0,012232;0,895
336,65;1,55809;0,012077;0,916
336,65;1,55809;0,011941;0,916
415,64;2,9076;0,011114;5,739
419,07;2,98256;0,011168;6,006
420,41;3,01376;0,011273;6,131
421,72;3,04459;0,011380;6,246
422,15;3,05607;0,011508;6,309
423,01;3,07737;0,011625;6,397
424,75;3,12025;0,011861;6,593
424,75;3,12025;0,011721;6,593
430,99;3,27041;0,011986;7,13
430,99;3,27041;0,011847;7,13
465,19;4,16748;0,011282;9,417
476,74;4,50647;0,011135;10,272
483,99;4,7284;0,011095;10,879
492,39;4,99804;0,011026;11,543
504,29;5,39407;0,011010;12,704
504,29;5,39407;0,010869;12,706
513,66;5,72448;0,010916;13,712
517,35;5,86148;0,010964;14,137
521,48;6,02851;0,011002;14,786
523,08;6,09469;0,011103;15,052
526,48;6,23744;0,011159;15,583
529,67;6,37331;0,011220;16,11
533,61;6,54511;0,011263;16,772
535,73;6,63915;0,011352;17,168
539,65;6,81694;0,011395;17,805
544,29;7,03235;0,011420;18,622
550,38;7,32641;0,011409;19,713
552,42;7,42531;0,011500;20,146
554,72;7,53756;0,011585;20,63
557,92;7,6941;0,011647;21,301
560,48;7,8205;0,011725;21,859
563,09;7,95078;0,011803;22,435
565,72;8,08404;0,011880;23,027
568,95;8,25151;0,011942;23,751
571,13;8,36564;0,012030;24,246
573,72;8,50433;0,012109;24,862
576,45;8,65414;0,012184;25,544
579,4;8,81953;0,012253;26,283
582,29;8,98411;0,012325;27,042
585,33;9,16102;0,012392;27,856
588,51;9,34642;0,012456;28,738
590,63;9,47301;0,012548;29,322
593,43;9,64195;0,012622;30,109
596,32;9,82002;0,012694;30,939
599,1;9,99272;0,012768;31,76
601,97;10,16705;0,012841;32,569
604,92;10,34949;0,012912;33,417
607,79;10,52914;0,012985;34,262
611,04;10,73686;0,013048;35,249
613,15;10,87379;0,013141;35,924
615,28;11,01375;0,013233;36,618
617,44;11,15697;0,013326;37,33
619,53;11,29746;0,013419;38,035
621,25;11,41533;0,013523;38,646
622,89;11,5286;0,013629;39,231
624,54;11,64347;0,013735;39,825
626,19;11,75999;0,013841;40,429
627,86;11,87839;0,013947;41,044
629,68;12,00976;0,014048;41,715
630,76;12,08733;0,014170;42,132
633,05;12,25532;0,014260;42,994
634,82;12,38411;0,014364;43,662
636,17;12,48339;0,014479;44,174
638,47;12,6534;0,014569;45,043
640,27;12,78405;0,014673;45,72
642,09;12,91548;0,014776;46,405
643,91;13,04904;0,014879;47,102
645,75;13,18479;0,014982;47,812
647,61;13,32281;0,015085;48,535
649,45;13,4609;0,015189;49,26
650,99;13,57673;0,015300;49,907
652,65;13,70733;0,015409;50,501
654,4;13,84189;0,015515;51,226
656,15;13,97841;0,015622;51,962
657,91;14,11692;0,015728;52,71
659,68;14,2575;0,015834;53,469
661,45;14,39947;0,015941;54,242
663,13;14,53746;0,016050;55,001
664,82;14,67731;0,016159;55,772
666,51;14,81905;0,016268;56,555
668,22;14,96274;0,016377;57,349
669,93;15,1084;0,016486;58,156
671,65;15,25609;0,016595;58,975
673,38;15,40586;0,016704;59,807
675,12;15,55769;0,016813;60,651
676,84;15,7095;0,016922;61,492
678,66;15,869;0,017029;62,326
680,86;16,05608;0,017126;63,259
683,01;16,24115;0,017225;64,18
685,29;16,43718;0,017320;65,149
687,56;16,62097;0,017416;66,052
689,75;16,8007;0,017514;66,949
691,85;16,97447;0,017614;67,829
693,96;17,15184;0,017715;68,728
696,09;17,33225;0,017815;69,642
698,24;17,51579;0,017915;70,572
700,4;17,70257;0,018014;71,518
702,57;17,89267;0,018114;72,481
704,76;18,08619;0,018213;73,462
706,96;18,28325;0,018312;74,459
709,18;18,48379;0,018411;75,475
711,57;18,7033;0,018505;76,555
714,16;18,94364;0,018594;77,712
716,79;19,18999;0,018682;78,896
719,22;19,42103;0,018776;79,999
721,64;19,65392;0,018870;81,102
724,07;19,89189;0,018964;82,225
726,53;20,13496;0,019057;83,367
728,87;20,3692;0,019153;84,487
731,21;20,60612;0,019250;85,617
733,56;20,84821;0,019347;86,769
735,81;21,08245;0,019447;87,901
737,95;21,30721;0,019550;89,008
740,1;21,53677;0,019652;90,141
742,27;21,77072;0,019754;91,294
744,45;22,00924;0,019857;92,469
746,64;22,25065;0,019959;93,66
748,81;22,49145;0,020062;94,851
750,99;22,73655;0,020164;96,063
753,19;22,98634;0,020267;97,295
755,42;23,24225;0,020368;98,548
757,65;23,50257;0,020470;99,82
759,9;23,76738;0,020572;101,114
762,14;24,03533;0,020673;102,422
764,35;24,30223;0,020776;103,727
766,48;24,56125;0,020880;105,001
768,44;24,79878;0,021015;106,179
770,4;25,0362;0,021126;107,356
772,44;25,28722;0,021234;108,581
774,49;25,5447;0,021342;109,835
776,56;25,80573;0,021451;111,104
778,78;26,08814;0,021555;112,437
780,84;26,35765;0,021664;113,754
782,81;26,61832;0,021775;115,041
785,06;26,91384;0,021879;116,436
787,14;27,19573;0,021988;117,804
789,14;27,46962;0,022099;119,145
791,32;27,77143;0,022206;120,572
793,55;28,05552;0,022311;121,927
795,78;28,34261;0,022416;123,294
797,99;28,63065;0,022522;124,666
800,18;28,91451;0,022629;126,024
802,38;29,20269;0,022736;127,39
804,58;29,49361;0,022843;128,759
806,77;29,78598;0,022950;130,132
808,95;30,07966;0,023058;131,509
811,12;30,37452;0,023166;132,888
813,19;30,6481;0,023278;134,148
815,01;30,86219;0,023396;135,168
816,83;31,07748;0,023515;136,193
818,64;31,29139;0,023634;137,249
