TT3;PT3;FAR
[K];[bar];[-]
426,84;3,16939;1,18E-02
431,25;3,27656;1,20E-02
431,25;3,27656;1,18E-02
465,72;4,18282;1,13E-02
476,67;4,50402;1,11E-02
490,38;4,93196;1,09E-02
497,47;5,16311;1,09E-02
502,44;5,33002;1,09E-02
508,22;5,52998;1,09E-02
514,49;5,75433;1,09E-02
518,32;5,90021;1,09E-02
520,81;6,0009;1,10E-02
523,43;6,10907;1,11E-02
526,44;6,23558;1,12E-02
529,32;6,35824;1,12E-02
532,42;6,49284;1,13E-02
538,09;6,74586;1,13E-02
542,08;6,93009;1,13E-02
546,72;7,14908;1,14E-02
550,13;7,31446;1,14E-02
552,87;7,44671;1,15E-02
555,06;7,55457;1,16E-02
557,92;7,69423;1,16E-02
560,32;7,81281;1,17E-02
562,92;7,94228;1,18E-02
565,58;8,07698;1,19E-02
568,91;8,2495;1,19E-02
571,09;8,36376;1,20E-02
573,69;8,50257;1,21E-02
576,42;8,65248;1,22E-02
579,37;8,81796;1,23E-02
582,26;8,98269;1,23E-02
585,31;9,15976;1,24E-02
588,49;9,34539;1,25E-02
590,62;9,47208;1,25E-02
593,41;9,64115;1,26E-02
596,31;9,81938;1,27E-02
599,09;9,99228;1,28E-02
601,96;10,16671;1,28E-02
604,92;10,34929;1,29E-02
607,79;10,52906;1,30E-02
611,04;10,73686;1,30E-02
613,15;10,87379;1,31E-02
615,28;11,01375;1,32E-02
617,44;11,15697;1,33E-02
619,53;11,29746;1,34E-02
621,25;11,41533;1,35E-02
622,89;11,5286;1,36E-02
624,54;11,64347;1,37E-02
626,19;11,75999;1,38E-02
627,86;11,87839;1,39E-02
629,68;12,00976;1,40E-02
630,76;12,08733;1,42E-02
633,05;12,25532;1,43E-02
634,82;12,38411;1,44E-02
636,17;12,48339;1,45E-02
638,47;12,6534;1,46E-02
640,27;12,78405;1,47E-02
642,09;12,91548;1,48E-02
643,91;13,04904;1,49E-02
645,75;13,18479;1,50E-02
647,61;13,32281;1,51E-02
649,45;13,4609;1,52E-02
650,99;13,57673;1,53E-02
652,65;13,70733;1,54E-02
654,4;13,84189;1,55E-02
656,15;13,97841;1,56E-02
657,91;14,11692;1,57E-02
659,68;14,2575;1,58E-02
661,45;14,39947;1,59E-02
663,13;14,53746;1,61E-02
664,82;14,67731;1,62E-02
666,51;14,81905;1,63E-02
668,22;14,96274;1,64E-02
669,93;15,1084;1,65E-02
671,65;15,25609;1,66E-02
673,38;15,40586;1,67E-02
675,12;15,55769;1,68E-02
676,84;15,7095;1,69E-02
678,66;15,869;1,70E-02
680,86;16,05608;1,71E-02
683,01;16,24115;1,72E-02
685,29;16,43718;1,73E-02
687,56;16,62097;1,74E-02
689,75;16,8007;1,75E-02
691,85;16,97447;1,76E-02
693,96;17,15184;1,77E-02
696,09;17,33225;1,78E-02
698,24;17,51579;1,79E-02
700,4;17,70257;1,80E-02
702,57;17,89267;1,81E-02
704,76;18,08619;1,82E-02
706,96;18,28325;1,83E-02
709,18;18,48379;1,84E-02
711,57;18,7033;1,85E-02
714,16;18,94364;1,86E-02
716,79;19,18999;1,87E-02
719,22;19,42103;1,88E-02
721,64;19,65392;1,89E-02
724,07;19,89189;1,90E-02
726,53;20,13496;1,91E-02
728,87;20,3692;1,92E-02
731,21;20,60612;1,93E-02
733,56;20,84821;1,93E-02
735,81;21,08245;1,94E-02
737,95;21,30721;1,96E-02
740,1;21,53677;1,97E-02
742,27;21,77072;1,98E-02
744,45;22,00924;1,99E-02
746,64;22,25065;2,00E-02
748,81;22,49145;2,01E-02
750,99;22,73655;2,02E-02
753,19;22,98634;2,03E-02
755,42;23,24225;2,04E-02
757,65;23,50257;2,05E-02
759,9;23,76738;2,06E-02
762,14;24,03533;2,07E-02
764,35;24,30223;2,08E-02
766,48;24,56125;2,09E-02
768,44;24,79878;2,10E-02
770,4;25,0362;2,11E-02
772,44;25,28722;2,12E-02
774,49;25,5447;2,13E-02
776,56;25,80573;2,15E-02
778,78;26,08814;2,16E-02
780,84;26,35765;2,17E-02
782,81;26,61832;2,18E-02
785,06;26,91384;2,19E-02
787,14;27,19573;2,20E-02
789,14;27,46962;2,21E-02
791,32;27,77143;2,22E-02
793,55;28,05552;2,23E-02
795,78;28,34261;2,24E-02
797,99;28,63065;2,25E-02
800,18;28,91451;2,26E-02
802,38;29,20269;2,27E-02
804,58;29,49361;2,28E-02
806,77;29,78598;2,30E-02
808,95;30,07966;2,31E-02
811,12;30,37452;2,32E-02
813,19;30,6481;2,33E-02
815,01;30,86219;2,34E-02
816,83;31,07748;2,35E-02
818,64;31,29139;2,36E-02
820,6;31,53472;2,37E-02
822,43;31,75596;2,39E-02
824,27;31,9789;2,40E-02
826,11;32,20357;2,41E-02
827,95;32,43002;2,42E-02
829,8;32,65828;2,43E-02
831,65;32,88841;2,45E-02
833,5;33,12044;2,46E-02
835,35;33,35442;2,47E-02
837,2;33,5904;2,48E-02
839,06;33,82844;2,49E-02
840,92;34,06857;2,51E-02
842,79;34,31087;2,52E-02
844,66;34,55549;2,53E-02
