,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
130,132,,,63.81000868655861,-6.559327801194601,218.21797960945452,9800.706505902192,0.1235571928972268,34610D,215.24133,-17.316862,-3.1715086,195.2095785721847,63362.747813751135,0.3225021123707409,0.4427107537000089,26.562645222000533,31545.03177648181,-9.943718049966895,2023-11-06 10:12:00,3.373075814804247e-05,0.2725250507241505,1.0334246695307912,0.2213553768500044,0.3708023609915223,0.0109408058839009,0.0004595423285509,8.781011032822453e-05,1.9164161386990897e-05,1263279238005707.5,83.91139625629968,32.857992139614666,0.0318751742664006,0.0006505137605387,0.00053125290444,0.2906167451368363,0.0122066598377904,0.0023324688075533,0.0005090508198998,3.355603821546478e+16,cruise,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6637361933019181,15.772515888240903,10.940805883900929,19.16416138699089,1263279238005707.5,,,,,,,,,,,,,,,6.165701808686069,503993499447821.8
131,133,,,63.81344411610487,-6.8188739672398695,218.10885503042425,9797.545426644185,0.1234664946106094,34610D,215.17525,-17.367476,-2.7768612,195.113415690076,63336.18516852913,0.3224295753868876,0.4423659341481404,26.541956048888427,31528.90391233596,-9.93978496232555,2023-11-06 10:13:00,3.3279637562332014e-05,0.2726562039020241,1.0290801171301154,0.2211829670740702,0.3698812961292151,0.0109369837025699,0.0004588516410031,8.764477518643466e-05,1.9133552001999856e-05,1261834467229758.8,83.84603915843853,32.83239963247499,0.0318503472586661,0.0006500070869115,0.0005308391209777,0.2902889407410212,0.0121788200884668,0.002326263770913,0.0005078418962962,3.34915549701848e+16,cruise,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6635110543552224,15.76445195616798,10.936983702569972,19.133552001999853,1261834467229758.8,,,,,,,,,,,,,,,6.16897834085761,504205730102822.9
132,134,,,63.81687954565113,-7.078420133285138,217.99973045139396,9794.384347386173,0.1233757941169971,34610D,215.11046,-17.42188,-2.4047873,195.0153097906006,63309.643212480245,0.3223494719267606,0.4419616956491253,26.51770173894752,31508.10942936453,-9.935925904691343,2023-11-06 10:14:00,3.284053697955658e-05,0.2727874081840744,1.0247691377513035,0.2209808478245626,0.3689201571225501,0.0109324938818155,0.0004581708925663,8.74799140387459e-05,1.9099907457441514e-05,1260246436148369.0,83.7694197933352,32.80239705107808,0.031821242086737,0.0006494131038109,0.0005303540347789,0.2899046120208544,0.0121496390745422,0.0023197662686282,0.0005064856491979,3.3418839111354016e+16,cruise,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6632773101001063,15.754054714682264,10.932493881815589,19.09990745744152,1260246436148369.0,,,,,,,,,,,,,,,6.172145475851605,504412160363463.5
133,135,,,63.8203149751974,-7.337966299330405,217.89060587236364,9791.223268128162,0.1232850914217297,34610D,215.04758,-17.484314,-2.054414,194.91086184630416,63283.125510741294,0.3222646184721894,0.4415370202831045,26.49222121698627,31486.41139878101,-9.932187376227963,2023-11-06 10:15:00,3.249061788623579e-05,0.272918663585534,1.0228480571124707,0.2207685101415522,0.3679541538803289,0.0109277298711015,0.0004575045454335,8.731765153986696e-05,1.906563323706497e-05,1258628684207814.0,83.68892682445961,32.77087764541202,0.0317906654603835,0.0006487890910282,0.0005298444243397,0.2894998371446921,0.0121203116254027,0.0023132385407418,0.0005050909733582,3.334386953207776e+16,cruise,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6630189622780455,15.743205699390506,10.927729871101588,19.06563323706497,1258628684207814.0,,,,,,,,,,,,,,,6.174996540396191,504601824368204.8
134,136,,,63.82375040474366,-7.597512465375673,217.78148129333331,9788.062188870152,0.1231943865301457,34610D,214.98793,-17.555485,-1.7275693,194.79932660982905,63256.63328952431,0.3221778062936007,0.441121748703617,26.46730492221702,31466.33031885839,-9.928633478418032,2023-11-06 10:16:00,3.210721831430956e-05,0.2730499701216383,1.01931582763062,0.2205608743518085,0.3670162137258441,0.0109230446256161,0.0004568617062475,8.716091777745412e-05,1.9032482853417257e-05,1257063977647400.5,83.61021624928357,32.74005618878246,0.0317607659066604,0.0006481788960542,0.0005293460984443,0.2891035527851662,0.0120918980865394,0.0023069145881161,0.0005037385271082,3.327109560312875e+16,cruise,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6627315415025723,15.733165159429197,10.923044625616138,19.03248285341726,1257063977647400.5,,,,,,,,,,,,,,,6.17747377756133,504771657819319.1
135,137,,,63.82718583428993,-7.85705863142094,217.67235671430305,9784.90110961214,0.1231036794475849,34610D,214.93306,-17.633677,-1.4255592,194.68235669275717,63230.16598460209,0.3220879621582266,0.4407053930435657,26.44232358261394,31446.74666688256,-9.925308557380829,2023-11-06 10:17:00,3.179348560034625e-05,0.2731813278076266,1.0172390350142482,0.2203526965217828,0.3661078502426379,0.0109183086019442,0.000456253216813,8.701183244407069e-05,1.899990347727405e-05,1255526222786787.5,83.53130019747744,32.70915427169345,0.0317307882991367,0.0006475671081456,0.0005288464716522,0.2887054490274472,0.0120643951945801,0.0023007950290023,0.0005024015957845,3.319903064938528e+16,cruise,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6624181201308633,15.72337333344128,10.918308601944256,18.999903477274053,1255526222786787.5,,,,,,,,,,,,,,,6.179616910271857,504923768594089.75
136,138,,,63.83062126383619,-8.11660479746621,217.56323213527276,9781.74003035413,0.123012970179386,34610D,214.8833,-17.71818,-1.1472034,194.5604986443217,63203.72366101948,0.3219912205203254,0.4402526414995535,26.415158489973216,31424.674519088367,-9.922200571284868,2023-11-06 10:18:00,3.155423252072555e-05,0.273312736658741,1.0167814539437594,0.2201263207497767,0.3652015862158131,0.0109131317554388,0.0004556810651986,8.686976954313647e-05,1.896591948636327e-05,1253922169751015.0,83.44548566982539,32.67555105209687,0.0316981901879678,0.0006469018405707,0.0005283031697994,0.2882721049418777,0.0120368875581011,0.0022946787304693,0.0005009877691403,3.312255284806416e+16,cruise,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6620801460936231,15.712337259544183,10.913131755438886,18.96591948636327,1253922169751015.0,,,,,,,,,,,,,,,6.181444740743315,505059154454927.5
137,139,,,63.83405669338246,-8.376150963511474,217.45410755624243,9778.578951096122,0.1229222587308886,34610D,214.83778,-17.811117,-0.8904552,194.43145024316328,63177.30850252951,0.3218867217957066,0.4397602880292973,26.38561728175784,31400.170981056817,-9.919262253593558,2023-11-06 10:19:00,3.117884564919127e-05,0.2734441966902261,1.0112780140177566,0.2198801440146486,0.3642888211100309,0.0109075127464665,0.0004551393366981,8.673328089641112e-05,1.893042870434549e-05,1252246995790811.0,83.352164993073,32.63900857753445,0.0316627407381094,0.0006461783824103,0.0005277123456351,0.2878014568241607,0.0120091323479901,0.0022885111553239,0.0004994910467724,3.304130997316736e+16,cruise,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6617110247647888,15.700085490528409,10.907512746466512,18.93042870434549,1252246995790811.0,,,,,,,,,,,,,,,6.1828722954942,505173306870928.6
138,140,,,63.83749212292872,-8.635697129556743,217.3449829772121,9775.417871838112,0.1228315451074402,34610D,214.79532,-17.914515,-0.6530474,194.2930159005225,63150.92288524775,0.3217769214353649,0.4392530313765935,26.355181882595613,31375.591945033982,-9.916482989954824,2023-11-06 10:20:00,3.08550748969886e-05,0.2735757079173312,1.0069377954308494,0.2196265156882967,0.3633816435047219,0.0109016743424597,0.0004546195917731,8.660119225257678e-05,1.8894801793971683e-05,1250565396537494.5,83.25601956711954,32.601359988770774,0.0316262182591147,0.0006454330256962,0.0005271036376519,0.2873156101203529,0.0119815820285726,0.0022823901730662,0.0004979759379157,3.295887848182597e+16,cruise,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6613052763240423,15.687795972516993,10.90167434245976,18.89480179397168,1250565396537494.5,,,,,,,,,,,,,,,6.183829152242889,505262489318956.56
139,141,,,63.84092755247499,-8.895243295602011,217.23585839818185,9772.2567925801,0.1227408293143624,34610D,214.75671,-18.028204,-0.43483123,194.1452876603996,63124.56770336515,0.3216640983601541,0.4387525191531332,26.325151149187995,31352.69073074192,-9.913904299475057,2023-11-06 10:21:00,3.07311555441236e-05,0.273707270355307,1.0085497316213266,0.2193762595765666,0.3625028648284723,0.0108958274664386,0.0004541271900302,8.647535250876719e-05,1.8860263864476315e-05,1248935197459293.5,83.16115248028487,32.564211971545554,0.0315901813790255,0.0006446975791637,0.0005265030229837,0.2868343049494704,0.0119549669185035,0.0022764767254726,0.0004964992969459,3.2878407848656856e+16,cruise,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6608618386755046,15.676345365370958,10.895827466438606,18.86026386447632,1248935197459293.5,,,,,,,,,,,,,,,6.18430208662821,505326000034105.25
