Unnamed: 0.1,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
138,138,139,a35da8,FFT4000,35.240137132547666,-101.72048365816158,242.817777568,11292.84,0.539649204431539,34610D,218.94244,21.097319,-9.0885515,219.9327537387861,63169.65525850384,0.4180297407597609,0.407094560749854,30.259191083993425,33.4617361172118,0.0,4.978024710695656e-05,21610.377722110978,0.746251943984579,0.2521599256999452,0.5808902425274064,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.400475035696187,1.2596530776313355,0.7414504972230461,16.730458505673447,11.54336249732162,29.89147508815921,1546013772461462.0,12.5698237635214,776.545590707361,1324.33417063811,0.0049780247107,0.0239181838363491,0.203547280374927,16.7308680586059,8.51014783428461,8.50972421811022,14.807491541547911,0.5985209401441884,352949924510559.8,4.646428976505304,399289042561915.7,0.0010725656738822,4.703639158487473e-06,3.0968000000000004,35.8,2023-11-06 20:19:00,4.978024710695656e-05,0.7462532839072485,0.0,138,216.10377722110985,4.978024710695656e-05,21.097319,-9.0885515,0.7462532839072485,0.0,0.0,0.34385461132532,748.2013845361879,14912.550390506234,-0.4311545177259858,0.9022781067079444,1.7519080804767184,231.89000263587556,0.437794131231054,0.0,1.0,224.16382465890564,28.117254249628648,73.43867606967495,0.7406382360687433,219.22324,5.0919419215000304e-05,11256.120661965162,0.0,0.0031934975969218,0.005448099,146.8773521393499,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,14912.550390506234,0.0,4.8797323e-05,8.715485e-07,115388.11,0.70897824,-311.90048,0.0,0.0,1.0,-4.008819270331445e-13,1.9483894e-12,2.7811938000000003e-16,0.0,0.0,0.0,7.48e-16,2.114371590907744e-14,1.5475074263597733e-12,859.1116017131665,14.912550390506237,4.0541814834277494e-14,4.8797323e-05,8.715485e-07,115388.11,0.70897824,-311.90048,0.0,0.0,1.0,-4.008819270331445e-13,1.9483894e-12,2.7811938000000003e-16,0.0,0.0,0.0,7.48e-16,2.114371590907744e-14,1.5475074263597733e-12,859.1116017131665,14.912550390506237,0.0
139,139,140,a35da8,FFT4000,35.18222614870233,-101.57243728637695,251.048888672,11292.84,0.5378724500240739,34610D,218.95992,21.499067,-8.551024,220.95774565661512,63139.39606741984,0.4178346405508377,0.401149585004374,29.73252531945023,32.8048050088944,50.52569257505986,4.808166553863958e-05,21610.377722110978,0.7191760244342759,0.2477710443287519,0.5715345333678082,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.275498662563372,1.240926899625647,0.7448762771528439,16.4021568046805,11.45887196468297,28.948603019015348,1560179067386633.8,12.4200508622478,774.923234283762,1321.50418566528,0.00480816655386,0.0238048569897387,0.200574792502187,16.4024025044472,8.42579279466566,8.425387687992814,14.733233083951037,0.593120006840311,345054177517210.3,4.6853255186108,401358198583816.4,0.0010746414038396,4.570810658563612e-06,3.0968000000000004,35.8,2023-11-06 20:20:00,4.808166553863959e-05,0.7191758937012951,0.0,139,216.10377722110985,4.808166553863959e-05,21.499067,-8.551024,0.7191758937012951,0.0,0.0,0.3438271607370755,745.738248978334,15117.240765603452,-0.4537267670893692,0.8911408535280095,1.7513184003639632,231.88646412119647,0.4219808169825635,0.0,1.0,224.0795727111324,28.117254249628648,72.90085225785471,0.7155520180032127,219.23549,4.9273965753181006e-05,11256.389573871073,0.0,0.0032955684838188,0.0055399057,145.80170451570942,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,15117.240765603452,0.0,4.7481695e-05,9.2742687e-07,115389.016,0.6843114,-312.00516,0.0,0.0,1.0,-4.0083209045445293e-13,1.9481229e-12,2.8242667000000004e-16,0.0,0.0,0.0,7.48e-16,2.1145207802477056e-14,1.5472908569347517e-12,860.1754637221858,15.117240765603452,4.002147825910146e-14,4.7481695e-05,9.2742687e-07,115389.016,0.6843114,-312.00516,0.0,0.0,1.0,-4.0083209045445293e-13,1.9481229e-12,2.8242667000000004e-16,0.0,0.0,0.0,7.48e-16,2.1145207802477056e-14,1.5472908569347517e-12,860.1754637221858,15.117240765603452,0.0
140,140,141,a35da8,FFT4000,35.120452880859375,-101.42432387994262,253.621110892,11308.08,0.5361056773981046,34610D,218.89575,21.802792,-8.141451,220.6381751202455,63109.66354210039,0.4173257866926689,0.392498265552092,29.054627586006347,32.104669783398,-50.53964487652897,4.5735085503675255e-05,21558.50607808928,0.688076088197184,0.2421218965500529,0.5590630387166385,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.258888066156445,1.2384554889715955,0.743907946635666,16.052301164783803,11.33867744899268,27.95039079926897,1575175768374348.2,12.2186040720586,772.784812206189,1313.61336464079,0.00457350855037,0.0236471197629717,0.196249132776046,16.052334891699,8.29907129253629,8.298691751159483,14.928076225693223,0.585933983529522,334427261129922.3,4.659158330552629,399473528906206.3,0.001039884959213,4.393471372801288e-06,3.0968000000000004,35.8,2023-11-06 20:21:00,4.573508550367525e-05,0.6880757799914791,0.0,140,215.5850607808929,4.573508550367525e-05,21.802792,-8.141451,0.6880757799914791,0.0,0.0,0.3431024204676198,743.2889510313247,14626.714820619816,-0.4545021069727729,0.8907456622163872,1.7455853885387742,231.8520067292506,0.4034805016919806,0.0,1.0,223.95498519367413,28.117254249628648,72.82184259011294,0.6865228253980796,219.1664,4.697186809125726e-05,11271.669078704945,0.0,0.0034788882095213,0.0052930014,145.64368518022587,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,14626.714820619816,0.0,4.5511253e-05,9.933842e-07,115545.66,0.6549032,-312.67566,0.0,0.0,1.0,-4.001219435892026e-13,1.95259e-12,2.8751088e-16,0.0,0.0,0.0,7.479999999999999e-16,2.1217596661720257e-14,1.5524681379266389e-12,861.3102783716239,14.626714820619815,3.8018675666729034e-14,4.5511253e-05,9.933842e-07,115545.66,0.6549032,-312.67566,0.0,0.0,1.0,-4.001219435892026e-13,1.95259e-12,2.8751088e-16,0.0,0.0,0.0,7.479999999999999e-16,2.1217596661720257e-14,1.5524681379266389e-12,861.3102783716239,14.626714820619815,0.0
141,141,142,a35da8,FFT4000,35.06058515128443,-101.28118515014648,239.731110904,11292.84,0.5343095295050805,34610D,219.08083,21.970797,-7.641005,221.0519105987645,63080.60891451439,0.4157699046389366,0.392639739509232,28.94001675467777,31.9366185616472,0.0,4.440203170679789e-05,21610.377722110978,0.6539259394182225,0.2411668062889814,0.5574873412911782,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,7.991462654028804,1.1983645609261726,0.7449880083370685,15.96799001065996,11.322777307504657,27.65735885783344,1579578151273121.8,12.1750821509623,772.170705122834,1320.43918559809,0.00444020317068,0.0236865321127541,0.196319869754616,15.9683092808236,8.28824873223659,8.28788073349348,14.463680139904683,0.5838654242325065,334926192782162.7,4.686599548931953,401425966839977.6,0.0010973575960476,4.389271383632073e-06,3.0968000000000004,35.8,2023-11-06 20:22:00,4.440203170679789e-05,0.6539255843079008,0.0,141,216.10377722110985,4.440203170679789e-05,21.970797,-7.641005,0.6539255843079008,0.0,0.0,0.3436374036414651,740.7989237263588,14429.673056214377,-0.4541138432086734,0.890943666797317,1.745123502450623,231.849226273218,0.3841467709791564,0.0,1.0,223.85780545784883,28.117254249628648,72.66008332138098,0.6537941583348338,219.34721,4.5669851882259605e-05,11256.50995833931,0.0,0.003579638776151,0.005098748,145.32016664276196,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,14429.673056214377,0.0,4.4489785e-05,1.0292922e-06,115397.914,0.6238921,-313.84662,0.0,0.0,0.9999999999999998,-4.006981304424172e-13,1.9473776e-12,2.9027877000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,2.1145113067617013e-14,1.5466795611606793e-12,862.4100870578503,14.429673056214376,3.998471676940659e-14,4.4489785e-05,1.0292922e-06,115397.914,0.6238921,-313.84662,0.0,0.0,0.9999999999999998,-4.006981304424172e-13,1.9473776e-12,2.9027877000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,2.1145113067617013e-14,1.5466795611606793e-12,862.4100870578503,14.429673056214376,0.0
142,142,143,a35da8,FFT4000,35.00157553462659,-101.14004516601564,244.3611109,11292.84,0.5324789765242941,34610D,219.16516,21.965208,-7.2186594,220.61251505859244,63051.66889775971,0.4155923868143288,0.372578955015206,27.486615036616115,30.3523037071152,-25.29740658198903,4.25861114642254e-05,21610.377722110978,0.6204457442035435,0.2290551253051342,0.5300083365693983,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.184655021206373,1.2273497005499263,0.7433641121957731,15.176430184750624,11.06354463942336,25.6271890536358,1568335791727696.5,11.754702160353,767.893770410803,1295.43395043828,0.00425861114642,0.0232532674365533,0.186289477507603,15.1761518535576,8.01132477471801,8.010983618076715,15.325095090956747,0.5696426718391655,309571012942939.9,4.668116610237783,400442787276344.3,0.0009708390614436,3.986137833005347e-06,3.0968000000000004,35.8,2023-11-06 20:23:00,4.25861114642254e-05,0.6204457824656737,0.0,142,216.10377722110985,4.25861114642254e-05,21.965208,-7.2186594,0.6204457824656737,0.0,0.0,0.3435051794218443,738.2611933717417,14453.5059539514,-0.458668367491871,0.8886075222854812,1.744590676716286,231.84601796598383,0.3647785915399669,0.0,1.0,223.76223694909083,28.117254249628648,72.96885986871881,0.6214071624477574,219.42873,4.386075447753577e-05,11256.355570065642,0.0,0.0037157756964583,0.004622765,145.93771973743762,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,14453.5059539514,0.0,4.291474e-05,1.0624331e-06,115407.375,0.59385574,-315.96048,0.0,0.0,1.0000000000000004,-4.0061153170100324e-13,1.9470708e-12,2.928334e-16,0.0,0.0,0.0,7.48e-16,2.114480418799909e-14,1.5464592924806205e-12,863.4941316580374,14.4535059539514,3.3562577427150984e-14,4.291474e-05,1.0624331e-06,115407.375,0.59385574,-315.96048,0.0,0.0,1.0000000000000004,-4.0061153170100324e-13,1.9470708e-12,2.928334e-16,0.0,0.0,0.0,7.48e-16,2.114480418799909e-14,1.5464592924806205e-12,863.4941316580374,14.4535059539514,0.0
143,143,144,a35da8,FFT4000,34.94187694484904,-100.9991455078125,241.274444236,11285.22,0.5306220704186089,34610D,219.28947,21.878912,-6.7875915,219.0457591636932,63024.18228272309,0.4170760049101719,0.385285691575286,28.574934810742416,31.7248178842598,-25.310052395850008,4.1358432194100135e-05,21636.360328255767,0.5937654944443965,0.2381244567561868,0.5506232105217376,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.508820192811575,1.27597111745874,0.7378756652038627,15.863324397533342,11.250210766953575,27.19367496261599,1586544334006450.0,12.0928604098835,772.176855825435,1300.88991691002,0.00413584321941,0.0234911174865605,0.192642845787643,15.8624089421299,8.20066758841316,8.200328435685583,15.564136000116338,0.583886142269138,325066649882452.9,4.61365979062029,397792442343283.7,0.0009619830209216,4.260165210775782e-06,3.0968000000000004,35.8,2023-11-06 20:24:00,4.1358432194100135e-05,0.5937660409733299,0.0,143,216.36360328255773,4.1358432194100135e-05,21.878912,-6.7875915,0.5937660409733299,0.0,0.0,0.343723223774556,735.6869236516299,14557.008901506286,-0.4574315911791525,0.8892448140930082,1.7511319309350786,231.88534494781757,0.3495156888099462,0.0,1.0,223.72702859605045,28.117254249628648,73.74940804835138,0.5954712776502871,219.5532,4.264923573500843e-05,11248.345295975823,0.0,0.0037718523329567,0.004078446,147.49881609670277,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,14557.008901506286,0.0,4.1862637e-05,1.0750706e-06,115339.95,0.5701141,-318.0313,0.0,0.0,1.0000000000000002,-4.008495624292956e-13,1.9444576e-12,2.9380754000000003e-16,0.0,0.0,0.0,7.48e-16,2.1108710832350207e-14,1.5436079456196899e-12,864.5870109107796,14.557008901506286,3.4327212887803343e-14,4.1862637e-05,1.0750706e-06,115339.95,0.5701141,-318.0313,0.0,0.0,1.0000000000000002,-4.008495624292956e-13,1.9444576e-12,2.9380754000000003e-16,0.0,0.0,0.0,7.48e-16,2.1108710832350207e-14,1.5436079456196899e-12,864.5870109107796,14.557008901506286,0.0
144,144,145,a35da8,FFT4000,34.88191223144531,-100.85723876953124,240.759999792,11277.6,0.5287252059181649,34610D,219.38434,21.6997,-6.357413,218.8756134861086,62995.60734791235,0.4174169320584391,0.409497268084364,30.46475161721682,33.7722189024442,50.62116125068516,4.076738991472813e-05,21662.374173827782,0.5789228837821129,0.2538729301434735,0.587171441559488,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.483966963673316,1.2722491753617655,0.737143074432239,16.885820174740335,11.576543572381423,30.30628276280735,1539781884551206.0,12.625089364913,778.192510944719,1325.89246623619,0.00407673899147,0.023999065084564,0.204748634042182,16.8861094512221,8.5315254290416,8.531177635196515,14.917014082048674,0.6035784386244765,356446195365635.94,4.612918171182481,398000227573626.3,0.0010632544180336,4.776352604420116e-06,3.0968000000000004,35.8,2023-11-06 20:25:00,4.076738991472813e-05,0.5789225846610655,0.0,144,216.62374173827783,4.076738991472813e-05,21.6997,-6.357413,0.5789225846610655,0.0,0.0,0.343987671849454,733.0572513419803,14414.335909990554,-0.4595207272421267,0.8881670457942397,1.7542624520477363,231.90412009444952,0.3410932813704954,0.0,1.0,223.70540731234533,28.117254249628648,74.5007536614187,0.5809373611190212,219.64978,4.207064122850536e-05,11240.349623169292,0.0,0.003761518495377,0.0035571242,149.0015073228374,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,14414.335909990554,0.0,4.1347696e-05,1.0613976e-06,115274.09,0.5551749,-317.4153,0.0,0.0,1.0,-4.0108136370202563e-13,1.9420947e-12,2.9275357e-16,0.0,0.0,0.0,7.480000000000001e-16,2.1073927712278e-14,1.541013395590102e-12,865.6846579164727,14.414335909990552,4.025741355540623e-14,4.1347696e-05,1.0613976e-06,115274.09,0.5551749,-317.4153,0.0,0.0,1.0,-4.0108136370202563e-13,1.9420947e-12,2.9275357e-16,0.0,0.0,0.0,7.480000000000001e-16,2.1073927712278e-14,1.541013395590102e-12,865.6846579164727,14.414335909990552,0.0
145,145,146,a35da8,FFT4000,34.822265625,-100.71699492785392,243.846666456,11292.84,0.5267992706992987,34610D,219.29866,21.54425,-6.0219636,219.63647614899625,62965.14259629513,0.4183809273423933,0.407385327857058,30.333444142529736,33.558975652576,0.0,3.9609553587771225e-05,21610.377722110978,0.567308475057855,0.2527787011877478,0.5856463106082318,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.54073428583387,1.2807718482027068,0.739850033641036,16.7793125404456,11.55664907906759,30.129343710728,1542440138983072.0,12.5892870381722,778.105696502939,1322.64704389361,0.00396095535878,0.0239493167861108,0.203692663928529,16.779487826288,8.5051555227103,8.504818650640203,15.06332789560854,0.6033186663370829,353323153168713.44,4.628367235684948,398328110592196.7,0.0010440274474954,4.733187532588634e-06,3.0968000000000004,35.8,2023-11-06 20:26:00,3.960955358777123e-05,0.5673082766490726,0.0,145,216.10377722110985,3.960955358777123e-05,21.54425,-6.0219636,0.5673082766490726,0.0,0.0,0.3432960676039571,730.3872717361998,14634.407508529768,-0.4619034249361502,0.8869302261352097,1.752950519960193,231.89625546055208,0.3339714293572983,0.0,1.0,223.66550087437304,28.117254249628648,75.26582184308022,0.5698944183217921,219.56573,4.092688956026985e-05,11255.20708907846,0.0,0.003833065515497,0.002937397,150.53164368616044,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,14634.407508529768,0.0,4.0294515e-05,1.069939e-06,115437.32,0.542501,-316.35635,0.0,0.0,1.0,-4.003426439396214e-13,1.946883e-12,2.9341195e-16,0.0,0.0,0.0,7.479999999999999e-16,2.1146435046244568e-14,1.5465402377484514e-12,866.7764820118144,14.634407508529767,3.9466605482290594e-14,4.0294515e-05,1.069939e-06,115437.32,0.542501,-316.35635,0.0,0.0,1.0,-4.003426439396214e-13,1.946883e-12,2.9341195e-16,0.0,0.0,0.0,7.479999999999999e-16,2.1146435046244568e-14,1.5465402377484514e-12,866.7764820118144,14.634407508529767,0.0
146,146,147,a35da8,FFT4000,34.76139391882945,-100.57491302490234,241.274444236,11292.84,0.5248393794479076,34610D,219.29411,21.432604,-5.682199,220.8652924025368,62934.8091521526,0.4175461648046675,0.413018918791342,30.646171994196543,33.7662530896278,0.0,3.941206702986708e-05,21610.377722110978,0.5648074103643097,0.2553847666183045,0.5923660167592524,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,8.231848990417424,1.2344529143784235,0.7439969749457859,16.88312185462355,11.616087149788944,30.548281317596345,1536146204789089.2,12.6605099497711,778.664218296131,1335.591079195,0.00394120670299,0.0241003735982884,0.206509459395671,16.8831265448139,8.56872440393774,8.56838670610654,14.411004714920352,0.604989914585669,361150335670591.7,4.675311140012534,400825501196330.8,0.0011324295290666,4.846674202411287e-06,3.0968000000000004,35.8,2023-11-06 20:27:00,3.941206702986709e-05,0.5648082283960764,0.0,146,216.10377722110985,3.941206702986709e-05,21.432604,-5.682199,0.5648082283960764,0.0,0.0,0.3433031904450931,727.6702114862833,14343.902559160391,-0.4622267518669767,0.8867617661235199,1.7504379241074932,231.8811786513678,0.3324849279473626,0.0,1.0,223.6448115902216,28.117254249628648,76.01970425730251,0.5675401698573653,219.56459,4.074944369347298e-05,11254.83014787135,0.0,0.0037911609643003,0.002474327,152.039408514605,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,14343.902559160391,0.0,4.009035e-05,1.0446943e-06,115444.24,0.5386334,-315.23145,0.0,0.0,1.0000000000000002,-4.002651829059448e-13,1.947028e-12,2.9146602e-16,0.0,0.0,0.0,7.480000000000001e-16,2.114738215837501e-14,1.54676278040881e-12,867.8907314131197,14.34390255916039,4.3406632497684963e-14,4.009035e-05,1.0446943e-06,115444.24,0.5386334,-315.23145,0.0,0.0,1.0000000000000002,-4.002651829059448e-13,1.947028e-12,2.9146602e-16,0.0,0.0,0.0,7.480000000000001e-16,2.114738215837501e-14,1.54676278040881e-12,867.8907314131197,14.34390255916039,0.0
147,147,148,a35da8,FFT4000,34.701690673828125,-100.43577855947063,239.731110904,11292.84,0.5228494135788574,34610D,219.27658,21.369795,-5.435011,222.2452915791837,62904.162980158406,0.4410786170915662,0.33948217490397,26.575531416168825,29.1364283061404,-405.6501285104864,3.946173907509899e-05,21610.377722110978,0.5667887776285123,0.2214627618014068,0.5142454574992095,descent,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,6.657962153118915,0.998431588202579,0.7486755176134742,14.568219152515525,10.906955404587134,24.550511343275254,1517516329281797.2,11.5098170523025,740.044708524459,1250.13271397431,0.00394617390751,0.0204956156107002,0.169741087451985,14.5682141530702,8.28182430213843,8.28149749984494,12.06011823966341,0.4831723619417826,241198150014722.2,2.565441977905301,1990018027328440.5,0.0013927459664487,2.6758429663706964e-06,3.0968000000000004,35.8,2023-11-06 20:28:00,3.9461739075098993e-05,0.5667890374765668,0.0,147,216.10377722110985,3.9461739075098993e-05,21.369795,-5.435011,0.5667890374765668,0.0,0.0,0.343330635715028,724.911451981515,14399.117781368332,-0.4633444486312719,0.8861782675751999,1.8241372705103756,232.3156553175733,0.3335940020795852,0.0,1.0,224.050554255462,28.117254249628648,76.76547222862428,0.5693681588046701,219.55106,4.080778007313757e-05,11254.457263885688,0.0,0.0037255228622817,0.002090454,153.53094445724855,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,14399.117781368332,0.0,4.005641e-05,1.019272e-06,115447.77,0.5390886,-314.23935,0.0,0.0,1.0,-4.002029017245125e-13,1.9471287e-12,2.8950639e-16,0.0,0.0,0.0,7.479999999999999e-16,2.114754028619389e-14,1.5469256853644473e-12,868.9803985681925,14.399117781368332,4.388434151905989e-14,4.005641e-05,1.019272e-06,115447.77,0.5390886,-314.23935,0.0,0.0,1.0,-4.002029017245125e-13,1.9471287e-12,2.8950639e-16,0.0,0.0,0.0,7.479999999999999e-16,2.114754028619389e-14,1.5469256853644473e-12,868.9803985681925,14.399117781368332,0.0
148,148,149,a35da8,FFT4000,34.641615010924255,-100.29630661010742,243.332222012,11170.92,0.5208257025955053,34610D,220.14392,21.316605,-5.0206447,224.60547009706025,62877.58744874224,0.4322532049375334,0.235078777697854,19.22957394946912,19.56443085388696,-1045.2153744027903,4.385467939890608e-05,22029.8692676161,0.5749540729010728,0.1602464495789093,0.3712505885848361,descent,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,6.775723369947512,1.016061358316042,0.7551343145811347,9.783027867886338,9.46106633920965,15.532077202953204,1091843938458883.2,9.01197703939664,703.956378559483,1111.99098338859,0.00438546793989,0.0175997511403882,0.117539388848927,9.78221542694348,6.67846879829998,6.678175929035644,15.219039426041972,0.3806630035830123,125238829782556.84,2.6382790018491327,2046514737654146.8,0.0008081543609188,9.290380701696328e-07,3.0968000000000004,35.8,2023-11-06 20:29:00,4.385467939890608e-05,0.5749541209867323,0.0,148,220.298692676161,4.385467939890608e-05,21.316605,-5.0206447,0.5749541209867323,0.0,0.0,0.3486162871417437,722.1059041679337,14622.304268278289,-0.4646651020474293,0.8854865007097804,1.8306476316796525,232.3532844726202,0.3412725494199452,0.0,1.0,224.1205924437096,28.117254249628648,77.7821390566877,0.5790301813792729,220.44847,4.562240079351388e-05,11132.028930471655,0.0,0.0030333745595876,0.0020680805,155.5642781133754,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,14622.304268278289,0.0,4.392676e-05,8.0363924e-07,114210.32,0.5522527,-313.5767,0.0,0.0,1.0,-4.0541700654343863e-13,1.909117e-12,2.728847e-16,0.0,0.0,0.0,7.479999999999999e-16,2.0568984930345107e-14,1.5037000187002932e-12,870.0761049231459,14.622304268278288,1.714037030173714e-14,4.392676e-05,8.0363924e-07,114210.32,0.5522527,-313.5767,0.0,0.0,1.0,-4.0541700654343863e-13,1.909117e-12,2.728847e-16,0.0,0.0,0.0,7.479999999999999e-16,2.0568984930345107e-14,1.5037000187002932e-12,870.0761049231459,14.622304268278288,0.0
