trajectory,season,diurnal,engine,saf_level,water_injection,contrail_atr20_cocip_sum,contrail_atr20_cocip_sum_baseline
sfo_dfw,2023-11-06,daytime,GTF2000,0,0,5.314414425246202e-15,-2.722883800316899e-13
sfo_dfw,2023-11-06,daytime,GTF,0,0,4.384335432420855e-15,-2.722883800316899e-13
sfo_dfw,2023-11-06,daytime,GTF2035,0,0,1.2400778900980003e-14,-2.722883800316899e-13
sfo_dfw,2023-11-06,daytime,GTF2035,20,0,1.5640157035252222e-14,-2.722883800316899e-13
sfo_dfw,2023-11-06,daytime,GTF2035,100,0,2.058627170448837e-14,-2.722883800316899e-13
sfo_dfw,2023-11-06,daytime,GTF2035_wi,0,15,1.064356661465844e-14,-2.722883800316899e-13
sfo_dfw,2023-11-06,daytime,GTF2035_wi,20,15,1.6428361062767536e-14,-2.722883800316899e-13
sfo_dfw,2023-11-06,daytime,GTF2035_wi,100,15,1.799553106695151e-14,-2.722883800316899e-13
bos_fll,2023-05-05,daytime,GTF2000,0,0,1.459067306100699e-12,-5.254787214517426e-12
bos_fll,2023-05-05,daytime,GTF,0,0,7.615221471245635e-13,-5.254787214517426e-12
bos_fll,2023-05-05,daytime,GTF2035,0,0,5.971538177674678e-13,-5.254787214517426e-12
bos_fll,2023-05-05,daytime,GTF2035,20,0,4.412659500747466e-13,-5.254787214517426e-12
bos_fll,2023-05-05,daytime,GTF2035,100,0,9.192351337013364e-14,-5.254787214517426e-12
bos_fll,2023-05-05,daytime,GTF2035_wi,0,15,8.10125125113447e-14,-5.254787214517426e-12
bos_fll,2023-05-05,daytime,GTF2035_wi,20,15,6.664230292050586e-14,-5.254787214517426e-12
bos_fll,2023-05-05,daytime,GTF2035_wi,100,15,9.282838210390969e-14,-5.254787214517426e-12
dus_tos,2023-02-06,daytime,GTF2000,0,0,5.1684439990009694e-12,-1.5744370863772396e-11
dus_tos,2023-02-06,daytime,GTF,0,0,2.512303249225844e-12,-1.5744370863772396e-11
dus_tos,2023-02-06,daytime,GTF2035,0,0,3.117509679174342e-12,-1.5744370863772396e-11
dus_tos,2023-02-06,daytime,GTF2035,20,0,2.4728678327829724e-12,-1.5744370863772396e-11
dus_tos,2023-02-06,daytime,GTF2035,100,0,2.1549270893977243e-12,-1.5744370863772396e-11
dus_tos,2023-02-06,daytime,GTF2035_wi,0,15,2.6306502077453558e-12,-1.5744370863772396e-11
dus_tos,2023-02-06,daytime,GTF2035_wi,20,15,2.2192881217701405e-12,-1.5744370863772396e-11
dus_tos,2023-02-06,daytime,GTF2035_wi,100,15,1.6697313000705464e-12,-1.5744370863772396e-11
gru_lim,2023-02-06,daytime,GTF2035_wi,100,15,-5.230380816180542e-13,1.1580891296440126e-10
hel_kef,2023-08-06,daytime,GTF2000,0,0,7.658515236866983e-12,-4.22926361059004e-13
hel_kef,2023-08-06,daytime,GTF,0,0,7.538852438817973e-12,-4.22926361059004e-13
hel_kef,2023-08-06,daytime,GTF2035,0,0,5.032726813350055e-12,-4.22926361059004e-13
hel_kef,2023-08-06,daytime,GTF2035,20,0,4.4050198089738385e-12,-4.22926361059004e-13
hel_kef,2023-08-06,daytime,GTF2035,100,0,1.7871942810572926e-12,-4.22926361059004e-13
hel_kef,2023-08-06,daytime,GTF2035_wi,0,15,3.3011229110846088e-12,-4.22926361059004e-13
hel_kef,2023-08-06,daytime,GTF2035_wi,20,15,2.5972824385630307e-12,-4.22926361059004e-13
hel_kef,2023-08-06,daytime,GTF2035_wi,100,15,1.3920519151087029e-12,-4.22926361059004e-13
hel_kef,2023-11-06,daytime,GTF,0,0,-9.409992079119225e-12,2.5419183607560637e-09
hel_kef,2023-11-06,daytime,GTF2035,0,0,-1.0851085294090828e-11,2.5419183607560637e-09
hel_kef,2023-11-06,daytime,GTF2035,20,0,-1.1818481990688491e-11,2.5419183607560637e-09
hel_kef,2023-11-06,daytime,GTF2035,100,0,-5.784859764820988e-12,2.5419183607560637e-09
hel_kef,2023-11-06,daytime,GTF2035_wi,0,15,-1.0790275131301876e-11,2.5419183607560637e-09
hel_kef,2023-11-06,daytime,GTF2035_wi,20,15,-1.0552785725752608e-11,2.5419183607560637e-09
hel_kef,2023-11-06,daytime,GTF2035_wi,100,15,-3.256440680396841e-12,2.5419183607560637e-09
lhr_ist,2023-05-05,daytime,GTF2000,0,0,3.5118392464709906e-11,-1.2462960910638723e-10
lhr_ist,2023-05-05,daytime,GTF,0,0,2.7156575950814853e-11,-1.2462960910638723e-10
lhr_ist,2023-05-05,daytime,GTF2035,0,0,2.976918880910222e-11,-1.2462960910638723e-10
lhr_ist,2023-05-05,daytime,GTF2035,20,0,2.694273685203323e-11,-1.2462960910638723e-10
lhr_ist,2023-05-05,daytime,GTF2035,100,0,1.999126210875357e-11,-1.2462960910638723e-10
lhr_ist,2023-05-05,daytime,GTF2035_wi,0,15,2.6822841755132744e-11,-1.2462960910638723e-10
lhr_ist,2023-05-05,daytime,GTF2035_wi,20,15,2.2176118092709052e-11,-1.2462960910638723e-10
lhr_ist,2023-05-05,daytime,GTF2035_wi,100,15,1.5359742494122668e-11,-1.2462960910638723e-10
