time,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza
2023-02-06 09:00:00+00:00,70606a,KAC128,52.29386901855469,4.749603271484375,74.81933180324904,236.22,0.21161733598648264
2023-02-06 09:01:00+00:00,70606a,KAC128,52.28333036778336,4.722002301897322,76.2349771156689,624.84,0.21332919322505636
2023-02-06 09:02:00+00:00,70606a,KAC128,52.24566960738878,4.6664821079799115,128.71384767737155,1101.0900000000001,0.21517907536569314
2023-02-06 09:03:00+00:00,70606a,KAC128,52.20213317871094,4.7522735595703125,137.32571643484678,2065.02,0.218093531151715
2023-02-06 09:04:00+00:00,70606a,KAC128,52.176544189453125,4.8757171630859375,162.33051971346111,2689.86,0.2210332047959957
2023-02-06 09:05:00+00:00,70606a,KAC128,52.19915771484375,5.0128936767578125,174.9298723598974,3352.8,0.2234391930774174
2023-02-06 09:06:00+00:00,70606a,KAC128,52.18105510129767,5.168439592633929,198.38137315703025,3931.92,0.22646925510011107
2023-02-06 09:07:00+00:00,70606a,KAC128,52.1187744140625,5.309982299804688,201.24231307937308,4739.64,0.22995150477537865
2023-02-06 09:08:00+00:00,70606a,KAC128,52.05568992485434,5.457536969866072,207.77679243645295,5402.58,0.2334713902450896
2023-02-06 09:09:00+00:00,70606a,KAC128,51.99135473219015,5.607735770089287,212.495264947944,6050.280000000001,0.2370111204354674
2023-02-06 09:10:00+00:00,70606a,KAC128,51.925716076867054,5.760288783482143,214.64401445915175,6659.88,0.24056905747299556
2023-02-06 09:11:00+00:00,70606a,KAC128,51.85933258573888,5.91339111328125,211.1659461904204,7391.400000000001,0.24412556175802327
2023-02-06 09:12:00+00:00,70606a,KAC128,51.78694152832031,6.059999208192568,217.6511581808298,7840.98,0.2477029955997609
2023-02-06 09:13:00+00:00,70606a,KAC128,51.71287536621094,6.21009620460304,225.52253315821503,8221.98,0.2513113235242914
2023-02-06 09:14:00+00:00,70606a,KAC128,51.63671978449417,6.364517211914063,221.9931667223443,8542.02,0.25496099345270673
2023-02-06 09:15:00+00:00,70606a,KAC128,51.56777592028602,6.504440307617188,204.2310284025181,8884.92,0.25840637840171954
2023-02-06 09:16:00+00:00,70606a,KAC128,51.49925102621822,6.641159057617188,204.2310284025181,9227.82,0.26181111781420413
2023-02-06 09:17:00+00:00,70606a,KAC128,51.42919921875,6.78123680320946,212.5874084098328,9448.8,0.26524319766425547
2023-02-06 09:18:00+00:00,70606a,KAC128,51.35563659667969,6.92680565086571,221.34547198621885,9608.82,0.26874224848754497
2023-02-06 09:19:00+00:00,70606a,KAC128,51.27909851074219,7.07786766258446,230.02781158166047,9761.22,0.27230056213416814
2023-02-06 09:20:00+00:00,70606a,KAC128,51.19917297363281,7.234274374472128,239.1860339575225,9913.62,0.2759221650759762
2023-02-06 09:21:00+00:00,70606a,KAC128,51.11686706542969,7.395357699007602,246.09841713149623,10066.02,0.2795887023525154
2023-02-06 09:22:00+00:00,70606a,KAC128,51.03208923339844,7.5603010847761825,250.05365456171876,10248.9,0.2832957778783215
2023-02-06 09:23:00+00:00,70606a,KAC128,50.958251953125,7.740313555743243,250.865176136554,10477.5,0.2869276575518741
