,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,1,407463.0,BAW680,51.464630126953125,-0.5077465160472912,76.652222156,586.74,-0.8108480896297596,34610D,280.4945,11.520084,6.038091,107.64307074119095,67498.71789041745,0.19432152847628334,1.51420665785509,67.75749127352202,117.6254856742702,1874.348834557669,0.0053856492130921,94472.02900687772,0.742930396437298,0.5646457606126835,0.4929845732446855,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3206129869072709,58.81261253301284,15.844398843329865,100.27510845161656,2079392182914552.0,20.5527141239194,725.861938270912,1383.29765737914,0.538564921309,0.0190210376305771,0.757103328927545,58.8127428371351,39.803471484146,39.59025227314502,0.53856492130921,0.7017355681485363,1175468320304738.0,0.019426057436731006,3.892407609275833e-05,3.16,35.8,2023-11-06 00:01:00,0.005385649213092144,0.7429318404518142,0.0,0,944.7202900687771,0.005385649213092144,11.520084,6.038091,0.7429318404518142,0.40592927,0.0,1.173333152452531,0.0,6244.71057557348,-0.3973546157043629,-0.9176651401129052,5.45383253969604,244.6422080977991,0.7973039406526846,inf,0.0,238.79259476263223,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0052676504,2.5402042e-07,4017.0015,0.77737033,-218.82443,0.0,0.0,0.9999999999999999,-7.539994644093428e-13,8.460423e-12,2.3051824e-16,0.0,0.0,0.0,7.479999999999999e-16,1.0116203006866697e-13,7.7064239874365e-12,530.3263811142193,1.3601097984712425e-11,2.1474599958233511e-13,0.0,0.0052676504,2.5402042e-07,4017.0015,0.77737033,-218.82443,0.0,0.0,0.0,-7.539994644093428e-13,8.460423e-12,2.3051824e-16,0.0,0.0,0.0,7.479999999999999e-16,1.0116203006866697e-13,7.7064239874365e-12,530.3263811142193,1.3601097984712425e-11,2.1474599958233511e-13,0.0
1,1,2,407463.0,BAW680,51.4423828125,-0.5900697450380221,127.582222112,1165.86,-0.810957105103886,34610D,276.78702,15.803947,4.2920747,130.20405566365943,67430.96039914392,0.22406870201873838,1.839755357900698,91.15408835097176,136.2379818150472,3278.519897883672,0.0041174295779593,88080.9851588033,0.7099916155699492,0.7596174029247647,0.6830054768120849,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3903991321130085,68.11944547005149,20.58800481313586,164.0228812879348,1708389248767362.0,23.7585055595488,759.867087107752,1461.69021467343,0.411742957796,0.0206044731044393,0.919877678950349,68.1189909075236,44.6445620952161,44.46149502053824,0.41174295779593,0.8377894528836829,1370505781951042.5,0.024610627481429913,4.976338055848032e-05,3.16,35.8,2023-11-06 00:02:00,0.004117429577959304,0.7099913499107081,0.0,1,880.8098515880331,0.004117429577959304,15.803947,4.2920747,0.7099913499107081,0.47894615,1.1558753e-10,1.108610256764502,0.0,7487.371314157589,-0.9834465679946758,-0.18119836616121401,5.274072209435353,244.24161433826185,0.7353017749895427,inf,0.0,237.746977133649,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.004030528,3.3415773e-07,9655.355,0.7161162,-220.34418,0.0,0.0,1.0,-7.370017477636746e-13,7.580255e-12,2.366955e-16,0.0,0.0,0.0,7.479999999999999e-16,8.994699050985023e-14,6.843253463090916e-12,530.8123273685891,1.8590738386412383e-11,2.6091557666176327e-13,0.0,0.004030528,3.3415773e-07,9655.355,0.7161162,-220.34418,0.0,0.0,0.0,-7.370017477636746e-13,7.580255e-12,2.366955e-16,0.0,0.0,0.0,7.479999999999999e-16,8.994699050985023e-14,6.843253463090916e-12,530.8123273685891,1.8590738386412383e-11,2.6091557666176327e-13,0.0
2,2,3,407463.0,BAW680,51.3767720885196,-0.60943603515625,148.674444316,2179.32,-0.8114521250822616,34610D,270.01718,15.485726,4.778744,146.7521049445194,67339.80631079295,0.24299018499838573,1.94213644339104,90.62104041386328,138.3775282709846,3204.195028448301,0.0027720446437703,77740.93610102212,0.7359871038962891,0.7551753367821941,0.706713780918728,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.4454981096538515,69.18896248151968,21.19516323968305,161.9535216482081,1429985623281159.8,24.2442213549537,771.988740287073,1504.21262594414,0.277204464377,0.0216375662220468,0.97106822169552,69.1887641354923,44.8788099239224,44.75474776509687,0.27720446437703,0.8918561498479407,1286483294855533.2,0.02702707247191877,5.4471843920778766e-05,3.16,35.8,2023-11-06 00:03:00,0.0027720446437703937,0.7359880051513863,0.0,2,777.4093610102212,0.0027720446437703937,15.485726,4.778744,0.7359880051513863,0.50746083,1.246861e-08,1.0029997327705582,0.0,9260.126126310186,-0.8537826424343427,0.5206296183255725,4.7657685222771216,243.03951330890717,0.713881664267632,inf,0.0,236.41752417248895,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0027138665,6.221652e-07,19493.658,0.696976,-220.79033,0.0,0.0,0.9999999999999999,-7.074703362819038e-13,6.1395207e-12,2.5889607e-16,0.0,0.0,0.0,7.480000000000001e-16,7.162355346889864e-14,5.432050569396809e-12,532.2454570001203,1.7107785587380272e-11,2.754353441108721e-13,0.0,0.0027138665,6.221652e-07,19493.658,0.696976,-220.79033,0.0,0.0,0.0,-7.074703362819038e-13,6.1395207e-12,2.5889607e-16,0.0,0.0,0.0,7.480000000000001e-16,7.162355346889864e-14,5.432050569396809e-12,532.2454570001203,1.7107785587380272e-11,2.754353441108721e-13,0.0
3,3,4,407463.0,BAW680,51.306060791015625,-0.5404828045819272,162.564444304,3169.92,-0.8119150370435231,34610D,263.8805,16.037987,4.703244,174.53121516787954,67249.1852703791,0.26452415930503087,1.310965950336316,68.03326788659777,85.4997965038462,1306.2842649184306,0.0016431788750002,68606.54157738572,0.6537167460001826,0.5669438990549814,0.5607787455296058,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5359529649056819,42.75022268209451,17.65347739626541,99.87907708037852,1408366315268665.0,17.7363973433307,719.049756691255,1379.84277843922,0.1643178875,0.0190224696036053,0.655482975168158,42.7498982519231,34.4583531385392,34.40182478678809,0.16431788750002,0.6772795377098226,1009583056335106.0,0.01930810493673233,3.271235843873659e-05,3.16,35.8,2023-11-06 00:04:00,0.0016431788750002755,0.6537163360975577,0.0,3,686.0654157738572,0.0016431788750002755,16.037987,4.703244,0.6537163360975577,0.47935736,5.994317e-08,0.905734014449138,0.0,11144.044635122638,-0.8974772760506166,0.441060697606084,4.324737328035892,241.90057635887482,0.5972214507769725,inf,0.0,234.40812539863805,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0016087149,6.323398e-07,29105.676,0.6151572,-220.06274,0.0,0.0,1.0,-6.785595505734439e-13,4.9719994e-12,2.5968037e-16,0.0,0.0,0.0,7.480000000000001e-16,5.6822400165628044e-14,4.29343998433715e-12,533.7899980383697,6.520602246968081e-12,1.8592223984945664e-13,0.0,0.0016087149,6.323398e-07,29105.676,0.6151572,-220.06274,0.0,0.0,0.0,-6.785595505734439e-13,4.9719994e-12,2.5968037e-16,0.0,0.0,0.0,7.480000000000001e-16,5.6822400165628044e-14,4.29343998433715e-12,533.7899980383697,6.520602246968081e-12,1.8592223984945664e-13,0.0
4,4,5,407463.0,BAW680,51.216156005859375,-0.469962455130883,203.719999824,3573.78,-0.8125493223715267,34610D,261.06433,16.31293,4.8091583,195.46935653130907,67181.1520024925,0.2885824492685765,1.755347515497968,83.50072726405143,111.5156395533046,2706.434557572983,0.0013251289777112,65141.597694892014,0.6436036038143256,0.6958393938670953,0.706713780918728,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6034789661145185,55.75798143079575,21.04625931253757,144.10119767478815,1255679541981946.5,22.0711780951526,765.322189651473,1491.79978429973,0.132512897771,0.0213796333532591,0.877673757748984,55.7578197766523,41.0518619869219,40.99753496532462,0.13251289777112,0.8619818648704629,1264271137616954.5,0.026079892065703422,4.818867306198205e-05,3.16,35.8,2023-11-06 00:05:00,0.0013251289777112575,0.6436045990604319,0.0,4,651.4159769489202,0.0013251289777112575,16.31293,4.8091583,0.6436045990604319,0.4792102,1.6483625e-07,0.8692672504854935,0.0,12591.815562360232,-0.88754484275893,0.4607213388720196,4.244020377934138,241.68106110287425,0.5719688173427762,inf,0.0,234.02688143260482,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0012965527,5.844125e-07,33007.875,0.6125321,-219.64865,0.0,0.0,1.0000000000000002,-6.67126231353252e-13,4.5028608e-12,2.5598596e-16,0.0,0.0,0.0,7.480000000000002e-16,5.0868533498795344e-14,3.835734425844828e-12,535.7524019171999,1.0535828176938977e-11,2.489447889259343e-13,0.0,0.0012965527,5.844125e-07,33007.875,0.6125321,-219.64865,0.0,0.0,0.0,-6.67126231353252e-13,4.5028608e-12,2.5598596e-16,0.0,0.0,0.0,7.480000000000002e-16,5.0868533498795344e-14,3.835734425844828e-12,535.7524019171999,1.0535828176938977e-11,2.489447889259343e-13,0.0
5,5,6,407463.0,BAW680,51.11584679555085,-0.3870391845703125,211.436666484,4411.9800000000005,-0.8132544193010224,34610D,255.0208,14.665699,5.7459984,217.5074933010533,67097.65127522845,0.3010578651985616,1.298761544106606,71.16155127077788,77.3546835872324,1449.1033286190177,0.0010553836414514,58401.6359568902,0.8031565629980589,0.5930129272564824,0.6266743834925371,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6794283441047929,38.67752477569951,18.95456695684868,109.95916535872335,1215379373054355.5,17.4536415950286,724.06756444129,1391.07731491842,0.105538364145,0.0192341718075136,0.649380772053303,38.6773417936162,33.7618265320698,33.72623241808796,0.10553836414514,0.6952064800216273,981193010812222.4,0.019909782887785478,3.2309287636893984e-05,3.16,35.8,2023-11-06 00:06:00,0.001055383641451448,0.803156828941088,0.0,5,584.016359568902,0.001055383641451448,14.665699,5.7459984,0.803156828941088,0.52361465,6.5499796e-07,0.7977960060813952,0.0,13209.052642457104,-0.8883960114481767,0.4590779093388955,3.871920905293207,240.61866732562282,0.6725430188676299,inf,0.0,233.7959547743988,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0010332527,8.36726e-07,41171.418,0.7732777,-219.46645,0.0,0.0,1.0,-6.426070959960999e-13,3.6277168e-12,2.7543513e-16,0.0,0.0,0.0,7.48e-16,3.9829862432545497e-14,2.9851097922727726e-12,537.939360762722,4.631348952493633e-12,1.8419140119443418e-13,0.0,0.0010332527,8.36726e-07,41171.418,0.7732777,-219.46645,0.0,0.0,0.0,-6.426070959960999e-13,3.6277168e-12,2.7543513e-16,0.0,0.0,0.0,7.48e-16,3.9829862432545497e-14,2.9851097922727726e-12,537.939360762722,4.631348952493633e-12,1.8419140119443418e-13,0.0
6,6,7,407463.0,BAW680,51.010345458984375,-0.3004166886613006,233.557777576,4861.56,-0.8139835489103218,34610D,251.94136,14.680464,7.3406124,236.7293159468564,67026.48972395767,0.3169759507542287,1.394843714168128,75.96874787247535,80.367647955326,1937.966347079256,0.00078163817283,55026.440867802725,0.7526343435941893,0.6330728989372946,0.6905836303709545,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7439770096492286,40.18396741191134,20.32522372968776,125.55631858354768,1147471063634554.0,18.3646145916333,737.516294771698,1422.39785532706,0.078163817283,0.0198697956041071,0.697421857084064,40.183823977663,35.0995989581244,35.072185199368015,0.078163817283,0.7456576772344278,1039843289521600.6,0.02169126664342011,3.5639612975748524e-05,3.16,35.8,2023-11-06 00:07:00,0.0007816381728300801,0.7526351978049011,0.0,6,550.2644086780273,0.0007816381728300801,14.680464,7.3406124,0.7526351978049011,0.61771345,2.1654153e-06,0.7608769062071574,0.0,14441.476617147115,-0.8882530904374696,0.4593543809830104,3.732292312437557,240.196551597694,0.6113654113699365,inf,0.0,232.92950411648525,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0007663363,1.0231961e-06,45488.12,0.73611027,-219.60568,0.0,0.0,1.0,-6.298259574919883e-13,3.2183006e-12,2.8980886e-16,0.0,0.0,0.0,7.48e-16,3.4687980356729666e-14,2.5884747306392772e-12,540.2395192477586,4.699002138609875e-12,1.9781785141829527e-13,0.0,0.0007663363,1.0231961e-06,45488.12,0.73611027,-219.60568,0.0,0.0,0.0,-6.298259574919883e-13,3.2183006e-12,2.8980886e-16,0.0,0.0,0.0,7.48e-16,3.4687980356729666e-14,2.5884747306392772e-12,540.2395192477586,4.699002138609875e-12,1.9781785141829527e-13,0.0
7,7,8,407463.0,BAW680,50.89504953158104,-0.2059173583984375,245.389999788,5463.54,-0.814776741464991,34610D,247.6976,16.476131,8.677286,251.57178309161927,66950.52097608519,0.3256276287188767,1.291708584569918,69.10569752371113,71.9457763482726,1517.803511205808,0.0005131625242836,50756.176244006965,0.6925317638872986,0.5758808126975927,0.6490682604868702,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7973669626612863,35.973080468158344,19.220085904803,107.47062606688506,1113947980696974.4,17.2076851585759,728.955077048434,1403.61616464225,0.0513162524284,0.0194926842158031,0.645854292284959,35.9728881741363,33.1331634542847,33.11616947716119,0.05131625242836,0.7131096504658563,962314263948243.2,0.02051265213570069,3.216821783321694e-05,3.16,35.8,2023-11-06 00:08:00,0.0005131625242836821,0.6925329578790743,0.0,7,507.56176244006963,0.0005131625242836821,16.476131,8.677286,0.6925329578790743,0.83212036,7.174978e-06,0.7138542457879373,0.0,15212.014781554939,-0.8893115744758581,0.4573017860267661,3.4860116560972565,239.41670522485995,0.5394247181971878,inf,0.0,231.7158916732723,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.000502521,8.3320765e-07,51351.74,0.6599968,-220.3451,0.0,0.0,1.0,-6.122373227370232e-13,2.737758e-12,2.7516392e-16,0.0,0.0,0.0,7.479999999999999e-16,2.865493125746905e-14,2.1255205640063217e-12,542.7489014801323,3.3791146124930622e-12,1.8319114483057344e-13,0.0,0.000502521,8.3320765e-07,51351.74,0.6599968,-220.3451,0.0,0.0,0.0,-6.122373227370232e-13,2.737758e-12,2.7516392e-16,0.0,0.0,0.0,7.479999999999999e-16,2.865493125746905e-14,2.1255205640063217e-12,542.7489014801323,3.3791146124930622e-12,1.8319114483057344e-13,0.0
8,8,9,407463.0,BAW680,50.77340853416313,-0.1070404052734375,261.852221996,5935.9800000000005,-0.8156009698727312,34610D,244.07379,17.201002,9.428455,264.0613230229196,66881.41527856147,0.33619419011231466,1.337636736581868,71.25924807761243,73.283303006639,1611.219980271074,0.0004170072362682,47596.28928252322,0.7630827091274338,0.5938270673134369,0.6850683918891327,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.8431433767001119,36.641195435206775,19.90499877440634,114.66994430346595,1044702183397142.8,17.5866870504683,735.839988143376,1422.09437452598,0.0417007236268,0.0198981496145788,0.668818368290934,36.6416515033195,33.6120886236031,33.59807798195992,0.04170072362682,0.7391742102162597,1006759866989802.6,0.02130826032841314,3.434206730950192e-05,3.16,35.8,2023-11-06 00:09:00,0.0004170072362682506,0.7630827282402132,0.0,8,475.96289282523225,0.0004170072362682506,17.201002,9.428455,0.7630827282402132,1.0261751,1.6076165e-05,0.6793512819499712,0.0,16064.88552763422,-0.8897878447223443,0.4563743982569195,3.3207466879151286,238.86557718479136,0.5734317208658056,inf,0.0,231.4287402009194,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00040783655,5.0285325e-07,55970.703,0.7476063,-220.75594,0.0,0.0,0.9999999999999998,-5.984216384939353e-13,2.3898323e-12,2.4969912e-16,0.0,0.0,0.0,7.48e-16,2.4286036081520167e-14,1.791410536309276e-12,545.3959330717455,3.0636034947673415e-12,1.897047120914298e-13,0.0,0.00040783655,5.0285325e-07,55970.703,0.7476063,-220.75594,0.0,0.0,0.0,-5.984216384939353e-13,2.3898323e-12,2.4969912e-16,0.0,0.0,0.0,7.48e-16,2.4286036081520167e-14,1.791410536309276e-12,545.3959330717455,3.0636034947673415e-12,1.897047120914298e-13,0.0
9,9,10,407463.0,BAW680,50.6448778055482,-0.0031177417652088,273.684444208,6438.900000000001,-0.8164590330438961,34610D,240.13521,16.79727,9.867858,274.8871489859357,66810.15603048386,0.34468920005391945,1.375574837423054,73.50072331693926,74.2230678253608,1678.2620894841948,0.0003700633142827,44409.53957525199,0.9553492002934464,0.6125060276411605,0.722265932164952,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.8848786719849238,37.11116557056298,20.576744525279736,122.4330621225113,967225673567914.0,17.8347870729933,741.224851270252,1439.37896892204,0.0370063314283,0.0203093302686826,0.687787418711527,37.1115339126804,33.8655883582783,33.85306058248054,0.03700633142827,0.7602546633112947,1024666249883814.0,0.022096484238569736,3.548394796464672e-05,3.16,35.8,2023-11-06 00:10:00,0.000370063314282729,0.955349266083088,0.0,9,444.0953957525199,0.000370063314282729,16.79727,9.867858,0.955349266083088,1.4025536,3.913449e-05,0.6442625332137677,0.0,16696.494033359326,-0.8904087613594637,0.4551617709060216,3.1384489424467334,238.22875581413365,0.6904528228938467,inf,0.0,231.7120055926364,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00036178116,3.3389682e-07,60793.285,0.92243016,-217.62605,0.0984100707913352,0.0984100707913352,1.0000000000000002,-5.839080453584868e-13,2.048467e-12,2.3667538e-16,8.234721201297856e-14,1.3818454713967917e-14,8.234721201297856e-14,7.48e-16,3.319949639494859e-14,1.4645590070517034e-12,548.1885219633347,2.670948573499287e-12,1.9508512390320747e-13,1.374909734038472e-12,0.00036178116,3.3389682e-07,60793.285,0.92243016,-217.62605,0.0,0.0984100707913352,0.0,-5.839080453584868e-13,2.048467e-12,2.3667538e-16,0.0,0.0,0.0,7.48e-16,2.002394247287202e-14,1.4645590070517034e-12,548.1885219633347,2.670948573499287e-12,1.9508512390320747e-13,0.0
